cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
379, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.76097702194457, 14.040293175016131]"
80, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.73903278859737, 14.083022290274664]"
389, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.75914060655979, 14.04759268332583]"
55, , ,40002,Libouchec,Knínice,Knínice,795151,"[50.72951123689991, 14.006765466919985]"
113, , ,40002,Libouchec,Knínice,Knínice,795151,"[50.73571966319928, 13.999039016129965]"
274, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.75543167489141, 14.036115723824077]"
406, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.76117924658103, 14.038515287307563]"
116, , ,40002,Libouchec,Knínice,Knínice,795151,"[50.7335506724678, 14.003249443864792]"
398, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.76045266075146, 14.047140075286464]"
91, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.75362387163636, 14.034804959152337]"
436, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.757352415600224, 14.041481199742629]"
341, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.75372812402537, 14.033851010031036]"
72, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.76070955250876, 14.046366451845065]"
44, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.741930302567276, 14.082630587002859]"
2, , ,40002,Libouchec,Žďárek,Žďárek,795151,"[50.723946961153615, 14.008392977823478]"
556, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.759206083938, 14.040090494689808]"
20, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.76202208784074, 14.039499556433071]"
21, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.761997931112695, 14.039533629149817]"
374, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.76120335392461, 14.039583643101107]"
347, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.76051685370998, 14.039322988931985]"
354, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.759421615259285, 14.047185884419761]"
383, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.761141077660575, 14.039196783833916]"
391, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.761919225717556, 14.036158132781958]"
19, , ,40002,Libouchec,Žďárek,Žďárek,795151,"[50.726488405309894, 14.008577874377762]"
428, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.7601131432085, 14.03997006580631]"
111, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.74808691324652, 14.014409548002673]"
11, , ,40002,Libouchec,Knínice,Knínice,795151,"[50.735378290618854, 14.00117681749342]"
82, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.741021052892165, 14.08557493801803]"
600, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.749482628954574, 14.02258296855696]"
601, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.76396352174871, 14.035268222873365]"
115, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.74610365631188, 14.080904446496083]"
81, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.73927603636903, 14.081994756358636]"
53, , ,40002,Libouchec,Knínice,Knínice,795151,"[50.7365245192195, 13.999861268140743]"
117, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.74877307228078, 14.007268876288617]"
18, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.73800997664162, 14.081548710340607]"
75, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.742673780899715, 14.083222421576487]"
41, , ,40002,Libouchec,Knínice,Knínice,795151,"[50.73577705916139, 13.99967002692823]"
89, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.73992926913692, 14.084657882903155]"
54, , ,40002,Libouchec,Knínice,Knínice,795151,"[50.73698036594427, 13.997523519146393]"
377, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.75932559777476, 14.0399061116754]"
201, , ,40002,Libouchec,Žďárek,Žďárek,795151,"[50.723910284548175, 14.00928826716958]"
55, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.74216904754617, 14.083263971561168]"
598, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.76619850284035, 14.034979627407317]"
124, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.746343842534365, 14.080725526992984]"
206, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.76060856516621, 14.050770067641885]"
32, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.746969457342836, 14.080413552080046]"
72, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.74472304165964, 14.08349305391832]"
69, , ,40002,Libouchec,Žďárek,Žďárek,795151,"[50.72448238658249, 14.009287967783822]"
122, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.7359340060572, 14.081284185972892]"
123, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.7437971622857, 14.084889305202378]"
539, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.75514056006019, 14.034806994050555]"
60, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.74098647047424, 14.083843769656548]"
597, , ,40335,Libouchec,Libouchec,Libouchec,683418,"[50.76521703261104, 14.03587364748699]"
3, , ,40002,Libouchec,Žďárek,Žďárek,795151,"[50.72422535477343, 14.008258635694407]"
50, , ,40002,Libouchec,Knínice,Knínice,795151,"[50.73505945744041, 14.002164671695862]"
70, , ,40002,Libouchec,Knínice,Knínice,795151,"[50.749133683473794, 14.004439676038489]"
16, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.74657377793146, 14.081160577117977]"
67, , ,40002,Libouchec,Čermná,Čermná,683396,"[50.744939005399935, 14.083873987226802]"
