cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
50, , ,37901,Libín,Spolí,Spolí,752835,"[48.97398203278056, 14.710617524815426]"
70, , ,37373,Libín,Libín,Libín,682829,"[48.970258866984906, 14.684950590745498]"
24, , ,37373,Libín,Libín,Libín,682829,"[48.969999201539174, 14.683429433419773]"
139, , ,37373,Libín,Libín,Libín,682829,"[48.96037199780323, 14.700309442176053]"
81, , ,37373,Libín,Libín,Libín,682829,"[48.97050046676135, 14.681952922389618]"
151, , ,37373,Libín,Libín,Libín,682829,"[48.95690829313816, 14.697743367846831]"
99, , ,37373,Libín,Libín,Libín,682829,"[48.96870049661529, 14.709501535541676]"
49, , ,37901,Libín,Spolí,Spolí,752835,"[48.972442009372685, 14.710024213989383]"
75, , ,37373,Libín,Libín,Libín,682829,"[48.961080325643294, 14.697043803788839]"
47, , ,37901,Libín,Spolí,Spolí,752835,"[48.97757489901047, 14.71087172405404]"
117, , ,37373,Libín,Libín,Libín,682829,"[48.96639775516532, 14.703956965483382]"
48, , ,37373,Libín,Libín,Libín,682829,"[48.97112034771028, 14.685879926842121]"
32, , ,37373,Libín,Slavošovice,Slavošovice,750441,"[48.9634201854655, 14.658139515911378]"
61, , ,37901,Libín,Spolí,Spolí,752835,"[48.97039666606131, 14.712262502489267]"
51, , ,37373,Libín,Slavošovice,Slavošovice,750441,"[48.965251978347204, 14.656619270309847]"
106, , ,37373,Libín,Libín,Libín,682829,"[48.967270865505824, 14.708261853795833]"
2, , ,37901,Libín,Spolí,Spolí,752835,"[48.97088866410325, 14.711016975085226]"
45, , ,37373,Libín,Slavošovice,Slavošovice,750441,"[48.96250144363068, 14.658648020284696]"
48, , ,37901,Libín,Spolí,Spolí,752835,"[48.9741057591668, 14.70688503977176]"
91, , ,37373,Libín,Libín,Libín,682829,"[48.96906701036632, 14.68121066404733]"
23, , ,37373,Libín,Libín,Libín,682829,"[48.970368794204916, 14.684355775091086]"
27, , ,37373,Libín,Libín,Libín,682829,"[48.96973932474554, 14.697174919883343]"
29, , ,37901,Libín,Spolí,Spolí,752835,"[48.97120451429835, 14.709965789632827]"
34, , ,37901,Libín,Spolí,Spolí,752835,"[48.97770036224608, 14.710065228821273]"
30, , ,37373,Libín,Libín,Libín,682829,"[48.9690134335725, 14.684540672118587]"
28, , ,37373,Libín,Libín,Libín,682829,"[48.97151903474362, 14.68017315356129]"
56, , ,37901,Libín,Spolí,Spolí,752835,"[48.976298707994104, 14.71376569283258]"
88, , ,37373,Libín,Libín,Libín,682829,"[48.958893729405894, 14.693988781237303]"
76, , ,37373,Libín,Libín,Libín,682829,"[48.969199231907915, 14.681886540161269]"
4, , ,37373,Libín,Libín,Libín,682829,"[48.97276392764239, 14.7023302788782]"
89, , ,37373,Libín,Libín,Libín,682829,"[48.958688039621755, 14.693656133127675]"
54, , ,37373,Libín,Libín,Libín,682829,"[48.96493176550533, 14.694185662858613]"
138, , ,37373,Libín,Libín,Libín,682829,"[48.96095895160635, 14.701139331536003]"
144, , ,37373,Libín,Libín,Libín,682829,"[48.959125992247564, 14.698862344744688]"
52, , ,37373,Libín,Libín,Libín,682829,"[48.968353338699735, 14.68370379796487]"
122, , ,37373,Libín,Libín,Libín,682829,"[48.96575948352087, 14.702642857636958]"
42, , ,37373,Libín,Libín,Libín,682829,"[48.96668459251623, 14.69701946976156]"
1, , ,37373,Libín,Libín,Libín,682829,"[48.97007280355741, 14.684819095582538]"
126, , ,37373,Libín,Libín,Libín,682829,"[48.9652409233672, 14.702097976338928]"
40, , ,37373,Libín,Libín,Libín,682829,"[48.96711251644986, 14.69750529967752]"
87, , ,37373,Libín,Libín,Libín,682829,"[48.95906058713298, 14.694376994487648]"
160, , ,37901,Libín,Spolí,Spolí,752835,"[48.97009915972484, 14.709493466606917]"
39, , ,37901,Libín,Spolí,Spolí,752835,"[48.9710728495206, 14.710963603697364]"
38, , ,37901,Libín,Spolí,Spolí,752835,"[48.9705707729309, 14.711159219865067]"
56, , ,37373,Libín,Libín,Libín,682829,"[48.972610411721774, 14.68646832901883]"
146, , ,37373,Libín,Libín,Libín,682829,"[48.95863982859992, 14.698748269719186]"
80, , ,37373,Libín,Libín,Libín,682829,"[48.96008148222211, 14.696226576402001]"
38, , ,37373,Libín,Libín,Libín,682829,"[48.96749465919347, 14.697892686810457]"
7, , ,37373,Libín,Libín,Libín,682829,"[48.97225229997538, 14.70189292039749]"
96, , ,37373,Libín,Libín,Libín,682829,"[48.969150950967745, 14.680823298417025]"
93, , ,37373,Libín,Libín,Libín,682829,"[48.958204971911755, 14.691727053545687]"
8, , ,37901,Libín,Spolí,Spolí,752835,"[48.974880274905864, 14.71143444847477]"
121, , ,37373,Libín,Libín,Libín,682829,"[48.96596034075659, 14.70297766925563]"
59, , ,37373,Libín,Libín,Libín,682829,"[48.97157206117517, 14.685568197742015]"
