cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
105, , ,Lichoceves,Noutonice,58426625010,"[50.16416060306544, 14.288495124955853]"
39, , ,Lichoceves,Lichoceves,391778210,"[50.15305412151072, 14.284193830624865]"
86, , ,Lichoceves,Noutonice,911985210,"[50.1630750867447, 14.284180237031652]"
13, , ,Lichoceves,Noutonice,0,"[50.165452322666575, 14.280215666882903]"
38, , ,Lichoceves,Lichoceves,391778210,"[50.15305412151072, 14.284193830624865]"
127, , ,Lichoceves,Noutonice,931660210,"[50.165172483359214, 14.290367109576326]"
111, , ,Lichoceves,Noutonice,25506406010,"[50.16417378117771, 14.289453253164204]"
3, , ,Lichoceves,Noutonice,397477210,"[50.16611830995239, 14.280961377572362]"
5, , ,Lichoceves,Noutonice,397478210,"[50.16509570366627, 14.281706397113492]"
103, , ,Lichoceves,Noutonice,24099392010,"[50.16438677964314, 14.287979671259963]"
57, , ,Lichoceves,Lichoceves,869999210,"[50.15867849491604, 14.2804009590062]"
1, , ,Lichoceves,Noutonice,397516210,"[50.165850551661876, 14.28010089753359]"
110, , ,Lichoceves,Noutonice,931537210,"[50.16412784919784, 14.288940331177876]"
118, , ,Lichoceves,Noutonice,905253210,"[50.16446796914718, 14.290406930528592]"
128, , ,Lichoceves,Noutonice,954530210,"[50.16523276718497, 14.290127908494908]"
71, , ,Lichoceves,Noutonice,921229210,"[50.16349550666357, 14.283198629226808]"
109, , ,Lichoceves,Noutonice,921098210,"[50.16432581005639, 14.289123483629583]"
106, , ,Lichoceves,Noutonice,14724143010,"[50.164410967106576, 14.288553844466831]"
115, , ,Lichoceves,Noutonice,15960811010,"[50.16497371484694, 14.289972138656452]"
113, , ,Lichoceves,Noutonice,15960809010,"[50.16453947776092, 14.289684800233648]"
114, , ,Lichoceves,Noutonice,15960810010,"[50.16476166952061, 14.289834434034255]"
124, , ,Lichoceves,Noutonice,15281258010,"[50.16469900720079, 14.291162335928929]"
123, , ,Lichoceves,Noutonice,911761210,"[50.164538125586816, 14.290945125359128]"
