cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
67, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98805015278089, 15.568514639941855]"
50, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.984757054603115, 15.591859168225504]"
22, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.985975835712324, 15.566387217497025]"
92, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98541718765905, 15.5679239482901]"
106, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98929441801403, 15.572154537908945]"
9, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.98423931216877, 15.542745329119986]"
36, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.979611444960184, 15.541799835898143]"
77, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.9872582241315, 15.567129049390221]"
29, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98769081732529, 15.569375443148024]"
3, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.98357173568283, 15.541708172963308]"
12, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98917916827074, 15.568984799490634]"
61, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.980532249582254, 15.53934737630139]"
123, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98996393650693, 15.567413717652297]"
43, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98636352933432, 15.56734018166799]"
48, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.97665357769449, 15.543344590739549]"
21, , ,53501,Lipoltice,Pelechov,Pelechov,684333,"[49.99380543084635, 15.54959794951657]"
16, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98898718521219, 15.567317683689252]"
15, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.98019045649546, 15.540299229984216]"
88, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98912080108892, 15.566828758178845]"
48, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.987116666151344, 15.570471607188406]"
28, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.977623595520775, 15.542381452779372]"
51, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98636303350504, 15.566154446472499]"
18, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.9775661615983, 15.543046920363567]"
107, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.989748103454794, 15.570841748747968]"
7, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.983366455008394, 15.543205486708857]"
136, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98531342943925, 15.568390603263834]"
32, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98463037380796, 15.56579236926031]"
112, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.989203808336164, 15.571345877125324]"
32, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.98103131803194, 15.539632444277713]"
100, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.985694157159585, 15.5686280063971]"
103, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98873807249334, 15.571280470519223]"
39, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.9810621428785, 15.53986680343701]"
121, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98965789488303, 15.567668359332162]"
93, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98518514562647, 15.567779214354493]"
11, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.98421101199628, 15.542233018921225]"
1, , ,53501,Lipoltice,Pelechov,Pelechov,684333,"[49.99471506653073, 15.548902079303886]"
66, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.98091752893044, 15.539641410322513]"
19, , ,53501,Lipoltice,Pelechov,Pelechov,684333,"[49.993603707213474, 15.550032180467337]"
2, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98732931411188, 15.569157846542721]"
125, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.988907973076046, 15.570915209635725]"
115, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.99006412691073, 15.566280338614064]"
56, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98722350105111, 15.566819107328214]"
8, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.97789401116487, 15.542403582508964]"
10, , ,53364,Lipoltice,Lipoltice,Lipoltice,684333,"[49.98941708526895, 15.570622436369462]"
10, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.98022524395272, 15.54016619880169]"
6, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.9806566955305, 15.542303757420756]"
10, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.983427283554086, 15.54223178121702]"
43, , ,53501,Lipoltice,Sovoluská Lhota,Sovoluská Lhota,684350,"[49.97656746574124, 15.5439359845873]"
