cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
7, , ,Litošice,Litošice,62329844010,"[49.98515355359442, 15.513414610743853]"
59, , ,Litošice,Litošice,62224838010,"[49.98499784235298, 15.511677146127788]"
63, , ,Litošice,Litošice,61295654010,"[49.985611415446556, 15.512394656974477]"
56, , ,Litošice,Litošice,50398270010,"[49.98482964815491, 15.511334352567639]"
66, , ,Litošice,Litošice,45447190010,"[49.985338628772254, 15.511012594658999]"
60, , ,Litošice,Litošice,35029955010,"[49.98521699491132, 15.511878732171153]"
54, , ,Litošice,Litošice,36267037010,"[49.983417605916074, 15.511462863755526]"
55, , ,Litošice,Litošice,37929084010,"[49.98334574917888, 15.511813725069068]"
49, , ,Litošice,Litošice,26567494010,"[49.98398278618707, 15.51082133078328]"
51, , ,Litošice,Litošice,25966921010,"[49.98349652768229, 15.512459349175804]"
36, , ,Litošice,Krasnice,519978606,"[49.997830110933464, 15.506088499778052]"
11, , ,Litošice,Litošice,519905606,"[49.98603724167049, 15.513886112127219]"
47, , ,Litošice,Krasnice,519944606,"[49.99394858904402, 15.500547237036136]"
46, , ,Litošice,Krasnice,519952606,"[49.993060753194015, 15.502374732414424]"
52, , ,Litošice,Litošice,22412942010,"[49.983819201797694, 15.512187150823193]"
90, , ,Litošice,Krasnice,519988606,"[49.99557851281182, 15.500081704535337]"
21, , ,Litošice,Krasnice,519871606,"[49.99622340915772, 15.503303236104154]"
35, , ,Litošice,Krasnice,520004606,"[49.99527293663156, 15.503540718994515]"
32, , ,Litošice,Krasnice,16523393010,"[49.997175041663056, 15.50891156824281]"
76, , ,Litošice,Krasnice,519965606,"[49.99376311130454, 15.502549915998596]"
7, , ,Litošice,Litošice,19924901010,"[49.98397685953273, 15.515093357987324]"
82, , ,Litošice,Krasnice,519996606,"[49.99609509108542, 15.50077010437106]"
59, , ,Litošice,Krasnice,519917606,"[49.99786892000326, 15.503720158905978]"
56, , ,Litošice,Krasnice,519975606,"[49.99460364113249, 15.503668361091185]"
72, , ,Litošice,Krasnice,519963606,"[49.99426241307196, 15.502791937374719]"
8, , ,Litošice,Litošice,552320606,"[49.984528267434634, 15.511532260195606]"
1, , ,Litošice,Litošice,519950606,"[49.984677799341306, 15.512290249772152]"
53, , ,Litošice,Krasnice,520022606,"[49.99318995432879, 15.502251585875966]"
40, , ,Litošice,Krasnice,519962606,"[49.993248540952116, 15.502806704564254]"
51, , ,Litošice,Krasnice,519961606,"[49.9932491619548, 15.502465967219937]"
48, , ,Litošice,Krasnice,519960606,"[49.993361144806414, 15.50228216804575]"
42, , ,Litošice,Krasnice,519953606,"[49.993424919350765, 15.502646737998091]"
43, , ,Litošice,Krasnice,519956606,"[49.99343854908093, 15.502928410149018]"
68, , ,Litošice,Krasnice,519970606,"[49.99349388592199, 15.503168262903442]"
47, , ,Litošice,Krasnice,519951606,"[49.99298350149083, 15.502160140110638]"
41, , ,Litošice,Krasnice,519954606,"[49.993528916929044, 15.502437622299302]"
55, , ,Litošice,Krasnice,519955606,"[49.99368226092377, 15.502993924199277]"
63, , ,Litošice,Krasnice,519966606,"[49.993816820678646, 15.50280694299007]"
67, , ,Litošice,Krasnice,519959606,"[49.99410599753328, 15.50313977043718]"
77, , ,Litošice,Krasnice,519957606,"[49.99417514905509, 15.502567585549873]"
54, , ,Litošice,Krasnice,519979606,"[49.996059833328495, 15.503368722250878]"
35, , ,Litošice,Krasnice,519910606,"[49.99618551165399, 15.503039948114209]"
28, , ,Litošice,Krasnice,520020606,"[49.996828272769484, 15.507073785349135]"
46, , ,Litošice,Krasnice,519896606,"[49.9971647631297, 15.507351121422218]"
14, , ,Litošice,Litošice,519881606,"[49.98243053033945, 15.5138679031634]"
38, , ,Litošice,Krasnice,520002606,"[49.995672203544906, 15.503132087634967]"
5, , ,Litošice,Litošice,519911606,"[49.985825523389664, 15.514137600281783]"
12, , ,Litošice,Litošice,520028606,"[49.98335595571136, 15.513983308188113]"
6, , ,Litošice,Litošice,588354606,"[49.98400097276673, 15.512790632234251]"
5, , ,Litošice,Krasnice,519900606,"[49.997928084929306, 15.505523148852062]"
9, , ,Litošice,Krasnice,520016606,"[49.99804697076104, 15.507262755364984]"
2, , ,Litošice,Krasnice,519895606,"[49.996903083183184, 15.505023536808928]"
79, , ,Litošice,Krasnice,519942606,"[49.998756969334416, 15.50521795245871]"
36, , ,Litošice,Krasnice,519897606,"[49.99686316042472, 15.50830898576235]"
32, , ,Litošice,Litošice,519886606,"[49.98630680606067, 15.513289783713843]"
30, , ,Litošice,Krasnice,520005606,"[49.99489845092599, 15.503708818457191]"
