cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
71, , ,Lodín,Lodín,403122602,"[50.271600871703285, 15.611793190617654]"
155, , ,Lodín,Lodín,62334599010,"[50.27161445716645, 15.61446819879639]"
116, , ,Lodín,Lodín,62165859010,"[50.26966991611346, 15.613157255578441]"
100, , ,Lodín,Lodín,403145602,"[50.27074788326438, 15.607273896544923]"
139, , ,Lodín,Lodín,60715933010,"[50.268637786200294, 15.613757912151799]"
9, , ,Lodín,Janatov,0,"[50.27103549431908, 15.578420407604106]"
151, , ,Lodín,Lodín,29638272010,"[50.27000877236749, 15.61135590468551]"
36, , ,Lodín,Janatov,29733388010,"[50.27062758114329, 15.578879534878908]"
146, , ,Lodín,Lodín,26273473010,"[50.26884393283174, 15.61314505012179]"
34, , ,Lodín,Janatov,26414471010,"[50.270301089777256, 15.578757932538432]"
74, , ,Lodín,Lodín,403075602,"[50.2714916446879, 15.61295421806071]"
78, , ,Lodín,Lodín,403109602,"[50.25841961955713, 15.604651896804382]"
292, , ,Lodín,Lodín,0,"[50.26802175520227, 15.60828486657814]"
133, , ,Lodín,Lodín,16048704010,"[50.268469544590495, 15.614501773990241]"
39, , ,Lodín,Lodín,402992602,"[50.269895345462, 15.607689457538829]"
50, , ,Lodín,Lodín,812901602,"[50.26979384707708, 15.608711934698313]"
143, , ,Lodín,Lodín,779493602,"[50.26827976147028, 15.613110650126076]"
130, , ,Lodín,Lodín,772267602,"[50.26837334547344, 15.61512756600857]"
27, , ,Lodín,Janatov,15629641010,"[50.272403536404035, 15.576803550303016]"
40, , ,Lodín,Lodín,568941602,"[50.27007644168628, 15.613504975717003]"
105, , ,Lodín,Lodín,403139602,"[50.2686323067353, 15.609031032415212]"
109, , ,Lodín,Lodín,403133602,"[50.2686635013008, 15.609547917911005]"
106, , ,Lodín,Lodín,403138602,"[50.26855982506635, 15.609030642382601]"
102, , ,Lodín,Lodín,403136602,"[50.26928005432472, 15.609091931913335]"
101, , ,Lodín,Lodín,403137602,"[50.269352535974434, 15.609092322051222]"
119, , ,Lodín,Lodín,756829602,"[50.269364696121706, 15.614134372210257]"
154, , ,Lodín,Lodín,797887602,"[50.27126419596471, 15.614919044191861]"
1, , ,Lodín,Janatov,403067602,"[50.271322077634494, 15.58069753966635]"
2, , ,Lodín,Janatov,403069602,"[50.271454655852146, 15.580191866784805]"
5, , ,Lodín,Janatov,402989602,"[50.271943795636034, 15.57868570522651]"
7, , ,Lodín,Janatov,403089602,"[50.271301250704724, 15.57880792367542]"
10, , ,Lodín,Janatov,403106602,"[50.27081674033152, 15.578518541836516]"
11, , ,Lodín,Janatov,403048602,"[50.2706665573197, 15.578335143100382]"
13, , ,Lodín,Janatov,403107602,"[50.27034790162138, 15.578197922839957]"
15, , ,Lodín,Janatov,403112602,"[50.27097848854447, 15.577343154810185]"
16, , ,Lodín,Janatov,403042602,"[50.27118113033712, 15.577502441322311]"
17, , ,Lodín,Janatov,403040602,"[50.27136396701837, 15.577524184313926]"
23, , ,Lodín,Janatov,403068602,"[50.27228882121504, 15.577305847014735]"
26, , ,Lodín,Janatov,403036602,"[50.27002140950152, 15.578076325832871]"
28, , ,Lodín,Janatov,403041602,"[50.271554596642574, 15.579268460519826]"
29, , ,Lodín,Janatov,403018602,"[50.272207624674145, 15.577773501630713]"
30, , ,Lodín,Janatov,402998602,"[50.27176094208002, 15.579243345031301]"
31, , ,Lodín,Janatov,403029602,"[50.27169066769818, 15.578112075237325]"
33, , ,Lodín,Janatov,403016602,"[50.271546691085774, 15.581022236830732]"
3, , ,Lodín,Janatov,403037602,"[50.271570027529776, 15.579929694389293]"
6, , ,Lodín,Janatov,402997602,"[50.271484087122374, 15.578829671677589]"
4, , ,Lodín,Janatov,403026602,"[50.27193119370547, 15.57771303634633]"
35, , ,Lodín,Janatov,28893404010,"[50.27046498986672, 15.578769150722335]"
37, , ,Lodín,Janatov,29902457010,"[50.27016854922529, 15.578104860646212]"
38, , ,Lodín,Janatov,30009577010,"[50.270794744929795, 15.578932525906831]"
1, , ,Lodín,Lodín,403147602,"[50.27095362888798, 15.61069640380711]"
2, , ,Lodín,Lodín,403087602,"[50.27086344957043, 15.611631965119145]"
3, , ,Lodín,Lodín,403062602,"[50.27051845793137, 15.612319073226377]"
4, , ,Lodín,Lodín,403028602,"[50.27080914333403, 15.611981383284887]"
5, , ,Lodín,Lodín,403076602,"[50.27121700582084, 15.612101915266452]"
6, , ,Lodín,Lodín,403017602,"[50.27110373030586, 15.612391858062692]"
7, , ,Lodín,Lodín,403060602,"[50.271676572688754, 15.612537652680716]"
8, , ,Lodín,Lodín,403061602,"[50.272090795069516, 15.611809148401777]"
9, , ,Lodín,Lodín,403039602,"[50.272381805280745, 15.61182465081135]"
10, , ,Lodín,Lodín,600941602,"[50.26972852680963, 15.611013376667414]"
11, , ,Lodín,Lodín,403049602,"[50.26966119926217, 15.604102422417068]"
12, , ,Lodín,Lodín,403003602,"[50.270973434951834, 15.612812197112767]"
13, , ,Lodín,Lodín,403074602,"[50.2703015092896, 15.606043994808724]"
14, , ,Lodín,Lodín,403000602,"[50.27126757647032, 15.613915149757075]"
15, , ,Lodín,Lodín,402988602,"[50.27061097151481, 15.614322156574762]"
16, , ,Lodín,Lodín,403021602,"[50.27046460568798, 15.613954243420471]"
17, , ,Lodín,Lodín,403022602,"[50.27060676007506, 15.613220802003747]"
18, , ,Lodín,Lodín,403080602,"[50.27044736128457, 15.605126127502942]"
19, , ,Lodín,Lodín,403063602,"[50.27041060137972, 15.612678635005226]"
20, , ,Lodín,Lodín,403011602,"[50.27047585636294, 15.611422815518623]"
21, , ,Lodín,Lodín,403091602,"[50.26951173655164, 15.61171856828346]"
22, , ,Lodín,Lodín,403090602,"[50.26935177345985, 15.610943480948967]"
23, , ,Lodín,Lodín,403111602,"[50.270039729186514, 15.610473974056546]"
24, , ,Lodín,Lodín,402991602,"[50.27033608141372, 15.610092810678346]"
25, , ,Lodín,Lodín,403110602,"[50.27038170799497, 15.609631996434137]"
26, , ,Lodín,Lodín,403079602,"[50.27099970460048, 15.615011541651889]"
27, , ,Lodín,Lodín,403084602,"[50.270814178529584, 15.609719582751275]"
28, , ,Lodín,Lodín,403127602,"[50.27097932736863, 15.609165454205272]"
29, , ,Lodín,Lodín,403010602,"[50.27032403989776, 15.606449499719984]"
30, , ,Lodín,Lodín,402993602,"[50.27020037894751, 15.608931600447306]"
31, , ,Lodín,Lodín,403007602,"[50.270964222981206, 15.607924843348687]"
32, , ,Lodín,Lodín,403023602,"[50.27031547876074, 15.60831631283872]"
33, , ,Lodín,Lodín,403006602,"[50.27024049119606, 15.607934883913297]"
34, , ,Lodín,Lodín,403115602,"[50.27021771711459, 15.607642467716142]"
35, , ,Lodín,Lodín,403086602,"[50.27026141310342, 15.607040714286288]"
36, , ,Lodín,Lodín,403024602,"[50.27027336016937, 15.608705812788155]"
37, , ,Lodín,Lodín,403082602,"[50.27068798212193, 15.608796774348164]"
38, , ,Lodín,Lodín,403033602,"[50.271009183337064, 15.60826957947974]"
41, , ,Lodín,Lodín,403035602,"[50.271392919810275, 15.60668486019478]"
42, , ,Lodín,Lodín,403015602,"[50.26979625615045, 15.60455723129356]"
43, , ,Lodín,Lodín,403013602,"[50.27185935349004, 15.607557300518929]"
45, , ,Lodín,Lodín,403083602,"[50.271603219159296, 15.608920008478638]"
46, , ,Lodín,Lodín,656400602,"[50.27143940616812, 15.60937497848613]"
47, , ,Lodín,Lodín,403046602,"[50.271435984650246, 15.609912586096181]"
48, , ,Lodín,Lodín,403120602,"[50.27123162968638, 15.610544799873416]"
49, , ,Lodín,Lodín,403121602,"[50.271259739298266, 15.61044055901219]"
51, , ,Lodín,Lodín,403126602,"[50.27132991599449, 15.612970733357534]"
52, , ,Lodín,Lodín,403058602,"[50.27106059555642, 15.605673959436283]"
54, , ,Lodín,Lodín,402995602,"[50.271087932450016, 15.613468756108704]"
55, , ,Lodín,Lodín,402994602,"[50.27095246870606, 15.608704243325075]"
56, , ,Lodín,Lodín,403012602,"[50.27041332008064, 15.609456441778777]"
148, , ,Lodín,Lodín,713869602,"[50.27013317589873, 15.605510707350284]"
60, , ,Lodín,Lodín,813909602,"[50.26977983551411, 15.608997191563335]"
61, , ,Lodín,Lodín,403050602,"[50.27024464591927, 15.611593804627859]"
62, , ,Lodín,Lodín,403066602,"[50.270299800322405, 15.609859474852344]"
63, , ,Lodín,Lodín,402990602,"[50.27134978124861, 15.606014773606793]"
64, , ,Lodín,Lodín,403005602,"[50.2707054966757, 15.609952138049943]"
65, , ,Lodín,Lodín,403057602,"[50.271273242050924, 15.607357557163885]"
68, , ,Lodín,Lodín,402999602,"[50.270835516528194, 15.611156829209236]"
69, , ,Lodín,Lodín,403148602,"[50.27069326820536, 15.614914161996017]"
70, , ,Lodín,Lodín,403020602,"[50.27135145416856, 15.612316653515686]"
72, , ,Lodín,Lodín,403053602,"[50.26967722223442, 15.611517648174267]"
73, , ,Lodín,Lodín,403123602,"[50.271847407541244, 15.611940057239773]"
75, , ,Lodín,Lodín,403055602,"[50.26954327647393, 15.611076745548143]"
76, , ,Lodín,Lodín,403072602,"[50.2691711872196, 15.611415729855189]"
77, , ,Lodín,Lodín,403051602,"[50.27099607374345, 15.614150283958768]"
79, , ,Lodín,Lodín,403019602,"[50.27143106486425, 15.60961677823804]"
80, , ,Lodín,Lodín,403105602,"[50.27073748382115, 15.606060232953665]"
81, , ,Lodín,Lodín,403034602,"[50.272455949129906, 15.612079083489723]"
82, , ,Lodín,Lodín,403001602,"[50.270527999814206, 15.608021677637026]"
83, , ,Lodín,Lodín,403044602,"[50.27135816205012, 15.610308860149974]"
84, , ,Lodín,Lodín,403114602,"[50.27030863160788, 15.610903432169197]"
85, , ,Lodín,Lodín,403009602,"[50.26909086493365, 15.611430951893531]"
86, , ,Lodín,Lodín,403030602,"[50.27027009912485, 15.604594534247916]"
87, , ,Lodín,Lodín,403032602,"[50.27019702380723, 15.6043540490428]"
88, , ,Lodín,Lodín,403085602,"[50.26922939809848, 15.611814462567587]"
90, , ,Lodín,Lodín,403064602,"[50.27033463850325, 15.60670183449886]"
91, , ,Lodín,Lodín,403002602,"[50.26891562307745, 15.611506551309276]"
92, , ,Lodín,Lodín,403004602,"[50.268737960617486, 15.611667386865685]"
93, , ,Lodín,Lodín,403073602,"[50.27101001841775, 15.608396594818712]"
94, , ,Lodín,Lodín,403014602,"[50.26856271859053, 15.611742984875317]"
95, , ,Lodín,Lodín,403116602,"[50.271322630438036, 15.608224284508863]"
108, , ,Lodín,Lodín,403132602,"[50.26858993536257, 15.609533602955198]"
99, , ,Lodín,Lodín,452260602,"[50.269101458491875, 15.607147607482712]"
110, , ,Lodín,Lodín,403143602,"[50.26894558753745, 15.609565097099503]"
113, , ,Lodín,Lodín,403135602,"[50.26938264597477, 15.609595290939103]"
97, , ,Lodín,Lodín,685001602,"[50.26879674854865, 15.61230621111191]"
96, , ,Lodín,Lodín,604221602,"[50.268973074872434, 15.612244539105784]"
98, , ,Lodín,Lodín,723312602,"[50.268567957838705, 15.612391953731331]"
53, , ,Lodín,Lodín,403125602,"[50.27146884924276, 15.60917156987017]"
114, , ,Lodín,Lodín,791005602,"[50.26936532585709, 15.612862570698738]"
115, , ,Lodín,Lodín,778023602,"[50.2693410416321, 15.613248676884936]"
118, , ,Lodín,Lodín,798093602,"[50.26937680720512, 15.613708183824281]"
120, , ,Lodín,Lodín,14624006010,"[50.26946427039386, 15.61448288236702]"
123, , ,Lodín,Lodín,808880602,"[50.270109908989525, 15.614982284915005]"
127, , ,Lodín,Lodín,809511602,"[50.26921609469913, 15.615250514736756]"
128, , ,Lodín,Lodín,755603602,"[50.26880415652668, 15.614961178664787]"
129, , ,Lodín,Lodín,38204038010,"[50.2686289124136, 15.61503676478264]"
134, , ,Lodín,Lodín,760508602,"[50.26865020682038, 15.61449580751202]"
136, , ,Lodín,Lodín,758861602,"[50.269106197075544, 15.614536588745972]"
137, , ,Lodín,Lodín,29412323010,"[50.269074704663076, 15.613666513293275]"
140, , ,Lodín,Lodín,761880602,"[50.26847215798487, 15.613837191239151]"
141, , ,Lodín,Lodín,21080843010,"[50.26823794736099, 15.6138533053227]"
142, , ,Lodín,Lodín,15469610010,"[50.26822895649835, 15.61338873632049]"
103, , ,Lodín,Lodín,403141602,"[50.26898795904979, 15.609062522880425]"
104, , ,Lodín,Lodín,403140602,"[50.26891547739033, 15.609062132793984]"
107, , ,Lodín,Lodín,403131602,"[50.2683424635031, 15.609495733361705]"
111, , ,Lodín,Lodín,403134602,"[50.269018069192384, 15.609565487943133]"
112, , ,Lodín,Lodín,403142602,"[50.26931016432959, 15.609594900044035]"
89, , ,Lodín,Lodín,403077602,"[50.27109397484864, 15.612266533684664]"
149, , ,Lodín,Lodín,15189866010,"[50.26977724486898, 15.608149880295159]"
150, , ,Lodín,Lodín,25962316010,"[50.27044651650241, 15.609068633190411]"
152, , ,Lodín,Lodín,29936514010,"[50.2700541315989, 15.614498302303998]"
153, , ,Lodín,Lodín,38671070010,"[50.270122335478234, 15.612931078892583]"
138, , ,Lodín,Lodín,45286113010,"[50.268875938507094, 15.613788950197307]"
131, , ,Lodín,Lodín,763959602,"[50.268166420477776, 15.6149124344053]"
117, , ,Lodín,Lodín,60002787010,"[50.269742975456566, 15.613525767999741]"
144, , ,Lodín,Lodín,15200196010,"[50.26825354129227, 15.612620238179154]"
