cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
623, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60296857110389, 17.079444833347356]"
781, , ,78344,Loučany,Loučany,Loučany,686921,"[49.59791267641284, 17.081250500563314]"
613, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60203670575355, 17.079624747534076]"
617, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60245055843194, 17.079574100738512]"
646, , ,78344,Loučany,Loučany,Loučany,686921,"[49.601899585601636, 17.081777528693053]"
650, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60266636360827, 17.082411182905226]"
685, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60585513149499, 17.089029362256245]"
802, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60142437361577, 17.078129367123235]"
673, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60537135014082, 17.086772112593135]"
602, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60171964090372, 17.076998539995625]"
714, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60242270842022, 17.082899215325455]"
633, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60323069493516, 17.08005154945661]"
767, , ,78344,Loučany,Loučany,Loučany,686921,"[49.599807419902675, 17.082781681958778]"
647, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60202382102021, 17.08200783231363]"
612, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60195958706838, 17.079744603533527]"
766, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60047523592881, 17.083919752687276]"
745, , ,78344,Loučany,Loučany,Loučany,686921,"[49.601248058740076, 17.084345688776992]"
652, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60323027146471, 17.08269154433754]"
728, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60131505880931, 17.085908407058795]"
748, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60136299456071, 17.08356215741748]"
763, , ,78344,Loučany,Loučany,Loučany,686921,"[49.5999978336944, 17.081244330515737]"
656, , ,78344,Loučany,Loučany,Loučany,686921,"[49.604036242021124, 17.082916206552486]"
688, , ,78344,Loučany,Loučany,Loučany,686921,"[49.605280614316364, 17.08833377555497]"
684, , ,78344,Loučany,Loučany,Loučany,686921,"[49.605876785134356, 17.088849628160137]"
738, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60060170072082, 17.085647658949497]"
657, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60420252771275, 17.08296651730777]"
786, , ,78344,Loučany,Loučany,Loučany,686921,"[49.599532920146956, 17.080978118671037]"
864, , ,78344,Loučany,Loučany,Loučany,686921,"[49.603499854188705, 17.07946284452812]"
846, , ,78344,Loučany,Loučany,Loučany,686921,"[49.59901061143607, 17.080597140962624]"
629, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60341102881548, 17.07894412579216]"
634, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60149795547054, 17.080471905782566]"
747, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60135700211127, 17.083888362352695]"
860, , ,78344,Loučany,Loučany,Loučany,686921,"[49.602568125726556, 17.07917770034454]"
733, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60083609310664, 17.085507370662242]"
863, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60340418621283, 17.07951955253973]"
757, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60098351914519, 17.081080083218914]"
765, , ,78344,Loučany,Loučany,Loučany,686921,"[49.6004657686204, 17.082774964575343]"
804, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60140397378435, 17.077651820731965]"
704, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60385272464722, 17.08411409993651]"
703, , ,78344,Loučany,Loučany,Loučany,686921,"[49.6039183744238, 17.084316875788314]"
664, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60458528308257, 17.084189515097933]"
660, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60448399148895, 17.08342045658307]"
696, , ,78344,Loučany,Loučany,Loučany,686921,"[49.604628976483085, 17.086105195390704]"
689, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60456392041593, 17.087464503985217]"
672, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60499652865199, 17.086771950283495]"
681, , ,78344,Loučany,Loučany,Loučany,686921,"[49.605620930106234, 17.08844365447322]"
731, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60078326235183, 17.08574995674804]"
701, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60442110385687, 17.08452367910367]"
758, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60096423984452, 17.080996328227286]"
730, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60080770117374, 17.085914533586994]"
639, , ,78344,Loučany,Loučany,Loučany,686921,"[49.601300948853655, 17.081160808081986]"
775, , ,78344,Loučany,Loučany,Loučany,686921,"[49.599479561227845, 17.081764501907813]"
679, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60547642317242, 17.087974782963926]"
852, , ,78344,Loučany,Loučany,Loučany,686921,"[49.59815699615007, 17.080940666467082]"
845, , ,78344,Loučany,Loučany,Loučany,686921,"[49.59880115499388, 17.08050090281905]"
625, , ,78344,Loučany,Loučany,Loučany,686921,"[49.603179400380206, 17.079229903584487]"
666, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60467036535278, 17.084742215104313]"
707, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60373123809332, 17.083446954139617]"
772, , ,78344,Loučany,Loučany,Loučany,686921,"[49.599623271537254, 17.08234383854496]"
621, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60274310469582, 17.079729501654683]"
661, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60451225486904, 17.083633260331357]"
726, , ,78344,Loučany,Loučany,Loučany,686921,"[49.601345009105664, 17.08555078016443]"
753, , ,78344,Loučany,Loučany,Loučany,686921,"[49.601183167455616, 17.08185189875638]"
637, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60126390027045, 17.081037977729917]"
857, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60362041608506, 17.086341772123333]"
644, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60167517750277, 17.081080919765377]"
717, , ,78344,Loučany,Loučany,Loučany,686921,"[49.601669773001376, 17.082742601878575]"
606, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60172729205973, 17.078087745928123]"
828, , ,78344,Loučany,Loučany,Loučany,686921,"[49.603482160191994, 17.086741397958814]"
754, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60114838044384, 17.08167990332519]"
630, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60402717632143, 17.079713307371776]"
692, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60388699469478, 17.087737045227513]"
820, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60350825407078, 17.08821907985272]"
610, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60155793047712, 17.079773312737547]"
680, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60556094908264, 17.088255417298775]"
799, , ,78344,Loučany,Loučany,Loučany,686921,"[49.601330849814666, 17.078913596325833]"
713, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60273698004814, 17.08298142207035]"
628, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60334969283925, 17.07898697278082]"
808, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60169686921334, 17.083581361051113]"
790, , ,78344,Loučany,Loučany,Loučany,686921,"[49.59994757552911, 17.08071557353648]"
807, , ,78344,Loučany,Loučany,Loučany,686921,"[49.603493799862946, 17.082730798055845]"
712, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60310215599155, 17.083051626048295]"
694, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60372740894153, 17.08828032604627]"
844, , ,78344,Loučany,Loučany,Loučany,686921,"[49.59850859130033, 17.080522807650027]"
801, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60115104840538, 17.07820570591856]"
759, , ,78344,Loučany,Loučany,Loučany,686921,"[49.600910763494845, 17.080857437529414]"
708, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60370295068986, 17.083315791092577]"
687, , ,78344,Loučany,Loučany,Loučany,686921,"[49.605065192532216, 17.08853687494643]"
735, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60088968230587, 17.085079436407504]"
762, , ,78344,Loučany,Loučany,Loučany,686921,"[49.600116398418805, 17.08113342637758]"
683, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60574520514887, 17.088706249157827]"
859, , ,78344,Loučany,Loučany,Loučany,686921,"[49.604517217388675, 17.08500539332029]"
782, , ,78344,Loučany,Loučany,Loučany,686921,"[49.599160184611414, 17.08152319274934]"
749, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60142625155653, 17.083373418873347]"
627, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60331404960496, 17.079057502081834]"
676, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60515741984653, 17.087384693411423]"
827, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60071667259088, 17.079953902160586]"
736, , ,78344,Loučany,Loučany,Loučany,686921,"[49.600978326654335, 17.084716934363694]"
654, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60373347971323, 17.08279756754395]"
618, , ,78344,Loučany,Loučany,Loučany,686921,"[49.602726640250886, 17.07908458494933]"
862, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60217168860042, 17.08220189506668]"
742, , ,78344,Loučany,Loučany,Loučany,686921,"[49.600859154710484, 17.0841476411785]"
640, , ,78344,Loučany,Loučany,Loučany,686921,"[49.6013296544608, 17.081272290538237]"
752, , ,78344,Loučany,Loučany,Loučany,686921,"[49.601152161131544, 17.082097748993426]"
645, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60182999977526, 17.08154812372395]"
785, , ,78344,Loučany,Loučany,Loučany,686921,"[49.59949708419972, 17.081161863885285]"
755, , ,78344,Loučany,Loučany,Loučany,686921,"[49.601064237454686, 17.081427194400565]"
615, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60221287152919, 17.07972189239351]"
653, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60335467482837, 17.08273311448589]"
768, , ,78344,Loučany,Loučany,Loučany,686921,"[49.59973803965113, 17.082652375164834]"
697, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60454422999672, 17.085960754164386]"
734, , ,78344,Loučany,Loučany,Loučany,686921,"[49.6009120388479, 17.085245312792658]"
812, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60294699315792, 17.080169139827348]"
662, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60452863726044, 17.08385501714303]"
760, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60026753064078, 17.08096833294337]"
744, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60110159561713, 17.084275307698658]"
723, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60131052099057, 17.08472987278226]"
743, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60101416288878, 17.084250197527638]"
603, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60175199315305, 17.07732208002536]"
834, , ,78344,Loučany,Loučany,Loučany,686921,"[49.600228581925386, 17.082423432943553]"
822, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60570516576625, 17.08760812988661]"
756, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60102123940251, 17.081203503009075]"
771, , ,78344,Loučany,Loučany,Loučany,686921,"[49.59959591590165, 17.08254377611737]"
761, , ,78344,Loučany,Loučany,Loučany,686921,"[49.600181630667684, 17.081023782469067]"
626, , ,78344,Loučany,Loučany,Loučany,686921,"[49.603267571876486, 17.079113179515414]"
665, , ,78344,Loučany,Loučany,Loučany,686921,"[49.604624759216556, 17.084500834477716]"
797, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60120209926216, 17.07930214413046]"
794, , ,78344,Loučany,Loučany,Loučany,686921,"[49.600386963933225, 17.08049490074626]"
813, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60360765675878, 17.079853151406805]"
649, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60235563971236, 17.082333430643487]"
624, , ,78344,Loučany,Loučany,Loučany,686921,"[49.603097638022675, 17.079272751490223]"
811, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60305713082433, 17.08013714619303]"
740, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60072146986554, 17.084913864592306]"
821, , ,78344,Loučany,Loučany,Loučany,686921,"[49.603744228520135, 17.08688575947804]"
816, , ,78344,Loučany,Loučany,Loučany,686921,"[49.601675291471764, 17.083749807498886]"
671, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60486635199178, 17.086379142900405]"
741, , ,78344,Loučany,Loučany,Loučany,686921,"[49.60077867359068, 17.08463902634017]"
796, , ,78344,Loučany,Loučany,Loučany,686921,"[49.601049701234935, 17.079860573324655]"
