cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
69, , ,Loučim,Loučim,62374662010,"[49.368548418901725, 13.111790865446997]"
11, , ,Loučim,Loučim,38077035010,"[49.36829104898091, 13.112697474610274]"
13, , ,Loučim,Loučim,293236401,"[49.36806217142507, 13.113490422322421]"
28, , ,Loučim,Loučim,293230401,"[49.3663319284903, 13.112759755176265]"
59, , ,Loučim,Loučim,293258401,"[49.3664194881886, 13.114160062467167]"
60, , ,Loučim,Loučim,293259401,"[49.36643665856726, 13.114239572809833]"
57, , ,Loučim,Loučim,293256401,"[49.36637488168306, 13.113989552397147]"
52, , ,Loučim,Loučim,293221401,"[49.36815693385935, 13.115947993432776]"
39, , ,Loučim,Loučim,293242401,"[49.36742539924376, 13.11116188601977]"
18, , ,Loučim,Loučim,293217401,"[49.368921667271984, 13.115055396720033]"
4, , ,Loučim,Loučim,293214401,"[49.365317431164776, 13.114060102303434]"
58, , ,Loučim,Loučim,293257401,"[49.366393433157604, 13.11408266673941]"
6, , ,Loučim,Loučim,293222401,"[49.36550874931961, 13.11397277115692]"
27, , ,Loučim,Loučim,293210401,"[49.36656509184987, 13.112815718158043]"
55, , ,Loučim,Loučim,293239401,"[49.36811716647412, 13.111791397642984]"
51, , ,Loučim,Loučim,293234401,"[49.36570014787772, 13.115320477678445]"
3, , ,Loučim,Loučim,293237401,"[49.370209045392684, 13.115905509683282]"
56, , ,Loučim,Loučim,293223401,"[49.368441002588725, 13.116326259354832]"
31, , ,Loučim,Loučim,293215401,"[49.35619728806591, 13.113764670398494]"
38, , ,Loučim,Loučim,293216401,"[49.365345233365026, 13.114513258091673]"
17, , ,Loučim,Loučim,293243401,"[49.36831087029752, 13.111369081833665]"
66, , ,Loučim,Loučim,293262401,"[49.36682125033453, 13.111305713466116]"
65, , ,Loučim,Loučim,16542242010,"[49.36658248686477, 13.115138366415383]"
64, , ,Loučim,Loučim,21630603010,"[49.36725348960757, 13.11350177446444]"
41, , ,Loučim,Loučim,293252401,"[49.366692126387676, 13.113708535888707]"
6, , ,Loučim,Loučim,293232401,"[49.36655798010992, 13.11238716306637]"
53, , ,Loučim,Loučim,293263401,"[49.368157290306776, 13.110898747456956]"
23, , ,Loučim,Loučim,293261401,"[49.368101381715825, 13.112733845086689]"
9, , ,Loučim,Loučim,293209401,"[49.367715129546994, 13.110442364855444]"
15, , ,Loučim,Loučim,293274401,"[49.368240114703106, 13.113574303655877]"
8, , ,Loučim,Loučim,293228401,"[49.366975742739356, 13.113634064877886]"
11, , ,Loučim,Loučim,293250401,"[49.36768867350255, 13.113575839632668]"
21, , ,Loučim,Loučim,293220401,"[49.368058635584816, 13.112167598424074]"
47, , ,Loučim,Loučim,293213401,"[49.36621256627597, 13.109848338654585]"
8, , ,Loučim,Loučim,293233401,"[49.36835822839754, 13.114479725891991]"
7, , ,Loučim,Loučim,293224401,"[49.36654775014541, 13.113070637950237]"
37, , ,Loučim,Loučim,293246401,"[49.36851791433959, 13.112411757550818]"
63, , ,Loučim,Loučim,293254401,"[49.36878309377717, 13.110570290515355]"
12, , ,Loučim,Loučim,293205401,"[49.367890646043875, 13.113795145011437]"
40, , ,Loučim,Loučim,293207401,"[49.368389819752686, 13.113995824858472]"
22, , ,Loučim,Loučim,293270401,"[49.36862082915556, 13.113144961621698]"
61, , ,Loučim,Loučim,293253401,"[49.368920830507584, 13.110975988077618]"
50, , ,Loučim,Loučim,293211401,"[49.36836022179247, 13.114802366002325]"
29, , ,Loučim,Loučim,293266401,"[49.36860801836023, 13.115537734646832]"
5, , ,Loučim,Loučim,293268401,"[49.366648405480824, 13.112034731032846]"
4, , ,Loučim,Loučim,293251401,"[49.36781311149069, 13.111686967039331]"
26, , ,Loučim,Loučim,293241401,"[49.36760690397119, 13.110810332468636]"
30, , ,Loučim,Loučim,293267401,"[49.368619928502106, 13.115437227043337]"
7, , ,Loučim,Loučim,293225401,"[49.36870623957094, 13.114154872823581]"
1, , ,Loučim,Loučim,293249401,"[49.367073796852594, 13.110242408086206]"
24, , ,Loučim,Loučim,293231401,"[49.366205947490336, 13.11257197278142]"
2, , ,Loučim,Loučim,293203401,"[49.3671984178034, 13.111424919822227]"
62, , ,Loučim,Loučim,293255401,"[49.36864630843166, 13.10994547206102]"
14, , ,Loučim,Loučim,293238401,"[49.36649882654799, 13.114505105419926]"
3, , ,Loučim,Loučim,293208401,"[49.367141940388244, 13.111921703894126]"
19, , ,Loučim,Loučim,293271401,"[49.36777126185515, 13.112942701931061]"
10, , ,Loučim,Loučim,408746401,"[49.36787393448608, 13.114594152749678]"
68, , ,Loučim,Loučim,435732401,"[49.36902715911265, 13.11125428738248]"
10, , ,Loučim,Loučim,293264401,"[49.367400343215564, 13.113559057585006]"
9, , ,Loučim,Loučim,293227401,"[49.36718043353215, 13.113588828438347]"
20, , ,Loučim,Loučim,293277401,"[49.36761186346255, 13.112998478459255]"
32, , ,Loučim,Loučim,293212401,"[49.3668768748775, 13.112212050167983]"
33, , ,Loučim,Loučim,293245401,"[49.36691398064961, 13.11239827945848]"
43, , ,Loučim,Loučim,293273401,"[49.36700402113898, 13.11220964970245]"
54, , ,Loučim,Loučim,293206401,"[49.368193017197285, 13.11110453750305]"
67, , ,Loučim,Loučim,26638563010,"[49.368473397183, 13.11055011344453]"
16, , ,Loučim,Loučim,351861401,"[49.36654502071493, 13.114589969401248]"
5, , ,Loučim,Loučim,293229401,"[49.368728785381606, 13.114948033501067]"
25, , ,Loučim,Loučim,293244401,"[49.36785248906655, 13.11117501861856]"
