cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
17, , ,Louňová,Louňová,272812406,"[49.55861752196544, 13.609482095319905]"
26, , ,Louňová,Louňová,195960406,"[49.56328445764572, 13.60501313598678]"
67, , ,Louňová,Louňová,45724190010,"[49.558923964661794, 13.609841212976777]"
66, , ,Louňová,Louňová,289565406,"[49.558392017250014, 13.61007457585823]"
65, , ,Louňová,Louňová,14630468010,"[49.55974840348946, 13.607556594010335]"
25, , ,Louňová,Louňová,275995406,"[49.561703770740095, 13.609163958031013]"
5, , ,Louňová,Louňová,195982406,"[49.55842094435157, 13.609149856446157]"
60, , ,Louňová,Louňová,195951406,"[49.55881439538264, 13.607665985546108]"
13, , ,Louňová,Louňová,195919406,"[49.56383271659202, 13.605175813257958]"
4, , ,Louňová,Louňová,195961406,"[49.55867012908954, 13.609994109439086]"
34, , ,Louňová,Louňová,195942406,"[49.559697152625745, 13.607911108211447]"
36, , ,Louňová,Louňová,195936406,"[49.55952025532042, 13.607291801573032]"
44, , ,Louňová,Louňová,195940406,"[49.56381616301284, 13.605533748303838]"
48, , ,Louňová,Louňová,195989406,"[49.562407000976876, 13.607840464956872]"
16, , ,Louňová,Louňová,272392406,"[49.559130239421286, 13.606545279383642]"
50, , ,Louňová,Louňová,195946406,"[49.5621939723817, 13.61056041129825]"
31, , ,Louňová,Louňová,195952406,"[49.558652383393664, 13.607989074059814]"
52, , ,Louňová,Louňová,195954406,"[49.56279463197344, 13.607598121653309]"
28, , ,Louňová,Louňová,195959406,"[49.56100013149812, 13.607516833886173]"
37, , ,Louňová,Louňová,195955406,"[49.56115170639814, 13.610266575536972]"
26, , ,Louňová,Louňová,195988406,"[49.56245082400288, 13.610380403968696]"
39, , ,Louňová,Louňová,195930406,"[49.55923387513119, 13.60830837328922]"
51, , ,Louňová,Louňová,195964406,"[49.562375455028956, 13.611369335812395]"
21, , ,Louňová,Louňová,195926406,"[49.56341504389227, 13.609991206628715]"
22, , ,Louňová,Louňová,195924406,"[49.56277518008018, 13.610419056028626]"
42, , ,Louňová,Louňová,195965406,"[49.55892222298704, 13.608458423576698]"
41, , ,Louňová,Louňová,195957406,"[49.55963454142403, 13.608795760578806]"
11, , ,Louňová,Louňová,195997406,"[49.5635240560604, 13.605611440013837]"
25, , ,Louňová,Louňová,195949406,"[49.5628057003147, 13.609621626125366]"
3, , ,Louňová,Louňová,195973406,"[49.56421862349791, 13.605705032417063]"
17, , ,Louňová,Louňová,195925406,"[49.56278759905712, 13.609218237282658]"
43, , ,Louňová,Louňová,195929406,"[49.561396211065826, 13.608829954785861]"
12, , ,Louňová,Louňová,237148406,"[49.558962299899044, 13.606689598316331]"
2, , ,Louňová,Louňová,195941406,"[49.56392038804997, 13.605653589681356]"
14, , ,Louňová,Louňová,195984406,"[49.561561621210714, 13.609742318370648]"
55, , ,Louňová,Louňová,195958406,"[49.56374027521001, 13.604783124121964]"
20, , ,Louňová,Louňová,195928406,"[49.56306189856185, 13.609890796263352]"
35, , ,Louňová,Louňová,195948406,"[49.55925710597007, 13.607838968929318]"
15, , ,Louňová,Louňová,195935406,"[49.562879459231965, 13.608864343047404]"
8, , ,Louňová,Louňová,195920406,"[49.56324600844978, 13.606369190149053]"
53, , ,Louňová,Louňová,195934406,"[49.56326438177497, 13.610796537010316]"
30, , ,Louňová,Louňová,195938406,"[49.56031902751154, 13.607863147078668]"
11, , ,Louňová,Louňová,195983406,"[49.558420798900684, 13.608942511491946]"
7, , ,Louňová,Louňová,195921406,"[49.563334196677154, 13.606785629947336]"
61, , ,Louňová,Louňová,195998406,"[49.56033651425636, 13.609436908567165]"
5, , ,Louňová,Louňová,195987406,"[49.56380899210114, 13.606562896323942]"
40, , ,Louňová,Louňová,195953406,"[49.5629436040311, 13.610852237628626]"
10, , ,Louňová,Louňová,280439406,"[49.5631939223076, 13.605830734676777]"
18, , ,Louňová,Louňová,275012406,"[49.56225419352612, 13.609047372419573]"
18, , ,Louňová,Louňová,195922406,"[49.56294541591221, 13.609728749193904]"
63, , ,Louňová,Louňová,195963406,"[49.56254442615113, 13.612626239498903]"
57, , ,Louňová,Louňová,195931406,"[49.558904089663905, 13.606101024466318]"
6, , ,Louňová,Louňová,211460406,"[49.5618214476846, 13.610157113329283]"
4, , ,Louňová,Louňová,195985406,"[49.561837814801, 13.609679612361406]"
6, , ,Louňová,Louňová,195975406,"[49.56353599873175, 13.60692089892138]"
24, , ,Louňová,Louňová,195927406,"[49.56300791418651, 13.62027793309058]"
62, , ,Louňová,Louňová,195943406,"[49.56172444754625, 13.611428103829764]"
54, , ,Louňová,Louňová,195976406,"[49.56329429075359, 13.611003388915304]"
8, , ,Louňová,Louňová,195986406,"[49.561823002934425, 13.609896818720392]"
47, , ,Louňová,Louňová,195972406,"[49.561054532391026, 13.609298374749214]"
38, , ,Louňová,Louňová,195937406,"[49.56113073623751, 13.60795360609413]"
13, , ,Louňová,Louňová,195990406,"[49.561918712027406, 13.608920014166806]"
59, , ,Louňová,Louňová,195944406,"[49.56256371738753, 13.61194192947232]"
49, , ,Louňová,Louňová,195918406,"[49.56266396206311, 13.607646580706534]"
10, , ,Louňová,Louňová,278066406,"[49.5615511695684, 13.609368216357925]"
33, , ,Louňová,Louňová,195932406,"[49.560039404103414, 13.607731557825755]"
12, , ,Louňová,Louňová,195971406,"[49.562268227605806, 13.608552370830468]"
1, , ,Louňová,Louňová,195974406,"[49.561099213455975, 13.609657941748473]"
23, , ,Louňová,Louňová,195947406,"[49.56253165347686, 13.609601248255276]"
