cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
703,36,Moravičanská,78983,Loštice,Loštice,Loštice,686883,"[49.74855939089199, 16.934443704726274]"
244,38,Olomoucká,78983,Loštice,Loštice,Loštice,686883,"[49.74301462521837, 16.934378298057066]"
451,96,Olomoucká,78983,Loštice,Loštice,Loštice,686883,"[49.740727351031715, 16.94230759046711]"
55,11,nám. Míru,78983,Loštice,Loštice,Loštice,686883,"[49.7454881792801, 16.92806806231661]"
787,22,Malé náměstí,78983,Loštice,Loštice,Loštice,686883,"[49.74654586648576, 16.930412449167513]"
643,3,U Vody,78983,Loštice,Loštice,Loštice,686883,"[49.74300229688016, 16.935721210387534]"
801,118,Olomoucká,78983,Loštice,Loštice,Loštice,686883,"[49.74157064959803, 16.93673189468047]"
728,7,Zahradní,78983,Loštice,Loštice,Loštice,686883,"[49.742067092545106, 16.934906738899578]"
769,12,Palonínská,78983,Loštice,Loštice,Loštice,686883,"[49.74091523652193, 16.938571422822246]"
64,5,nám. Míru,78983,Loštice,Loštice,Loštice,686883,"[49.745145413286785, 16.9274825363452]"
547,22,Kašparova,78983,Loštice,Loštice,Loštice,686883,"[49.74511706407614, 16.92352332221886]"
130,12,Pod Luštěm,78983,Loštice,Loštice,Loštice,686883,"[49.743148579050136, 16.930794060418044]"
681,18,Bezručova,78983,Loštice,Loštice,Loštice,686883,"[49.746542178558386, 16.935333580167924]"
635,46,Moravičanská,78983,Loštice,Loštice,Loštice,686883,"[49.7463405053284, 16.932063431852328]"
579,23,Moravičanská,78983,Loštice,Loštice,Loštice,686883,"[49.74911501030272, 16.934808854367002]"
615,18,Žadlovická,78983,Loštice,Loštice,Loštice,686883,"[49.7450727387035, 16.925172066751532]"
507,5,Pivovarská,78983,Loštice,Loštice,Loštice,686883,"[49.74252429821373, 16.928493385278347]"
82, , ,78983,Loštice,Loštice,Loštice,686883,"[49.7406133825447, 16.905067822552784]"
148,25,Olomoucká,78983,Loštice,Loštice,Loštice,686883,"[49.74365800619756, 16.933253367845342]"
24,33,Trávník,78983,Loštice,Loštice,Loštice,686883,"[49.74480723346879, 16.935471093442576]"
731,2,Jižní,78983,Loštice,Loštice,Loštice,686883,"[49.74667803853762, 16.933126799427097]"
62,9,nám. Míru,78983,Loštice,Loštice,Loštice,686883,"[49.745401298540216, 16.927693054981745]"
64, , ,78983,Loštice,Žádlovice,Žádlovice,686891,"[49.74572448308376, 16.909408199900984]"
467,36,Vejmoly,78983,Loštice,Loštice,Loštice,686883,"[49.737762337947814, 16.94032998839078]"
743,26,Jižní,78983,Loštice,Loštice,Loštice,686883,"[49.745456638620595, 16.93456335075742]"
122,2,Olomoucká,78983,Loštice,Loštice,Loštice,686883,"[49.7444761409062, 16.92929150539005]"
79, , ,78983,Loštice,Loštice,Loštice,686883,"[49.74028913992594, 16.906961191810815]"
535,20,Kašparova,78983,Loštice,Loštice,Loštice,686883,"[49.74523320554682, 16.923837273250225]"
67, , ,78983,Loštice,Žádlovice,Žádlovice,686891,"[49.74549141568567, 16.904479259091808]"
630,9,Ztracená,78983,Loštice,Loštice,Loštice,686883,"[49.74513492741793, 16.925746884042038]"
88,3,Jevíčská,78983,Loštice,Loštice,Loštice,686883,"[49.7413185471354, 16.92652334927949]"
56, , ,78983,Loštice,Žádlovice,Žádlovice,686891,"[49.745392592448134, 16.908669119309526]"
22,8,Moravičanská,78983,Loštice,Loštice,Loštice,686883,"[49.745744685406905, 16.931198801384717]"
173,8,Palackého,78983,Loštice,Loštice,Loštice,686883,"[49.7459461791196, 16.927108145427464]"
644,27,Sokolská,78983,Loštice,Loštice,Loštice,686883,"[49.74805629206765, 16.930468777168553]"
26, , ,78983,Loštice,Loštice,Loštice,686883,"[49.73394616212983, 16.920379335304922]"
446,3,Bezručova,78983,Loštice,Loštice,Loštice,686883,"[49.74821185638461, 16.9344039209567]"
726,43,Sokolská,78983,Loštice,Loštice,Loštice,686883,"[49.74840042145437, 16.93261551402019]"
774,51,Sokolská,78983,Loštice,Loštice,Loštice,686883,"[49.74685028637818, 16.92679851280408]"
415,16,Jevíčská,78983,Loštice,Loštice,Loštice,686883,"[49.740691004151834, 16.92356061669008]"
17, ,Vlčice,78983,Loštice,Loštice,Loštice,686883,"[49.73633346588926, 16.90700727440766]"
18, , ,78983,Loštice,Loštice,Loštice,686883,"[49.735310858085924, 16.919737211376113]"
372,8,Vejmoly,78983,Loštice,Loštice,Loštice,686883,"[49.73912778712541, 16.93987558958003]"
554,24,Sokolská,78983,Loštice,Loštice,Loštice,686883,"[49.747617972174474, 16.930093960762125]"
66, , ,78983,Loštice,Žádlovice,Žádlovice,686891,"[49.74533616904526, 16.906331719742216]"
272,22,Palackého,78983,Loštice,Loštice,Loštice,686883,"[49.74740756483147, 16.92535278582044]"
609,4,Ztracená,78983,Loštice,Loštice,Loštice,686883,"[49.74576282715771, 16.92598063771889]"
205,22,Moravičanská,78983,Loštice,Loštice,Loštice,686883,"[49.74708365572507, 16.932383442479797]"
822,57,Olomoucká,78983,Loštice,Loštice,Loštice,686883,"[49.74215494804958, 16.937893793827058]"
755,43,K Pešti,78983,Loštice,Loštice,Loštice,686883,"[49.74791150639471, 16.920628329808626]"
50, ,Vlčice,78983,Loštice,Loštice,Loštice,686883,"[49.73414594030582, 16.914444492355695]"
13,3,Kašparova,78983,Loštice,Loštice,Loštice,686883,"[49.7456220723327, 16.92485091247531]"
811,119,Olomoucká,78983,Loštice,Loštice,Loštice,686883,"[49.74230294540243, 16.94213946122621]"
411,8,Vlčice,78983,Loštice,Loštice,Loštice,686883,"[49.73602599475479, 16.907491971770433]"
463,8,Bezručova,78983,Loštice,Loštice,Loštice,686883,"[49.74761975643943, 16.93462705859323]"
141,1,Pod Střelnicí,78983,Loštice,Loštice,Loštice,686883,"[49.742943549479214, 16.93164069799401]"
667,9,Bezručova,78983,Loštice,Loštice,Loštice,686883,"[49.747532399896265, 16.935176603829756]"
82,4,Jevíčská,78983,Loštice,Loštice,Loštice,686883,"[49.74171718307067, 16.926473421227417]"
412,1,Pod Lesem,78983,Loštice,Loštice,Loštice,686883,"[49.738416878076954, 16.927120925131188]"
732,4,Jižní,78983,Loštice,Loštice,Loštice,686883,"[49.74653568994349, 16.933299278403126]"
174,2,Žadlovická,78983,Loštice,Loštice,Loštice,686883,"[49.74479830887907, 16.926825871316986]"
70, , ,78983,Loštice,Loštice,Loštice,686883,"[49.74092271143537, 16.921478569030022]"
504,39,Vlčice,78983,Loštice,Loštice,Loštice,686883,"[49.73474332301939, 16.91345126432007]"
788,13,Havelkova,78983,Loštice,Loštice,Loštice,686883,"[49.73896001935449, 16.934876113895445]"
402,87,Olomoucká,78983,Loštice,Loštice,Loštice,686883,"[49.74106620045929, 16.94220332931433]"
546,37,Sokolská,78983,Loštice,Loštice,Loštice,686883,"[49.74826117659773, 16.93182043603967]"
634,2,Vejmoly,78983,Loštice,Loštice,Loštice,686883,"[49.73953548338302, 16.939692792961598]"
689,9,U Valchy,78983,Loštice,Loštice,Loštice,686883,"[49.742946007943054, 16.91769131161932]"
810,3,Ve Stráni,78983,Loštice,Loštice,Loštice,686883,"[49.74080308510488, 16.923171053662767]"
782,8,Na Výsluní,78983,Loštice,Loštice,Loštice,686883,"[49.739897838174535, 16.923957800818307]"
26, , ,78983,Loštice,Žádlovice,Žádlovice,686891,"[49.7460656741689, 16.908486372128454]"
384,28,Vejmoly,78983,Loštice,Loštice,Loštice,686883,"[49.73812187315198, 16.940497320721324]"
345,40,Moravičanská,78983,Loštice,Loštice,Loštice,686883,"[49.74901553515152, 16.93558161753231]"
825,14,U Valchy,78983,Loštice,Loštice,Loštice,686883,"[49.74220113278985, 16.92231921704683]"
437,30,Olomoucká,78983,Loštice,Loštice,Loštice,686883,"[49.74327621680788, 16.9335793921877]"
466,15,Vlčice,78983,Loštice,Loštice,Loštice,686883,"[49.73583953045941, 16.90912186223567]"
124,8,Olomoucká,78983,Loštice,Loštice,Loštice,686883,"[49.744295798687176, 16.929936552615374]"
741,22,Jižní,78983,Loštice,Loštice,Loštice,686883,"[49.74558337618477, 16.934431601626894]"
