cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
198, , ,Lužany,Lužany,62311950010,"[49.55084729506141, 13.317332601546758]"
52, , ,Lužany,Dlouhá Louka,110662434,"[49.54107318345231, 13.285009342189216]"
76, , ,Lužany,Lužany,277518604,"[50.4378873590311, 15.484043581624286]"
265, , ,Lužany,Lužany,277561604,"[50.44085781504375, 15.485813334651084]"
190, , ,Lužany,Lužany,62304975010,"[49.550252831667784, 13.317247715044127]"
266, , ,Lužany,Lužany,62387029010,"[50.44276109314645, 15.485656511618393]"
6, , ,Lužany,Zelené,77565434,"[49.534801501796636, 13.340111751965933]"
28, , ,Lužany,Zelené,77581434,"[49.53276486214895, 13.340884610909978]"
2, , ,Lužany,Zelené,77555434,"[49.53548555960075, 13.340911700200108]"
10, , ,Lužany,Zelené,77574434,"[49.53336713798745, 13.339795750623232]"
40, , ,Lužany,Zelené,16362988010,"[49.53155260985372, 13.340455824331213]"
33, , ,Lužany,Zelené,77592434,"[49.53212944525702, 13.339656195371065]"
9, , ,Lužany,Zelené,77563434,"[49.53330106634468, 13.340294312924732]"
16, , ,Lužany,Zelené,77578434,"[49.53276434276124, 13.339993315367842]"
14, , ,Lužany,Zelené,77596434,"[49.53249737694584, 13.34053610042038]"
7, , ,Lužany,Zelená Hora,77562434,"[49.54081879063228, 13.331162522979247]"
3, , ,Lužany,Zelená Hora,77593434,"[49.541206796285984, 13.331785828512023]"
37, , ,Lužany,Zelené,77611434,"[49.53484728968254, 13.33932333205597]"
3, , ,Lužany,Zelené,77564434,"[49.53493670643528, 13.341501065097386]"
12, , ,Lužany,Zelené,77575434,"[49.53310771285792, 13.339798206981143]"
11, , ,Lužany,Zelené,77604434,"[49.53240427762658, 13.339365198353644]"
26, , ,Lužany,Zelené,77584434,"[49.53223519916841, 13.339148773154953]"
5, , ,Lužany,Zelená Hora,77615434,"[49.541070118825985, 13.331727421732475]"
1, , ,Lužany,Zelená Hora,77641434,"[49.54161464571681, 13.332724707312021]"
9, , ,Lužany,Zelená Hora,77605434,"[49.54080734568685, 13.33157975687594]"
8, , ,Lužany,Zelené,77572434,"[49.533394063224776, 13.34071944602016]"
15, , ,Lužany,Zelené,77599434,"[49.53272924034354, 13.3395512819121]"
1, , ,Lužany,Zelená Hora,77602434,"[49.54145289615204, 13.332182558343746]"
4, , ,Lužany,Zelené,77569434,"[49.53523212870935, 13.340492101712849]"
27, , ,Lužany,Zelené,77583434,"[49.53292844926796, 13.340992491271482]"
19, , ,Lužany,Zelené,77597434,"[49.532962872204855, 13.338924619850731]"
5, , ,Lužany,Zelené,77585434,"[49.53512360441629, 13.340256174807665]"
17, , ,Lužany,Zelené,77614434,"[49.53288491096165, 13.33934910468797]"
2, , ,Lužany,Zelená Hora,77636434,"[49.54135687671105, 13.331956405158946]"
4, , ,Lužany,Zelená Hora,77600434,"[49.54072339141402, 13.3317208858328]"
20, , ,Lužany,Zelené,77635434,"[49.533477051981755, 13.339248632689474]"
13, , ,Lužany,Zelené,77617434,"[49.53215959110482, 13.34102418741801]"
36, , ,Lužany,Zelené,77610434,"[49.532050629333945, 13.340099596418037]"
7, , ,Lužany,Zelené,77567434,"[49.53400622262874, 13.34030169215966]"
264, , ,Lužany,Lužany,62327077010,"[50.43874290527666, 15.484543892053505]"
41, , ,Lužany,Zelené,62331861010,"[49.534623420999125, 13.338360890219661]"
34, , ,Lužany,Lužany,0,"[50.43992047494948, 15.486145555751765]"
255, , ,Lužany,Lužany,62164886010,"[50.42999518907756, 15.47046209564459]"
206, , ,Lužany,Lužany,61037500010,"[49.55000224173973, 13.319226644652202]"
261, , ,Lužany,Lužany,61224805010,"[50.429619529722295, 15.472246068155654]"
212, , ,Lužany,Lužany,61232727010,"[49.55070656026728, 13.319764735812203]"
88, , ,Lužany,Lužany,277428604,"[50.440404688449355, 15.487291513864916]"
236, , ,Lužany,Lužany,394949604,"[50.44050261078945, 15.48639086479772]"
93, , ,Lužany,Lužany,277589604,"[50.44072043231435, 15.48686868140015]"
223, , ,Lužany,Lužany,60797367010,"[49.54648319709858, 13.312852233728927]"
104, , ,Lužany,Lužany,72663434,"[49.54319358269602, 13.313023704114075]"
201, , ,Lužany,Lužany,60833374010,"[49.55078997579752, 13.318203309061621]"
167, , ,Lužany,Lužany,72884434,"[49.543229466655006, 13.30796499920278]"
52, , ,Lužany,Lužany,72822434,"[49.55116918758014, 13.313852461877811]"
147, , ,Lužany,Lužany,72832434,"[49.552013828971134, 13.312745881248546]"
6, , ,Lužany,Lužany,72743434,"[49.545379435927416, 13.316333513699517]"
112, , ,Lužany,Lužany,72756434,"[49.542868800036025, 13.311404129143442]"
164, , ,Lužany,Lužany,72880434,"[49.54300993065429, 13.308111739649767]"
66, , ,Lužany,Lužany,72711434,"[49.54322973124793, 13.313780096312112]"
139, , ,Lužany,Lužany,72671434,"[49.54256731904631, 13.31142835163911]"
132, , ,Lužany,Lužany,72764434,"[49.549149541357906, 13.315430344746568]"
10, , ,Lužany,Lužany,72677434,"[49.543726602501266, 13.314578911824091]"
154, , ,Lužany,Lužany,72834434,"[49.542300902958885, 13.311213289895859]"
90, , ,Lužany,Lužany,72722434,"[49.543947879710984, 13.314096315153416]"
76, , ,Lužany,Lužany,72782434,"[49.54366317978124, 13.314782779445835]"
103, , ,Lužany,Lužany,72668434,"[49.54294363703805, 13.311606155986569]"
170, , ,Lužany,Lužany,99004434,"[49.5512543941928, 13.3133918020362]"
