cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
741,13,Písečné,Lužice,Lužice,467218706,"[48.85145170583355, 17.068585757831784]"
741,13,Písečné,Lužice,Lužice,467218706,"[48.851437711100935, 17.068690790918062]"
741,13,Písečné,Lužice,Lužice,467218706,"[48.85138469447575, 17.068797606668074]"
741,13,Písečné,Lužice,Lužice,467218706,"[48.85133486240518, 17.068896670317976]"
741,13,Písečné,Lužice,Lužice,467218706,"[48.85129586939001, 17.068941870522767]"
7,295,Velkomoravská,Lužice,Lužice,466172706,"[48.83743482470032, 17.069890484753348]"
7,295,Velkomoravská,Lužice,Lužice,466172706,"[48.837412967645086, 17.070097626656562]"
584,4,Havířská,Lužice,Lužice,467320706,"[48.838464400206355, 17.066749953633828]"
584,6,Havířská,Lužice,Lužice,467320706,"[48.83859439659207, 17.066841340511147]"
586,16,Havířská,Lužice,Lužice,467319706,"[48.83864511114649, 17.066129750975318]"
586,18,Havířská,Lužice,Lužice,467319706,"[48.83850983568506, 17.066039181490552]"
587,10,Havířská,Lužice,Lužice,467318706,"[48.83890100170398, 17.0666798938661]"
587,8,Havířská,Lužice,Lužice,467318706,"[48.83884692166549, 17.066862168855565]"
587,12,Havířská,Lužice,Lužice,467318706,"[48.838955602408475, 17.06647850268976]"
585,22,Havířská,Lužice,Lužice,467321706,"[48.83825811483382, 17.066243777863274]"
585,24,Havířská,Lužice,Lužice,467321706,"[48.838203514535145, 17.06644516648513]"
584,2,Havířská,Lužice,Lužice,467320706,"[48.838333698265174, 17.06668031320504]"
585,20,Havířská,Lužice,Lužice,467321706,"[48.83831257271158, 17.066029538119874]"
586,14,Havířská,Lužice,Lužice,467319706,"[48.83877468168669, 17.066189294456667]"
2, , ,Lužice,Lužice,39982508,"[50.49460024398578, 13.756679029188586]"
532, , ,Lužice,Lužice,0,"[49.72961918416166, 17.267714753996586]"
983, , ,Lužice,Lužice,62170821010,"[49.71413310179447, 17.260893914448623]"
101, , ,Lužice,Lužice,0,"[48.83782135600344, 17.082040202762396]"
1117,14,Růžová,Lužice,Lužice,61959743010,"[48.8418329175667, 17.07416390420031]"
80, , ,Lužice,Lužice,39907508,"[50.49237663779749, 13.751956085345014]"
157,176,Velkomoravská,Lužice,Lužice,467259706,"[48.842102525983556, 17.07334878123601]"
702,16,Důlní,Lužice,Lužice,466752706,"[48.83206373565261, 17.069831528068445]"
425,288,Velkomoravská,Lužice,Lužice,466518706,"[48.83315438946507, 17.067731454683074]"
964,5,Ke Koupališti,Lužice,Lužice,708665706,"[48.841084357875076, 17.079503219808707]"
715,290,Velkomoravská,Lužice,Lužice,466776706,"[48.83307785739931, 17.067651397592986]"
136, , ,Lužice,Lužice,466706706,"[48.83834678034692, 17.08287777820799]"
145, , ,Lužice,Lužice,40001508,"[50.49381406980125, 13.754462984960613]"
1116,4,Lomená,Lužice,Lužice,61811770010,"[48.842203808346376, 17.07294214610822]"
117, , ,Lužice,Lužice,51333256010,"[48.83389665545369, 17.074684980765667]"
1115,28,Kratiny,Lužice,Lužice,61796768010,"[48.838806047961256, 17.072179706105807]"
982, , ,Lužice,Lužice,59935724010,"[49.71691751776931, 17.270374823737708]"
1111,30,Dobrovolského,Lužice,Lužice,60233214010,"[48.845678567012094, 17.075801597069017]"
249, , ,Lužice,Lužice,60626748010,"[48.83855622343006, 17.082358388662037]"
251, , ,Lužice,Lužice,25237643010,"[48.839330708297574, 17.087545208522023]"
1110,32,Kratiny,Lužice,Lužice,60021330010,"[48.838488943988395, 17.071952726840824]"
1112,8,U Staré šachty,Lužice,Lužice,466595706,"[48.83202769585688, 17.06506414578536]"
981, , ,Lužice,Lužice,59910745010,"[49.71787016030185, 17.270284037170015]"
250, , ,Lužice,Lužice,44673128010,"[48.82521753033667, 17.070238287230183]"
248, , ,Lužice,Lužice,25319946010,"[48.84176090160144, 17.086982833104816]"
149, , ,Lužice,Lužice,60683369010,"[49.716377936655604, 17.256772924868017]"
247, , ,Lužice,Lužice,32151959010,"[48.83577950771887, 17.077350523441698]"
394,26,U Lidového domu,Lužice,Lužice,466651706,"[48.840026703503945, 17.07468661315566]"
246, , ,Lužice,Lužice,467118706,"[48.83426567341566, 17.082875843182492]"
1101,8,Jarní,Lužice,Lužice,51569331010,"[48.84430809396785, 17.073589238799702]"
1099,3,Jarní,Lužice,Lužice,54892310010,"[48.84473166414109, 17.073838851100156]"
92, , ,Lužice,Lužice,39931508,"[50.49253150892199, 13.751508940209195]"
144, , ,Lužice,Lužice,40028508,"[50.49053277404076, 13.748837760282761]"
531, , ,Lužice,Lužice,22753217010,"[49.72965903898904, 17.26872996096632]"
242, , ,Lužice,Lužice,467173706,"[48.837901889818966, 17.082506933921266]"
1094,2a,Dobrovolského,Lužice,Lužice,45184180010,"[48.844642370661425, 17.071839338804367]"
188, , ,Lužice,Lužice,51462240010,"[50.49016969114342, 13.75277864113345]"
243, , ,Lužice,Lužice,30900151010,"[48.824228811404204, 17.06872016240659]"
241, , ,Lužice,Lužice,467052706,"[48.83819033699321, 17.08828237022809]"
185, , ,Lužice,Lužice,46403172010,"[50.49449399481192, 13.753350922640172]"
186, , ,Lužice,Lužice,47166181010,"[50.49468866125671, 13.747665094294662]"
1093,21,Lesní,Lužice,Lužice,38446107010,"[48.84475681049747, 17.077573944529664]"
1092,22,Kratiny,Lužice,Lužice,39104104010,"[48.83923747925464, 17.072523242189657]"
980, , ,Lužice,Lužice,42880100010,"[49.713955053101095, 17.261786407798198]"
137, , ,Lužice,Lužice,716516706,"[48.83874241296858, 17.081966511938347]"
235, , ,Lužice,Lužice,467107706,"[48.841746729181125, 17.084570884735864]"
238, , ,Lužice,Lužice,22913324010,"[48.83441243411886, 17.075376846596523]"
166, , ,Lužice,Lužice,466066706,"[48.82978404315306, 17.06530182898489]"
232, , ,Lužice,Lužice,467168706,"[48.83681092363601, 17.077841292175897]"
234, , ,Lužice,Lužice,717721706,"[48.84560775817516, 17.08674221847441]"
233, , ,Lužice,Lužice,467101706,"[48.840925752124626, 17.08499872352145]"
236, , ,Lužice,Lužice,466693706,"[48.83227250008585, 17.063192048132883]"
231, , ,Lužice,Lužice,716740706,"[48.83666576553234, 17.074741533201635]"
237, , ,Lužice,Lužice,466830706,"[48.83686460428785, 17.077833010528558]"
230, , ,Lužice,Lužice,467266706,"[48.83767142024573, 17.08055686266876]"
144, , ,Lužice,Lužice,467070706,"[48.83733476182558, 17.0873871638893]"
143, , ,Lužice,Lužice,467071706,"[48.83760302384541, 17.088016820098563]"
1085,1,Jarní,Lužice,Lužice,30052508010,"[48.84479668664575, 17.073595982015576]"
132, , ,Lužice,Lužice,30217462010,"[49.71846947135222, 17.26818790217266]"
1084,10,Dobrovolského,Lužice,Lužice,30087564010,"[48.845039390462816, 17.07303806345546]"
184, , ,Lužice,Lužice,39328119010,"[50.494110315291586, 13.748766844522306]"
141, , ,Lužice,Lužice,36766073010,"[49.716206409960904, 17.265176037140783]"
1088,31,Dobrovolského,Lužice,Lužice,34004944010,"[48.84597569975408, 17.074728792973573]"
1087,379,Velkomoravská,Lužice,Lužice,707322706,"[48.83058099270126, 17.066397296599224]"
1086,61,U Vrchnice,Lužice,Lužice,34015943010,"[48.839765559293404, 17.07997368840278]"
183, , ,Lužice,Lužice,37131099010,"[50.49019303320135, 13.746719674286409]"
25, , ,Lužice,Lužice,22214367010,"[49.03122783729905, 14.206895516341957]"
1080,23,Dobrovolského,Lužice,Lužice,21406088010,"[48.84580469797879, 17.073933418463948]"
228, , ,Lužice,Lužice,27198385010,"[48.824908119793136, 17.070217057433833]"
1079,1,Dobrovolského,Lužice,Lužice,25924887010,"[48.844990207765356, 17.071634968565935]"
36, , ,Lužice,Lužice,29679183010,"[48.84303969014372, 17.06830685870068]"
1004, , ,Lužice,Lužice,434867805,"[49.71677712440569, 17.25636498891143]"
1003, , ,Lužice,Lužice,434869805,"[49.71678874074551, 17.256405014107695]"
1001, , ,Lužice,Lužice,434868805,"[49.71679496870268, 17.256501608051938]"
