cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
173, ,Příčná,Majetín,Majetín,757430805,"[49.5025008065397, 17.330927862404046]"
173, ,Staromajetínská,Majetín,Majetín,757430805,"[49.5025384302471, 17.33091856684753]"
357, ,Kokorská,Majetín,Majetín,0,"[49.499940343835725, 17.337731752430095]"
415, ,Za humny,Majetín,Majetín,62180793010,"[49.500797857558894, 17.334327746597836]"
436, ,Náves,Majetín,Majetín,60504346010,"[49.50048045077539, 17.3323363638913]"
179, ,Na hrázi,Majetín,Majetín,435290805,"[49.50380904586236, 17.332971281199786]"
369, ,Kokorská,Majetín,Majetín,40994101010,"[49.50109449154321, 17.338126222235335]"
421, ,Polní,Majetín,Majetín,29817402010,"[49.498139048083395, 17.330360102933987]"
412, ,Mlýnská,Majetín,Majetín,31032812010,"[49.49577448644626, 17.33547560941244]"
424, ,Polní,Majetín,Majetín,34941960010,"[49.4976184001553, 17.330272350333562]"
382, ,Polní,Majetín,Majetín,29975433010,"[49.49860369321458, 17.3309834845549]"
418, ,Na chmelnici,Majetín,Majetín,27082497010,"[49.50067637741991, 17.33667720625382]"
378, ,Za humny,Majetín,Majetín,843636805,"[49.500465058497504, 17.33422584990051]"
426, ,Polní,Majetín,Majetín,26656529010,"[49.49720601719567, 17.330182103200247]"
411, ,Mlýnská,Majetín,Majetín,25561955010,"[49.49467143715411, 17.33532320881685]"
4, ,Na hrázi,Majetín,Majetín,26793526010,"[49.504838561109175, 17.33239943246066]"
410, ,Polní,Majetín,Majetín,25661040010,"[49.4989297810995, 17.330573495901298]"
380, ,Polní,Majetín,Majetín,22301773010,"[49.49916773322345, 17.330620757058416]"
43, ,Za humny,Majetín,Majetín,435004805,"[49.500133673712455, 17.334553387621263]"
384, ,Polní,Majetín,Majetín,938851805,"[49.49804372662721, 17.330846178853818]"
388, ,Polní,Majetín,Majetín,927034805,"[49.4973218026892, 17.330719488701217]"
193, ,Berčíkov,Majetín,Majetín,435143805,"[49.49557236962427, 17.33274567221302]"
386, ,Polní,Majetín,Majetín,22601827010,"[49.49768767960066, 17.33078902646459]"
389, ,Polní,Majetín,Majetín,23077307010,"[49.49716350728456, 17.3306463140863]"
409, ,Náves,Majetín,Majetín,21554387010,"[49.50170300286327, 17.33281790569077]"
390, ,Polní,Majetín,Majetín,14824232010,"[49.49698100935265, 17.330618415461466]"
377, ,Kokorská,Majetín,Majetín,16281968010,"[49.5005050467913, 17.337951663130553]"
381, ,Polní,Majetín,Majetín,918335805,"[49.49884076407176, 17.33101700788107]"
375, ,Na chmelnici,Majetín,Majetín,929081805,"[49.50140636233972, 17.336788900147745]"
399, ,Polní,Majetín,Majetín,15346953010,"[49.49847984153164, 17.330461176786727]"
372, ,Za humny,Majetín,Majetín,16180525010,"[49.499419310196906, 17.337505250572686]"
394, ,Polní,Majetín,Majetín,16175392010,"[49.496283287369465, 17.330446456495515]"
408, ,Mlýnská,Majetín,Majetín,914995805,"[49.49607928099651, 17.334028504345913]"
379, ,Lipová,Majetín,Majetín,15995165010,"[49.49951441961791, 17.331095511831965]"
396, ,Polní,Majetín,Majetín,891245805,"[49.49592812115838, 17.330403047735246]"
393, ,Polní,Majetín,Majetín,928099805,"[49.49644070175999, 17.33050589034277]"
398, ,Polní,Majetín,Majetín,936203805,"[49.49555065154565, 17.330293652546132]"
345, ,Na chmelnici,Majetín,Majetín,577620805,"[49.501020831128386, 17.33669453592427]"
374, ,Na chmelnici,Majetín,Majetín,14491220010,"[49.501162681558476, 17.336229162696572]"
400, ,Polní,Majetín,Majetín,14752120010,"[49.49683758555897, 17.330089651600268]"
385, ,Polní,Majetín,Majetín,905365805,"[49.49786769435989, 17.33080356781806]"
387, ,Polní,Majetín,Majetín,894177805,"[49.497511247447754, 17.330734546190563]"
397, ,Polní,Majetín,Majetín,891304805,"[49.49573205468449, 17.330334060616785]"
407, ,Za humny,Majetín,Majetín,913159805,"[49.498196107818835, 17.33573580103743]"
