cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
241, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.040007461146004, 17.306610406360257]"
48, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.020517750593996, 17.29832419279625]"
254, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.02078509732666, 17.302097037169208]"
251, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.02281304136805, 17.301608647567864]"
298, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.021579302478685, 17.312309199198474]"
284, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.036646251210236, 17.308163637885546]"
105, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.03138101253025, 17.312308408860225]"
261, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.01420582829944, 17.319957253825518]"
19, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.01494889769469, 17.32127357607411]"
43, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.015314648469236, 17.313380646913348]"
309, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.035889998140796, 17.307494111321365]"
16, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.013415110935455, 17.31789122782434]"
1, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.00552015486776, 17.31733289205829]"
75, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.02122090409595, 17.311929421226694]"
315, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.01970738231276, 17.28801128999684]"
65, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.006507953586414, 17.31610244180613]"
130, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.03715663825906, 17.30866047610778]"
129, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.03584059023763, 17.308848155602572]"
270, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.01126448983516, 17.316789124169663]"
38, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.01464683716204, 17.314954941572196]"
99, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.02838601412887, 17.313370155534606]"
197, , ,79336,Malá Morávka,Karlov pod Pradědem,Karlov pod Pradědem,690228,"[50.0174631241213, 17.30724723723406]"
56, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.01678573933445, 17.313926516581827]"
78, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.02241128106399, 17.313317546901022]"
114, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.02994141472838, 17.311547237817727]"
100, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.028600616542526, 17.31347752549779]"
80, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.021806920584396, 17.302963923541856]"
276, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.02415426112357, 17.312882370128094]"
55, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.01645053486097, 17.313627334255475]"
308, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.03453329259383, 17.30817893765452]"
44, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.01574838935137, 17.3135245360962]"
13, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.01226459408835, 17.315992479209665]"
171, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.03720271257416, 17.308106395515377]"
196, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.008575956042876, 17.316374723413915]"
221, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.029365023267424, 17.313991528864676]"
62, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.00623778205598, 17.316115749701986]"
281, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.03409868821237, 17.306885100879413]"
35, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.039014155996874, 17.307043231372795]"
54, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.06991973949305, 17.241132196570508]"
44, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.006398036217774, 17.315676460545774]"
212, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.014935145050686, 17.314658456963755]"
132, , ,79336,Malá Morávka,Karlov pod Pradědem,Karlov pod Pradědem,690228,"[50.026299271378186, 17.260681283521443]"
238, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.00397006634066, 17.31710749732931]"
54, , ,79336,Malá Morávka,Karlov pod Pradědem,Karlov pod Pradědem,690228,"[50.016817928007455, 17.281276325346177]"
63, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.017934855669616, 17.307988143629043]"
190, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.02378474527263, 17.311901316497735]"
293, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.03604421245664, 17.30838495373366]"
203, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.017730813888996, 17.309183111124565]"
143, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.03786655720393, 17.30689655883334]"
247, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.02579989712159, 17.27618427422781]"
200, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.019423307701864, 17.31136346272145]"
300, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.03125062716229, 17.313099718864358]"
304, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.04030379106543, 17.307434648980347]"
272, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.005069654150006, 17.316925246747747]"
102, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.03002291356656, 17.31354018208322]"
9, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.01005635637574, 17.31649863553337]"
62, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.01702159926277, 17.308969294020198]"
179, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.015212646761505, 17.315471177498896]"
268, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.07019709003507, 17.240596574897808]"
287, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.0205271712693, 17.298897629534533]"
208, , ,79336,Malá Morávka,Malá Morávka,Malá Morávka,690236,"[50.018332135990995, 17.313241098554627]"
