cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
18, , ,38273,Malšín,Ostrov,Ostrov,715760,"[48.6733995519932, 14.309726002217008]"
13, , ,38273,Malšín,Ostrov,Ostrov,715760,"[48.67309166021097, 14.28939189033953]"
43, , ,38273,Malšín,Malšín,Malšín,715760,"[48.67787244102795, 14.285663568830252]"
64, , ,38273,Malšín,Malšín,Malšín,715760,"[48.68110263571044, 14.285595212329758]"
16, , ,38273,Malšín,Ostrov,Ostrov,715760,"[48.67340446174797, 14.288846323836236]"
2, , ,38273,Malšín,Malšín,Malšín,715760,"[48.67703892754122, 14.287241379868151]"
29, , ,38273,Malšín,Ostrov,Ostrov,715760,"[48.673619109047195, 14.311992320944691]"
19, , ,38273,Malšín,Ostrov,Ostrov,715760,"[48.67346246787942, 14.307825443965328]"
3, , ,38273,Malšín,Malšín,Malšín,715760,"[48.67634304851508, 14.285866967004615]"
13, , ,38273,Malšín,Malšín,Malšín,715760,"[48.67980067308992, 14.286636948662657]"
60, , ,38273,Malšín,Malšín,Malšín,715760,"[48.677373165296366, 14.287188874774069]"
62, , ,38273,Malšín,Malšín,Malšín,715760,"[48.680382456260396, 14.286350005119676]"
51, , ,38273,Malšín,Ostrov,Ostrov,715760,"[48.674423699050706, 14.289660012658569]"
4, , ,38273,Malšín,Ostrov,Ostrov,715760,"[48.67493570627327, 14.289305566606743]"
59, , ,38273,Malšín,Ostrov,Ostrov,715760,"[48.67361213445924, 14.289584802489012]"
12, , ,38273,Malšín,Ostrov,Ostrov,715808,"[48.68848287233653, 14.313370907712802]"
14, , ,38273,Malšín,Malšín,Malšín,715760,"[48.67971227274898, 14.28636765133097]"
61, , ,38273,Malšín,Malšín,Malšín,715760,"[48.67711519404066, 14.28655771534587]"
55, , ,38273,Malšín,Ostrov,Ostrov,715760,"[48.67403973673748, 14.289631114178238]"
1, , ,38273,Malšín,Malšín,Malšín, ,"[48.68011909621396, 14.271516997787128]"
