cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
6, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36382848751774, 14.148176411816976]"
34, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.38457011198536, 14.139672296436318]"
32, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.37283165754027, 14.152149922347206]"
125, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37594093622212, 14.156617088579402]"
101, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.34272113042578, 14.146509538464137]"
100, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.337221970954424, 14.136714714581785]"
66, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36517716263879, 14.135982565751911]"
7, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.364118388917404, 14.148169142377931]"
99, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.339621680621995, 14.140554137724525]"
65, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36055190269999, 14.148190573654112]"
40, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.360966694667276, 14.146551774984435]"
113, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37534528032425, 14.150927334539448]"
5, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36362751206496, 14.148263398837988]"
98, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.34036015007953, 14.14500209573127]"
8, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37529120326793, 14.154148088847021]"
33, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37376569483826, 14.152639290419879]"
103, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.34114745495893, 14.146076753584172]"
67, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36016281910998, 14.14820555962532]"
110, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.3391781910989, 14.140269069253977]"
69, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36071242862732, 14.13370536536403]"
3, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.373970776485045, 14.149683419638635]"
14, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37490573828213, 14.153097372658193]"
1, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.37182390341972, 14.149036160629452]"
129, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37648859126027, 14.156950511390992]"
109, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.33860688855407, 14.144892802045598]"
29, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.37410149944942, 14.148618082325155]"
108, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.338697168647904, 14.144887047763993]"
106, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.33891459595884, 14.144881583211234]"
104, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.339889913153904, 14.140608366408259]"
4, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.363434276325876, 14.148235116338512]"
31, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.372334853509145, 14.153083108968511]"
128, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.38454682877378, 14.140117689045082]"
68, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.361631389674095, 14.148179197855997]"
127, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37663059242651, 14.156109839204818]"
9, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37548609660537, 14.153792682328595]"
41, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.37163395174956, 14.150852786582892]"
126, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.376706092871906, 14.1556388119189]"
102, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.34286472942518, 14.146591331591923]"
11, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.375410350004216, 14.15325567981265]"
94, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36279932291953, 14.144727354121835]"
8, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36421882881896, 14.14817534169913]"
13, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36312984939438, 14.147479076441739]"
94, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.33910383201978, 14.142356924207286]"
93, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.339041698195935, 14.142172023429142]"
38, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.371965131534694, 14.152809836991798]"
56, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.361944765250605, 14.146222103952972]"
12, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.3640599204272, 14.146819334110784]"
58, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36327026320496, 14.148228767486684]"
39, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.37215690886312, 14.15302303009955]"
92, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.34245280676559, 14.14655461494166]"
117, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37629923248368, 14.156864536756709]"
120, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37576180790621, 14.15523681095761]"
6, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.37245206948885, 14.15156648993521]"
95, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36270848589223, 14.145329413286873]"
118, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37622683227498, 14.155560068331837]"
96, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.362689143380095, 14.145617582020671]"
57, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36022164633674, 14.14785190983907]"
119, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.376075697680626, 14.155394666118202]"
97, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.3628250482778, 14.144409383637335]"
91, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.34015293226951, 14.142210254232474]"
32, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37367144360818, 14.152802086838525]"
34, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.3734950876204, 14.148539113526908]"
95, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.341011686496195, 14.145780411290843]"
116, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.375864354205106, 14.15566851197831]"
64, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.364711128763766, 14.146590266330076]"
63, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.361230887864544, 14.14816831838361]"
13, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37486469968802, 14.153447192042332]"
62, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36035426970187, 14.146105138661996]"
9, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36459977182029, 14.147367220696102]"
115, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37625996454649, 14.151704952711325]"
124, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.376411163287464, 14.155590354137813]"
61, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36026257312814, 14.147601571274866]"
10, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.364460516494205, 14.146730815731141]"
60, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36198615605564, 14.145474844298274]"
123, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.376124727640025, 14.155937577018769]"
35, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.374257290307064, 14.1492367671593]"
96, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.34258885603623, 14.14655294295775]"
121, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37654550971938, 14.154765566219124]"
10, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37538334309907, 14.153559808657533]"
36, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.37424974259947, 14.149153246640221]"
28, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.373475640928675, 14.148926751997656]"
31, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.375876989078684, 14.15450145577479]"
59, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.363420413697376, 14.146776107107781]"
11, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.364231577491445, 14.146809794070505]"
37, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.373910972210304, 14.148418818131328]"
3, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36289501858727, 14.148396838193834]"
130, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37563751514208, 14.15617294935773]"
140, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.33850583622367, 14.144177370235877]"
143, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37670842783156, 14.157072352725038]"
62, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.34151700171017, 14.143838486024341]"
11, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.37284323800512, 14.153283166695376]"
139, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.338430410069336, 14.143243465631924]"
79, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36211386074423, 14.144878841574597]"
80, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.36214210353512, 14.144588708607346]"
133, , ,41119,Martiněves,Pohořice,Pohořice,692026,"[50.37691189778759, 14.155806342699398]"
82, , ,41119,Martiněves,Charvatce,Charvatce,692018,"[50.364475350474564, 14.148501935811248]"
138, , ,41119,Martiněves,Radešín,Radešín,737542,"[50.33781674072887, 14.145492953888224]"
12, , ,41119,Martiněves,Martiněves,Martiněves,692026,"[50.37311020471892, 14.153323585311664]"
