cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
96, , ,Mazelov,Mazelov,0,"[49.10276587016674, 14.61928949816417]"
106, , ,Mazelov,Mazelov,61289863010,"[49.10357284540889, 14.620055551630955]"
3, , ,Mazelov,Mazelov,729186301,"[49.091949850112535, 14.617970616440298]"
59, , ,Mazelov,Mazelov,729139301,"[49.1045297518058, 14.615966265274405]"
90, , ,Mazelov,Mazelov,729175301,"[49.1040811155314, 14.615303225175424]"
89, , ,Mazelov,Mazelov,0,"[49.10393508595686, 14.617540763826335]"
98, , ,Mazelov,Mazelov,0,"[49.101655437629745, 14.61998399768228]"
97, , ,Mazelov,Mazelov,0,"[49.09716014330577, 14.634600283640042]"
46, , ,Mazelov,Mazelov,729120301,"[49.104302977902755, 14.615744768986756]"
83, , ,Mazelov,Mazelov,729170301,"[49.10031563901001, 14.615113628084735]"
26, , ,Mazelov,Mazelov,729140301,"[49.10290117422268, 14.617519520489251]"
28, , ,Mazelov,Mazelov,729113301,"[49.10353992617084, 14.616379182652807]"
68, , ,Mazelov,Mazelov,729133301,"[49.09956091650558, 14.620911403330282]"
51, , ,Mazelov,Mazelov,729192301,"[49.10459302714402, 14.616228826115911]"
70, , ,Mazelov,Mazelov,729190301,"[49.104649688342946, 14.614574293358055]"
24, , ,Mazelov,Mazelov,729125301,"[49.102409289154814, 14.616648832061363]"
71, , ,Mazelov,Mazelov,729065301,"[49.104688517192635, 14.614241409994483]"
20, , ,Mazelov,Mazelov,729072301,"[49.10115903386365, 14.616928399719972]"
2, , ,Mazelov,Mazelov,729185301,"[49.09228091893605, 14.617386574281447]"
86, , ,Mazelov,Mazelov,729164301,"[49.09992606359551, 14.621842098855316]"
16, , ,Mazelov,Mazelov,729077301,"[49.10097945588477, 14.619246339535152]"
40, , ,Mazelov,Mazelov,729061301,"[49.102239130630124, 14.618043586870394]"
44, , ,Mazelov,Mazelov,729179301,"[49.10033682554202, 14.62036360410229]"
31, , ,Mazelov,Mazelov,729092301,"[49.10302613369656, 14.61810050809777]"
39, , ,Mazelov,Mazelov,729137301,"[49.104393726623144, 14.61751175202327]"
56, , ,Mazelov,Mazelov,729062301,"[49.10087197146907, 14.616798621414539]"
41, , ,Mazelov,Mazelov,729194301,"[49.10465926068116, 14.616641552490224]"
33, , ,Mazelov,Mazelov,729176301,"[49.103008362228785, 14.617575160323542]"
93, , ,Mazelov,Mazelov,729201301,"[49.103911062715554, 14.616924376604471]"
37, , ,Mazelov,Mazelov,729101301,"[49.1044780408637, 14.619117263359362]"
65, , ,Mazelov,Mazelov,729189301,"[49.10040266948601, 14.616056959176792]"
77, , ,Mazelov,Mazelov,729100301,"[49.10466863818422, 14.614990933165064]"
82, , ,Mazelov,Mazelov,729111301,"[49.099469074637156, 14.620389700661937]"
3, , ,Mazelov,Mazelov,729112301,"[49.10387629693783, 14.618240499104148]"
50, , ,Mazelov,Mazelov,729086301,"[49.09986992166679, 14.620725507515594]"
14, , ,Mazelov,Mazelov,729075301,"[49.100405063564146, 14.620218174746281]"
91, , ,Mazelov,Mazelov,729094301,"[49.10450774141257, 14.618717026592611]"
15, , ,Mazelov,Mazelov,729142301,"[49.101041184890825, 14.619758904120157]"
54, , ,Mazelov,Mazelov,729082301,"[49.10465310063158, 14.615444373332199]"
75, , ,Mazelov,Mazelov,729108301,"[49.10065171505756, 14.617091093083495]"
11, , ,Mazelov,Mazelov,729172301,"[49.103082235352815, 14.619163148241574]"
4, , ,Mazelov,Mazelov,729083301,"[49.0921016372509, 14.61773081314366]"
79, , ,Mazelov,Mazelov,729070301,"[49.1003096038987, 14.619546033629899]"
7, , ,Mazelov,Mazelov,729097301,"[49.10356235194352, 14.61934794726824]"
63, , ,Mazelov,Mazelov,729073301,"[49.104081854933014, 14.61670036774414]"
87, , ,Mazelov,Mazelov,729165301,"[49.09997133558297, 14.62174367360273]"
95, , ,Mazelov,Mazelov,896301301,"[49.10140876402396, 14.616880540540606]"
42, , ,Mazelov,Mazelov,729066301,"[49.10456557796088, 14.616376809737254]"
58, , ,Mazelov,Mazelov,729121301,"[49.104257097248755, 14.61602575324415]"
32, , ,Mazelov,Mazelov,729107301,"[49.10131497410476, 14.620204004392107]"
43, , ,Mazelov,Mazelov,729105301,"[49.10403720649, 14.617696946468364]"
84, , ,Mazelov,Mazelov,729063301,"[49.09931742278134, 14.621162881329258]"
53, , ,Mazelov,Mazelov,729117301,"[49.10453584729875, 14.615763659864545]"
13, , ,Mazelov,Mazelov,729141301,"[49.10109825405521, 14.61681486204732]"
52, , ,Mazelov,Mazelov,729138301,"[49.10450914830894, 14.616091145205058]"
49, , ,Mazelov,Mazelov,729104301,"[49.10002338612226, 14.620625448234225]"
29, , ,Mazelov,Mazelov,729203301,"[49.103917035037725, 14.616183668514013]"
73, , ,Mazelov,Mazelov,729074301,"[49.10444192641117, 14.614637035058529]"
81, , ,Mazelov,Mazelov,729135301,"[49.10034437112081, 14.615614033776646]"
4, , ,Mazelov,Mazelov,729177301,"[49.104482668511544, 14.61892670788284]"
61, , ,Mazelov,Mazelov,729193301,"[49.099734630876995, 14.62084021169491]"
6, , ,Mazelov,Mazelov,729130301,"[49.09989702344872, 14.614934896537312]"
27, , ,Mazelov,Mazelov,729171301,"[49.10318842162013, 14.61731235646872]"
55, , ,Mazelov,Mazelov,729124301,"[49.104370769687755, 14.615037228854701]"
10, , ,Mazelov,Mazelov,729103301,"[49.10322880637285, 14.61933051366048]"
30, , ,Mazelov,Mazelov,729085301,"[49.10319746713334, 14.618379417282725]"
45, , ,Mazelov,Mazelov,729106301,"[49.10469437062951, 14.615159496699091]"
60, , ,Mazelov,Mazelov,729087301,"[49.100261089108145, 14.616627045634878]"
1, , ,Mazelov,Mazelov,729181301,"[49.09246683951377, 14.616905293063555]"
19, , ,Mazelov,Mazelov,729188301,"[49.101133224700796, 14.617824179188176]"
2, , ,Mazelov,Mazelov,729099301,"[49.104015536386264, 14.617855900945962]"
67, , ,Mazelov,Mazelov,729182301,"[49.100674050887534, 14.616585304076887]"
72, , ,Mazelov,Mazelov,729126301,"[49.104466786402114, 14.61443015789509]"
80, , ,Mazelov,Mazelov,729116301,"[49.0996966550006, 14.620277181292595]"
92, , ,Mazelov,Mazelov,729184301,"[49.10180988735056, 14.619330562357487]"
88, , ,Mazelov,Mazelov,729163301,"[49.100002020793994, 14.621652665741475]"
64, , ,Mazelov,Mazelov,729167301,"[49.10206803459952, 14.61894131697251]"
76, , ,Mazelov,Mazelov,729180301,"[49.100281819173645, 14.62070557618765]"
94, , ,Mazelov,Mazelov,729191301,"[49.10171152074573, 14.619597849863148]"
35, , ,Mazelov,Mazelov,729173301,"[49.10292845040563, 14.61909054507881]"
48, , ,Mazelov,Mazelov,729136301,"[49.10307447419788, 14.617913828250298]"
38, , ,Mazelov,Mazelov,729084301,"[49.10369497528691, 14.617214765366967]"
36, , ,Mazelov,Mazelov,729079301,"[49.10247855702444, 14.619025709447943]"
22, , ,Mazelov,Mazelov,729204301,"[49.10227423729194, 14.616911645007812]"
12, , ,Mazelov,Mazelov,729196301,"[49.102665546761294, 14.618914882409356]"
8, , ,Mazelov,Mazelov,729123301,"[49.10350501757521, 14.619717922128132]"
34, , ,Mazelov,Mazelov,729080301,"[49.099902796964614, 14.615281657285351]"
25, , ,Mazelov,Mazelov,729067301,"[49.102330366831445, 14.617429518437913]"
21, , ,Mazelov,Mazelov,729129301,"[49.10198440730176, 14.616974930419541]"
18, , ,Mazelov,Mazelov,729109301,"[49.10128923340422, 14.617961819795877]"
85, , ,Mazelov,Mazelov,729169301,"[49.09963827902158, 14.62147352843475]"
74, , ,Mazelov,Mazelov,729132301,"[49.100331187461556, 14.615782703252899]"
1, , ,Mazelov,Mazelov,729081301,"[49.104693906737346, 14.617103335207135]"
5, , ,Mazelov,Mazelov,729069301,"[49.104123714988255, 14.619360037025105]"
57, , ,Mazelov,Mazelov,729174301,"[49.10416857312123, 14.616374371503005]"
78, , ,Mazelov,Mazelov,0,"[49.09983288837516, 14.62026840614136]"
17, , ,Mazelov,Mazelov,729102301,"[49.101074879543056, 14.618365006558376]"
9, , ,Mazelov,Mazelov,729168301,"[49.10337276111167, 14.61906366323665]"
66, , ,Mazelov,Mazelov,729237301,"[49.10220107738454, 14.617850615505484]"
100, , ,Mazelov,Mazelov,15309994010,"[49.10580890434089, 14.615431124103788]"
62, , ,Mazelov,Mazelov,729198301,"[49.10063451787116, 14.616255839650474]"
103, , ,Mazelov,Mazelov,26614328010,"[49.10401156054027, 14.613087732328014]"
104, , ,Mazelov,Mazelov,29560204010,"[49.10535503985225, 14.618215136154648]"
105, , ,Mazelov,Mazelov,31142810010,"[49.101832079486215, 14.616036972444222]"
47, , ,Mazelov,Mazelov,729071301,"[49.10421261602217, 14.615561573536743]"
101, , ,Mazelov,Mazelov,25428815010,"[49.10254131397771, 14.61636107424013]"
102, , ,Mazelov,Mazelov,26378495010,"[49.1043243622561, 14.615593886179418]"
69, , ,Mazelov,Mazelov,729118301,"[49.10462963621534, 14.61479344992053]"
