cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
255, ,Zahradní,43156,Mašťov,Mašťov,Mašťov,692280,"[50.261092093575066, 13.282386215940948]"
127, ,Náměstí,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26269378862589, 13.280492293606335]"
19, ,Radonická,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26272130027355, 13.281416116965065]"
54, ,Revoluční,43156,Mašťov,Mašťov,Mašťov,692280,"[50.261968087671605, 13.283196515462619]"
284, ,Lesní,43156,Mašťov,Mašťov,Mašťov,692280,"[50.260037405196336, 13.281147586473647]"
1, ,Zámecká,43156,Mašťov,Mašťov,Mašťov,692280,"[50.264617485666186, 13.281095466479842]"
295, ,Lesní,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26034750542288, 13.281400669103244]"
258, ,Zahradní,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26106206697794, 13.282709376960476]"
189, ,Příčná,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26355630355353, 13.28601305737983]"
296, ,Sídliště,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26189780044709, 13.279753147042307]"
227, ,Sokolovo,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26049635002135, 13.286779627933774]"
83, ,Náměstí,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26228577787088, 13.279756331639053]"
119, ,Kostelní,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26243799826788, 13.278917822889438]"
120, ,Kostelní,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26244865045669, 13.27903645384714]"
42, ,Náměstí,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26249671418229, 13.281635521382254]"
252, ,Zahradní,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26109594662503, 13.281960480153511]"
217, ,Sokolovo,43156,Mašťov,Mašťov,Mašťov,692280,"[50.260923750441556, 13.286521035834125]"
96, ,Kostelní,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26205498702649, 13.277678139448508]"
1, , ,44101,Mašťov,Dobřenec,Dobřenec,692255,"[50.24534477735496, 13.249980145751923]"
131, ,Zámecká,43156,Mašťov,Mašťov,Mašťov,692280,"[50.263195559348944, 13.280940088872105]"
97, ,Kostelní,43156,Mašťov,Mašťov,Mašťov,692280,"[50.262025271845815, 13.27751454615918]"
228, ,Sídliště,43156,Mašťov,Mašťov,Mašťov,692280,"[50.261451712432674, 13.279188911070738]"
124, ,Náměstí,43156,Mašťov,Mašťov,Mašťov,692280,"[50.263050220376364, 13.279904793883723]"
220, ,Revoluční,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26188188439963, 13.28488560482005]"
225, ,Revoluční,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26162234679838, 13.286449225415234]"
269, ,Sadová,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26124044017747, 13.285770284174466]"
21, ,Radonická,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26283206772746, 13.281929977528591]"
183, ,Příčná,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26248786052902, 13.284772755043491]"
257, ,Zahradní,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26105876878189, 13.282602613552815]"
27, , ,44101,Mašťov,Dobřenec,Dobřenec,692255,"[50.24607862950523, 13.24951154487925]"
74, ,Revoluční,43156,Mašťov,Mašťov,Mašťov,692280,"[50.26221157987261, 13.28132821606682]"
