cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
166, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.19779045399218, 13.653801211631793]"
163, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.19845705815988, 13.653337609431807]"
75, , ,27004,Milostín,Milostín,Milostín,695122,"[50.192734294541545, 13.668219209724699]"
122, , ,27004,Milostín,Milostín,Milostín,695122,"[50.1931543275834, 13.669815562734241]"
7, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19457254666513, 13.671720193327632]"
138, , ,27004,Milostín,Milostín,Milostín,695122,"[50.194445267969975, 13.666317201739375]"
103, , ,27004,Milostín,Milostín,Milostín,695122,"[50.193975093886415, 13.666545879991606]"
26, , ,27004,Milostín,Milostín,Milostín,695122,"[50.196222552289406, 13.670928590509057]"
173, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.19768205241113, 13.654477553733713]"
143, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.19667280544082, 13.655023567527136]"
147, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.195790983606535, 13.653228873521327]"
139, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.19630285473566, 13.659284090566803]"
162, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.19631869083303, 13.653234559730695]"
116, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19489241075816, 13.665058288939258]"
186, , ,27004,Milostín,Milostín,Milostín,695122,"[50.193006127670614, 13.669742242274902]"
77, , ,27004,Milostín,Milostín,Milostín,695122,"[50.193630519735656, 13.667691501892955]"
55, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19573812983973, 13.672001235367103]"
22, , ,27004,Milostín,Milostín,Milostín,695122,"[50.20312306186089, 13.668317713637462]"
123, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19277857267555, 13.66734539595157]"
8, , ,27004,Milostín,Milostín,Milostín,695122,"[50.194958504714, 13.671718802548517]"
130, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19515618150158, 13.66506319836419]"
156, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.19813533789111, 13.653891560870635]"
83, , ,27004,Milostín,Milostín,Milostín,695122,"[50.194034359566324, 13.667510824818475]"
142, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.19638930811498, 13.657324382738189]"
117, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19295455900744, 13.665316544598133]"
60, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19330774905506, 13.667133152281023]"
188, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.19510975654962, 13.653711682542609]"
44, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19594855428635, 13.672536808220768]"
178, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.19549122475966, 13.651324570157492]"
127, , ,27004,Milostín,Milostín,Milostín,695122,"[50.194957865887716, 13.665691089248739]"
70, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19494141507428, 13.671179632359022]"
169, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.19730524153971, 13.655593717066166]"
175, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.202781620957246, 13.658979541107314]"
30, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19569946584823, 13.671564151801054]"
88, , ,27004,Milostín,Milostín,Milostín,695122,"[50.1935616400868, 13.666881826856848]"
132, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19315051215982, 13.664753781933666]"
74, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19338194793419, 13.667956746365443]"
20, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19442005014266, 13.67001203961456]"
145, , ,27004,Milostín,Povlčín,Povlčín,695122,"[50.19670599813677, 13.655514311670807]"
120, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19286000401332, 13.66896891806261]"
100, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19372184856864, 13.666080387146996]"
128, , ,27004,Milostín,Milostín,Milostín,695122,"[50.195052642810275, 13.665498499942197]"
113, , ,27004,Milostín,Milostín,Milostín,695122,"[50.19252540442122, 13.668508008882554]"
