cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
92, , ,Milotice nad Bečvou,Milotice nad Bečvou,62071864010,"[49.525729402268645, 17.848468225170325]"
125, , ,Milotice nad Bečvou,Milotice nad Bečvou,15068814010,"[49.53613414302875, 17.84038069328951]"
120, , ,Milotice nad Bečvou,Milotice nad Bečvou,26471363010,"[49.535341690496146, 17.838941228338108]"
88, , ,Milotice nad Bečvou,Milotice nad Bečvou,144568835,"[49.529787154957816, 17.84194336196055]"
87, , ,Milotice nad Bečvou,Milotice nad Bečvou,32849946010,"[49.527397420887134, 17.84623328325513]"
118, , ,Milotice nad Bečvou,Milotice nad Bečvou,37011093010,"[49.53460000048682, 17.84376277471582]"
5, , ,Milotice nad Bečvou,Milotice nad Bečvou,103940835,"[49.52904454497714, 17.84326868151587]"
115, , ,Milotice nad Bečvou,Milotice nad Bečvou,29265078010,"[49.53787052340147, 17.84122106262358]"
2, , ,Milotice nad Bečvou,Milotice nad Bečvou,0,"[49.529265044527634, 17.843029553824103]"
21, , ,Milotice nad Bečvou,Milotice nad Bečvou,0,"[49.52929847216761, 17.843135824190547]"
114, , ,Milotice nad Bečvou,Milotice nad Bečvou,26231471010,"[49.53532929499321, 17.83858225346132]"
113, , ,Milotice nad Bečvou,Milotice nad Bečvou,25793844010,"[49.535175823321275, 17.83933919347774]"
79, , ,Milotice nad Bečvou,Milotice nad Bečvou,118646835,"[49.52614935703179, 17.847865395172004]"
84, , ,Milotice nad Bečvou,Milotice nad Bečvou,23505866010,"[49.52724444731194, 17.846393526471804]"
112, , ,Milotice nad Bečvou,Milotice nad Bečvou,22334532010,"[49.53422565902849, 17.842331016238127]"
110, , ,Milotice nad Bečvou,Milotice nad Bečvou,21788311010,"[49.53569805638904, 17.838558038734526]"
111, , ,Milotice nad Bečvou,Milotice nad Bečvou,21936537010,"[49.534597032761816, 17.84098846583944]"
109, , ,Milotice nad Bečvou,Milotice nad Bečvou,188746835,"[49.535909906105076, 17.83893053432285]"
77, , ,Milotice nad Bečvou,Milotice nad Bečvou,15251714010,"[49.527835761898984, 17.845256063392828]"
83, , ,Milotice nad Bečvou,Milotice nad Bečvou,16477993010,"[49.52666938981946, 17.84750093066387]"
80, , ,Milotice nad Bečvou,Milotice nad Bečvou,16173460010,"[49.52693118565955, 17.84674278195036]"
82, , ,Milotice nad Bečvou,Milotice nad Bečvou,16173462010,"[49.52697192379374, 17.846820277765556]"
81, , ,Milotice nad Bečvou,Milotice nad Bečvou,16173461010,"[49.52695155473318, 17.84678152984199]"
67, , ,Milotice nad Bečvou,Milotice nad Bečvou,103764835,"[49.53434428719144, 17.837056211845454]"
108, , ,Milotice nad Bečvou,Milotice nad Bečvou,181482835,"[49.53561195656353, 17.838930894728158]"
58, , ,Milotice nad Bečvou,Milotice nad Bečvou,103746835,"[49.534370379151774, 17.835566525182294]"
25, , ,Milotice nad Bečvou,Milotice nad Bečvou,103720835,"[49.535245684523716, 17.841104648636314]"
90, , ,Milotice nad Bečvou,Milotice nad Bečvou,103734835,"[49.53728707937698, 17.828270772303725]"
15, , ,Milotice nad Bečvou,Milotice nad Bečvou,103750835,"[49.53630990051061, 17.839603676438198]"
4, , ,Milotice nad Bečvou,Milotice nad Bečvou,103799835,"[49.536835410385436, 17.8402240442815]"
13, , ,Milotice nad Bečvou,Milotice nad Bečvou,103889835,"[49.527954323337944, 17.844761078441127]"
41, , ,Milotice nad Bečvou,Milotice nad Bečvou,103774835,"[49.53492099303665, 17.841835746731846]"
8, , ,Milotice nad Bečvou,Milotice nad Bečvou,103887835,"[49.528767464051924, 17.84374299613054]"
7, , ,Milotice nad Bečvou,Milotice nad Bečvou,103728835,"[49.53770821196725, 17.838378415183797]"
56, , ,Milotice nad Bečvou,Milotice nad Bečvou,103829835,"[49.5362902161388, 17.83674753595011]"
11, , ,Milotice nad Bečvou,Milotice nad Bečvou,103726835,"[49.53657746462851, 17.837371070976996]"
8, , ,Milotice nad Bečvou,Milotice nad Bečvou,103717835,"[49.53742675853712, 17.83805456586815]"
24, , ,Milotice nad Bečvou,Milotice nad Bečvou,103763835,"[49.53535871608354, 17.840886446065905]"
27, , ,Milotice nad Bečvou,Milotice nad Bečvou,145948835,"[49.52643583066443, 17.847496895691254]"
30, , ,Milotice nad Bečvou,Milotice nad Bečvou,164250835,"[49.526099812552914, 17.847940057056576]"
7, , ,Milotice nad Bečvou,Milotice nad Bečvou,103885835,"[49.528852254967944, 17.843650739812393]"
59, , ,Milotice nad Bečvou,Milotice nad Bečvou,103830835,"[49.535150678290805, 17.83602729754854]"
71, , ,Milotice nad Bečvou,Milotice nad Bečvou,103716835,"[49.534816218999694, 17.83590920631902]"
42, , ,Milotice nad Bečvou,Milotice nad Bečvou,103775835,"[49.53505970993504, 17.842794309804887]"
22, , ,Milotice nad Bečvou,Milotice nad Bečvou,103807835,"[49.53587820444938, 17.840553962839547]"
68, , ,Milotice nad Bečvou,Milotice nad Bečvou,103722835,"[49.536013617780796, 17.835080557882282]"
33, , ,Milotice nad Bečvou,Milotice nad Bečvou,103732835,"[49.53637847857011, 17.841334112318876]"
9, , ,Milotice nad Bečvou,Milotice nad Bečvou,103751835,"[49.53704176876019, 17.838779647641896]"
1, , ,Milotice nad Bečvou,Milotice nad Bečvou,103738835,"[49.53684842477763, 17.840888593301557]"
95, , ,Milotice nad Bečvou,Milotice nad Bečvou,103712835,"[49.53636866102094, 17.8387439386899]"
23, , ,Milotice nad Bečvou,Milotice nad Bečvou,103899835,"[49.527150090064744, 17.846688812178655]"
103, , ,Milotice nad Bečvou,Milotice nad Bečvou,103827835,"[49.536764130419925, 17.839867805220525]"
63, , ,Milotice nad Bečvou,Milotice nad Bečvou,103808835,"[49.53596122904066, 17.84035344117488]"
46, , ,Milotice nad Bečvou,Milotice nad Bečvou,103776835,"[49.536553268869014, 17.837771978814363]"
82, , ,Milotice nad Bečvou,Milotice nad Bečvou,103942835,"[49.53671013562896, 17.833341575809463]"
74, , ,Milotice nad Bečvou,Milotice nad Bečvou,103729835,"[49.53530013104706, 17.834436808563602]"
75, , ,Milotice nad Bečvou,Milotice nad Bečvou,103785835,"[49.53683881055446, 17.834697828656953]"
31, , ,Milotice nad Bečvou,Milotice nad Bečvou,103756835,"[49.53606602075118, 17.841530183720447]"
23, , ,Milotice nad Bečvou,Milotice nad Bečvou,103759835,"[49.535826960879994, 17.84067272864184]"
39, , ,Milotice nad Bečvou,Milotice nad Bečvou,103736835,"[49.534949320990705, 17.842116862285373]"
72, , ,Milotice nad Bečvou,Milotice nad Bečvou,103758835,"[49.5351645961965, 17.835209411024728]"
3, , ,Milotice nad Bečvou,Milotice nad Bečvou,103790835,"[49.53686626895926, 17.84038105507305]"
27, , ,Milotice nad Bečvou,Milotice nad Bečvou,103768835,"[49.5350152446179, 17.841599381934763]"
80, , ,Milotice nad Bečvou,Milotice nad Bečvou,103783835,"[49.53402253074565, 17.84075002094748]"
69, , ,Milotice nad Bečvou,Milotice nad Bečvou,152908835,"[49.52963290733919, 17.842655782880875]"
17, , ,Milotice nad Bečvou,Milotice nad Bečvou,144468835,"[49.527793338415286, 17.845109446203963]"
6, , ,Milotice nad Bečvou,Milotice nad Bečvou,103805835,"[49.537118311179604, 17.839104483695756]"
93, , ,Milotice nad Bečvou,Milotice nad Bečvou,118161835,"[49.53470060417236, 17.84078574959354]"
40, , ,Milotice nad Bečvou,Milotice nad Bečvou,103773835,"[49.535879990030814, 17.8371631698246]"
81, , ,Milotice nad Bečvou,Milotice nad Bečvou,103809835,"[49.53531725839006, 17.8341112687978]"
45, , ,Milotice nad Bečvou,Milotice nad Bečvou,103725835,"[49.536249162476324, 17.834311876749602]"
30, , ,Milotice nad Bečvou,Milotice nad Bečvou,103796835,"[49.53594979898503, 17.835613165141577]"
32, , ,Milotice nad Bečvou,Milotice nad Bečvou,136708835,"[49.52556362980478, 17.84866978846239]"
21, , ,Milotice nad Bečvou,Milotice nad Bečvou,103766835,"[49.53629856753874, 17.840802889710975]"
86, , ,Milotice nad Bečvou,Milotice nad Bečvou,103749835,"[49.53391330540999, 17.840404002715054]"
34, , ,Milotice nad Bečvou,Milotice nad Bečvou,103772835,"[49.53650000068567, 17.84136264107426]"
99, , ,Milotice nad Bečvou,Milotice nad Bečvou,103825835,"[49.535918951909, 17.841267174915362]"
15, , ,Milotice nad Bečvou,Milotice nad Bečvou,155968835,"[49.527873796310686, 17.844921811939773]"
5, , ,Milotice nad Bečvou,Milotice nad Bečvou,103743835,"[49.53687511001959, 17.839572879407555]"
29, , ,Milotice nad Bečvou,Milotice nad Bečvou,103733835,"[49.53572833799018, 17.841683327689854]"
38, , ,Milotice nad Bečvou,Milotice nad Bečvou,103719835,"[49.53609452568673, 17.840730629224662]"
1, , ,Milotice nad Bečvou,Milotice nad Bečvou,103803835,"[49.53743294927084, 17.84049144021128]"
84, , ,Milotice nad Bečvou,Milotice nad Bečvou,103735835,"[49.537513250094115, 17.843923490046336]"
76, , ,Milotice nad Bečvou,Milotice nad Bečvou,103791835,"[49.53491975723041, 17.835166234438027]"
97, , ,Milotice nad Bečvou,Milotice nad Bečvou,103815835,"[49.53745475601023, 17.8401940905936]"
58, , ,Milotice nad Bečvou,Milotice nad Bečvou,111801835,"[49.52678420228196, 17.84710345249495]"
69, , ,Milotice nad Bečvou,Milotice nad Bečvou,103794835,"[49.536029236584795, 17.834791715647775]"
37, , ,Milotice nad Bečvou,Milotice nad Bečvou,103761835,"[49.537231001331236, 17.84139258963804]"
102, , ,Milotice nad Bečvou,Milotice nad Bečvou,160889835,"[49.533742740665154, 17.84225640688669]"
36, , ,Milotice nad Bečvou,Milotice nad Bečvou,139768835,"[49.525317226060366, 17.84920311103307]"
31, , ,Milotice nad Bečvou,Milotice nad Bečvou,164249835,"[49.526032750589714, 17.848111645752134]"
56, , ,Milotice nad Bečvou,Milotice nad Bečvou,149148835,"[49.52665828288199, 17.84727222957194]"
13, , ,Milotice nad Bečvou,Milotice nad Bečvou,103802835,"[49.53607842910446, 17.837973476611246]"
14, , ,Milotice nad Bečvou,Milotice nad Bečvou,103718835,"[49.536408503388444, 17.83906506195716]"
19, , ,Milotice nad Bečvou,Milotice nad Bečvou,103710835,"[49.53645921494114, 17.84040815386866]"
67, , ,Milotice nad Bečvou,Milotice nad Bečvou,155328835,"[49.52535068944043, 17.84834062573972]"
22, , ,Milotice nad Bečvou,Milotice nad Bečvou,103900835,"[49.52717595744639, 17.846734970663846]"
32, , ,Milotice nad Bečvou,Milotice nad Bečvou,103770835,"[49.53621060429348, 17.841639541564057]"
85, , ,Milotice nad Bečvou,Milotice nad Bečvou,103881835,"[49.53502332592438, 17.834413265260117]"
94, , ,Milotice nad Bečvou,Milotice nad Bečvou,103938835,"[49.53728072961936, 17.828608683134217]"
35, , ,Milotice nad Bečvou,Milotice nad Bečvou,103883835,"[49.53587260369652, 17.836299855101775]"
3, , ,Milotice nad Bečvou,Milotice nad Bečvou,133548835,"[49.52916319186675, 17.84324295947436]"
10, , ,Milotice nad Bečvou,Milotice nad Bečvou,103795835,"[49.5359902186156, 17.835314722622073]"
52, , ,Milotice nad Bečvou,Milotice nad Bečvou,103765835,"[49.53570855903861, 17.835541036687303]"
60, , ,Milotice nad Bečvou,Milotice nad Bečvou,103782835,"[49.53541308247838, 17.836691359835537]"
68, , ,Milotice nad Bečvou,Milotice nad Bečvou,140208835,"[49.525196104039665, 17.84871621958978]"
87, , ,Milotice nad Bečvou,Milotice nad Bečvou,103769835,"[49.53551965474149, 17.841259320931925]"
47, , ,Milotice nad Bečvou,Milotice nad Bečvou,103731835,"[49.535638800018546, 17.837122104802713]"
79, , ,Milotice nad Bečvou,Milotice nad Bečvou,103786835,"[49.53404122839093, 17.840943835964453]"
78, , ,Milotice nad Bečvou,Milotice nad Bečvou,103787835,"[49.53401120772762, 17.841162548817717]"
17, , ,Milotice nad Bečvou,Milotice nad Bečvou,103811835,"[49.53619716542791, 17.840196029841213]"
50, , ,Milotice nad Bečvou,Milotice nad Bečvou,103727835,"[49.535630319378974, 17.836710825518576]"
24, , ,Milotice nad Bečvou,Milotice nad Bečvou,103901835,"[49.527117195989455, 17.84663989726119]"
48, , ,Milotice nad Bečvou,Milotice nad Bečvou,103778835,"[49.53659038524967, 17.838121513062685]"
101, , ,Milotice nad Bečvou,Milotice nad Bečvou,140688835,"[49.5342490232742, 17.83789109527201]"
14, , ,Milotice nad Bečvou,Milotice nad Bečvou,103884835,"[49.52800977681352, 17.844917236587786]"
34, , ,Milotice nad Bečvou,Milotice nad Bečvou,140708835,"[49.525457724481015, 17.8487396158763]"
28, , ,Milotice nad Bečvou,Milotice nad Bečvou,103714835,"[49.53563789826116, 17.841308566775815]"
16, , ,Milotice nad Bečvou,Milotice nad Bečvou,133528835,"[49.527923428146416, 17.84509390958497]"
73, , ,Milotice nad Bečvou,Milotice nad Bečvou,103739835,"[49.5352184698701, 17.834744669777443]"
77, , ,Milotice nad Bečvou,Milotice nad Bečvou,103882835,"[49.53494118930512, 17.835012542885618]"
9, , ,Milotice nad Bečvou,Milotice nad Bečvou,103935835,"[49.52871084872879, 17.843802015604414]"
6, , ,Milotice nad Bečvou,Milotice nad Bečvou,133549835,"[49.528925330589864, 17.843522539397]"
65, , ,Milotice nad Bečvou,Milotice nad Bečvou,111782835,"[49.52589962276539, 17.84780662406359]"
55, , ,Milotice nad Bečvou,Milotice nad Bečvou,167958835,"[49.52657524858069, 17.84734855343918]"
104, , ,Milotice nad Bečvou,Milotice nad Bečvou,167225835,"[49.53804399733056, 17.837251090366326]"
106, , ,Milotice nad Bečvou,Milotice nad Bečvou,103801835,"[49.53608311948096, 17.83816400106667]"
107, , ,Milotice nad Bečvou,Milotice nad Bečvou,103895835,"[49.53643020760804, 17.837495326919992]"
70, , ,Milotice nad Bečvou,Milotice nad Bečvou,176665835,"[49.5261671607225, 17.84740070268937]"
72, , ,Milotice nad Bečvou,Milotice nad Bečvou,180352835,"[49.52654426246168, 17.847305889733132]"
73, , ,Milotice nad Bečvou,Milotice nad Bečvou,132490835,"[49.52836492064243, 17.844104571819372]"
71, , ,Milotice nad Bečvou,Milotice nad Bečvou,103837835,"[49.534362227296704, 17.845377836038633]"
75, , ,Milotice nad Bečvou,Milotice nad Bečvou,191128835,"[49.526873281293796, 17.846927096885842]"
76, , ,Milotice nad Bečvou,Milotice nad Bečvou,15270863010,"[49.52636502737561, 17.84756331386492]"
85, , ,Milotice nad Bečvou,Milotice nad Bečvou,111160835,"[49.52777233186216, 17.845403708022356]"
86, , ,Milotice nad Bečvou,Milotice nad Bečvou,32196227010,"[49.52661074364899, 17.847425954586285]"
96, , ,Milotice nad Bečvou,Milotice nad Bečvou,103866835,"[49.53789128156568, 17.842203233047147]"
2, , ,Milotice nad Bečvou,Milotice nad Bečvou,103757835,"[49.53708554038622, 17.840776662336264]"
12, , ,Milotice nad Bečvou,Milotice nad Bečvou,103937835,"[49.53603463181705, 17.837692038321993]"
18, , ,Milotice nad Bečvou,Milotice nad Bečvou,103894835,"[49.53645993482161, 17.83997684248811]"
20, , ,Milotice nad Bečvou,Milotice nad Bečvou,103747835,"[49.53653984760817, 17.837079740817153]"
26, , ,Milotice nad Bečvou,Milotice nad Bečvou,103806835,"[49.535089736912255, 17.841376898354127]"
36, , ,Milotice nad Bečvou,Milotice nad Bečvou,103792835,"[49.53703308724628, 17.841713632036544]"
49, , ,Milotice nad Bečvou,Milotice nad Bečvou,103813835,"[49.53766674058284, 17.842345854086123]"
53, , ,Milotice nad Bečvou,Milotice nad Bečvou,103939835,"[49.53493090824103, 17.836446327786163]"
54, , ,Milotice nad Bečvou,Milotice nad Bečvou,103781835,"[49.535219985103666, 17.83659981603485]"
55, , ,Milotice nad Bečvou,Milotice nad Bečvou,103713835,"[49.535092903504506, 17.836437367867937]"
57, , ,Milotice nad Bečvou,Milotice nad Bečvou,103779835,"[49.53479084677386, 17.836368953278775]"
61, , ,Milotice nad Bečvou,Milotice nad Bečvou,103753835,"[49.53509495824994, 17.835715636372377]"
62, , ,Milotice nad Bečvou,Milotice nad Bečvou,103936835,"[49.535226066043684, 17.83579427174208]"
65, , ,Milotice nad Bečvou,Milotice nad Bečvou,103784835,"[49.53456707559935, 17.83655310561728]"
66, , ,Milotice nad Bečvou,Milotice nad Bečvou,103780835,"[49.53438979835183, 17.83691106086173]"
70, , ,Milotice nad Bečvou,Milotice nad Bečvou,103715835,"[49.53618890206465, 17.83392426440583]"
88, , ,Milotice nad Bečvou,Milotice nad Bečvou,103793835,"[49.5368897461928, 17.841581204572236]"
89, , ,Milotice nad Bečvou,Milotice nad Bečvou,103789835,"[49.537507441533926, 17.827883232210866]"
91, , ,Milotice nad Bečvou,Milotice nad Bečvou,103723835,"[49.535917644853065, 17.83361565982954]"
10, , ,Milotice nad Bečvou,Milotice nad Bečvou,103890835,"[49.52869322981886, 17.8440394869068]"
92, , ,Milotice nad Bečvou,Milotice nad Bečvou,103902835,"[49.53588792982081, 17.835839710545386]"
35, , ,Milotice nad Bečvou,Milotice nad Bečvou,140508835,"[49.52547332871395, 17.848945346443298]"
98, , ,Milotice nad Bečvou,Milotice nad Bečvou,103880835,"[49.53573275926173, 17.848223281535354]"
100, , ,Milotice nad Bečvou,Milotice nad Bečvou,152809835,"[49.53448442866568, 17.837286186860123]"
44, , ,Milotice nad Bečvou,Milotice nad Bečvou,103896835,"[49.52525143482479, 17.849767201060974]"
18, , ,Milotice nad Bečvou,Milotice nad Bečvou,103897835,"[49.52749810203765, 17.84565037943038]"
74, , ,Milotice nad Bečvou,Milotice nad Bečvou,191490835,"[49.52629721062125, 17.847164903301653]"
105, , ,Milotice nad Bečvou,Milotice nad Bečvou,103905835,"[49.53553494551566, 17.84460230015956]"
117, , ,Milotice nad Bečvou,Milotice nad Bečvou,103817835,"[49.536276631500456, 17.83811578100854]"
