cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
68, , ,Miloňovice,Miloňovice,283330307,"[49.220476082971366, 13.952337166506894]"
87, , ,Miloňovice,Miloňovice,57645622010,"[49.22097692366155, 13.95389136767919]"
8, , ,Miloňovice,Sudkovice,295044307,"[49.21293201035774, 13.954896253364744]"
6, , ,Miloňovice,Sudkovice,295039307,"[49.21349487579259, 13.954217923964682]"
79, , ,Miloňovice,Miloňovice,0,"[49.22029890244005, 13.949976800536383]"
10, , ,Miloňovice,Sudkovice,295038307,"[49.21245520617543, 13.955632758659288]"
85, , ,Miloňovice,Miloňovice,42402115010,"[49.219044639017575, 13.95854580595561]"
64, , ,Miloňovice,Miloňovice,283321307,"[49.22017809302457, 13.957270568755487]"
9, , ,Miloňovice,Miloňovice,283362307,"[49.221306997092384, 13.956814538389182]"
78, , ,Miloňovice,Miloňovice,396680307,"[49.22061359858279, 13.950809102355379]"
77, , ,Miloňovice,Miloňovice,465805307,"[49.221089109807714, 13.952479815680185]"
31, , ,Miloňovice,Miloňovice,283340307,"[49.22198428934492, 13.959952723365705]"
62, , ,Miloňovice,Miloňovice,283354307,"[49.21969669820827, 13.960066797931118]"
29, , ,Miloňovice,Miloňovice,283318307,"[49.22226221659405, 13.96107055963343]"
21, , ,Miloňovice,Miloňovice,283273307,"[49.219995863657765, 13.958614244269947]"
39, , ,Miloňovice,Miloňovice,283364307,"[49.220879091565486, 13.957768410537966]"
80, , ,Miloňovice,Miloňovice,283294307,"[49.221504397945566, 13.959198244324043]"
56, , ,Miloňovice,Miloňovice,283264307,"[49.22053157436842, 13.955334504425345]"
49, , ,Miloňovice,Miloňovice,283305307,"[49.22163688753421, 13.961568474929594]"
36, , ,Miloňovice,Miloňovice,283308307,"[49.21999136231735, 13.952013766106397]"
32, , ,Miloňovice,Miloňovice,283278307,"[49.22100791830086, 13.958364209596807]"
15, , ,Miloňovice,Miloňovice,283282307,"[49.2193447461492, 13.95854923135056]"
54, , ,Miloňovice,Miloňovice,283351307,"[49.22011622723752, 13.956035982434107]"
