cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
61, , ,Mladějov na Moravě,Mladějov na Moravě,458193609,"[49.82499277356336, 16.596327095459806]"
40, , ,Mladějov na Moravě,Mladějov na Moravě,458363609,"[49.82176200485413, 16.591903629668067]"
81, , ,Mladějov na Moravě,Mladějov na Moravě,458165609,"[49.82562161269214, 16.60321708639064]"
57, , ,Mladějov na Moravě,Mladějov na Moravě,458279609,"[49.82493443409105, 16.5957743261292]"
188, , ,Mladějov na Moravě,Mladějov na Moravě,61327966010,"[49.81852870877715, 16.584559924890414]"
118, , ,Mladějov na Moravě,Mladějov na Moravě,458334609,"[49.82183013397459, 16.590417478119463]"
168, , ,Mladějov na Moravě,Mladějov na Moravě,655405609,"[49.82579939602096, 16.606694254053334]"
109, , ,Mladějov na Moravě,Mladějov na Moravě,458158609,"[49.82512632782492, 16.588450897183584]"
30, , ,Mladějov na Moravě,Mladějov na Moravě,458280609,"[49.82060303322516, 16.58946359023208]"
175, , ,Mladějov na Moravě,Mladějov na Moravě,587149609,"[49.82495366694697, 16.590229919194634]"
179, , ,Mladějov na Moravě,Mladějov na Moravě,14955879010,"[49.82399149967346, 16.594761647262175]"
183, , ,Mladějov na Moravě,Mladějov na Moravě,29420223010,"[49.819620738698305, 16.594379761838095]"
182, , ,Mladějov na Moravě,Mladějov na Moravě,30807101010,"[49.82657741473359, 16.601253746579705]"
186, , ,Mladějov na Moravě,Mladějov na Moravě,40830054010,"[49.81834033866892, 16.587982625601956]"
184, , ,Mladějov na Moravě,Mladějov na Moravě,52488343010,"[49.82046777983299, 16.594335845674383]"
174, , ,Mladějov na Moravě,Mladějov na Moravě,458203609,"[49.821400336524, 16.59216295335401]"
1, , ,Mladějov na Moravě,Mladějov na Moravě,458243609,"[49.81625237459952, 16.58039328491823]"
2, , ,Mladějov na Moravě,Mladějov na Moravě,458275609,"[49.81722618734846, 16.58112459519007]"
3, , ,Mladějov na Moravě,Mladějov na Moravě,458170609,"[49.81697009750664, 16.582243784872112]"
4, , ,Mladějov na Moravě,Mladějov na Moravě,458139609,"[49.817663450264625, 16.58207166510868]"
5, , ,Mladějov na Moravě,Mladějov na Moravě,458218609,"[49.817722358684144, 16.581880082177676]"
6, , ,Mladějov na Moravě,Mladějov na Moravě,458171609,"[49.81733034734067, 16.583511269517878]"
8, , ,Mladějov na Moravě,Mladějov na Moravě,458191609,"[49.81804954919444, 16.583320857205706]"
9, , ,Mladějov na Moravě,Mladějov na Moravě,458134609,"[49.81796511217183, 16.583922069999527]"
10, , ,Mladějov na Moravě,Mladějov na Moravě,458172609,"[49.81767755094944, 16.584850844273102]"
11, , ,Mladějov na Moravě,Mladějov na Moravě,504921609,"[49.81860288386447, 16.584891490739718]"
12, , ,Mladějov na Moravě,Mladějov na Moravě,458173609,"[49.81814935179458, 16.585903986329935]"
13, , ,Mladějov na Moravě,Mladějov na Moravě,458209609,"[49.81899982914182, 16.586166862713462]"
15, , ,Mladějov na Moravě,Mladějov na Moravě,458195609,"[49.81866799467006, 16.58685145586165]"
16, , ,Mladějov na Moravě,Mladějov na Moravě,458197609,"[49.8188255495124, 16.587034731188034]"
17, , ,Mladějov na Moravě,Mladějov na Moravě,458198609,"[49.818796884542486, 16.587528757314526]"
18, , ,Mladějov na Moravě,Mladějov na Moravě,458143609,"[49.81907407811814, 16.587999510088363]"
19, , ,Mladějov na Moravě,Mladějov na Moravě,458256609,"[49.81879212814629, 16.587976844601616]"
20, , ,Mladějov na Moravě,Mladějov na Moravě,458137609,"[49.818398153017085, 16.588420229062848]"
21, , ,Mladějov na Moravě,Mladějov na Moravě,458224609,"[49.81835733296643, 16.58848297634402]"
22, , ,Mladějov na Moravě,Mladějov na Moravě,458238609,"[49.81934686840754, 16.58814951184757]"
23, , ,Mladějov na Moravě,Mladějov na Moravě,458249609,"[49.81963687282165, 16.588674039678395]"
24, , ,Mladějov na Moravě,Mladějov na Moravě,458204609,"[49.820100285428936, 16.588834056517094]"
25, , ,Mladějov na Moravě,Mladějov na Moravě,458155609,"[49.82002520307771, 16.589182106820083]"
26, , ,Mladějov na Moravě,Mladějov na Moravě,458138609,"[49.81996702904196, 16.589513346249014]"
27, , ,Mladějov na Moravě,Mladějov na Moravě,458174609,"[49.82039490707943, 16.5895535183012]"
28, , ,Mladějov na Moravě,Mladějov na Moravě,458175609,"[49.82039423950664, 16.589931042797907]"
29, , ,Mladějov na Moravě,Mladějov na Moravě,458131609,"[49.820482803665044, 16.589259233261703]"
31, , ,Mladějov na Moravě,Mladějov na Moravě,458354609,"[49.821530828503136, 16.590663296205516]"
32, , ,Mladějov na Moravě,Mladějov na Moravě,458347609,"[49.82195609793145, 16.591053383152012]"
33, , ,Mladějov na Moravě,Mladějov na Moravě,458133609,"[49.821488887637564, 16.59135526715023]"
35, , ,Mladějov na Moravě,Mladějov na Moravě,458263609,"[49.82068868172891, 16.592970940525607]"
36, , ,Mladějov na Moravě,Mladějov na Moravě,458227609,"[49.82027367926567, 16.59350168707591]"
37, , ,Mladějov na Moravě,Mladějov na Moravě,458246609,"[49.819985983280475, 16.593913270787848]"
38, , ,Mladějov na Moravě,Mladějov na Moravě,458215609,"[49.82097934338107, 16.593117982401086]"
39, , ,Mladějov na Moravě,Mladějov na Moravě,458367609,"[49.82153349489257, 16.5925080165033]"
41, , ,Mladějov na Moravě,Mladějov na Moravě,458189609,"[49.821871239294644, 16.59242351865028]"
42, , ,Mladějov na Moravě,Mladějov na Moravě,458205609,"[49.822146567619434, 16.59170644845122]"
43, , ,Mladějov na Moravě,Mladějov na Moravě,458126609,"[49.82265563864839, 16.59187283619233]"
44, , ,Mladějov na Moravě,Mladějov na Moravě,458150609,"[49.82237965367808, 16.591289996982898]"
45, , ,Mladějov na Moravě,Mladějov na Moravě,458125609,"[49.82353082255847, 16.592746782089474]"
46, , ,Mladějov na Moravě,Mladějov na Moravě,458335609,"[49.82384426562234, 16.59347714242726]"
47, , ,Mladějov na Moravě,Mladějov na Moravě,458200609,"[49.82385836804285, 16.592258593584138]"
48, , ,Mladějov na Moravě,Mladějov na Moravě,458142609,"[49.82383400485045, 16.59255623514821]"
49, , ,Mladějov na Moravě,Mladějov na Moravě,458135609,"[49.82419356445624, 16.59304123167764]"
50, , ,Mladějov na Moravě,Mladějov na Moravě,458144609,"[49.8242714001823, 16.593377683841737]"
51, , ,Mladějov na Moravě,Mladějov na Moravě,458277609,"[49.82436597707927, 16.594340402924523]"
54, , ,Mladějov na Moravě,Mladějov na Moravě,458123609,"[49.82418850486978, 16.59529273667758]"
55, , ,Mladějov na Moravě,Mladějov na Moravě,458235609,"[49.82401609301911, 16.596188298795155]"
56, , ,Mladějov na Moravě,Mladějov na Moravě,684564609,"[49.8246451328674, 16.595356109700493]"
58, , ,Mladějov na Moravě,Mladějov na Moravě,458276609,"[49.82466647549848, 16.596177319281754]"
59, , ,Mladějov na Moravě,Mladějov na Moravě,458216609,"[49.8246674918127, 16.596708363844748]"
60, , ,Mladějov na Moravě,Mladějov na Moravě,458245609,"[49.825152823086206, 16.596277666253368]"
62, , ,Mladějov na Moravě,Mladějov na Moravě,458226609,"[49.82506638411213, 16.596851308645125]"
66, , ,Mladějov na Moravě,Mladějov na Moravě,458160609,"[49.82539942505628, 16.5982494514209]"
68, , ,Mladějov na Moravě,Mladějov na Moravě,458219609,"[49.82575292394111, 16.598777454012037]"
69, , ,Mladějov na Moravě,Mladějov na Moravě,458151609,"[49.82564689272744, 16.599200599159524]"
70, , ,Mladějov na Moravě,Mladějov na Moravě,458183609,"[49.82540677429727, 16.59964617113138]"
72, , ,Mladějov na Moravě,Mladějov na Moravě,458264609,"[49.825615338458505, 16.60068770791031]"
73, , ,Mladějov na Moravě,Mladějov na Moravě,458187609,"[49.82561996768259, 16.60139988869377]"
74, , ,Mladějov na Moravě,Mladějov na Moravě,458162609,"[49.82509279778921, 16.601362234890157]"
75, , ,Mladějov na Moravě,Mladějov na Moravě,458163609,"[49.82515445341697, 16.60237241724978]"
77, , ,Mladějov na Moravě,Mladějov na Moravě,458261609,"[49.82602972727815, 16.601569015454444]"
78, , ,Mladějov na Moravě,Mladějov na Moravě,458281609,"[49.826062111514005, 16.601773294095512]"
80, , ,Mladějov na Moravě,Mladějov na Moravě,458168609,"[49.82618343627054, 16.602731580313108]"
82, , ,Mladějov na Moravě,Mladějov na Moravě,458154609,"[49.82654539541264, 16.604027090445953]"
85, , ,Mladějov na Moravě,Mladějov na Moravě,458166609,"[49.82788316525703, 16.60595636294119]"
86, , ,Mladějov na Moravě,Mladějov na Moravě,458136609,"[49.827788933452034, 16.605384952126283]"
87, , ,Mladějov na Moravě,Mladějov na Moravě,458164609,"[49.82689137236945, 16.604318743534336]"
88, , ,Mladějov na Moravě,Mladějov na Moravě,458222609,"[49.82803092436977, 16.602380710676645]"
89, , ,Mladějov na Moravě,Mladějov na Moravě,458167609,"[49.82741671928337, 16.60109939770523]"
91, , ,Mladějov na Moravě,Mladějov na Moravě,458176609,"[49.82610478703247, 16.600186457031835]"
93, , ,Mladějov na Moravě,Mladějov na Moravě,458353609,"[49.826442157024694, 16.59815887790041]"
94, , ,Mladějov na Moravě,Mladějov na Moravě,458169609,"[49.825548630172264, 16.59702224721507]"
95, , ,Mladějov na Moravě,Mladějov na Moravě,458192609,"[49.8254550923147, 16.59659055285221]"
96, , ,Mladějov na Moravě,Mladějov na Moravě,458130609,"[49.82507420455387, 16.595284300941977]"
97, , ,Mladějov na Moravě,Mladějov na Moravě,458177609,"[49.82576074338544, 16.59449837570971]"
98, , ,Mladějov na Moravě,Mladějov na Moravě,458231609,"[49.82627140145658, 16.593783808866046]"
99, , ,Mladějov na Moravě,Mladějov na Moravě,458259609,"[49.8270398643903, 16.593263727953925]"
101, , ,Mladějov na Moravě,Mladějov na Moravě,458233609,"[49.824820610791825, 16.593858903641408]"
102, , ,Mladějov na Moravě,Mladějov na Moravě,458132609,"[49.824545151057904, 16.593541548995876]"
103, , ,Mladějov na Moravě,Mladějov na Moravě,458179609,"[49.824792926857704, 16.592689265197798]"
104, , ,Mladějov na Moravě,Mladějov na Moravě,458207609,"[49.82434933456022, 16.592553837703985]"
105, , ,Mladějov na Moravě,Mladějov na Moravě,458214609,"[49.825191617695936, 16.589602926863233]"
106, , ,Mladějov na Moravě,Mladějov na Moravě,458148609,"[49.82558537457242, 16.589285345430042]"
107, , ,Mladějov na Moravě,Mladějov na Moravě,458129609,"[49.826774250035534, 16.589086220781116]"
108, , ,Mladějov na Moravě,Mladějov na Moravě,458201609,"[49.82509633708279, 16.589017761354405]"
110, , ,Mladějov na Moravě,Mladějov na Moravě,458159609,"[49.824650719941864, 16.58833750467948]"
111, , ,Mladějov na Moravě,Mladějov na Moravě,458266609,"[49.82453266026755, 16.588846560835158]"
112, , ,Mladějov na Moravě,Mladějov na Moravě,458194609,"[49.8231515322266, 16.591076882586073]"
113, , ,Mladějov na Moravě,Mladějov na Moravě,458180609,"[49.823399066994604, 16.590350459717513]"
114, , ,Mladějov na Moravě,Mladějov na Moravě,458220609,"[49.822712555530096, 16.59113640551977]"
115, , ,Mladějov na Moravě,Mladějov na Moravě,458186609,"[49.822465320486316, 16.59057671265757]"
116, , ,Mladějov na Moravě,Mladějov na Moravě,458311609,"[49.82276268885558, 16.59030325587017]"
117, , ,Mladějov na Moravě,Mladějov na Moravě,458273609,"[49.82229831025681, 16.59012939966167]"
119, , ,Mladějov na Moravě,Mladějov na Moravě,458206609,"[49.82261749106935, 16.588747955544772]"
120, , ,Mladějov na Moravě,Mladějov na Moravě,458190609,"[49.82275879786754, 16.588570520019605]"
122, , ,Mladějov na Moravě,Mladějov na Moravě,458368609,"[49.821034636105026, 16.589390472394612]"
123, , ,Mladějov na Moravě,Mladějov na Moravě,458188609,"[49.82110554066894, 16.58859580394953]"
124, , ,Mladějov na Moravě,Mladějov na Moravě,458258609,"[49.81997840478176, 16.58812760455671]"
125, , ,Mladějov na Moravě,Mladějov na Moravě,458251609,"[49.82013921847084, 16.58758347571684]"
126, , ,Mladějov na Moravě,Mladějov na Moravě,458269609,"[49.81931075261864, 16.58608681793697]"
127, , ,Mladějov na Moravě,Mladějov na Moravě,458181609,"[49.81929558818406, 16.585096919058937]"
128, , ,Mladějov na Moravě,Mladějov na Moravě,458316609,"[49.81905316930188, 16.584606373771912]"
129, , ,Mladějov na Moravě,Mladějov na Moravě,458153609,"[49.818336238790785, 16.582895411875413]"
130, , ,Mladějov na Moravě,Mladějov na Moravě,458185609,"[49.81814410618818, 16.58260612372469]"
131, , ,Mladějov na Moravě,Mladějov na Moravě,458182609,"[49.818101453775625, 16.581998251401973]"
132, , ,Mladějov na Moravě,Mladějov na Moravě,458199609,"[49.81791286832914, 16.581372908240535]"
133, , ,Mladějov na Moravě,Mladějov na Moravě,458146609,"[49.81780796802523, 16.581166849048177]"
134, , ,Mladějov na Moravě,Mladějov na Moravě,458152609,"[49.817612378424876, 16.580570641543897]"
135, , ,Mladějov na Moravě,Mladějov na Moravě,458128609,"[49.816940876708266, 16.580152066841045]"
136, , ,Mladějov na Moravě,Mladějov na Moravě,458369609,"[49.81568493207367, 16.57772093901347]"
137, , ,Mladějov na Moravě,Mladějov na Moravě,458208609,"[49.82541781016721, 16.59579995695437]"
138, , ,Mladějov na Moravě,Mladějov na Moravě,458221609,"[49.82416348593453, 16.59209567669599]"
139, , ,Mladějov na Moravě,Mladějov na Moravě,458312609,"[49.82346759606397, 16.591457312344705]"
140, , ,Mladějov na Moravě,Mladějov na Moravě,458338609,"[49.82385368300176, 16.591546439095765]"
141, , ,Mladějov na Moravě,Mladějov na Moravě,458247609,"[49.81851984338012, 16.585254849618245]"
142, , ,Mladějov na Moravě,Mladějov na Moravě,458121609,"[49.81844143658887, 16.588650601100696]"
