cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
15, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.18044716847219, 14.524937145480742]"
9, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.17691798305763, 14.520106970004514]"
11, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.17658825684288, 14.51966166424553]"
11, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.17971758521661, 14.526189208796987]"
12, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.1767958657321, 14.51919397682392]"
17, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.18132153446331, 14.527731991634127]"
4, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.18073860671431, 14.527138734136791]"
20, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.179252813248006, 14.52652937045784]"
29, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.18119072695472, 14.527690908124063]"
3, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.18060257997128, 14.526653816200977]"
2, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.17587391225405, 14.518825111197826]"
6, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.17752868120677, 14.517875306599468]"
22, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.1809463652977, 14.52440929115438]"
25, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.180107384937976, 14.525350756729704]"
1, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.17495545609323, 14.5184649446356]"
27, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.17924645640572, 14.526340213371238]"
14, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.17743513685359, 14.519866752692366]"
19, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.18144172784377, 14.52823072758494]"
13, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.17996251421824, 14.525288376095178]"
14, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.18025216865309, 14.525007551825603]"
16, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.179621428625985, 14.526440771875368]"
8, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.179880319261265, 14.526697779254718]"
15, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.17711254970846, 14.51831782736238]"
26, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.17942158213618, 14.525324319232876]"
7, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.17488889349549, 14.51845939979691]"
6, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.180199756360594, 14.526736368444668]"
28, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.1806396961346, 14.524545257854179]"
10, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.176337705431365, 14.519670959291183]"
1, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.180830375769574, 14.525453222436859]"
5, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.18047183092875, 14.527091281988685]"
8, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.17736240997401, 14.51922628707606]"
18, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.17715549406976, 14.520197560511662]"
9, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.1790777867411, 14.524745530665406]"
12, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.179822870755615, 14.525553958494832]"
17, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.17712796931842, 14.5177701995607]"
2, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.18052636230417, 14.526053069845913]"
7, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.179486224082716, 14.526917776592983]"
21, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.17865909698582, 14.524697117596363]"
18, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.18067598369346, 14.52490498183404]"
10, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.17923530863508, 14.525012646832986]"
24, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.17992319041489, 14.525918373255426]"
13, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.17675213109767, 14.521144860472537]"
4, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.176426840904725, 14.518442903375828]"
5, , ,37501,Modrá Hůrka,Pořežánky,Pořežánky,763802,"[49.176845870675564, 14.517562507367241]"
23, , ,37501,Modrá Hůrka,Modrá Hůrka,Modrá Hůrka,763802,"[49.18076282579192, 14.526037457537218]"
