cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
1384,76,Nerudova,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.75602654844993, 16.673882165838688]"
4143, , ,56921,Moravská Třebová,Boršov,Boršov,607991,"[49.74919119744453, 16.643052737695434]"
183,4,Zámecké nám.,57101,Moravská Třebová,Město,Město,698806,"[49.75752868000543, 16.666261008532842]"
595,80,Jiráskova,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.76012940184795, 16.654362467598276]"
1051,59,Jevíčská,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.75264525956266, 16.674449133370455]"
959,33,Svitavská,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.75744584389589, 16.65161109069767]"
1182,70,Nové sady,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.751245461392706, 16.654244397409478]"
84,19,Nové sady,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.749814921582576, 16.65358358579621]"
121,14,Horní,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.75958330126862, 16.670271306330626]"
94, , ,56921,Moravská Třebová,Boršov,Boršov,607991,"[49.74468258753499, 16.63638156512496]"
4104, , ,56921,Moravská Třebová,Boršov,Boršov,607991,"[49.74801387415412, 16.64821679693463]"
198, , ,56921,Moravská Třebová,Boršov,Boršov,607991,"[49.74221238430238, 16.603486174085177]"
51, , ,56921,Moravská Třebová,Boršov,Boršov,607991,"[49.74461671189915, 16.64125869800174]"
864,32,Na Stráni,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.765763113290966, 16.667701688438115]"
244, , ,56921,Moravská Třebová,Boršov,Boršov,607991,"[49.74460252042676, 16.637280221579744]"
694,1,Míru,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.75441280038991, 16.656199697550978]"
238,58,Lanškrounská,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.762349177041145, 16.664605612824438]"
70, , ,57101,Moravská Třebová,Udánky,Udánky,698806,"[49.76325590185104, 16.64657561317858]"
438,13,Dukelská,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.75395778403654, 16.657483642076365]"
1345,40,Nová,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.76464437479482, 16.65473504648522]"
148,30,nám. T. G. Masaryka,57101,Moravská Třebová,Město,Město,698806,"[49.758249221809066, 16.663087974143647]"
1344,38,Nová,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.76454117840998, 16.655106359068895]"
1537, , ,57101,Moravská Třebová,Předměstí,Předměstí,698806,"[49.75698950247978, 16.65882452173378]"
19, , ,57101,Moravská Třebová,Udánky,Udánky,698806,"[49.7649186459769, 16.651314159915444]"
126, , ,57101,Moravská Třebová,Udánky,Udánky,698806,"[49.76666796284808, 16.651820557462788]"
149, , ,57101,Moravská Třebová,Sušice,Sušice,698806,"[49.772021946368746, 16.665205026245122]"
