cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
9, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51818838456767, 13.073532934517262]"
51, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51675271217777, 13.073542338520395]"
20, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51805331606008, 13.0737145798591]"
12, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51764796971933, 13.073386378335291]"
25, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51719724360067, 13.076094140776734]"
1, , ,34561,Močerady,Močerady,Močerady,697672,"[49.5170000418, 13.075541207051232]"
50, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51695994387225, 13.074623991341808]"
44, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51619601197249, 13.076271102945311]"
43, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51887617770844, 13.076709618920562]"
5, , ,34561,Močerady,Močerady,Močerady,697672,"[49.519563862663944, 13.075239901132358]"
2, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.504086953560346, 13.089316120572487]"
48, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51808224215639, 13.072779124015916]"
1, , ,34561,Močerady,Močerady,Močerady,697672,"[49.516597492945586, 13.075049635948782]"
32, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51668888936768, 13.073361952574082]"
46, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51690875329056, 13.07408234329389]"
19, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51632599807216, 13.075433635638387]"
7, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.503934717901046, 13.092198263606988]"
14, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51662240932082, 13.073729685263123]"
4, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51725664430015, 13.07466290276344]"
8, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.50423776333856, 13.092152754311611]"
1, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.503956930444964, 13.08936916250646]"
9, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.50430521292473, 13.09244542575813]"
8, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51809478323158, 13.073854062596899]"
37, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51640528133884, 13.07501629807297]"
4, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.50348323031221, 13.092448064178372]"
36, , ,34561,Močerady,Močerady,Močerady,697672,"[49.517284365695446, 13.0756634580445]"
2, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51574750316519, 13.076647134233784]"
7, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51830420335243, 13.074737720820444]"
4, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.503744176562726, 13.090191640565903]"
4, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51836033864413, 13.075494849655584]"
6, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.50356903689027, 13.09328239644143]"
40, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51677606778157, 13.075531130874268]"
2, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51844967841054, 13.075103040310557]"
52, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51888210316273, 13.074527685879358]"
49, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51923740144691, 13.076413416271743]"
5, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51872367765081, 13.075655900354768]"
6, , ,34561,Močerady,Močerady,Močerady,697672,"[49.518469256947526, 13.074842420439209]"
33, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51622724989835, 13.074318874369649]"
28, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51817245212648, 13.074316836309272]"
23, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51762923585705, 13.075755550388303]"
31, , ,34561,Močerady,Močerady,Močerady,697672,"[49.518667109349046, 13.075278080657968]"
42, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51660767828068, 13.075899932436723]"
18, , ,34561,Močerady,Močerady,Močerady,697672,"[49.5172432447767, 13.075113383648812]"
2, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.5028835183959, 13.091874412906732]"
12, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.5032616845447, 13.092409805773967]"
10, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.50377728958088, 13.093135763885096]"
45, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51912753343999, 13.077571929739895]"
3, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.50403302475996, 13.089742482125585]"
15, , ,34561,Močerady,Močerady,Močerady,697672,"[49.516806514306815, 13.073892851240469]"
34, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51725695689212, 13.074957187816336]"
30, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51820319247327, 13.075459117992308]"
5, , ,34561,Močerady,Nové Dvory,Nové Dvory,697681,"[49.50340781816113, 13.093237812010525]"
3, , ,34561,Močerady,Močerady,Močerady,697672,"[49.51823757055183, 13.07447595197726]"
