cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
140, ,Do chobotu,25162,Mukařov,Srbín,Srbín,752967,"[49.98591812897729, 14.737638118524051]"
48, ,Lomová,25162,Mukařov,Žernovka,Žernovka,700339,"[50.00024276162201, 14.759062312513832]"
73, ,Českobrodská,25162,Mukařov,Žernovka,Žernovka,700339,"[49.99812633783225, 14.756861082366624]"
47, ,Českobrodská,25162,Mukařov,Žernovka,Žernovka,700339,"[50.00034632329463, 14.75873304347757]"
40, , ,29501,Mukařov,Vicmanov,Vicmanov,661341,"[50.57503490871524, 14.931921748203102]"
76, ,Dubová,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99556820834976, 14.736067290240532]"
161, ,U potoka,25162,Mukařov,Srbín,Srbín,752967,"[49.98590053144139, 14.742929765639554]"
85, , ,29501,Mukařov,Vicmanov,Vicmanov,661341,"[50.5860241434169, 14.92112526542812]"
214, ,Kopretinová,25162,Mukařov,Srbín,Srbín,752967,"[49.98170451594859, 14.742877362268358]"
513, ,U Požáru,25162,Mukařov,Srbín,Srbín,752967,"[49.98717010472978, 14.753131007646884]"
57, ,Doubecká,25162,Mukařov,Žernovka,Žernovka,700339,"[49.99902277149458, 14.75386732126215]"
72, ,Sportovní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.993357143118864, 14.740412426745777]"
28, ,Školní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.98984857868375, 14.742929732118666]"
138, ,Kameníků,25162,Mukařov,Žernovka,Žernovka,700339,"[50.00045329192806, 14.756919303158545]"
10, , ,25162,Mukařov,Žernovka,Žernovka,700339,"[50.00400727397761, 14.751491091749681]"
29, ,Nad Požárem,25162,Mukařov,Srbín,Srbín,752967,"[49.98518825837411, 14.753843279786809]"
239, ,Sosnová,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99192108740022, 14.73298744027558]"
225, ,Polní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99003656749501, 14.733537693597865]"
351, ,Spojovací,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99145262425466, 14.737641374498933]"
217, ,Spojovací,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99039790283682, 14.737241806699133]"
58, ,Českobrodská,25162,Mukařov,Žernovka,Žernovka,700339,"[50.00100227340901, 14.759699668042884]"
340, ,Příčná,25162,Mukařov,Mukařov,Mukařov,700321,"[49.9919480228367, 14.739157564021571]"
214, ,Nová,25162,Mukařov,Mukařov,Mukařov,700321,"[49.989963170911714, 14.738724028289681]"
338, ,Nad Vysokou,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99111888788156, 14.747827977171296]"
54, ,Obecní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99127148695506, 14.735561436294237]"
212, ,Vysoká,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99141301751647, 14.745101134600432]"
24, ,V průhoně,25162,Mukařov,Žernovka,Žernovka,700339,"[50.000069391318, 14.757320795081972]"
191, ,Požární,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99230957669319, 14.737713494004229]"
364, ,Na Kopci,25162,Mukařov,Srbín,Srbín,752967,"[49.97977205392263, 14.738909412894502]"
91, ,Doubecká,25162,Mukařov,Žernovka,Žernovka,700339,"[50.005537392468646, 14.75348412530158]"
33, ,K Hájence,25162,Mukařov,Žernovka,Žernovka,700339,"[50.00492051592308, 14.750944712036377]"
40, , ,29501,Mukařov,Vicmanov,Vicmanov,661341,"[50.58491841764421, 14.920936726780026]"
38, ,Českobrodská,25162,Mukařov,Žernovka,Žernovka,700339,"[50.00076311773926, 14.758839956174324]"
88, ,Školní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99256778125003, 14.74335603081176]"
458, ,Bezová,25162,Mukařov,Srbín,Srbín,752967,"[49.987037786832694, 14.738852316648742]"
25, ,V průhoně,25162,Mukařov,Žernovka,Žernovka,700339,"[49.99995593812362, 14.757148611418696]"
105, , ,25162,Mukařov,Srbín,Srbín,752967,"[49.9797037733956, 14.750411720331606]"
327, ,Dubová,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99549487656394, 14.7363095674491]"
145, ,Kutnohorská,25162,Mukařov,Mukařov,Mukařov,700321,"[49.990034628726214, 14.748145504759744]"
37, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.56910946341743, 14.925321975468405]"
424, ,Smrková,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99278809578331, 14.733568861668434]"
206, ,Jižní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.993307761434345, 14.736422535574814]"
157, ,Smrková,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99285228986937, 14.735581735056359]"
72, , ,29501,Mukařov,Borovice,Borovice,661279,"[50.56213153465406, 14.92971458185945]"
115, , ,29501,Mukařov,Borovice,Borovice,661279,"[50.56412821153843, 14.931810122001496]"
279, ,Šípková,25162,Mukařov,Srbín,Srbín,752967,"[49.98669245282092, 14.742117274534099]"
437, ,Choceradská,25162,Mukařov,Srbín,Srbín,752967,"[49.98162914382137, 14.737874358736807]"
15, , ,29501,Mukařov,Borovice,Borovice,661279,"[50.564901036328365, 14.931836654182908]"
375, ,Pražská,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99015500285194, 14.731570016879937]"
274, ,U Požáru,25162,Mukařov,Srbín,Srbín,752967,"[49.987390865127594, 14.751835028556219]"
77, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.57608326479752, 14.920057700788234]"
163, ,U Třešňovky,25162,Mukařov,Žernovka,Žernovka,700339,"[49.99786032474106, 14.758462715471003]"
455, ,Choceradská,25162,Mukařov,Srbín,Srbín,752967,"[49.987616402411575, 14.741574600213328]"
361, ,Choceradská,25162,Mukařov,Srbín,Srbín,752967,"[49.985291123436454, 14.741337275950187]"
27, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.5687758020862, 14.926260382876547]"
20, , ,29501,Mukařov,Borovice,Borovice,661279,"[50.5624520126554, 14.935854538468979]"
53, ,Lomová,25162,Mukařov,Žernovka,Žernovka,700339,"[49.99986196260181, 14.760717795361387]"
289, ,Šípková,25162,Mukařov,Srbín,Srbín,752967,"[49.98649927857167, 14.743353015897252]"
140, ,Příčná,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99166065070216, 14.739365417543455]"
23, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.569003892953035, 14.926667535453936]"
35, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.56783757782088, 14.931063501890273]"
40, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.5681925231508, 14.930535169830154]"
307, ,Fialková,25162,Mukařov,Srbín,Srbín,752967,"[49.98731663271296, 14.74285448497205]"
54, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.567619657260245, 14.930296817988657]"
19, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.56957467386342, 14.926009441103643]"
7, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.56994103460123, 14.93182777908629]"
55, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.56933300793014, 14.929532488291827]"
183, ,Na ladech,25162,Mukařov,Mukařov,Mukařov,700321,"[49.991500120841316, 14.734786443110513]"
57, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.56869517364209, 14.925463953330073]"
81, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.569286465027496, 14.92930003613653]"
397, ,Severní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99363001859988, 14.738614916687425]"
303, ,Fialková,25162,Mukařov,Srbín,Srbín,752967,"[49.98734001861397, 14.74233586310871]"
5, , ,29501,Mukařov,Vicmanov,Vicmanov,661341,"[50.58539001999479, 14.920612002417693]"
28, , ,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99277209456852, 14.745996999201656]"
10, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.56912968063341, 14.925673711498007]"
269, ,Chrpová,25162,Mukařov,Srbín,Srbín,752967,"[49.98442481800033, 14.736636993425892]"
34, ,Školní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.993071579783816, 14.746357933546326]"
11, ,Příčná,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99386237925235, 14.740337384778408]"
64, ,Spojovací,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99085310397535, 14.737054252584546]"
62, ,Sportovní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99122500547557, 14.741659813990909]"
249, ,Školní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.990951407213856, 14.743146275102106]"
259, ,Školní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99090453632513, 14.742167703149459]"
73, ,Sportovní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99142643354963, 14.74111883770056]"
238, ,Sosnová,25162,Mukařov,Mukařov,Mukařov,700321,"[49.992020575719266, 14.732623260814973]"
186, ,K Památníku,25162,Mukařov,Žernovka,Žernovka,700339,"[49.99742488182651, 14.753125978756978]"
188, ,Na ladech,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99089358800823, 14.734733069518729]"
25, ,Pražská,25162,Mukařov,Srbín,Srbín,752967,"[49.9892925028939, 14.742184878514761]"
66, ,K Viničkám,25162,Mukařov,Srbín,Srbín,752967,"[49.976800962217936, 14.74858612283659]"
18, , ,29501,Mukařov,Borovice,Borovice,661279,"[50.568419998691525, 14.937371128397125]"
240, ,Za Brodem,25162,Mukařov,Srbín,Srbín,752967,"[49.983975463275286, 14.753820422095414]"
4, , ,29501,Mukařov,Borovice,Borovice,661279,"[50.57039944819082, 14.935963426283354]"
190, ,Vodní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.992731687693976, 14.735987425565611]"
3, ,Za Mlýnem,25162,Mukařov,Žernovka,Žernovka,700339,"[49.99848323782869, 14.752034997371467]"
96, ,Pražská,25162,Mukařov,Mukařov,Mukařov,700321,"[49.98938436439709, 14.73485008540402]"
289, ,Lipová,25162,Mukařov,Mukařov,Mukařov,700321,"[49.990450616327806, 14.732635286838558]"
130, ,Doubecká,25162,Mukařov,Žernovka,Žernovka,700339,"[50.002722447278984, 14.752918601460173]"
122, ,Obecní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.989072872881785, 14.735350240662255]"
305, ,Fialková,25162,Mukařov,Srbín,Srbín,752967,"[49.9873329786194, 14.742535827467906]"
137, ,Obecní,25162,Mukařov,Srbín,Srbín,752967,"[49.98790767481395, 14.73630888301762]"
107, ,Pod Skálou,25162,Mukařov,Srbín,Srbín,752967,"[49.97944591215929, 14.750366495409862]"
62, , ,29501,Mukařov,Mukařov,Mukařov,661317,"[50.568002965435994, 14.927712820997593]"
388, ,Nad Vysokou,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99216491728977, 14.745900000692554]"
9, ,Na Budech,25162,Mukařov,Srbín,Srbín,752967,"[49.98878464976971, 14.737435967654424]"
507, ,Chrpová,25162,Mukařov,Srbín,Srbín,752967,"[49.983822805398404, 14.736801846674906]"
135, ,Horka,25162,Mukařov,Žernovka,Žernovka,700339,"[50.00307888469072, 14.748721581344375]"
266, ,Spojovací,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99056482756491, 14.737155512061562]"
320, ,Lesní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99448265290807, 14.73341190694784]"
296, ,Do Podkovy,25162,Mukařov,Mukařov,Mukařov,700321,"[49.989615156849766, 14.733219381175477]"
109, , ,25162,Mukařov,Mukařov,Mukařov,700321,"[49.994995636776004, 14.733839496532019]"
46, , ,29501,Mukařov,Vicmanov,Vicmanov,661341,"[50.58385260572622, 14.927029604628666]"
401, ,Nad Rafandou,25162,Mukařov,Srbín,Srbín,752967,"[49.98174794612316, 14.739256515857786]"
185, ,Sosnová,25162,Mukařov,Mukařov,Mukařov,700321,"[49.991616412458505, 14.734475217239845]"
171, ,Severní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99362216388279, 14.737138700351283]"
298, ,Lesní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99428461740854, 14.733345234412063]"
308, ,Lesní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99198138714366, 14.73178461691222]"
312, ,Lesní,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99164139658245, 14.731803466124243]"
548, ,Na Budech,25162,Mukařov,Srbín,Srbín,752967,"[49.98910966431434, 14.736468323105752]"
100, ,Pražská,25162,Mukařov,Mukařov,Mukařov,700321,"[49.98998448167012, 14.740655732499873]"
286, ,Lipová,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99061293201793, 14.733176883840581]"
25, ,Pražská,25162,Mukařov,Mukařov,Mukařov,700321,"[49.99024111438275, 14.732421573866045]"
