cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
48, , ,Mysletice,Mysletice,62352639010,"[49.1434662951979, 15.386513153551725]"
50, , ,Mysletice,Mysletice,62276847010,"[49.14031243307979, 15.3913276157869]"
49, , ,Mysletice,Mysletice,62164925010,"[49.14134753312236, 15.38833571131619]"
47, , ,Mysletice,Mysletice,47081443010,"[49.14056949064514, 15.391899969366174]"
1, , ,Mysletice,Mysletice,23848739,"[49.150098767169176, 15.39318654601787]"
44, , ,Mysletice,Mysletice,23877739,"[49.143813309929776, 15.387679526632839]"
42, , ,Mysletice,Mysletice,45902739,"[49.140991471043336, 15.390853096109755]"
45, , ,Mysletice,Mysletice,47806739,"[49.141103073282586, 15.390666181776604]"
43, , ,Mysletice,Mysletice,40307739,"[49.141382077539994, 15.390198892251101]"
3, , ,Mysletice,Mysletice,23844739,"[49.14305981883552, 15.389549085748678]"
18, , ,Mysletice,Mysletice,23845739,"[49.14217842020338, 15.390296430656464]"
6, , ,Mysletice,Mysletice,23849739,"[49.14331559940164, 15.388464610503911]"
5, , ,Mysletice,Mysletice,23858739,"[49.143227329251694, 15.388937175377908]"
26, , ,Mysletice,Mysletice,23872739,"[49.14309018302071, 15.385261431059579]"
17, , ,Mysletice,Mysletice,23873739,"[49.141465530966855, 15.39077697728848]"
23, , ,Mysletice,Mysletice,23874739,"[49.141400806225285, 15.390872127950773]"
2, , ,Mysletice,Mysletice,23883739,"[49.14271720390444, 15.390125150694036]"
14, , ,Mysletice,Mysletice,23884739,"[49.14228461786386, 15.389599481419708]"
11, , ,Mysletice,Mysletice,23818739,"[49.1421242890107, 15.38874591694346]"
13, , ,Mysletice,Mysletice,23820739,"[49.141963407243146, 15.389549927559889]"
19, , ,Mysletice,Mysletice,23821739,"[49.14267017448334, 15.39065894352717]"
20, , ,Mysletice,Mysletice,23822739,"[49.14304734838703, 15.38673369550445]"
9, , ,Mysletice,Mysletice,23823739,"[49.14226061651022, 15.387974184249089]"
21, , ,Mysletice,Mysletice,23825739,"[49.14261030888562, 15.389592936328441]"
39, , ,Mysletice,Mysletice,23826739,"[49.14172439103295, 15.390506876251965]"
41, , ,Mysletice,Mysletice,23828739,"[49.14201039474535, 15.389126646069158]"
25, , ,Mysletice,Mysletice,23829739,"[49.14115416179781, 15.391291839137837]"
36, , ,Mysletice,Mysletice,23836739,"[49.14293151947715, 15.389642491100542]"
34, , ,Mysletice,Mysletice,23837739,"[49.14324365615861, 15.390135769619983]"
29, , ,Mysletice,Mysletice,23839739,"[49.14281773483767, 15.38969170475212]"
40, , ,Mysletice,Mysletice,23840739,"[49.14308449350579, 15.385635451318096]"
32, , ,Mysletice,Mysletice,23841739,"[49.14305459505006, 15.388486513349724]"
1, , ,Mysletice,Mysletice,23843739,"[49.14269924293431, 15.390460055564986]"
10, , ,Mysletice,Mysletice,23875739,"[49.142247069397484, 15.388473998025102]"
30, , ,Mysletice,Mysletice,23824739,"[49.14083521188649, 15.391158975605775]"
31, , ,Mysletice,Mysletice,23854739,"[49.14420952311475, 15.386872251027942]"
15, , ,Mysletice,Mysletice,23831739,"[49.14162649642873, 15.389751970971334]"
37, , ,Mysletice,Mysletice,23817739,"[49.141864248627236, 15.389223436806624]"
8, , ,Mysletice,Mysletice,23857739,"[49.14270335264225, 15.388180228469432]"
24, , ,Mysletice,Mysletice,23819739,"[49.14315120001506, 15.386341044902435]"
4, , ,Mysletice,Mysletice,23830739,"[49.14310010444787, 15.389154691557652]"
2, , ,Mysletice,Mysletice,0,"[49.14427184828014, 15.387302434647774]"
7, , ,Mysletice,Mysletice,23856739,"[49.14281710070858, 15.388241517997239]"
16, , ,Mysletice,Mysletice,23847739,"[49.143871436138994, 15.387281737802894]"
3, , ,Mysletice,Mysletice,23846739,"[49.14391053332162, 15.387094751362541]"
51, , ,Mysletice,Mysletice,61324653010,"[49.140979090698195, 15.390108911460054]"
22, , ,Mysletice,Mysletice,23871739,"[49.14389827518999, 15.389424390846491]"
