cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
402, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.2053439034295, 13.887315402442976]"
389, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.205246878213984, 13.889007613689175]"
51, , ,27064,Mšec,Mšec,Mšec,700231,"[50.19313606635407, 13.90992489922991]"
400, ,K Rybárně,27064,Mšec,Mšec,Mšec,700231,"[50.20020284326185, 13.905021257082437]"
68, ,Pechočova,27064,Mšec,Mšec,Mšec,700231,"[50.20506735987688, 13.898795646306121]"
183, ,Slánská,27064,Mšec,Mšec,Mšec,700231,"[50.20707500008348, 13.901942587087364]"
52, ,Malcova,27064,Mšec,Mšec,Mšec,700231,"[50.20568385855225, 13.898431977071835]"
64, ,U Lípy,27064,Mšec,Mšec,Mšec,700231,"[50.203975101896226, 13.898529565706387]"
409, ,Větrná,27064,Mšec,Mšec,Mšec,700231,"[50.204088407664585, 13.887616667908924]"
62, ,Salačova,27064,Mšec,Mšec,Mšec,700231,"[50.204421816557854, 13.899146888355284]"
63, ,Salačova,27064,Mšec,Mšec,Mšec,700231,"[50.204321406127654, 13.89890016948962]"
401, ,Do Buků,27064,Mšec,Mšec,Mšec,700231,"[50.20734373587765, 13.89631989313264]"
78, ,Pod Kostelem,27064,Mšec,Mšec,Mšec,700231,"[50.20425169066509, 13.90097523274682]"
268, ,Kaštanka,27064,Mšec,Mšec,Mšec,700231,"[50.199022038799804, 13.911263493365873]"
178, ,Ševčíkova,27064,Mšec,Mšec,Mšec,700231,"[50.20130798539614, 13.899413223861375]"
170, ,Řevničovská,27064,Mšec,Mšec,Mšec,700231,"[50.20655988193323, 13.88892229135124]"
165, ,Vocílkova,27064,Mšec,Mšec,Mšec,700231,"[50.207011994100846, 13.89856743917333]"
74, ,V Chaloupkách,27064,Mšec,Mšec,Mšec,700231,"[50.19950911933856, 13.904194239717198]"
413, ,Důrasova,27064,Mšec,Mšec,Mšec,700231,"[50.201160632076885, 13.902643885078227]"
410, ,Řevničovská,27064,Mšec,Mšec,Mšec,700231,"[50.20550925811666, 13.892384127512042]"
159, ,Řevničovská,27064,Mšec,Mšec,Mšec,700231,"[50.20602102891643, 13.897598214351644]"
46, , ,27064,Mšec,Mšec,Mšec,700231,"[50.19224173109078, 13.905485714732995]"
254, ,Řevničovská,27064,Mšec,Mšec,Mšec,700231,"[50.20621154696408, 13.894052110718777]"
173, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.20513806346265, 13.896410887171406]"
175, ,Řevničovská,27064,Mšec,Mšec,Mšec,700231,"[50.20604119029128, 13.898032334083062]"
181, ,Slánská,27064,Mšec,Mšec,Mšec,700231,"[50.20672129834706, 13.899743196531583]"
191, ,Slánská,27064,Mšec,Mšec,Mšec,700231,"[50.20733766076137, 13.903107100282684]"
194, ,Řevničovská,27064,Mšec,Mšec,Mšec,700231,"[50.206173540948114, 13.893688119090058]"
198, ,Slánská,27064,Mšec,Mšec,Mšec,700231,"[50.20679355719575, 13.902070728574]"
328, ,Krátká,27064,Mšec,Mšec,Mšec,700231,"[50.204144940197324, 13.893114636737051]"
326, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.204716831836016, 13.893135216905941]"
201, ,Slánská,27064,Mšec,Mšec,Mšec,700231,"[50.206874032465734, 13.902457991361421]"
28, ,Prokopova,27064,Mšec,Mšec,Mšec,700231,"[50.203502487294834, 13.901535795199948]"
204, ,Slánská,27064,Mšec,Mšec,Mšec,700231,"[50.20703345478341, 13.903078147479249]"
205, ,Slánská,27064,Mšec,Mšec,Mšec,700231,"[50.2070615032786, 13.903254993664927]"
208, ,Ořechová,27064,Mšec,Mšec,Mšec,700231,"[50.206915549415484, 13.9041291394843]"
215, ,Důrasova,27064,Mšec,Mšec,Mšec,700231,"[50.20112742338881, 13.90210532725089]"
219, ,Na Hájích,27064,Mšec,Mšec,Mšec,700231,"[50.20477367690046, 13.923479723251342]"
222, ,K Rybárně,27064,Mšec,Mšec,Mšec,700231,"[50.19867259632483, 13.906875058449247]"
319, ,Za Bání,27064,Mšec,Mšec,Mšec,700231,"[50.20470021631615, 13.9036461423452]"
316, ,Zelená náves,27064,Mšec,Mšec,Mšec,700231,"[50.20541355156187, 13.898501005337568]"
307, ,Hlízova,27064,Mšec,Mšec,Mšec,700231,"[50.20579928414119, 13.893389380306804]"
294, ,Zubrova,27064,Mšec,Mšec,Mšec,700231,"[50.20556699448607, 13.895711272889047]"
60, ,Pod Kostelem,27064,Mšec,Mšec,Mšec,700231,"[50.20426977839899, 13.899902347001763]"
230, ,Řevničovská,27064,Mšec,Mšec,Mšec,700231,"[50.20578502011022, 13.893764737722064]"
1, , ,27064,Mšec,Mšec,Mšec,700231,"[50.20005812550885, 13.903781642067132]"
330, ,Krátká,27064,Mšec,Mšec,Mšec,700231,"[50.204234849992886, 13.892733122152412]"
255, ,Vítovská,27064,Mšec,Mšec,Mšec,700231,"[50.19792925366721, 13.901575978278926]"
361, ,Třtická,27064,Mšec,Mšec,Mšec,700231,"[50.20327717319515, 13.895613345334276]"
24, ,V Uličce,27064,Mšec,Mšec,Mšec,700231,"[50.20367386807702, 13.900751791279658]"
245, ,K Rybárně,27064,Mšec,Mšec,Mšec,700231,"[50.1997707373596, 13.904994370076873]"
232, ,K Rybárně,27064,Mšec,Mšec,Mšec,700231,"[50.198980861193604, 13.906666905709356]"
405, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.2048545701373, 13.896711500595588]"
13, , ,27064,Mšec,Mšec,Mšec,700231,"[50.20866917935472, 13.912925216932788]"
19, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18099060378169, 13.88810195043869]"
36, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18947960826049, 13.895154805248588]"
45, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18939204369954, 13.89477183553734]"
48, , ,27064,Mšec,Mšec,Mšec,700231,"[50.17509803007859, 13.870684258319894]"
49, , ,27064,Mšec,Mšec,Mšec,700231,"[50.181793466282976, 13.88805832165811]"
10, , ,27064,Mšec,Mšec,Mšec,700231,"[50.20714875185105, 13.906496411124216]"
381, ,K Bažantnici,27064,Mšec,Mšec,Mšec,700231,"[50.197586056466534, 13.910823944546737]"
3, ,Zelená náves,27064,Mšec,Mšec,Mšec,700231,"[50.20560393160274, 13.897683085694583]"
384, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.20547579067456, 13.890716421099414]"
4, ,Zelená náves,27064,Mšec,Mšec,Mšec,700231,"[50.20547422440782, 13.897715595167536]"
391, ,Do Buků,27064,Mšec,Mšec,Mšec,700231,"[50.20710735773149, 13.896476407307274]"
14, ,U Lípy,27064,Mšec,Mšec,Mšec,700231,"[50.20381157404479, 13.898735871682415]"
124, ,Prokopova,27064,Mšec,Mšec,Mšec,700231,"[50.20336768216225, 13.902330230656249]"
300, ,Vítovská,27064,Mšec,Mšec,Mšec,700231,"[50.19878927556959, 13.90215089308173]"
15, ,Prokopova,27064,Mšec,Mšec,Mšec,700231,"[50.20357517256168, 13.898907795162133]"
33, ,Prokopova,27064,Mšec,Mšec,Mšec,700231,"[50.202763959007775, 13.9022925139827]"
5, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18366146915239, 13.88826107072248]"
21, ,V Uličce,27064,Mšec,Mšec,Mšec,700231,"[50.20370934337668, 13.900435369635609]"
368, ,Srbečská,27064,Mšec,Mšec,Mšec,700231,"[50.20647960677505, 13.893158305129873]"
362, ,Třtická,27064,Mšec,Mšec,Mšec,700231,"[50.20321461370214, 13.895360506032532]"
3, , ,27064,Mšec,Mšec,Mšec,700231,"[50.207063786168085, 13.899065352676345]"
112, ,Pod Kostelem,27064,Mšec,Mšec,Mšec,700231,"[50.20454579951561, 13.899750084784715]"
109, ,Tyršovo náměstí,27064,Mšec,Mšec,Mšec,700231,"[50.20483636043991, 13.899787612320576]"
363, ,Valentova,27064,Mšec,Mšec,Mšec,700231,"[50.20585045321201, 13.90057470244871]"
351, ,Řevničovská,27064,Mšec,Mšec,Mšec,700231,"[50.20599933720938, 13.897193599330663]"
346, ,Okružní,27064,Mšec,Mšec,Mšec,700231,"[50.20439205128398, 13.922703466653566]"
341, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.20448686562972, 13.891726470075515]"
340, ,Srbečská,27064,Mšec,Mšec,Mšec,700231,"[50.20665721020832, 13.895092908763717]"
336, ,U Stodol,27064,Mšec,Mšec,Mšec,700231,"[50.20413921469931, 13.896999675339465]"
334, ,K Bažantnici,27064,Mšec,Mšec,Mšec,700231,"[50.197916262127585, 13.911513943286542]"
332, ,K Bažantnici,27064,Mšec,Mšec,Mšec,700231,"[50.19762349910839, 13.911494678666447]"
329, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.2044670351595, 13.892665445136824]"
313, ,Zahradní,27064,Mšec,Mšec,Mšec,700231,"[50.204159136510185, 13.89538084964523]"
312, ,Zahradní,27064,Mšec,Mšec,Mšec,700231,"[50.20420913494443, 13.895708716028428]"
287, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.20489725314535, 13.894971020576854]"
276, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.20490148402354, 13.89628363501425]"
2, ,Zelená náves,27064,Mšec,Mšec,Mšec,700231,"[50.205613097797034, 13.897970487846715]"
331, ,Prokopova,27064,Mšec,Mšec,Mšec,700231,"[50.20341254804687, 13.897474115846684]"
2, , ,27064,Mšec,Mšec,Mšec,700231,"[50.192114263666156, 13.905081561356582]"
228, ,Ořechová,27064,Mšec,Mšec,Mšec,700231,"[50.20649342752046, 13.904721555234014]"
52, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18959254329838, 13.893984148991578]"
150, ,Řevničovská,27064,Mšec,Mšec,Mšec,700231,"[50.2060588763208, 13.898697032396239]"
195, ,Slánská,27064,Mšec,Mšec,Mšec,700231,"[50.20674232237635, 13.901845745969718]"
43, , ,27064,Mšec,Mšec,Mšec,700231,"[50.19207961288736, 13.905497901919686]"
39, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18960743188887, 13.895677700219068]"
37, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18952815975329, 13.895337007830056]"
34, , ,27064,Mšec,Mšec,Mšec,700231,"[50.1816478274903, 13.888079722083328]"
25, , ,27064,Mšec,Mšec,Mšec,700231,"[50.20364613318306, 13.885559188377554]"
270, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.20472613485959, 13.895750626819034]"
22, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18036215511401, 13.888184463494897]"
15, , ,27064,Mšec,Mšec,Mšec,700231,"[50.20651321393092, 13.888578654995069]"
133, ,Vocílkova,27064,Mšec,Mšec,Mšec,700231,"[50.20689854592223, 13.898586230051162]"
144, ,Slánská,27064,Mšec,Mšec,Mšec,700231,"[50.206905018320874, 13.901355530580178]"
356, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.20451420693076, 13.892386143039877]"
360, ,Třtická,27064,Mšec,Mšec,Mšec,700231,"[50.20334544372886, 13.895878768237559]"
364, ,Důrasova,27064,Mšec,Mšec,Mšec,700231,"[50.19993797768587, 13.90391416207879]"
147, ,Lomená,27064,Mšec,Mšec,Mšec,700231,"[50.20342805640641, 13.90256460239417]"
369, ,Slánská,27064,Mšec,Mšec,Mšec,700231,"[50.20745240122888, 13.90595958212427]"
291, ,Kalivodská,27064,Mšec,Mšec,Mšec,700231,"[50.2051094788153, 13.896071955695664]"
299, ,K Rybárně,27064,Mšec,Mšec,Mšec,700231,"[50.19943091729227, 13.906599467167265]"
303, ,Hlízova,27064,Mšec,Mšec,Mšec,700231,"[50.205055654550655, 13.893622559008815]"
380, ,Krátká,27064,Mšec,Mšec,Mšec,700231,"[50.20388249484416, 13.892894864250204]"
44, , ,27064,Mšec,Mšec,Mšec,700231,"[50.17970304843067, 13.886251204709136]"
393, ,Valentova,27064,Mšec,Mšec,Mšec,700231,"[50.20644238174902, 13.902949663808183]"
75, ,V Chaloupkách,27064,Mšec,Mšec,Mšec,700231,"[50.199445989384735, 13.904464353322583]"
38, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18970257192993, 13.895492243031343]"
42, , ,27064,Mšec,Mšec,Mšec,700231,"[50.19215836709692, 13.905279641036017]"
40, , ,27064,Mšec,Mšec,Mšec,700231,"[50.189660702586586, 13.895925345993753]"
31, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18325202940922, 13.888164569398109]"
392, ,Důrasova,27064,Mšec,Mšec,Mšec,700231,"[50.20190807462883, 13.90190783406197]"
28, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18127343630397, 13.888047473479933]"
20, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18228557876703, 13.888313020223807]"
18, , ,27064,Mšec,Mšec,Mšec,700231,"[50.17954501691233, 13.88595100147026]"
17, , ,27064,Mšec,Mšec,Mšec,700231,"[50.189312582512, 13.893748012834887]"
33, , ,27064,Mšec,Mšec,Mšec,700231,"[50.18967589883246, 13.894239724796957]"
30, , ,27064,Mšec,Mšec,Mšec,700231,"[50.19033567215483, 13.890096337506879]"
47, , ,27064,Mšec,Mšec,Mšec,700231,"[50.1899869019939, 13.893990861366639]"
168, ,V Brance,27064,Mšec,Mšec,Mšec,700231,"[50.20526962846081, 13.897250039461069]"
160, ,Řevničovská,27064,Mšec,Mšec,Mšec,700231,"[50.20631155142532, 13.898341374956837]"
54, , ,27064,Mšec,Mšec,Mšec,700231,"[50.17975944704884, 13.886226593786892]"
333, ,K Bažantnici,27064,Mšec,Mšec,Mšec,700231,"[50.197969091900106, 13.91120413851835]"
344, ,Okružní,27064,Mšec,Mšec,Mšec,700231,"[50.20456474130029, 13.922266317848825]"
358, ,U Stodol,27064,Mšec,Mšec,Mšec,700231,"[50.20355332292892, 13.896553611630683]"
