cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
71, , ,Nadryby,Nadryby,319177407,"[49.82120612247032, 13.525467188361963]"
47, , ,Nadryby,Nadryby,319118407,"[49.82184064506358, 13.518040847207562]"
70, , ,Nadryby,Nadryby,24176924010,"[49.82189312549453, 13.517550882808965]"
35, , ,Nadryby,Nadryby,319138407,"[49.821259953397266, 13.508029198555501]"
69, , ,Nadryby,Nadryby,23812775010,"[49.82194151476605, 13.519268186082844]"
28, , ,Nadryby,Nadryby,319196407,"[49.8214264522378, 13.52267588737366]"
67, , ,Nadryby,Nadryby,460892407,"[49.81907830052942, 13.527147202714511]"
66, , ,Nadryby,Nadryby,352761407,"[49.820066170464116, 13.526085022270287]"
38, , ,Nadryby,Nadryby,319115407,"[49.81991598195312, 13.523769708314664]"
37, , ,Nadryby,Nadryby,443503407,"[49.82126168135793, 13.52069271601537]"
22, , ,Nadryby,Nadryby,319098407,"[49.81343757447054, 13.497655061360081]"
33, , ,Nadryby,Nadryby,319113407,"[49.82152456291051, 13.525493915930225]"
24, , ,Nadryby,Nadryby,319134407,"[49.82144458184097, 13.525897481534136]"
14, , ,Nadryby,Nadryby,319096407,"[49.8150526392448, 13.495013737884245]"
6, , ,Nadryby,Nadryby,319172407,"[49.8130003037452, 13.495423261456082]"
15, , ,Nadryby,Nadryby,319179407,"[49.81569191707747, 13.4952633789182]"
12, , ,Nadryby,Nadryby,319155407,"[49.82150557388566, 13.525191122223589]"
3, , ,Nadryby,Nadryby,319193407,"[49.81311725303244, 13.496249286988531]"
33, , ,Nadryby,Nadryby,319135407,"[49.82122349829498, 13.507451500781741]"
40, , ,Nadryby,Nadryby,319164407,"[49.82177870810477, 13.522317163709033]"
8, , ,Nadryby,Nadryby,319170407,"[49.81295450001969, 13.494912884615426]"
52, , ,Nadryby,Nadryby,319129407,"[49.81984684165185, 13.525365331940444]"
24, , ,Nadryby,Nadryby,319194407,"[49.8215631561746, 13.526426647611792]"
60, , ,Nadryby,Nadryby,319204407,"[49.82149949187517, 13.527108328545625]"
35, , ,Nadryby,Nadryby,319101407,"[49.815437853511135, 13.526396845806877]"
26, , ,Nadryby,Nadryby,319184407,"[49.82151240969013, 13.521483693230305]"
5, , ,Nadryby,Nadryby,319126407,"[49.82060141819679, 13.524501165964173]"
51, , ,Nadryby,Nadryby,319125407,"[49.8215409520888, 13.521231437704323]"
36, , ,Nadryby,Nadryby,319142407,"[49.821108972758516, 13.507589508424752]"
4, , ,Nadryby,Nadryby,319106407,"[49.820760580680826, 13.524996890905731]"
13, , ,Nadryby,Nadryby,319185407,"[49.814694060751016, 13.49481105311624]"
2, , ,Nadryby,Nadryby,319167407,"[49.813108903720725, 13.49673205176024]"
31, , ,Nadryby,Nadryby,319140407,"[49.82120837968179, 13.508305218777995]"
27, , ,Nadryby,Nadryby,319122407,"[49.82180176603213, 13.522761231806008]"
28, , ,Nadryby,Nadryby,319137407,"[49.82125182727773, 13.508538258934193]"
16, , ,Nadryby,Nadryby,319190407,"[49.81301781253063, 13.497371021584614]"
1, , ,Nadryby,Nadryby,319169407,"[49.813202782927505, 13.497562171181098]"
19, , ,Nadryby,Nadryby,319104407,"[49.82136390356839, 13.507311283259872]"
41, , ,Nadryby,Nadryby,319109407,"[49.82152979416812, 13.520865136818466]"
1, , ,Nadryby,Nadryby,319154407,"[49.8207685042007, 13.526265959510546]"
10, , ,Nadryby,Nadryby,319189407,"[49.813544915757205, 13.495044307245006]"
48, , ,Nadryby,Nadryby,319102407,"[49.81632546142, 13.526445365299903]"
34, , ,Nadryby,Nadryby,319144407,"[49.82017501581267, 13.524284590460685]"
54, , ,Nadryby,Nadryby,319130407,"[49.82146567530056, 13.52373396490274]"
30, , ,Nadryby,Nadryby,319141407,"[49.82149020834092, 13.508077392081763]"
15, , ,Nadryby,Nadryby,319183407,"[49.82103307182187, 13.525931089711884]"
4, , ,Nadryby,Nadryby,319168407,"[49.81290243489789, 13.495913883552536]"
18, , ,Nadryby,Nadryby,319116407,"[49.82151664293647, 13.526179412218747]"
8, , ,Nadryby,Nadryby,319146407,"[49.821673421392745, 13.523281967535578]"
63, , ,Nadryby,Nadryby,319152407,"[49.81960564237496, 13.524790531151341]"
23, , ,Nadryby,Nadryby,319132407,"[49.82107676057696, 13.507236239001148]"
13, , ,Nadryby,Nadryby,319112407,"[49.82149518125473, 13.525647570883338]"
7, , ,Nadryby,Nadryby,319192407,"[49.82133522320464, 13.52303273966165]"
30, , ,Nadryby,Nadryby,319117407,"[49.821622470821595, 13.526258191829205]"
14, , ,Nadryby,Nadryby,319202407,"[49.82110033186156, 13.52527907351745]"
21, , ,Nadryby,Nadryby,319097407,"[49.81351390041098, 13.498463688292984]"
23, , ,Nadryby,Nadryby,319163407,"[49.82060744780041, 13.525820977738052]"
3, , ,Nadryby,Nadryby,319110407,"[49.82068111823472, 13.52564681083101]"
22, , ,Nadryby,Nadryby,319120407,"[49.8209878625237, 13.52644295256128]"
