cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
138, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18045397601339, 17.133392375026673]"
132, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.180084807297604, 17.134508725124455]"
136, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.17971924191485, 17.12522312995332]"
85, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18067207315372, 17.126161515343725]"
23, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18059961297005, 17.129373753580563]"
81, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18061673486916, 17.13739677859144]"
182, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.184961613449595, 17.13831265564567]"
135, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18061901165158, 17.13811337020097]"
66, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18047867553881, 17.134982938747584]"
16, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18004623556806, 17.13155826549997]"
154, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18198477890492, 17.13714963136883]"
107, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.180251032501886, 17.13274285551597]"
32, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18024589696208, 17.126586469350322]"
143, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.181518973755715, 17.13833588962304]"
144, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18042741349153, 17.13794987935524]"
6, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.1796085574294, 17.134811306136363]"
2, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.179454802872186, 17.137387965103947]"
70, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.17977516927384, 17.13579387074503]"
137, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18276682154007, 17.138686660350878]"
183, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18451381875277, 17.13905731148403]"
142, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.181180801339536, 17.138388425573567]"
161, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18366011460964, 17.138747113253483]"
22, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18050533921635, 17.129722647240207]"
39, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18168733133415, 17.1271173235343]"
13, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.179778251574696, 17.132231887923894]"
71, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18001931514314, 17.136800886431757]"
157, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18348682499064, 17.138890056050396]"
117, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18237671990969, 17.13858698424179]"
58, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.180049398242915, 17.133015784560712]"
40, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.181432251138304, 17.127688078106065]"
150, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18153850312515, 17.136754611117333]"
15, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.17995470337488, 17.131761822869244]"
87, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18058668659719, 17.125892189723228]"
102, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18219145044618, 17.138519024908952]"
109, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18172672024508, 17.126954889127433]"
147, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.180076575923216, 17.137838508856344]"
162, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.17836810393941, 17.13848483208596]"
166, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18414466761238, 17.13976804796411]"
158, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18400183936909, 17.139767722120034]"
153, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18169116427995, 17.136896528449267]"
10, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.179659287094566, 17.133382441417158]"
28, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.1805717789988, 17.12719341632016]"
69, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.179857418626234, 17.135357371690056]"
11, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.17957220165513, 17.132818604125315]"
119, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.179193620975255, 17.138153832078938]"
60, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18046017398887, 17.133600435981748]"
46, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18097350481833, 17.129313300389885]"
82, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18047801666894, 17.126528026356663]"
133, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.1800424554124, 17.13233700408191]"
130, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18190657966792, 17.138038998696913]"
140, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.180841446150474, 17.138133821751527]"
186, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.185575118721395, 17.136522072644574]"
91, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.17880543745625, 17.137114435172343]"
75, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.181027528044886, 17.137395361391214]"
152, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.182730532688915, 17.139147254869695]"
159, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.183479480795235, 17.1391339969131]"
179, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.185127421584944, 17.139128063790505]"
101, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18203207210709, 17.138484440248817]"
3, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.17938437979549, 17.135866667136952]"
14, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.17986612936146, 17.131960924814774]"
8, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.17969976616433, 17.133993174675126]"
108, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18056514620139, 17.126716012438155]"
41, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.1815213927214, 17.127538509580724]"
65, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18048898061094, 17.13473745109979]"
90, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18035114945376, 17.126859621294997]"
169, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18440420094237, 17.139722260066762]"
7, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.17968676444209, 17.13434523581359]"
45, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18103394435303, 17.129070273479364]"
1, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.17936558350643, 17.137717991720297]"
47, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.180932792330715, 17.129552593223146]"
5, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.179660783140264, 17.138544937166262]"
185, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.184866470743046, 17.14056105893478]"
120, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.180017311202924, 17.13723176972284]"
38, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18129120208324, 17.127255404836266]"
44, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18113966052142, 17.12846191714842]"
33, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18111420282013, 17.128732223694755]"
95, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.1798687816629, 17.136487823103092]"
156, , ,68333,Nemochovice,Nemochovice,Nemochovice,703176,"[49.18359866821366, 17.13940242131555]"
