cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
4, , ,Nepolisy,Luková,404087602,"[50.19648721887763, 15.480923003275675]"
1, , ,Nepolisy,Luková,404046602,"[50.19664920924727, 15.480388541655124]"
215, , ,Nepolisy,Nepolisy,406696602,"[50.19305358045339, 15.466250072137669]"
12, , ,Nepolisy,Nepolisy,406698602,"[50.19060604642966, 15.463187851452034]"
193, , ,Nepolisy,Nepolisy,406788602,"[50.191744849863454, 15.470346956344546]"
187, , ,Nepolisy,Nepolisy,406791602,"[50.18907353969496, 15.463536201741968]"
199, , ,Nepolisy,Nepolisy,406805602,"[50.196858956389505, 15.453223767944843]"
219, , ,Nepolisy,Nepolisy,406808602,"[50.187070575872795, 15.463373378622924]"
121, , ,Nepolisy,Nepolisy,406809602,"[50.191740149398065, 15.464204126434332]"
245, , ,Nepolisy,Nepolisy,406814602,"[50.19255878040417, 15.45903237545017]"
116, , ,Nepolisy,Nepolisy,406819602,"[50.19207094569265, 15.45741375052436]"
220, , ,Nepolisy,Nepolisy,406820602,"[50.19386271856455, 15.458868952792788]"
286, , ,Nepolisy,Nepolisy,740248602,"[50.192599955809875, 15.472524289871089]"
213, , ,Nepolisy,Nepolisy,406835602,"[50.19013845279825, 15.464464728252297]"
261, , ,Nepolisy,Nepolisy,569311602,"[50.193070000432186, 15.467465677640622]"
224, , ,Nepolisy,Nepolisy,406736602,"[50.19190148700403, 15.472552379736404]"
281, , ,Nepolisy,Nepolisy,771996602,"[50.192875457544034, 15.473868882938818]"
65, , ,Nepolisy,Nepolisy,406739602,"[50.192453656694354, 15.459366572169285]"
168, , ,Nepolisy,Nepolisy,406741602,"[50.1899168178415, 15.463833167922981]"
107, , ,Nepolisy,Nepolisy,406743602,"[50.195771796516794, 15.454198968941444]"
47, , ,Nepolisy,Nepolisy,406750602,"[50.19220979186717, 15.463781641211195]"
314, , ,Nepolisy,Nepolisy,45159163010,"[50.1959751787263, 15.452907783384713]"
311, , ,Nepolisy,Nepolisy,30046524010,"[50.19153264783399, 15.462221842898938]"
127, , ,Nepolisy,Nepolisy,406603602,"[50.1921487759908, 15.464613068827576]"
134, , ,Nepolisy,Nepolisy,406610602,"[50.19133002803413, 15.456485481930152]"
271, , ,Nepolisy,Nepolisy,569301602,"[50.19325043335432, 15.46922181260861]"
257, , ,Nepolisy,Nepolisy,569309602,"[50.193094353499546, 15.466763491620243]"
119, , ,Nepolisy,Nepolisy,406613602,"[50.19072328482783, 15.458206905445712]"
67, , ,Nepolisy,Nepolisy,406614602,"[50.19222787841939, 15.458976669712802]"
126, , ,Nepolisy,Nepolisy,406631602,"[50.19127345432656, 15.464415790229166]"
190, , ,Nepolisy,Nepolisy,406644602,"[50.191813843339574, 15.469693503467324]"
176, , ,Nepolisy,Nepolisy,406657602,"[50.19336471357114, 15.4657580279247]"
158, , ,Nepolisy,Nepolisy,406662602,"[50.192225337444285, 15.469426462115461]"
45, , ,Nepolisy,Nepolisy,406668602,"[50.192001921611975, 15.467533711200629]"
203, , ,Nepolisy,Nepolisy,406672602,"[50.189415062195245, 15.463712225465384]"
209, , ,Nepolisy,Nepolisy,406682602,"[50.1916292696256, 15.47218743751106]"
87, , ,Nepolisy,Nepolisy,406685602,"[50.19257449705273, 15.461261846763923]"
240, , ,Nepolisy,Nepolisy,406686602,"[50.19221310654122, 15.4614545563179]"
280, , ,Nepolisy,Nepolisy,719805602,"[50.192752876089415, 15.470792588102668]"
269, , ,Nepolisy,Nepolisy,720968602,"[50.19290494204932, 15.469097299382254]"
316, , ,Nepolisy,Nepolisy,60684427010,"[50.196176733006276, 15.452548059750354]"
31, , ,Nepolisy,Nepolisy,406697602,"[50.19398430931538, 15.458573345857324]"
