cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
127, , ,Nepomyšl,Nepomyšl,199062533,"[50.21913668215003, 13.316192553291911]"
152, , ,Nepomyšl,Nepomyšl,199073533,"[50.21496943493269, 13.31342805718103]"
248, , ,Nepomyšl,Nepomyšl,61066544010,"[50.217080150882126, 13.308904113447664]"
15, , ,Nepomyšl,Chmelištná,25561842010,"[50.23561982096304, 13.275411738589591]"
40, , ,Nepomyšl,Nepomyšl,199158533,"[50.21901459466773, 13.315962061334368]"
200, , ,Nepomyšl,Nepomyšl,199065533,"[50.21924176796394, 13.317983555767649]"
212, , ,Nepomyšl,Nepomyšl,199104533,"[50.21919229918652, 13.3173347546612]"
1, , ,Nepomyšl,Nepomyšl,199223533,"[50.21779690099477, 13.312081869542432]"
185, , ,Nepomyšl,Nepomyšl,199119533,"[50.2143925099084, 13.313993031689767]"
222, , ,Nepomyšl,Nepomyšl,199127533,"[50.2146212745091, 13.30523230369547]"
184, , ,Nepomyšl,Nepomyšl,199093533,"[50.221034746569, 13.318487203470188]"
202, , ,Nepomyšl,Nepomyšl,199168533,"[50.22054448119537, 13.318252885051892]"
236, , ,Nepomyšl,Nepomyšl,259104533,"[50.21924199552024, 13.318613456526228]"
140, , ,Nepomyšl,Nepomyšl,199053533,"[50.21549215138364, 13.313122892964447]"
14, , ,Nepomyšl,Nová Ves,199280533,"[50.20282064839524, 13.268536169529153]"
244, , ,Nepomyšl,Nepomyšl,29857381010,"[50.21442385046844, 13.31208127726421]"
243, , ,Nepomyšl,Nepomyšl,29535474010,"[50.214095123357396, 13.311975279871575]"
1, , ,Nepomyšl,Dětaň,28858377010,"[50.19457161235882, 13.307752335340238]"
2, , ,Nepomyšl,Dětaň,28858376010,"[50.194426604916394, 13.30896283035249]"
8, , ,Nepomyšl,Dětaň,28858372010,"[50.19453018532938, 13.309462401182417]"
9, , ,Nepomyšl,Chmelištná,195246533,"[50.23615592875756, 13.274401375463237]"
16, , ,Nepomyšl,Nová Ves,199263533,"[50.203075252501456, 13.267761906914853]"
3, , ,Nepomyšl,Dětaň,194505533,"[50.193993936589585, 13.308909977673846]"
19, , ,Nepomyšl,Dětaň,194502533,"[50.194224367232536, 13.307735828960277]"
150, , ,Nepomyšl,Nepomyšl,199184533,"[50.2279006016658, 13.346910460946257]"
173, , ,Nepomyšl,Nepomyšl,199185533,"[50.22718597066411, 13.353374633904439]"
201, , ,Nepomyšl,Nepomyšl,199115533,"[50.20783780628423, 13.317730677804771]"
182, , ,Nepomyšl,Nepomyšl,199145533,"[50.20917935160346, 13.315271426090463]"
138, , ,Nepomyšl,Nepomyšl,199245533,"[50.23027015737956, 13.299119137643787]"
227, , ,Nepomyšl,Nepomyšl,199246533,"[50.230111333146034, 13.300745074313472]"
234, , ,Nepomyšl,Nepomyšl,278567533,"[50.22057830297749, 13.313720324589887]"
18, , ,Nepomyšl,Dětaň,194498533,"[50.19393874978774, 13.308625583301211]"
5, , ,Nepomyšl,Dětaň,0,"[50.1944576980275, 13.312380609341597]"
15, , ,Nepomyšl,Nová Ves,199283533,"[50.2034893291517, 13.267965384928727]"
10, , ,Nepomyšl,Dětaň,194495533,"[50.19655470761261, 13.28136439944775]"
7, , ,Nepomyšl,Nová Ves,199285533,"[50.20341088327194, 13.270193851025645]"
232, , ,Nepomyšl,Nová Ves,199277533,"[50.20301788494697, 13.269790453754005]"
5, , ,Nepomyšl,Chmelištná,195245533,"[50.23507449845346, 13.274410527669522]"
12, , ,Nepomyšl,Nová Ves,199272533,"[50.20367127185342, 13.267931400027399]"
5, , ,Nepomyšl,Nová Ves,199265533,"[50.2033701078076, 13.26927872192285]"
17, , ,Nepomyšl,Nová Ves,199270533,"[50.2033564684981, 13.268944259426014]"
21, , ,Nepomyšl,Dětaň,194497533,"[50.193850117334236, 13.309726578549004]"
43, , ,Nepomyšl,Dětaň,194496533,"[50.194715716988334, 13.308620413744036]"
30, , ,Nepomyšl,Nová Ves,199268533,"[50.20337660677179, 13.268087134652847]"
3, , ,Nepomyšl,Chmelištná,195252533,"[50.23515830303102, 13.274904857582335]"
13, , ,Nepomyšl,Dětaň,194503533,"[50.19360772923041, 13.308753123216404]"
224, , ,Nepomyšl,Nepomyšl,199141533,"[50.22001786974471, 13.316749002048402]"
31, , ,Nepomyšl,Nová Ves,199267533,"[50.203367576182124, 13.268438919583748]"
10, , ,Nepomyšl,Nová Ves,199260533,"[50.20310469885529, 13.268540569512014]"
28, , ,Nepomyšl,Nová Ves,199275533,"[50.2031018108688, 13.270045196293443]"
93, , ,Nepomyšl,Nepomyšl,199229533,"[50.21634368880061, 13.310350141609142]"
94, , ,Nepomyšl,Nepomyšl,199229533,"[50.216463059169755, 13.310290247257305]"
245, , ,Nepomyšl,Nepomyšl,30038473010,"[50.213759359870295, 13.312168612327701]"
2, , ,Nepomyšl,Dvérce,194621533,"[50.20520075627127, 13.32479178526069]"
3, , ,Nepomyšl,Dvérce,194628533,"[50.204603924465566, 13.325755601522728]"
4, , ,Nepomyšl,Dvérce,194646533,"[50.20477069171963, 13.32578680767973]"
5, , ,Nepomyšl,Dvérce,194640533,"[50.20531875173122, 13.325996612560234]"
7, , ,Nepomyšl,Dvérce,194687533,"[50.20509369043028, 13.326206000086131]"
9, , ,Nepomyšl,Dvérce,194626533,"[50.20461961450878, 13.326658804951997]"
10, , ,Nepomyšl,Dvérce,194618533,"[50.2045052779323, 13.326884376736482]"
12, , ,Nepomyšl,Dvérce,194620533,"[50.20424691738708, 13.326846599161275]"
13, , ,Nepomyšl,Dvérce,194625533,"[50.203954817570555, 13.32711442549195]"
14, , ,Nepomyšl,Dvérce,277041533,"[50.206189787404945, 13.325789525165472]"
16, , ,Nepomyšl,Dvérce,194622533,"[50.207320248904345, 13.326002584400085]"
18, , ,Nepomyšl,Dvérce,277040533,"[50.20379754308888, 13.327180152733904]"
19, , ,Nepomyšl,Dvérce,194624533,"[50.205022416618135, 13.325571080108558]"
21, , ,Nepomyšl,Dvérce,194633533,"[50.205454326002815, 13.325709300749645]"
22, , ,Nepomyšl,Dvérce,194627533,"[50.20355635457182, 13.327039098672545]"
24, , ,Nepomyšl,Dvérce,194632533,"[50.204739228614045, 13.326672882035735]"
25, , ,Nepomyšl,Dvérce,194631533,"[50.204432482928304, 13.325583798878963]"
26, , ,Nepomyšl,Dvérce,194651533,"[50.2037270421198, 13.32729610537789]"
28, , ,Nepomyšl,Dvérce,194668533,"[50.199140876433404, 13.337865239381465]"
30, , ,Nepomyšl,Dvérce,194680533,"[50.20371646859427, 13.325980756866283]"
228, , ,Nepomyšl,Dvérce,194645533,"[50.19943831595514, 13.337001146373545]"
229, , ,Nepomyšl,Dvérce,194634533,"[50.20365306202138, 13.326633505594964]"
6, , ,Nepomyšl,Dvérce,194641533,"[50.20628273723599, 13.325809940063376]"
42, , ,Nepomyšl,Dvérce,194636533,"[50.2064415122517, 13.325573791198753]"
44, , ,Nepomyšl,Dvérce,194639533,"[50.204785172010155, 13.3264919095314]"
46, , ,Nepomyšl,Dvérce,194629533,"[50.20652254492145, 13.325101039241906]"
31, , ,Nepomyšl,Dvérce,194669533,"[50.1991505243992, 13.337777935091436]"
32, , ,Nepomyšl,Dvérce,194670533,"[50.19915128395572, 13.337692741417433]"
33, , ,Nepomyšl,Dvérce,194671533,"[50.19916093179173, 13.337605437073721]"
34, , ,Nepomyšl,Dvérce,194619533,"[50.20326665689533, 13.326867066065123]"
2, , ,Nepomyšl,Nepomyšl,199134533,"[50.21812044270251, 13.31026552560221]"
4, , ,Nepomyšl,Nepomyšl,199056533,"[50.21805289440159, 13.309020010104742]"
6, , ,Nepomyšl,Nepomyšl,199149533,"[50.21777636959967, 13.308518860324066]"
8, , ,Nepomyšl,Nepomyšl,199114533,"[50.21834297346061, 13.308639062035253]"
9, , ,Nepomyšl,Nepomyšl,199069533,"[50.21835717597467, 13.308876661353096]"
12, , ,Nepomyšl,Nepomyšl,199243533,"[50.21832979642266, 13.309988862868824]"
17, , ,Nepomyšl,Nepomyšl,199206533,"[50.21839128452616, 13.31107989864065]"
18, , ,Nepomyšl,Nepomyšl,199191533,"[50.218365611675054, 13.311653025846445]"
23, , ,Nepomyšl,Nepomyšl,199099533,"[50.218365734642354, 13.312489340656436]"
26, , ,Nepomyšl,Nepomyšl,199044533,"[50.218577802783315, 13.313261018352692]"
28, , ,Nepomyšl,Nepomyšl,199151533,"[50.218745805083365, 13.313490352232707]"
29, , ,Nepomyšl,Nepomyšl,199063533,"[50.21881813982634, 13.313671586598037]"
30, , ,Nepomyšl,Nepomyšl,199183533,"[50.218824801796124, 13.31392515791882]"
31, , ,Nepomyšl,Nepomyšl,199204533,"[50.21890738135958, 13.314118129552314]"
33, , ,Nepomyšl,Nepomyšl,199066533,"[50.219071181953446, 13.314490222539447]"
34, , ,Nepomyšl,Nepomyšl,199067533,"[50.2190416756373, 13.314653176762748]"
35, , ,Nepomyšl,Nepomyšl,199089533,"[50.219120924078595, 13.314719364001814]"
36, , ,Nepomyšl,Nepomyšl,199105533,"[50.21917263791097, 13.315061440291718]"
37, , ,Nepomyšl,Nepomyšl,199157533,"[50.21924768515311, 13.315270383360899]"
41, , ,Nepomyšl,Nepomyšl,199094533,"[50.21892400417675, 13.315772694707828]"
43, , ,Nepomyšl,Nepomyšl,199189533,"[50.218490855474364, 13.315436363774806]"
