cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
286, , ,Nezvěstice,Nezvěstice,198169406,"[49.6439538633828, 13.521296645984458]"
182, , ,Nezvěstice,Nezvěstice,198288406,"[49.64411479066756, 13.519194996858836]"
185, , ,Nezvěstice,Nezvěstice,198291406,"[49.63679623049443, 13.529772488366065]"
95, , ,Nezvěstice,Nezvěstice,198219406,"[49.641288501235884, 13.518435334157372]"
58, , ,Nezvěstice,Nezvěstice,198540406,"[49.64046628478122, 13.516187537848777]"
225, , ,Nezvěstice,Nezvěstice,198357406,"[49.6418367795946, 13.518719538786563]"
288, , ,Nezvěstice,Nezvěstice,198425406,"[49.63641691125963, 13.530022906339601]"
173, , ,Nezvěstice,Nezvěstice,198280406,"[49.643938917024485, 13.5207862475855]"
122, , ,Nezvěstice,Nezvěstice,198236406,"[49.641555768291674, 13.520769846063567]"
179, , ,Nezvěstice,Nezvěstice,198286406,"[49.64240118843611, 13.512689769274191]"
142, , ,Nezvěstice,Nezvěstice,198251406,"[49.642754006837706, 13.518479782628853]"
84, , ,Nezvěstice,Nezvěstice,198182406,"[49.639493130244254, 13.522724592007174]"
244, , ,Nezvěstice,Nezvěstice,198527406,"[49.642796640202, 13.522660578536343]"
338, , ,Nezvěstice,Nezvěstice,198617406,"[49.64228755529124, 13.514608257747625]"
96, , ,Nezvěstice,Nezvěstice,198480406,"[49.64165596849138, 13.519448295218758]"
316, , ,Nezvěstice,Nezvěstice,198314406,"[49.63894534265333, 13.532419928927755]"
99, , ,Nezvěstice,Nezvěstice,198223406,"[49.637914965077414, 13.528312375689683]"
152, , ,Nezvěstice,Nezvěstice,198136406,"[49.64324275802426, 13.520056884746781]"
134, , ,Nezvěstice,Nezvěstice,198156406,"[49.63796408076983, 13.527431264904106]"
362, , ,Nezvěstice,Nezvěstice,198398406,"[49.64227383065026, 13.516959251398166]"
37, , ,Nezvěstice,Nezvěstice,198186406,"[49.641043562367145, 13.523974466244024]"
53, , ,Nezvěstice,Olešná,199113406,"[49.64167713437935, 13.513280121577337]"
55, , ,Nezvěstice,Olešná,199125406,"[49.64157252041882, 13.512983665072856]"
56, , ,Nezvěstice,Nezvěstice,198113406,"[49.63886590595841, 13.527382705620505]"
117, , ,Nezvěstice,Nezvěstice,198107406,"[49.642557454302526, 13.518352948055385]"
22, , ,Nezvěstice,Nezvěstice,198531406,"[49.64067718804262, 13.53279721045016]"
169, , ,Nezvěstice,Nezvěstice,198275406,"[49.64270677934869, 13.521182376604552]"
263, , ,Nezvěstice,Nezvěstice,198347406,"[49.63834589813153, 13.51747665385005]"
106, , ,Nezvěstice,Nezvěstice,198120406,"[49.64103532911713, 13.519230489886914]"
284, , ,Nezvěstice,Nezvěstice,198134406,"[49.636186574723375, 13.527479371050857]"
83, , ,Nezvěstice,Nezvěstice,198122406,"[49.641448610921444, 13.514096507429633]"
114, , ,Nezvěstice,Nezvěstice,198231406,"[49.64106621175235, 13.517595936046886]"
25, , ,Nezvěstice,Nezvěstice,198550406,"[49.64077432465285, 13.532950935895451]"
167, , ,Nezvěstice,Nezvěstice,198137406,"[49.64285619086776, 13.519524752273954]"
148, , ,Nezvěstice,Nezvěstice,198256406,"[49.64318708340593, 13.520999970350433]"
275, , ,Nezvěstice,Nezvěstice,198458406,"[49.64298257842511, 13.510552867390476]"
193, , ,Nezvěstice,Nezvěstice,198295406,"[49.640757057488216, 13.518094327431589]"
239, , ,Nezvěstice,Nezvěstice,198360406,"[49.637537331823864, 13.52889882489332]"
144, , ,Nezvěstice,Nezvěstice,198132406,"[49.64230136692265, 13.521844663110137]"
34, , ,Nezvěstice,Nezvěstice,198497406,"[49.64010348150778, 13.519000669025072]"
