cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
25, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263744303,"[49.078489748938196, 14.824334549964478]"
240, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,62422093010,"[49.09001384072342, 14.839746511340588]"
110, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263903303,"[49.0838816513447, 14.816114138547494]"
161, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263831303,"[49.08974143973029, 14.8438974496697]"
239, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,16040725010,"[49.07872942681595, 14.821551079197253]"
46, , ,Novosedly nad Nežárkou,Mláka,260842303,"[49.06049030895175, 14.83871230017899]"
23, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263881303,"[49.08004667465119, 14.823661465588374]"
90, , ,Novosedly nad Nežárkou,Mláka,60850451010,"[49.0604560667385, 14.842781653155882]"
3, , ,Novosedly nad Nežárkou,Kolence,257090303,"[49.09227332471423, 14.78759667874541]"
154, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,61326674010,"[49.08412975622711, 14.816305580618566]"
238, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,61326677010,"[49.084250278529865, 14.816352299734143]"
97, , ,Novosedly nad Nežárkou,Kolence,60820405010,"[49.09366203277551, 14.78550267540576]"
25, , ,Novosedly nad Nežárkou,Kolence,54669405010,"[49.089877032630234, 14.79101737254509]"
237, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,60735374010,"[49.07723374641034, 14.822572261144801]"
101, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263735303,"[49.089936116268255, 14.836103633035878]"
26, , ,Novosedly nad Nežárkou,Kolence,257069303,"[49.08981629205404, 14.790344725619596]"
2, , ,Novosedly nad Nežárkou,Mláka,260744303,"[49.059701901387946, 14.841401254132306]"
38, , ,Novosedly nad Nežárkou,Mláka,260833303,"[49.064216337558754, 14.850378145461299]"
6, , ,Novosedly nad Nežárkou,Mláka,260745303,"[49.06041157770569, 14.841217433061587]"
51, , ,Novosedly nad Nežárkou,Mláka,260782303,"[49.07291721842993, 14.868553942222164]"
23, , ,Novosedly nad Nežárkou,Mláka,260747303,"[49.06038992945749, 14.842118904559003]"
40, , ,Novosedly nad Nežárkou,Mláka,260775303,"[49.060588386667995, 14.839594716146662]"
123, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263850303,"[49.084677930401256, 14.814388694549054]"
9, , ,Novosedly nad Nežárkou,Mláka,260809303,"[49.061129778853804, 14.842701956881585]"
27, , ,Novosedly nad Nežárkou,Mláka,260831303,"[49.065557577344784, 14.852041654677656]"
20, , ,Novosedly nad Nežárkou,Mláka,260768303,"[49.06050139644911, 14.839846810837619]"
191, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263896303,"[49.0797431419174, 14.824412487651419]"
236, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,48696259010,"[49.085208906068516, 14.815593694596933]"
233, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,29665208010,"[49.079037443611874, 14.821820500955955]"
231, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,26386285010,"[49.09040015282598, 14.842611775597899]"
86, , ,Novosedly nad Nežárkou,Mláka,25391986010,"[49.05958406680454, 14.837739825152038]"
193, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263785303,"[49.082232640571206, 14.821743870603688]"
16, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263948303,"[49.08096241344551, 14.822993586033167]"
179, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263824303,"[49.08239118562708, 14.820331116311293]"
144, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263930303,"[49.08865453484505, 14.844867995749002]"
142, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263727303,"[49.079026273859235, 14.825454144001263]"
97, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263728303,"[49.08107502903876, 14.821051594331545]"
63, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263951303,"[49.08451548012667, 14.814711397373454]"
58, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263979303,"[49.085137164570014, 14.85442532472023]"
42, , ,Novosedly nad Nežárkou,Mláka,260735303,"[49.06070466419134, 14.839157314606636]"
34, , ,Novosedly nad Nežárkou,Mláka,260741303,"[49.05963930100517, 14.841620842583891]"
15, , ,Novosedly nad Nežárkou,Mláka,260753303,"[49.065534188561195, 14.850514191995114]"
52, , ,Novosedly nad Nežárkou,Mláka,260841303,"[49.06026320270409, 14.838459212323784]"
48, , ,Novosedly nad Nežárkou,Mláka,260770303,"[49.06097731074215, 14.839268213825182]"
19, , ,Novosedly nad Nežárkou,Mláka,260762303,"[49.06090062951556, 14.843092987770284]"
11, , ,Novosedly nad Nežárkou,Mláka,260774303,"[49.06521381143001, 14.8494327724135]"
27, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263759303,"[49.07883347415076, 14.823546052855445]"
8, , ,Novosedly nad Nežárkou,Mláka,260796303,"[49.06122490755299, 14.84202036472528]"
19, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263733303,"[49.080822987488204, 14.823477297642118]"
139, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263779303,"[49.08844529753146, 14.84370854707948]"
1, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263754303,"[49.08268276724163, 14.818988239308817]"
126, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263797303,"[49.09020780567424, 14.83923924758083]"
69, , ,Novosedly nad Nežárkou,Mláka,260828303,"[49.066130963046916, 14.849759576551643]"
50, , ,Novosedly nad Nežárkou,Mláka,260785303,"[49.060176049659106, 14.843942262187284]"
64, , ,Novosedly nad Nežárkou,Mláka,260806303,"[49.05220724585296, 14.844823144510373]"
35, , ,Novosedly nad Nežárkou,Kolence,257157303,"[49.115857886838626, 14.76160672143011]"
164, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263739303,"[49.083358176815324, 14.817678565057575]"
85, , ,Novosedly nad Nežárkou,Mláka,23755302010,"[49.059757967518514, 14.837967150296308]"
84, , ,Novosedly nad Nežárkou,Mláka,23789748010,"[49.064697335155806, 14.850695789536013]"
230, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,219543333,"[49.07958874202232, 14.825037270480772]"
229, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,15719123010,"[49.07888534925866, 14.821008832022263]"
78, , ,Novosedly nad Nežárkou,Mláka,223391333,"[49.05975447699635, 14.839182413881748]"
222, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,218307333,"[49.089917366949415, 14.84290204942778]"
202, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,305302303,"[49.081447689969295, 14.823254991139086]"
82, , ,Novosedly nad Nežárkou,Mláka,15053449010,"[49.059359710010234, 14.8374536218396]"
228, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,14805867010,"[49.0791540337776, 14.822432200346487]"
1, , ,Novosedly nad Nežárkou,Kolence,257159303,"[49.091695200194046, 14.78741921598223]"
18, , ,Novosedly nad Nežárkou,Kolence,257161303,"[49.09075435360799, 14.78969199152048]"
19, , ,Novosedly nad Nežárkou,Kolence,257081303,"[49.09081621110266, 14.792837538805967]"
32, , ,Novosedly nad Nežárkou,Kolence,257084303,"[49.09734958728896, 14.769870293666445]"
37, , ,Novosedly nad Nežárkou,Kolence,257087303,"[49.096012399201335, 14.767541355792527]"
4, , ,Novosedly nad Nežárkou,Kolence,257160303,"[49.09237174948549, 14.787967551244238]"
27, , ,Novosedly nad Nežárkou,Kolence,257065303,"[49.09081883752604, 14.78931475981485]"
39, , ,Novosedly nad Nežárkou,Kolence,257089303,"[49.09047606833163, 14.794361360341016]"
21, , ,Novosedly nad Nežárkou,Kolence,257058303,"[49.095154345978756, 14.779589705135123]"
28, , ,Novosedly nad Nežárkou,Kolence,257070303,"[49.090295987230974, 14.788710533997069]"
31, , ,Novosedly nad Nežárkou,Kolence,257096303,"[49.09546859792272, 14.782442300059833]"
84, , ,Novosedly nad Nežárkou,Kolence,257085303,"[49.09192968055434, 14.786778641462913]"
45, , ,Novosedly nad Nežárkou,Mláka,260758303,"[49.0603928066874, 14.83896029543618]"
56, , ,Novosedly nad Nežárkou,Kolence,257086303,"[49.091737423586615, 14.788717580371353]"
57, , ,Novosedly nad Nežárkou,Kolence,257107303,"[49.09052195943764, 14.790117066073375]"
58, , ,Novosedly nad Nežárkou,Kolence,257147303,"[49.09376562977358, 14.784596777242143]"
69, , ,Novosedly nad Nežárkou,Kolence,257162303,"[49.0925648229387, 14.786670272734243]"
72, , ,Novosedly nad Nežárkou,Kolence,257079303,"[49.09242407315387, 14.790592620902451]"
85, , ,Novosedly nad Nežárkou,Kolence,257137303,"[49.090713756328604, 14.794621260887086]"
51, , ,Novosedly nad Nežárkou,Kolence,257062303,"[49.092440613764374, 14.785993003732504]"
59, , ,Novosedly nad Nežárkou,Kolence,257124303,"[49.09359524689917, 14.784881752433474]"
64, , ,Novosedly nad Nežárkou,Kolence,257052303,"[49.095053983868254, 14.782362382537457]"
66, , ,Novosedly nad Nežárkou,Kolence,257123303,"[49.09433447474855, 14.78372424445707]"
81, , ,Novosedly nad Nežárkou,Kolence,257061303,"[49.09219900533276, 14.786378813499326]"
90, , ,Novosedly nad Nežárkou,Kolence,257145303,"[49.09048977057436, 14.788880657536719]"
5, , ,Novosedly nad Nežárkou,Mláka,260769303,"[49.06052771234693, 14.840856805992564]"
43, , ,Novosedly nad Nežárkou,Mláka,260737303,"[49.06077078774175, 14.83897841654534]"
9, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263786303,"[49.08188571639123, 14.821548677816976]"
56, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263745303,"[49.08740883361858, 14.849285010703602]"
15, , ,Novosedly nad Nežárkou,Kolence,257102303,"[49.091787566152625, 14.792609882113112]"
40, , ,Novosedly nad Nežárkou,Kolence,257140303,"[49.09034128295702, 14.78966198398592]"
45, , ,Novosedly nad Nežárkou,Kolence,257067303,"[49.08967804944539, 14.793287232999237]"
47, , ,Novosedly nad Nežárkou,Kolence,257097303,"[49.089586900377306, 14.793461416941444]"
11, , ,Novosedly nad Nežárkou,Kolence,257071303,"[49.09283610338951, 14.79316995571483]"
14, , ,Novosedly nad Nežárkou,Kolence,257128303,"[49.09198813175596, 14.791301190604122]"
44, , ,Novosedly nad Nežárkou,Kolence,257092303,"[49.08981930830227, 14.793217708632625]"
2, , ,Novosedly nad Nežárkou,Kolence,257148303,"[49.092286122670096, 14.78700100054608]"
7, , ,Novosedly nad Nežárkou,Kolence,257091303,"[49.09265997369381, 14.790133813530794]"
22, , ,Novosedly nad Nežárkou,Kolence,257075303,"[49.092686558628095, 14.786507842907032]"
42, , ,Novosedly nad Nežárkou,Kolence,257068303,"[49.090626476346024, 14.788956784232704]"
46, , ,Novosedly nad Nežárkou,Kolence,257063303,"[49.09270363285468, 14.785615573133814]"
48, , ,Novosedly nad Nežárkou,Kolence,257134303,"[49.08996730005773, 14.79313591421459]"
61, , ,Novosedly nad Nežárkou,Mláka,260804303,"[49.060499980653326, 14.842424894376892]"
62, , ,Novosedly nad Nežárkou,Mláka,260834303,"[49.06052325025192, 14.842324991562645]"
31, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263875303,"[49.07981583076063, 14.823068867812733]"
32, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263737303,"[49.079538197805455, 14.822518272725006]"
28, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263836303,"[49.07857451960791, 14.823384118059353]"
39, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263755303,"[49.08076706669876, 14.821161050369588]"
100, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263790303,"[49.08288234879091, 14.817578382718432]"
118, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263920303,"[49.085916809406434, 14.843955389810414]"
124, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263770303,"[49.08471194188434, 14.814179815330318]"
127, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263841303,"[49.090867292392815, 14.838292797153029]"
156, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263862303,"[49.083979132594514, 14.816864790040434]"
166, , ,Novosedly nad Nežárkou,Novosedly nad Nežárkou,263768303,"[49.08190444147326, 14.819347707011623]"
67, , ,Novosedly nad Nežárkou,Kolence,257056303,"[49.09245895582224, 14.786838889602683]"
74, , ,Novosedly nad Nežárkou,Kolence,257171303,"[49.07904858850127, 14.781965156574158]"
78, , ,Novosedly nad Nežárkou,Kolence,257129303,"[49.091315512162794, 14.791376040784487]"
80, , ,Novosedly nad Nežárkou,Kolence,257127303,"[49.092065460440935, 14.786584786907714]"
82, , ,Novosedly nad Nežárkou,Kolence,257074303,"[49.09232445523671, 14.786175716764602]"
49, , ,Novosedly nad Nežárkou,Kolence,257144303,"[49.090707639506725, 14.794893891813086]"
53, , ,Novosedly nad Nežárkou,Kolence,257122303,"[49.09097610720689, 14.792181812290146]"
54, , ,Novosedly nad Nežárkou,Kolence,257154303,"[49.11408844239077, 14.78639110405354]"
61, , ,Novosedly nad Nežárkou,Kolence,257082303,"[49.09350713448662, 14.785137539630735]"
68, , ,Novosedly nad Nežárkou,Kolence,257095303,"[49.09349355246026, 14.785319017177722]"
71, , ,Novosedly nad Nežárkou,Kolence,257072303,"[49.09262398949238, 14.792882928008657]"
65, , ,Novosedly nad Nežárkou,Kolence,257053303,"[49.0951424927567, 14.782194490342007]"
73, , ,Novosedly nad Nežárkou,Kolence,257055303,"[49.094372624141805, 14.783490560125928]"
77, , ,Novosedly nad Nežárkou,Kolence,257132303,"[49.08998814449943, 14.78764525088063]"
87, , ,Novosedly nad Nežárkou,Kolence,0,"[49.09578451675021, 14.767394629078185]"
92, , ,Novosedly nad Nežárkou,Kolence,257170303,"[49.09210378370683, 14.78885701079442]"
14, , ,Novosedly nad Nežárkou,Mláka,260787303,"[49.06510781712377, 14.849282317022439]"
91, , ,Novosedly nad Nežárkou,Kolence,257169303,"[49.09423817884946, 14.7826939239916]"
12, , ,Novosedly nad Nežárkou,Mláka,260816303,"[49.059543810898425, 14.856752693711263]"
