cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
190, ,Příčná,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05380757688261, 15.1396423869181]"
101, ,Poděbradská,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05266329239986, 15.142699262788138]"
236, ,Raisova,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05412691553286, 15.138016277388898]"
112, ,Sluneční,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.04656177000935, 15.154805070084064]"
253, ,Havlíčkova,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05314743612988, 15.13845014416505]"
143, ,Alšova,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.045524316958826, 15.157290939633144]"
200, ,Havlíčkova,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05404255305482, 15.14007438529234]"
63, ,Maternův dvůr,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05186296777551, 15.143547936926518]"
24, ,Fučíkova,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.049507692032314, 15.159218217890302]"
152, ,Alšova,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.04614633626945, 15.157801065983364]"
67, ,Maternův dvůr,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.051652680751324, 15.14319550785562]"
38, ,Maternův dvůr,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05234376696488, 15.143002013969406]"
145, ,Nerudova,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05517025698839, 15.148382012153883]"
135, ,Poděbradská,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05430463466266, 15.141936993124423]"
142, ,Alšova,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.04562167456675, 15.156821232555274]"
53, ,Sluneční,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05500555121176, 15.149663719729926]"
36, ,Klavary,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05633153912352, 15.173225281820107]"
281, ,Nerudova,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.054708963211496, 15.14861431727252]"
209, ,Kněžská,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05488232843704, 15.142568455760422]"
201, ,Havlíčkova,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.054165538326245, 15.140247059460606]"
284, ,Pod Bedřichovem,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05343323310544, 15.14170173313415]"
278, ,Kolínská,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.0503680048193, 15.148293016298595]"
136, ,Sluneční,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.048719679394395, 15.157459991705952]"
183, ,Jiráskova,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05403660226796, 15.14110327919915]"
310, ,Táborská,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05298876462403, 15.149737327648154]"
58, ,Sluneční,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.047646042975074, 15.156307398747433]"
105, ,Sluneční,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05504812289406, 15.149983017688838]"
81, ,Sluneční,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.047120230500155, 15.155313700831215]"
83, ,Na průhoně,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05425189246754, 15.150000184003147]"
52, ,Bezručova,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.04520076017771, 15.157875846202469]"
255, ,Na skále,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.054561021315244, 15.13756401436094]"
311, ,Martinská,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05544489417003, 15.145718494012367]"
20, ,Václavské náměstí,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.052242306103025, 15.143641571736271]"
210, ,Velimská,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05574092733912, 15.138793838626917]"
21, ,Fučíkova,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.049293270943544, 15.15903548367257]"
95, ,Kolínská,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.04595605652242, 15.154052458079274]"
152, ,Žižkova,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05514730970655, 15.148654054245945]"
276, ,Kněžská,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05659456947678, 15.145031771183186]"
162, ,Nerudova,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05559964936789, 15.147761833452416]"
89, ,Bezručova,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.04533470597505, 15.15862344341643]"
38, ,Na průhoně,28002,Nová Ves I,Ohrada,Ohrada,705713,"[50.04808960509139, 15.159499210789022]"
88, ,Táborská,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05309772050861, 15.148737731782894]"
116, ,Sluneční,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05485685683279, 15.150302524452648]"
213, ,Havlíčkova,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.053026729087655, 15.13830518121299]"
309, ,Maternův dvůr,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.052037939974255, 15.142351099083857]"
25, ,Václavské náměstí,28002,Nová Ves I,Nová Ves I,Nová Ves I,705713,"[50.05132603330506, 15.144513233995957]"
