cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
131, , ,Nový Ples,Nový Ples,527372605,"[50.32381014838362, 15.94733048765976]"
130, , ,Nový Ples,Nový Ples,29787369010,"[50.3209672566608, 15.951793957368832]"
127, , ,Nový Ples,Nový Ples,16490763010,"[50.322441238596674, 15.953348617297733]"
129, , ,Nový Ples,Nový Ples,14847608010,"[50.32162948415686, 15.953991575549452]"
126, , ,Nový Ples,Nový Ples,749310605,"[50.32112209642634, 15.946365295301058]"
83, , ,Nový Ples,Nový Ples,527262605,"[50.31944871015778, 15.945412772700552]"
66, , ,Nový Ples,Nový Ples,15362871010,"[50.322698265946535, 15.949581544509709]"
30, , ,Nový Ples,Nový Ples,14824108010,"[50.32234725469519, 15.949928529034228]"
42, , ,Nový Ples,Nový Ples,527239605,"[50.32069212782133, 15.946895512140827]"
13, , ,Nový Ples,Nový Ples,527377605,"[50.31311554741172, 15.951347225420692]"
107, , ,Nový Ples,Nový Ples,527287605,"[50.32428181399779, 15.950266780681982]"
46, , ,Nový Ples,Nový Ples,527238605,"[50.320572863962234, 15.94867565926476]"
95, , ,Nový Ples,Nový Ples,527203605,"[50.32452661351189, 15.951357374313613]"
37, , ,Nový Ples,Nový Ples,527270605,"[50.32043247999966, 15.946932191315383]"
98, , ,Nový Ples,Nový Ples,527278605,"[50.32341006905094, 15.949840642639652]"
45, , ,Nový Ples,Nový Ples,527286605,"[50.32180169314492, 15.949118826403419]"
61, , ,Nový Ples,Nový Ples,527242605,"[50.317691358051334, 15.949860982057162]"
106, , ,Nový Ples,Nový Ples,527280605,"[50.323814266913594, 15.950026551873991]"
108, , ,Nový Ples,Nový Ples,527301605,"[50.32288210265229, 15.950987048154017]"
80, , ,Nový Ples,Nový Ples,527300605,"[50.31821688506997, 15.949642331306737]"
10, , ,Nový Ples,Nový Ples,527249605,"[50.318141905211775, 15.949936908786876]"
14, , ,Nový Ples,Nový Ples,527212605,"[50.31797243833225, 15.949191628267833]"
59, , ,Nový Ples,Nový Ples,527246605,"[50.32302153736527, 15.950186987923228]"
92, , ,Nový Ples,Nový Ples,527269605,"[50.32108039744357, 15.945549701427916]"
33, , ,Nový Ples,Nový Ples,527355605,"[50.3215172436169, 15.950939338418351]"
44, , ,Nový Ples,Nový Ples,527230605,"[50.3214907184139, 15.948871235460663]"
40, , ,Nový Ples,Nový Ples,527353605,"[50.32146417272395, 15.9501382570141]"
23, , ,Nový Ples,Nový Ples,527218605,"[50.320701807465426, 15.948602633430719]"
64, , ,Nový Ples,Nový Ples,527244605,"[50.32328018034255, 15.950320726793489]"
93, , ,Nový Ples,Nový Ples,527274605,"[50.321272395972635, 15.945832858194446]"
121, , ,Nový Ples,Nový Ples,619904605,"[50.3221548901898, 15.952635199931718]"
100, , ,Nový Ples,Nový Ples,527205605,"[50.32325933233169, 15.94901297165651]"
67, , ,Nový Ples,Nový Ples,527360605,"[50.32309309580827, 15.949776511038975]"
18, , ,Nový Ples,Nový Ples,527225605,"[50.31886347347471, 15.948898312227659]"
3, , ,Nový Ples,Nový Ples,527363605,"[50.32115515918943, 15.94950082480481]"
32, , ,Nový Ples,Nový Ples,527304605,"[50.32147811458897, 15.950505965829736]"
113, , ,Nový Ples,Nový Ples,527277605,"[50.3217729692005, 15.945467151201765]"
9, , ,Nový Ples,Nový Ples,527302605,"[50.31930604529172, 15.948334450176613]"
62, , ,Nový Ples,Nový Ples,527292605,"[50.32226690765151, 15.956635139459062]"
70, , ,Nový Ples,Nový Ples,527281605,"[50.32431894128139, 15.95082340370232]"
38, , ,Nový Ples,Nový Ples,527231605,"[50.32210800870275, 15.949723817519002]"
110, , ,Nový Ples,Nový Ples,527276605,"[50.32172298999256, 15.944693350383881]"
90, , ,Nový Ples,Nový Ples,527247605,"[50.321668131867895, 15.952920837577617]"
63, , ,Nový Ples,Nový Ples,527248605,"[50.32341246958242, 15.950337148441779]"
58, , ,Nový Ples,Nový Ples,527243605,"[50.321706239720385, 15.949060056216036]"
28, , ,Nový Ples,Nový Ples,717549605,"[50.320990561286905, 15.9473031483672]"
122, , ,Nový Ples,Nový Ples,631303605,"[50.322415264934094, 15.952861091858445]"
56, , ,Nový Ples,Nový Ples,527284605,"[50.32041304472922, 15.949445054461576]"
101, , ,Nový Ples,Nový Ples,527275605,"[50.3245569066557, 15.950288939067683]"
7, , ,Nový Ples,Nový Ples,527211605,"[50.31876393043873, 15.949576944276014]"
118, , ,Nový Ples,Nový Ples,741590605,"[50.32127005179043, 15.951808945304563]"
119, , ,Nový Ples,Nový Ples,527376605,"[50.31949937753125, 15.949639162540528]"
24, , ,Nový Ples,Nový Ples,527228605,"[50.32092032898084, 15.948596940898243]"
65, , ,Nový Ples,Nový Ples,527250605,"[50.323796041555944, 15.950535310339854]"
111, , ,Nový Ples,Nový Ples,527294605,"[50.31909791025538, 15.948911768182953]"
