cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
176, ,Kraví hora,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.845614079472924, 16.045960426054883]"
523, ,U Splavu,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.833988188747526, 16.057815439002702]"
341, ,Zlatá hora,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.825155026360434, 16.058893685612784]"
73, ,Blatná,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82778887608847, 16.063646462001763]"
610, ,Jasanová,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.829351439293454, 16.05492396527237]"
197, ,Kraví hora,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.83941959820538, 16.05279316847545]"
611, ,Jasanová,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82934492361155, 16.0550759293281]"
81, ,Dlouhá,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82873969062207, 16.062145242591033]"
1064, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.84076799048395, 16.05444808860658]"
1067, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.84333566641894, 16.05371095012199]"
37, ,Vinařská,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82678710286507, 16.056241299028425]"
127, ,U Vinohradu,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82628052527119, 16.058822458499435]"
71, ,Sv. Urbana,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.83661314493037, 16.05292646305309]"
521, ,V Zahradách,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.83194250525109, 16.061244304449286]"
48, ,Znojemská,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.83415845724602, 16.056829753605175]"
700, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.843735602166426, 16.053613516251552]"
512, ,V Zahradách,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.831363188493896, 16.0607696996649]"
106, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.83958469685021, 16.054381164919985]"
211, ,Barevná,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.83043711548348, 16.0551756611831]"
304, ,Žlutá,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.83013028410245, 16.054838017633088]"
690, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.84306845727899, 16.053984293905007]"
685, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.842904317309575, 16.053973386547135]"
152, ,Slunečná,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.832498280932846, 16.05760942028872]"
116, ,Ke Kovárně,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.837101449924276, 16.053105802567753]"
311, ,Pod Starou cestou,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.82529419184319, 16.051486428329397]"
305, ,Pod Starou cestou,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.8254188300839, 16.050127861842746]"
1079, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.84052650282893, 16.054504339996456]"
200, ,Barevná,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.830416961517855, 16.055579702148655]"
1118, , ,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.84222462256221, 16.05144236384691]"
683, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.84283184632564, 16.053975098981926]"
520, ,V Zahradách,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.83213869370633, 16.061086595246753]"
662, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.842245440616466, 16.05395635867406]"
228, ,Jižní,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82810961447372, 16.065007135672744]"
686, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.84295822214545, 16.053990558860583]"
186, ,Sklepní,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82543724326478, 16.055471636148816]"
612, ,Kraví hora,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.83854408550813, 16.051279494368817]"
1001, ,Vinařská,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82699168563187, 16.05450704023108]"
142, ,Dlouhá,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.830631808549455, 16.063858161723086]"
601, ,Žlutá,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82962630936782, 16.05484845102105]"
257, ,Hluboká,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.827003340161816, 16.06182452648403]"
1105, ,Sklepní,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.826077757264336, 16.05615478772334]"
1096, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.8463807477615, 16.051737739142414]"
321, ,Nová,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82499397228919, 16.06129367442139]"
237, ,K Remízku,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.825701473356844, 16.063212800388555]"
641, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.841479596915875, 16.054063244240314]"
183, ,Polní,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.8332124454365, 16.05745995412315]"
1063, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.84186582676829, 16.054379658022597]"
1066, ,K Přehradě,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.84333440745458, 16.054367577427158]"
166, ,Dlouhá,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.83029185524162, 16.063898109266578]"
232, ,Za Humny,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82745761859215, 16.06433285066335]"
218, ,Barevná,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.831203029950046, 16.0543943217337]"
221, ,Barevná,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.830670155682824, 16.054885199531654]"
112, ,Ke Sklepům,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82739335565029, 16.060944815630375]"
99, ,Blatná,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.827317067026065, 16.063209292846107]"
208, ,Meruňková,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.83151369638092, 16.055216699405157]"
1073, ,Kraví hora,67181,Nový Šaldorf-Sedlešovice,Sedlešovice,Sedlešovice,707996,"[48.85066546494273, 16.036641300512517]"
627, ,Lipová,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82868559413908, 16.055451792727705]"
345, ,Zlatá hora,67181,Nový Šaldorf-Sedlešovice,Nový Šaldorf,Nový Šaldorf,707988,"[48.82534129569097, 16.05979339977483]"
