cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
123, , ,Nítkovice,Nítkovice,272526708,"[49.20247291628962, 17.165860933706753]"
31, , ,Nítkovice,Nítkovice,272559708,"[49.204951336227374, 17.165480140385586]"
139, , ,Nítkovice,Nítkovice,272551708,"[49.20357890723483, 17.165911701515515]"
3, , ,Nítkovice,Nítkovice,272518708,"[49.208589638376, 17.158023724205304]"
89, , ,Nítkovice,Nítkovice,272583708,"[49.204841364075065, 17.16474887387684]"
34, , ,Nítkovice,Nítkovice,272533708,"[49.20557317768183, 17.166224495190246]"
2, , ,Nítkovice,Nítkovice,272562708,"[49.2096781412536, 17.14949147437079]"
104, , ,Nítkovice,Nítkovice,272502708,"[49.20377945851539, 17.16583081946076]"
25, , ,Nítkovice,Nítkovice,272536708,"[49.20530803113741, 17.16475757978042]"
24, , ,Nítkovice,Nítkovice,272532708,"[49.20538691032775, 17.16450379226507]"
41, , ,Nítkovice,Nítkovice,272524708,"[49.203662211070096, 17.16806816242051]"
110, , ,Nítkovice,Nítkovice,272485708,"[49.20357331431581, 17.168523749634996]"
77, , ,Nítkovice,Nítkovice,272448708,"[49.20634786943176, 17.159007330472452]"
73, , ,Nítkovice,Nítkovice,272540708,"[49.20513825483105, 17.160281263445718]"
111, , ,Nítkovice,Nítkovice,272543708,"[49.20379549829205, 17.16869004091893]"
125, , ,Nítkovice,Nítkovice,272527708,"[49.20346004566988, 17.16951714752411]"
99, , ,Nítkovice,Nítkovice,272435708,"[49.20521638225986, 17.165987851988852]"
60, , ,Nítkovice,Nítkovice,272456708,"[49.20395996366263, 17.16453092713383]"
75, , ,Nítkovice,Nítkovice,272501708,"[49.206279882619405, 17.160618450835017]"
84, , ,Nítkovice,Nítkovice,272493708,"[49.20314576750367, 17.165881006444973]"
129, , ,Nítkovice,Nítkovice,272519708,"[49.20221636103587, 17.165332636184402]"
97, , ,Nítkovice,Nítkovice,272462708,"[49.20320787922341, 17.167452980457163]"
46, , ,Nítkovice,Nítkovice,272513708,"[49.20267471282192, 17.165375589959297]"
94, , ,Nítkovice,Nítkovice,272507708,"[49.20424026421902, 17.16559312017823]"
58, , ,Nítkovice,Nítkovice,272439708,"[49.203528067769604, 17.16508350598614]"
54, , ,Nítkovice,Nítkovice,272505708,"[49.204476406963124, 17.164636536431487]"
126, , ,Nítkovice,Nítkovice,272509708,"[49.203236811051596, 17.167629915503337]"
17, , ,Nítkovice,Nítkovice,272459708,"[49.20564579720588, 17.163270152462488]"
85, , ,Nítkovice,Nítkovice,272437708,"[49.20384133772698, 17.167465056902767]"
109, , ,Nítkovice,Nítkovice,272470708,"[49.203329144133356, 17.170270626991677]"
8, , ,Nítkovice,Nítkovice,272547708,"[49.20632719962205, 17.159990717790986]"
32, , ,Nítkovice,Nítkovice,272489708,"[49.20550794551968, 17.166386524386695]"
19, , ,Nítkovice,Nítkovice,272496708,"[49.206010433816665, 17.162896847252174]"
128, , ,Nítkovice,Nítkovice,272511708,"[49.20672307934415, 17.16111228179013]"
72, , ,Nítkovice,Nítkovice,272515708,"[49.20535689970882, 17.160210263725773]"
82, , ,Nítkovice,Nítkovice,272484708,"[49.204112975880626, 17.1656871617665]"
21, , ,Nítkovice,Nítkovice,272491708,"[49.20584044194579, 17.163425763590727]"
6, , ,Nítkovice,Nítkovice,272546708,"[49.20635644105362, 17.159495841116453]"
69, , ,Nítkovice,Nítkovice,272433708,"[49.20555306262829, 17.160889933832443]"
108, , ,Nítkovice,Nítkovice,272530708,"[49.20563561339772, 17.16152169170245]"
134, , ,Nítkovice,Nítkovice,272578708,"[49.20531346543725, 17.16670744990955]"
47, , ,Nítkovice,Nítkovice,272563708,"[49.202834494082836, 17.165471315189354]"
121, , ,Nítkovice,Nítkovice,272554708,"[49.203524956600354, 17.169060971456094]"
39, , ,Nítkovice,Nítkovice,286741708,"[49.20594622648015, 17.16697205206239]"
63, , ,Nítkovice,Nítkovice,272441708,"[49.20446015334758, 17.164188814620836]"
7, , ,Nítkovice,Nítkovice,272440708,"[49.206346979531205, 17.15968930997432]"
103, , ,Nítkovice,Nítkovice,272453708,"[49.2089281175307, 17.14785996869711]"
40, , ,Nítkovice,Nítkovice,272445708,"[49.20546580196, 17.160166345021675]"
50, , ,Nítkovice,Nítkovice,272495708,"[49.203050727006506, 17.165728160324733]"
11, , ,Nítkovice,Nítkovice,272517708,"[49.205811501137624, 17.159897866097594]"
16, , ,Nítkovice,Nítkovice,272438708,"[49.205376457497316, 17.163687843095786]"
105, , ,Nítkovice,Nítkovice,272490708,"[49.203298072109035, 17.16721443649702]"
131, , ,Nítkovice,Nítkovice,272575708,"[49.205504026103114, 17.166823146601082]"
133, , ,Nítkovice,Nítkovice,272577708,"[49.20537849811415, 17.166746564666024]"
120, , ,Nítkovice,Nítkovice,272452708,"[49.20337746084753, 17.170063070397536]"
45, , ,Nítkovice,Nítkovice,272579708,"[49.20256324211347, 17.165321683328234]"
71, , ,Nítkovice,Nítkovice,272539708,"[49.20524799642048, 17.16023362965588]"
101, , ,Nítkovice,Nítkovice,272508708,"[49.205498668580724, 17.161737789444427]"
74, , ,Nítkovice,Nítkovice,272545708,"[49.203832994479434, 17.16505858354625]"
61, , ,Nítkovice,Nítkovice,272516708,"[49.20411068561916, 17.164456454579536]"
88, , ,Nítkovice,Nítkovice,272525708,"[49.20322554988177, 17.166880887199866]"
57, , ,Nítkovice,Nítkovice,272564708,"[49.20396884193072, 17.164916190319655]"
37, , ,Nítkovice,Nítkovice,272488708,"[49.20457051771461, 17.166461851462813]"
62, , ,Nítkovice,Nítkovice,272449708,"[49.20426796926211, 17.164348558646868]"
93, , ,Nítkovice,Nítkovice,272434708,"[49.20625775636984, 17.160455772370998]"
53, , ,Nítkovice,Nítkovice,272463708,"[49.20463904230641, 17.16531529045008]"
14, , ,Nítkovice,Nítkovice,272451708,"[49.20478300465162, 17.16420816768857]"
36, , ,Nítkovice,Nítkovice,272523708,"[49.20487865301679, 17.166282783709914]"
81, , ,Nítkovice,Nítkovice,272580708,"[49.203244089185915, 17.170574858120087]"
13, , ,Nítkovice,Nítkovice,272461708,"[49.20482748158984, 17.16382476739901]"
78, , ,Nítkovice,Nítkovice,272471708,"[49.20577071330341, 17.165732052970267]"
112, , ,Nítkovice,Nítkovice,272460708,"[49.191005464970544, 17.168905740585643]"
116, , ,Nítkovice,Nítkovice,272464708,"[49.20273213064662, 17.165924004518736]"
42, , ,Nítkovice,Nítkovice,272521708,"[49.20355832752594, 17.16773184069525]"
100, , ,Nítkovice,Nítkovice,272430708,"[49.20358804371803, 17.16833183130204]"
29, , ,Nítkovice,Nítkovice,272537708,"[49.20567710490018, 17.165948928740015]"
33, , ,Nítkovice,Nítkovice,272436708,"[49.206196400488324, 17.16677885127496]"
118, , ,Nítkovice,Nítkovice,272466708,"[49.206495006611554, 17.160205208274313]"
127, , ,Nítkovice,Nítkovice,272467708,"[49.203176298536924, 17.166709694642808]"
55, , ,Nítkovice,Nítkovice,272555708,"[49.20430826397605, 17.16471272043208]"
1, , ,Nítkovice,Nítkovice,272468708,"[49.20925753962171, 17.148228739702557]"
4, , ,Nítkovice,Nítkovice,272465708,"[49.20633554441348, 17.15878369219165]"
20, , ,Nítkovice,Nítkovice,272486708,"[49.20589213450129, 17.1632503606303]"
52, , ,Nítkovice,Nítkovice,272550708,"[49.20347355222062, 17.165846370307268]"
130, , ,Nítkovice,Nítkovice,272574708,"[49.20557398998093, 17.166864400784718]"
44, , ,Nítkovice,Nítkovice,272431708,"[49.20347067016788, 17.166256194778565]"
59, , ,Nítkovice,Nítkovice,272535708,"[49.203804216062515, 17.164652516990895]"
80, , ,Nítkovice,Nítkovice,272492708,"[49.202919599115546, 17.165616031583507]"
27, , ,Nítkovice,Nítkovice,272552708,"[49.20507736971071, 17.16523966303648]"
51, , ,Nítkovice,Nítkovice,272557708,"[49.20325491460899, 17.165901064962505]"
107, , ,Nítkovice,Nítkovice,272450708,"[49.20353562431002, 17.168781401232376]"
23, , ,Nítkovice,Nítkovice,272529708,"[49.20546421199152, 17.164245280530878]"
86, , ,Nítkovice,Nítkovice,272556708,"[49.205723038495364, 17.166619285062872]"
26, , ,Nítkovice,Nítkovice,272455708,"[49.205212328967036, 17.164990640120415]"
67, , ,Nítkovice,Nítkovice,272500708,"[49.20577274379801, 17.161301563940114]"
15, , ,Nítkovice,Nítkovice,272443708,"[49.20491456861736, 17.164451545326596]"
132, , ,Nítkovice,Nítkovice,272576708,"[49.20544140924488, 17.1667836605162]"
87, , ,Nítkovice,Nítkovice,272538708,"[49.20325050402537, 17.16702353658577]"
124, , ,Nítkovice,Nítkovice,272469708,"[49.206329381308564, 17.158608213323912]"
106, , ,Nítkovice,Nítkovice,272444708,"[49.20374977253626, 17.167210015922056]"
92, , ,Nítkovice,Nítkovice,272472708,"[49.20577514818649, 17.160902550161715]"
56, , ,Nítkovice,Nítkovice,272432708,"[49.20413627500865, 17.16481280572349]"
119, , ,Nítkovice,Nítkovice,272447708,"[49.20287441964292, 17.16602310860974]"
135, , ,Nítkovice,Nítkovice,272504708,"[49.2039196411167, 17.162621364549388]"
9, , ,Nítkovice,Nítkovice,272549708,"[49.206290173215045, 17.160156836348207]"
30, , ,Nítkovice,Nítkovice,272522708,"[49.205690725792124, 17.16613898360693]"
138, , ,Nítkovice,Nítkovice,272506708,"[49.205084165835615, 17.166397697978844]"
91, , ,Nítkovice,Nítkovice,272541708,"[49.20614490862428, 17.16137925274283]"
102, , ,Nítkovice,Nítkovice,272457708,"[49.20906644880063, 17.148004203397903]"
113, , ,Nítkovice,Nítkovice,272534708,"[49.20608768512436, 17.16147081415942]"
114, , ,Nítkovice,Nítkovice,272542708,"[49.2037806345278, 17.16897039500816]"
115, , ,Nítkovice,Nítkovice,272442708,"[49.20576448874277, 17.163010241035995]"
137, , ,Nítkovice,Nítkovice,272503708,"[49.20410425726057, 17.168258614787995]"
136, , ,Nítkovice,Nítkovice,272428708,"[49.19985679962279, 17.166483516430333]"
