cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
87, , ,Obrubce,Obrubce,62450509010,"[50.445944225589606, 15.06748330270615]"
82, , ,Obrubce,Obrubce,36593051010,"[50.45046617731494, 15.065342753369096]"
83, , ,Obrubce,Obrubce,36625038010,"[50.45054839344455, 15.065681078327549]"
78, , ,Obrubce,Obrubce,14577413010,"[50.44630570446706, 15.06622479157381]"
81, , ,Obrubce,Obrubce,602818207,"[50.444041945012465, 15.065702052286433]"
38, , ,Obrubce,Obora,24679623010,"[50.45070865420069, 15.050671079926719]"
21, , ,Obrubce,Obora,618983207,"[50.447895099490886, 15.046228389484453]"
6, , ,Obrubce,Obrubce,402487207,"[50.45014671864134, 15.06465480099453]"
37, , ,Obrubce,Obora,672968207,"[50.44943678003712, 15.053937796900252]"
79, , ,Obrubce,Obrubce,668585207,"[50.45931700234703, 15.062306915560352]"
5, , ,Obrubce,Obora,402459207,"[50.4497347170797, 15.053874908743879]"
25, , ,Obrubce,Obora,402452207,"[50.45032342382073, 15.051929973379101]"
28, , ,Obrubce,Obora,402447207,"[50.44973865215344, 15.053035658631273]"
32, , ,Obrubce,Obora,402451207,"[50.44937373750896, 15.05482986634189]"
2, , ,Obrubce,Obrubce,402476207,"[50.44955583676963, 15.064317910910114]"
7, , ,Obrubce,Obrubce,402541207,"[50.45058864979099, 15.064937428603287]"
36, , ,Obrubce,Obrubce,402543207,"[50.44955245092932, 15.063780978657569]"
9, , ,Obrubce,Obrubce,402444207,"[50.450675609071816, 15.064280037035134]"
11, , ,Obrubce,Obrubce,402465207,"[50.4486546341972, 15.063740283713216]"
12, , ,Obrubce,Obrubce,402466207,"[50.44844139108276, 15.06354468349015]"
21, , ,Obrubce,Obrubce,402488207,"[50.44540439186754, 15.066149271612069]"
28, , ,Obrubce,Obrubce,402445207,"[50.459346104174074, 15.062846860761308]"
46, , ,Obrubce,Obrubce,402560207,"[50.4478021961641, 15.063467841765608]"
3, , ,Obrubce,Obora,402453207,"[50.45036607594027, 15.053266508481933]"
12, , ,Obrubce,Obora,402505207,"[50.45020198455342, 15.051239275237126]"
62, , ,Obrubce,Obrubce,402464207,"[50.45078223037867, 15.064929313607587]"
65, , ,Obrubce,Obrubce,402568207,"[50.44808831307945, 15.064659338871891]"
24, , ,Obrubce,Obora,402474207,"[50.45052582869206, 15.05086589884199]"
26, , ,Obrubce,Obora,402500207,"[50.45022861572089, 15.052078606494604]"
30, , ,Obrubce,Obora,402535207,"[50.45109648916735, 15.05002921356268]"
33, , ,Obrubce,Obrubce,402450207,"[50.445396209408486, 15.064218687701254]"
40, , ,Obrubce,Obrubce,402518207,"[50.44694727841757, 15.073503519336839]"
45, , ,Obrubce,Obrubce,402527207,"[50.44908686314861, 15.064283933175284]"
50, , ,Obrubce,Obrubce,402502207,"[50.445619699381595, 15.068050562474756]"
17, , ,Obrubce,Obora,402545207,"[50.44995110280021, 15.0528428163794]"
33, , ,Obrubce,Obora,402516207,"[50.4494672509386, 15.054527896835546]"
