cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
36, , ,Obyčtov,Obyčtov,228130714,"[49.50221540082255, 15.999389722847539]"
166, , ,Obyčtov,Obyčtov,61129485010,"[49.498760814738226, 15.998388181462948]"
157, , ,Obyčtov,Obyčtov,48445284010,"[49.50256869725687, 16.000664960052077]"
158, , ,Obyčtov,Obyčtov,44160115010,"[49.50085227514089, 16.002625424145727]"
151, , ,Obyčtov,Obyčtov,25799890010,"[49.50334452627701, 16.000748867365388]"
147, , ,Obyčtov,Obyčtov,24613100010,"[49.50395791718576, 16.000959079643348]"
150, , ,Obyčtov,Obyčtov,24487690010,"[49.503557643314885, 16.000933230317216]"
152, , ,Obyčtov,Obyčtov,24488003010,"[49.503279916735245, 16.00133031856086]"
28, , ,Obyčtov,Obyčtov,228003714,"[49.50004759011809, 16.001921164817674]"
57, , ,Obyčtov,Obyčtov,228009714,"[49.499268672043414, 16.000003089766526]"
26, , ,Obyčtov,Obyčtov,228103714,"[49.49927219581597, 16.00076692235055]"
142, , ,Obyčtov,Obyčtov,23729115010,"[49.50297583207164, 16.000064066113197]"
154, , ,Obyčtov,Obyčtov,23641983010,"[49.50286053874696, 16.00093256856982]"
141, , ,Obyčtov,Obyčtov,16064776010,"[49.50276416682359, 16.000018452674865]"
145, , ,Obyčtov,Obyčtov,21978688010,"[49.50360957930605, 16.00042354016145]"
3, , ,Obyčtov,Obyčtov,0,"[49.49848515732166, 15.999698187573161]"
156, , ,Obyčtov,Obyčtov,348892714,"[49.50197417532093, 16.00225839484516]"
143, , ,Obyčtov,Obyčtov,20899167010,"[49.50318375781281, 16.000179849625475]"
148, , ,Obyčtov,Obyčtov,21044772010,"[49.50397909793627, 16.0013584164864]"
39, , ,Obyčtov,Obyčtov,228063714,"[49.50065478274653, 15.99965834001491]"
149, , ,Obyčtov,Obyčtov,15363065010,"[49.50360665832474, 16.001341495844734]"
153, , ,Obyčtov,Obyčtov,15716954010,"[49.503083009524126, 16.000642648141508]"
144, , ,Obyčtov,Obyčtov,16054028010,"[49.50340269229475, 16.000321469691837]"
99, , ,Obyčtov,Obyčtov,228095714,"[49.50146343502282, 15.996293483915828]"
52, , ,Obyčtov,Obyčtov,228017714,"[49.50126451218549, 15.996696943427452]"
115, , ,Obyčtov,Obyčtov,228086714,"[49.500190342085595, 15.996736716210643]"
120, , ,Obyčtov,Obyčtov,228131714,"[49.49995039913688, 15.997640783851722]"
108, , ,Obyčtov,Obyčtov,228132714,"[49.50049104060816, 15.995518633528603]"
136, , ,Obyčtov,Obyčtov,228148714,"[49.499930619469396, 15.996173881048186]"
102, , ,Obyčtov,Obyčtov,228021714,"[49.50157524950413, 15.995819260040479]"
71, , ,Obyčtov,Obyčtov,228109714,"[49.49913788824036, 16.001661684183553]"
130, , ,Obyčtov,Obyčtov,228059714,"[49.49973363870007, 15.996941148877223]"
122, , ,Obyčtov,Obyčtov,228002714,"[49.50071301754966, 15.997178513322728]"
48, , ,Obyčtov,Obyčtov,228106714,"[49.50013186143447, 16.002271403099538]"
109, , ,Obyčtov,Obyčtov,228060714,"[49.50060460193889, 15.99620265150549]"
58, , ,Obyčtov,Obyčtov,228127714,"[49.49913441931609, 16.000246942568143]"
45, , ,Obyčtov,Obyčtov,228150714,"[49.50098547467317, 16.00457054722561]"
113, , ,Obyčtov,Obyčtov,228013714,"[49.50025977356015, 15.996436732516353]"
140, , ,Obyčtov,Obyčtov,311243714,"[49.50091631503538, 15.996796936074045]"
138, , ,Obyčtov,Obyčtov,313084714,"[49.4991816318425, 16.00369720216268]"
51, , ,Obyčtov,Obyčtov,300597714,"[49.50105533580122, 15.996460750861708]"
67, , ,Obyčtov,Obyčtov,228128714,"[49.49990670052631, 16.002776941308486]"
8, , ,Obyčtov,Obyčtov,228043714,"[49.5006488767387, 16.002403190885246]"
63, , ,Obyčtov,Obyčtov,228041714,"[49.500574622713856, 16.003956381077014]"
82, , ,Obyčtov,Obyčtov,228110714,"[49.50098649108168, 15.998173971365658]"
29, , ,Obyčtov,Obyčtov,228112714,"[49.499998541923574, 16.002320772072988]"
127, , ,Obyčtov,Obyčtov,228081714,"[49.49952686725908, 15.997713076798538]"
119, , ,Obyčtov,Obyčtov,228014714,"[49.50002060653881, 15.99739403914353]"
17, , ,Obyčtov,Obyčtov,228102714,"[49.499556393516116, 16.002150745309816]"
60, , ,Obyčtov,Obyčtov,228108714,"[49.49930371476073, 16.00107917315564]"
65, , ,Obyčtov,Obyčtov,228154714,"[49.5015823724837, 15.999684137372613]"
96, , ,Obyčtov,Obyčtov,228028714,"[49.501226479867206, 15.996068230395096]"
38, , ,Obyčtov,Obyčtov,228070714,"[49.50143663318645, 15.999527650372794]"
123, , ,Obyčtov,Obyčtov,228038714,"[49.50203633928495, 15.994878149078346]"
18, , ,Obyčtov,Obyčtov,228052714,"[49.499412773431345, 16.00202459727532]"
