cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
107, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.248084111891835, 16.72754409824202]"
548, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.252565277715775, 16.7650438599618]"
23, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25577102179548, 16.718856702398725]"
533, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25458804856173, 16.762772451953637]"
72,6,Brněnská,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25332535533166, 16.736192075686898]"
4, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25673422345819, 16.721812207333866]"
461, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25653777774663, 16.750644122514174]"
206, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.251120091621864, 16.76060421358858]"
288,12,Na Pile,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25449412862142, 16.731567693390748]"
56, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25635912043138, 16.71590586455039]"
575, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25440601158169, 16.770850232236157]"
282, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.235613996115475, 16.73106131364304]"
442,38,Příhon,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25528922552238, 16.74409300517771]"
481,35,Pod Skalkou,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25569329257854, 16.73833528912428]"
420, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25657234236987, 16.744762067377955]"
536, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.254118307975894, 16.76345434172398]"
491,22,Pod Skalkou,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25610386585539, 16.738517247816958]"
179,50,Za Oborou,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25873632248388, 16.73559493104698]"
655, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25508279509622, 16.75063707039238]"
450, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25687450908007, 16.74982421582567]"
586, , ,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25607344048906, 16.769811063389284]"
471,15,Pod Skalkou,66402,Ochoz u Brna,Ochoz u Brna,Ochoz u Brna,709433,"[49.25573780645281, 16.73936424100731]"
