cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
157, , ,Okrouhlo,Okrouhlo,60898428010,"[49.91905679830062, 14.451162900431989]"
38, , ,Okrouhlo,Okrouhlo,399355210,"[49.906814813469225, 14.436442659364673]"
211, , ,Okrouhlo,Okrouhlo,0,"[49.919543279292185, 14.44141575082914]"
181, , ,Okrouhlo,Zahořany,0,"[49.912289164978965, 14.45789209075473]"
238, , ,Okrouhlo,Zahořany,0,"[49.90840381064728, 14.456780071841004]"
99, , ,Okrouhlo,Okrouhlo,0,"[49.91920205693654, 14.446567646916586]"
177, , ,Okrouhlo,Zahořany,0,"[49.910599963765975, 14.46108577670834]"
244, , ,Okrouhlo,Okrouhlo,0,"[49.91748167883541, 14.446927339274959]"
50, , ,Okrouhlo,Okrouhlo,399514210,"[49.90741086920815, 14.43775025836141]"
72, , ,Okrouhlo,Okrouhlo,399331210,"[49.9081746422232, 14.437225900195276]"
168, , ,Okrouhlo,Zahořany,0,"[49.910848235134644, 14.461497552093777]"
174, , ,Okrouhlo,Zahořany,0,"[49.91214044141213, 14.45865602706425]"
2, , ,Okrouhlo,Zahořany,0,"[49.91203009510295, 14.458431682181875]"
183, , ,Okrouhlo,Zahořany,399607210,"[49.906386655330984, 14.458356168998272]"
261, , ,Okrouhlo,Zahořany,61259784010,"[49.9095682622265, 14.45346790192333]"
43, , ,Okrouhlo,Zahořany,399437210,"[49.90824933479877, 14.457889892248303]"
240, , ,Okrouhlo,Okrouhlo,56694511010,"[49.92151144106101, 14.44603476163195]"
194, , ,Okrouhlo,Okrouhlo,903068210,"[49.92033382141537, 14.444626439451408]"
236, , ,Okrouhlo,Okrouhlo,50211331010,"[49.92043734741713, 14.443030056533878]"
114, , ,Okrouhlo,Okrouhlo,49939247010,"[49.90750645456419, 14.436813510275483]"
238, , ,Okrouhlo,Okrouhlo,49702302010,"[49.921696764550376, 14.448638100136263]"
237, , ,Okrouhlo,Okrouhlo,47442217010,"[49.92133097813971, 14.450655715285611]"
104, , ,Okrouhlo,Okrouhlo,45799150010,"[49.90715599063196, 14.435932454419111]"
193, , ,Okrouhlo,Okrouhlo,44323149010,"[49.9161466042431, 14.447456414647071]"
112, , ,Okrouhlo,Okrouhlo,32676950010,"[49.90624086880574, 14.437279499772771]"
113, , ,Okrouhlo,Okrouhlo,37848036010,"[49.90630050557081, 14.43621284253665]"
233, , ,Okrouhlo,Okrouhlo,36662142010,"[49.9216653283925, 14.448180898035606]"
54, , ,Okrouhlo,Zahořany,42011052010,"[49.90977327733775, 14.459828925852038]"
234, , ,Okrouhlo,Okrouhlo,29513143010,"[49.9174514997867, 14.444873856627337]"
111, , ,Okrouhlo,Okrouhlo,29779451010,"[49.90779099846088, 14.439099880366012]"
229, , ,Okrouhlo,Okrouhlo,26792414010,"[49.920850484259965, 14.450251784438073]"
220, , ,Okrouhlo,Okrouhlo,26853374010,"[49.918818657983394, 14.441561025987598]"
230, , ,Okrouhlo,Okrouhlo,28869503010,"[49.91780013051438, 14.444813784093718]"
131, , ,Okrouhlo,Okrouhlo,27082461010,"[49.906722090921775, 14.437486292170817]"
139, , ,Okrouhlo,Okrouhlo,26689598010,"[49.92150198860583, 14.450127376603561]"
52, , ,Okrouhlo,Zahořany,929426210,"[49.90756081964381, 14.457698803522204]"
228, , ,Okrouhlo,Okrouhlo,24705559010,"[49.92162829645049, 14.44643163021403]"
156, , ,Okrouhlo,Zahořany,0,"[49.91344330247366, 14.464419415108125]"
14, , ,Okrouhlo,Okrouhlo,399360210,"[49.919951772059655, 14.448001013452064]"
74, , ,Okrouhlo,Okrouhlo,399199210,"[49.9188341165637, 14.445741204072384]"
109, , ,Okrouhlo,Okrouhlo,399636210,"[49.9169488846605, 14.444809384237246]"
31, , ,Okrouhlo,Okrouhlo,399398210,"[49.917519503513795, 14.447151361814385]"
33, , ,Okrouhlo,Okrouhlo,399387210,"[49.91731180357926, 14.447125234846796]"
66, , ,Okrouhlo,Okrouhlo,399235210,"[49.91723126762054, 14.447650192468961]"
85, , ,Okrouhlo,Okrouhlo,399424210,"[49.92189027340803, 14.444204085745156]"
113, , ,Okrouhlo,Okrouhlo,399589210,"[49.91876119138483, 14.44752963046275]"
35, , ,Okrouhlo,Okrouhlo,399226210,"[49.90686364967584, 14.437995394177092]"
22, , ,Okrouhlo,Okrouhlo,399246210,"[49.90582938524373, 14.436324459562998]"
231, , ,Okrouhlo,Okrouhlo,27088365010,"[49.92138463599642, 14.448802846637697]"
217, , ,Okrouhlo,Okrouhlo,16543842010,"[49.91678214432124, 14.451453681720917]"
138, , ,Okrouhlo,Okrouhlo,29043528010,"[49.921689407477004, 14.449989144180153]"
221, , ,Okrouhlo,Okrouhlo,44604120010,"[49.91881081894397, 14.441984386655488]"
235, , ,Okrouhlo,Okrouhlo,41663051010,"[49.920604462263356, 14.452904562250025]"
163, , ,Okrouhlo,Zahořany,399441210,"[49.91181422254316, 14.461559965895798]"
25, , ,Okrouhlo,Okrouhlo,399384210,"[49.91980511973323, 14.449925744793092]"
26, , ,Okrouhlo,Okrouhlo,399377210,"[49.91711981640727, 14.44983580145102]"
27, , ,Okrouhlo,Okrouhlo,399382210,"[49.9179115974145, 14.447095279074482]"
28, , ,Okrouhlo,Okrouhlo,399386210,"[49.917268084994205, 14.44423817101825]"
29, , ,Okrouhlo,Okrouhlo,399460210,"[49.91777221387713, 14.446956237292474]"
30, , ,Okrouhlo,Okrouhlo,399652210,"[49.918435231429996, 14.445732959744495]"
1, , ,Okrouhlo,Okrouhlo,399368210,"[49.92040738660408, 14.446480351903851]"
2, , ,Okrouhlo,Okrouhlo,399538210,"[49.91959990891035, 14.446483344658935]"
3, , ,Okrouhlo,Okrouhlo,399371210,"[49.91916079788281, 14.446239345441798]"
4, , ,Okrouhlo,Okrouhlo,399594210,"[49.91903748742575, 14.44658885874988]"
5, , ,Okrouhlo,Okrouhlo,399644210,"[49.91878841428237, 14.446543416541349]"
6, , ,Okrouhlo,Okrouhlo,399372210,"[49.918456027195504, 14.446684361634917]"
7, , ,Okrouhlo,Okrouhlo,399373210,"[49.91827001091282, 14.447145591747594]"
8, , ,Okrouhlo,Okrouhlo,399610210,"[49.918556111050655, 14.448223325221713]"
9, , ,Okrouhlo,Okrouhlo,399369210,"[49.918627017431035, 14.44902351365298]"
10, , ,Okrouhlo,Okrouhlo,509880210,"[49.919214580514335, 14.449713898287394]"
11, , ,Okrouhlo,Okrouhlo,399367210,"[49.91912866459398, 14.448129734161926]"
12, , ,Okrouhlo,Okrouhlo,399391210,"[49.91900762322593, 14.447480758747108]"
13, , ,Okrouhlo,Okrouhlo,399645210,"[49.918749991735226, 14.44733873740092]"
15, , ,Okrouhlo,Okrouhlo,399366210,"[49.91990802226399, 14.44709255714958]"
16, , ,Okrouhlo,Okrouhlo,399375210,"[49.92040616799215, 14.447183449797759]"
17, , ,Okrouhlo,Okrouhlo,399634210,"[49.920943262500025, 14.448123535642143]"
18, , ,Okrouhlo,Okrouhlo,399381210,"[49.92089610012393, 14.448513096859276]"
19, , ,Okrouhlo,Okrouhlo,399574210,"[49.92054013246842, 14.448490365123668]"
20, , ,Okrouhlo,Okrouhlo,399379210,"[49.920363538196256, 14.449160454570851]"
21, , ,Okrouhlo,Okrouhlo,399378210,"[49.9196762054148, 14.45041700667823]"
22, , ,Okrouhlo,Okrouhlo,399459210,"[49.918217773118094, 14.445737025399563]"
23, , ,Okrouhlo,Okrouhlo,399256210,"[49.918399933913285, 14.444925202995316]"
