cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
69, ,Jihlavská,Okříšky,Okříšky,293295710,"[49.244158623194, 15.767624554498207]"
69, ,Na kopečku,Okříšky,Okříšky,293295710,"[49.244112336179676, 15.767639496479765]"
269, ,Skalka,Okříšky,Okříšky,293182710,"[49.24160734188493, 15.768462953025669]"
269, ,Na vyhlídce,Okříšky,Okříšky,293182710,"[49.24154817963658, 15.768478857776875]"
576, ,Sadová,Okříšky,Okříšky,293502710,"[49.2449434672671, 15.766983038367034]"
443, ,Pod tratí,Okříšky,Okříšky,292984710,"[49.24590615665028, 15.76354287308799]"
443, ,B. Němcové,Okříšky,Okříšky,292984710,"[49.24592508109224, 15.763553253448855]"
576, ,5. května,Okříšky,Okříšky,293502710,"[49.24493773660981, 15.767025581621255]"
46, ,Jihlavská,Okříšky,Okříšky,293510710,"[49.24551637397609, 15.768635327874179]"
46, ,Nádražní,Okříšky,Okříšky,293510710,"[49.245509576789395, 15.768664232953613]"
551, ,Družstevní,Okříšky,Okříšky,293428710,"[49.24382754118266, 15.76278783003264]"
551, ,5. května,Okříšky,Okříšky,293428710,"[49.24384646569633, 15.762798209668459]"
250, ,5. května,Okříšky,Okříšky,293346710,"[49.24590009921674, 15.76533245183048]"
242, ,B. Němcové,Okříšky,Okříšky,293354710,"[49.246496602046165, 15.766442898551253]"
247, ,Družstevní,Okříšky,Okříšky,293345710,"[49.245939389699934, 15.765906825189871]"
296, ,Cihelna,Okříšky,Okříšky,292898710,"[49.24407038360779, 15.75705942016831]"
654, ,Na kopečku,Okříšky,Okříšky,62520202010,"[49.24384395558519, 15.768540373438745]"
160, , ,Okříšky,Okříšky,493239710,"[49.24854649905014, 15.769753472415186]"
159, , ,Okříšky,Okříšky,493218710,"[49.24858599951472, 15.769767574188675]"
43, ,Jihlavská,Okříšky,Okříšky,293085710,"[49.24490036972407, 15.768803394703987]"
139, ,Nádražní,Okříšky,Okříšky,293258710,"[49.24761088619694, 15.773117214158145]"
213, ,Masarykova,Okříšky,Okříšky,293013710,"[49.242041857107985, 15.77363193302135]"
652, , ,Okříšky,Okříšky,61379770010,"[49.24355085078611, 15.772739894026218]"
272, ,B. Němcové,Okříšky,Okříšky,293412710,"[49.24685835425101, 15.763670434195678]"
183, ,Nádražní,Okříšky,Okříšky,292917710,"[49.246687884275, 15.770609974713324]"
431, ,Srázná,Okříšky,Okříšky,293677710,"[49.24786181093133, 15.780628208929308]"
79, ,Kostelní,Okříšky,Okříšky,292882710,"[49.24345445466759, 15.767282249501864]"
227, ,Skalka,Okříšky,Okříšky,293339710,"[49.2419796890863, 15.76857473838668]"
39, ,Na kopečku,Okříšky,Okříšky,293529710,"[49.24381721078096, 15.767520409161898]"
77, ,Kostelní,Okříšky,Okříšky,293612710,"[49.24366475197029, 15.76742371991609]"
640, ,V zahradách,Okříšky,Okříšky,43878105010,"[49.24595213784618, 15.775140326712597]"
641, ,V zahradách,Okříšky,Okříšky,44870115010,"[49.24638925698801, 15.775171342673824]"
636, ,Boroví,Okříšky,Okříšky,35276950010,"[49.23995197007291, 15.770092428884936]"
463, ,U stadionu,Okříšky,Okříšky,306860710,"[49.244009373851476, 15.773136447923333]"
466, ,U stadionu,Okříšky,Okříšky,306862710,"[49.24428539195147, 15.7726667469324]"
461, ,U stadionu,Okříšky,Okříšky,306860710,"[49.24429882466016, 15.773152859377834]"
465, ,U stadionu,Okříšky,Okříšky,306862710,"[49.24443134360482, 15.772672099654947]"
348, ,J. A. Komenského,Okříšky,Okříšky,306863710,"[49.24435431853565, 15.771157652726602]"
459, ,U stadionu,Okříšky,Okříšky,306861710,"[49.2448421961585, 15.773053140850765]"
458, ,U stadionu,Okříšky,Okříšky,306861710,"[49.24498721733266, 15.773062814124676]"
351, ,J. A. Komenského,Okříšky,Okříšky,306864710,"[49.24497417814695, 15.771489794588968]"
577, ,U stadionu,Okříšky,Okříšky,293622710,"[49.24551718754006, 15.77410742781486]"
523, ,U stadionu,Okříšky,Okříšky,293111710,"[49.24552311434562, 15.773471425447202]"
462, ,U stadionu,Okříšky,Okříšky,306860710,"[49.24416166362193, 15.773144105016907]"
464, ,U stadionu,Okříšky,Okříšky,306862710,"[49.24458227018161, 15.77267737565709]"
349, ,J. A. Komenského,Okříšky,Okříšky,306863710,"[49.24451698419588, 15.771213486088309]"
460, ,U stadionu,Okříšky,Okříšky,306861710,"[49.24469113110001, 15.773046090688394]"
350, ,J. A. Komenského,Okříšky,Okříšky,306864710,"[49.24481067043078, 15.771432453408694]"
578, ,U stadionu,Okříšky,Okříšky,293622710,"[49.245512238246754, 15.774328131609426]"
524, ,U stadionu,Okříšky,Okříšky,293111710,"[49.245520756271155, 15.77368238940577]"
168, ,Za tratí,Okříšky,Okříšky,29834510010,"[49.24868841563725, 15.769592441502953]"
631, ,Jihlavská,Okříšky,Okříšky,293526710,"[49.24259924070636, 15.764104671742919]"
629, ,V zahradách,Okříšky,Okříšky,26548357010,"[49.246465781527476, 15.776499195361799]"
627, ,Jihlavská,Okříšky,Okříšky,25135604010,"[49.242271770396165, 15.763044014147024]"
599, ,Masarykova,Okříšky,Okříšky,24768949010,"[49.24350996959972, 15.77042588407819]"
626, ,Partyzánská,Okříšky,Okříšky,16510395010,"[49.247283730285375, 15.778508147461102]"
624, ,B. Němcové,Okříšky,Okříšky,293590710,"[49.24574413943454, 15.767957482828711]"
589, ,Jihlavská,Okříšky,Okříšky,446892710,"[49.243025028891104, 15.763874842920254]"
601, ,Boroví,Okříšky,Okříšky,477084710,"[49.23978165524457, 15.769998994613156]"
146, , ,Okříšky,Okříšky,0,"[49.24864256226642, 15.769932810682308]"
581, ,Masarykova,Okříšky,Okříšky,293613710,"[49.24364240227857, 15.771425329690729]"
98, ,Jihlavská,Okříšky,Okříšky,293280710,"[49.24400045587302, 15.767431663215168]"
