cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
1, , ,28907,Opolany,Kanín,Kanín,711977,"[50.12307218856844, 15.200946200598242]"
21, , ,28907,Opolany,Kanín,Kanín,711977,"[50.12356666589359, 15.20059320467196]"
37, , ,28907,Opolany,Kanín,Kanín,711977,"[50.12446809315442, 15.200385769319059]"
78, , ,28906,Opolany,Opolánky,Opolánky,711985,"[50.13161020771017, 15.241444107145105]"
58, , ,28907,Opolany,Opolany,Opolany,711993,"[50.13005781172133, 15.217294435909823]"
97, , ,28907,Opolany,Opolany,Opolany,711993,"[50.130866033075854, 15.218190578095587]"
19, , ,28906,Opolany,Opolánky,Opolánky,711985,"[50.13347900314592, 15.2427286468029]"
96, , ,28907,Opolany,Kanín,Kanín,711977,"[50.12545465703197, 15.200519441464046]"
67, , ,28907,Opolany,Kanín,Kanín,711977,"[50.12279194816752, 15.203938494116489]"
62, , ,28907,Opolany,Kanín,Kanín,711977,"[50.12519691912903, 15.20000251996029]"
15, , ,28907,Opolany,Kanín,Kanín,711977,"[50.124366219653915, 15.202242491974776]"
57, , ,28907,Opolany,Kanín,Kanín,711977,"[50.12479006246023, 15.20055391122504]"
46, , ,28907,Opolany,Kanín,Kanín,711977,"[50.12309302073272, 15.199785290781183]"
69, , ,28906,Opolany,Opolánky,Opolánky,711985,"[50.13218192352503, 15.240324552904632]"
5, , ,28907,Opolany,Kanín,Kanín,711977,"[50.12290447194456, 15.202658129696239]"
43, , ,28907,Opolany,Kanín,Kanín,711977,"[50.12343677383283, 15.199343510532303]"
194, , ,28907,Opolany,Opolany,Opolany,711993,"[50.129572306719496, 15.219899716702715]"
64, , ,28907,Opolany,Opolany,Opolany,711993,"[50.13052116832607, 15.215189595988482]"
11, , ,28907,Opolany,Kanín,Kanín,711977,"[50.123239340361536, 15.202105212611931]"
86, , ,28907,Opolany,Opolany,Opolany,711993,"[50.12994448086555, 15.220302990405193]"
123, , ,28907,Opolany,Opolany,Opolany,711993,"[50.130721777961824, 15.214766667757196]"
59, , ,28906,Opolany,Opolánky,Opolánky,711985,"[50.131130069579505, 15.242707041263289]"
9, , ,28906,Opolany,Opolánky,Opolánky,711985,"[50.13248937317269, 15.241375168654434]"
65, , ,28907,Opolany,Opolany,Opolany,711993,"[50.13049834870347, 15.215312104806008]"
26, , ,28906,Opolany,Opolánky,Opolánky,711985,"[50.13183300209773, 15.24308334442912]"
60, , ,28907,Opolany,Kanín,Kanín,711977,"[50.123121232305714, 15.198828030265858]"
151, , ,28907,Opolany,Opolany,Opolany,711993,"[50.13047883336728, 15.225694352994218]"
46, , ,28906,Opolany,Opolánky,Opolánky,711985,"[50.13165206390831, 15.242780578019307]"
114, , ,28907,Opolany,Kanín,Kanín,711977,"[50.12331710964597, 15.19769842355868]"
129, , ,28907,Opolany,Opolany,Opolany,711993,"[50.13030577539769, 15.213777250624208]"
74, , ,28906,Opolany,Opolánky,Opolánky,711985,"[50.13292753225313, 15.240076455651119]"
2, , ,28906,Opolany,Oškobrh,Oškobrh,712001,"[50.143232221301155, 15.240301750151392]"
61, , ,28906,Opolany,Opolánky,Opolánky,711985,"[50.13282300074185, 15.241577398982187]"
173, , ,28907,Opolany,Opolany,Opolany,711993,"[50.13265624436175, 15.21637295858395]"
24, , ,28906,Opolany,Oškobrh,Oškobrh,712001,"[50.142162889424114, 15.243941701355624]"
