cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
37, , ,Opočnice,Opočnice,351238208,"[50.17612467451158, 15.258288451684482]"
143, , ,Opočnice,Opočnice,314179208,"[50.177805262785355, 15.261023217867745]"
65, , ,Opočnice,Opočnice,314239208,"[50.17258374237714, 15.25806818862435]"
63, , ,Opočnice,Opočnice,314096208,"[50.17300107835951, 15.258219390502571]"
128, , ,Opočnice,Opočnice,314104208,"[50.171938905977235, 15.256357564861991]"
113, , ,Opočnice,Opočnice,314201208,"[50.176009140114, 15.261057577631686]"
19, , ,Opočnice,Opočnice,314299208,"[50.17409068907831, 15.25725579267471]"
95, , ,Opočnice,Opočnice,314228208,"[50.175589554432555, 15.260309474300751]"
20, , ,Opočnice,Opočnice,0,"[50.174276993339056, 15.257163993544788]"
176, , ,Opočnice,Opočnice,314210208,"[50.171229211576666, 15.258555261809693]"
216, , ,Opočnice,Opočnice,314214208,"[50.168798055141544, 15.258803691938633]"
123, , ,Opočnice,Opočnice,314126208,"[50.17556079081378, 15.261002181991257]"
66, , ,Opočnice,Opočnice,314275208,"[50.17220962034648, 15.258102364226994]"
204, , ,Opočnice,Opočnice,314320208,"[50.17028578754736, 15.261037120746186]"
229, , ,Opočnice,Opočnice,630746208,"[50.16829096964326, 15.258296680365419]"
236, , ,Opočnice,Opočnice,42499164010,"[50.17354715362359, 15.257404556644158]"
235, , ,Opočnice,Opočnice,36277029010,"[50.176052764523995, 15.254442512653846]"
226, , ,Opočnice,Opočnice,630085208,"[50.16892532294581, 15.258073232891622]"
233, , ,Opočnice,Opočnice,30949811010,"[50.17096352519373, 15.26052270456824]"
228, , ,Opočnice,Opočnice,632567208,"[50.168495002349495, 15.258242468367124]"
232, , ,Opočnice,Opočnice,641889208,"[50.17157939635331, 15.255265744718832]"
225, , ,Opočnice,Opočnice,604287208,"[50.169121561713006, 15.258034660179874]"
227, , ,Opočnice,Opočnice,604446208,"[50.16868119512513, 15.258191762450318]"
97, , ,Opočnice,Opočnice,314097208,"[50.17557489081638, 15.260731164835578]"
224, , ,Opočnice,Opočnice,664140208,"[50.16929545596994, 15.2579440431404]"
32, , ,Opočnice,Opočnice,314230208,"[50.17601051082993, 15.254591933189964]"
203, , ,Opočnice,Opočnice,314187208,"[50.17019363382836, 15.261421786389807]"
174, , ,Opočnice,Opočnice,314213208,"[50.17312003374113, 15.257389753161046]"
9, , ,Opočnice,Opočnice,314124208,"[50.17187253444486, 15.255081116237472]"
99, , ,Opočnice,Opočnice,314237208,"[50.17604756222081, 15.260525382253912]"
47, , ,Opočnice,Opočnice,314170208,"[50.17535455493684, 15.258460302937976]"
2, , ,Opočnice,Opočnice,21225772010,"[50.16884351214754, 15.256170501197717]"
1, , ,Opočnice,Opočnice,15503203010,"[50.170613647449684, 15.259448602316832]"
116, , ,Opočnice,Opočnice,0,"[50.17191461977875, 15.256207837039604]"
3, , ,Opočnice,Opočnice,314115208,"[50.17193488381796, 15.256918092618005]"
13, , ,Opočnice,Opočnice,314209208,"[50.17265283082785, 15.257104156826301]"
30, , ,Opočnice,Opočnice,314120208,"[50.175839831323515, 15.255916656143636]"
56, , ,Opočnice,Opočnice,314289208,"[50.173798653412355, 15.259814684828282]"
81, , ,Opočnice,Opočnice,314089208,"[50.17497211602109, 15.257103246030342]"
89, , ,Opočnice,Opočnice,314327208,"[50.170525827842354, 15.257561943358372]"
105, , ,Opočnice,Opočnice,314206208,"[50.176177953745544, 15.25876678376646]"
106, , ,Opočnice,Opočnice,314263208,"[50.17081306827765, 15.257458775909782]"
1, , ,Opočnice,Opočnice,314317208,"[50.17138643203819, 15.257446523517693]"
4, , ,Opočnice,Opočnice,314112208,"[50.17204542000252, 15.25684965799468]"
5, , ,Opočnice,Opočnice,314312208,"[50.17197122741985, 15.256570618310347]"
52, , ,Opočnice,Opočnice,314266208,"[50.174238813732494, 15.259061455771505]"
57, , ,Opočnice,Opočnice,314311208,"[50.17366742803409, 15.258993013303659]"
80, , ,Opočnice,Opočnice,314091208,"[50.17439475302443, 15.2577087907896]"
90, , ,Opočnice,Opočnice,314297208,"[50.17606878090496, 15.260116368852803]"
94, , ,Opočnice,Opočnice,314268208,"[50.17558140249565, 15.260078106993616]"
100, , ,Opočnice,Opočnice,314107208,"[50.176203256407824, 15.260664114381642]"
112, , ,Opočnice,Opočnice,314186208,"[50.17651826099865, 15.26074246890669]"
114, , ,Opočnice,Opočnice,314099208,"[50.178964071685826, 15.261416245341172]"
14, , ,Opočnice,Opočnice,314274208,"[50.17281440876223, 15.257246086367784]"
29, , ,Opočnice,Opočnice,314308208,"[50.17569478944054, 15.254923824783345]"
39, , ,Opočnice,Opočnice,314282208,"[50.175621057490204, 15.259617073160516]"
62, , ,Opočnice,Opočnice,314267208,"[50.17603442480248, 15.2599027083719]"
67, , ,Opočnice,Opočnice,314094208,"[50.17210324442642, 15.25793265068454]"
117, , ,Opočnice,Opočnice,314146208,"[50.17666945260721, 15.260231988641841]"
138, , ,Opočnice,Opočnice,314251208,"[50.17560840599435, 15.262528923982426]"
151, , ,Opočnice,Opočnice,314253208,"[50.177083001075644, 15.26078486630142]"
161, , ,Opočnice,Opočnice,314190208,"[50.17760636853718, 15.261002192492857]"
166, , ,Opočnice,Opočnice,314269208,"[50.17172168667447, 15.254604517950593]"
168, , ,Opočnice,Opočnice,314319208,"[50.17631001205432, 15.255003075136127]"
175, , ,Opočnice,Opočnice,314256208,"[50.17832132006459, 15.260781384132038]"
182, , ,Opočnice,Opočnice,314234208,"[50.173926202505676, 15.258481727442081]"
192, , ,Opočnice,Opočnice,314199208,"[50.179604186530334, 15.261857601731172]"
16, , ,Opočnice,Opočnice,314257208,"[50.17336591205402, 15.257230226906852]"
26, , ,Opočnice,Opočnice,314240208,"[50.17516840899666, 15.256409349531024]"
31, , ,Opočnice,Opočnice,314153208,"[50.175794887905916, 15.255418344752186]"
46, , ,Opočnice,Opočnice,314278208,"[50.17576938954675, 15.258693569566722]"
61, , ,Opočnice,Opočnice,314303208,"[50.17328980340621, 15.258400532458374]"
84, , ,Opočnice,Opočnice,314178208,"[50.17502909741117, 15.257757927940641]"
91, , ,Opočnice,Opočnice,314286208,"[50.173665168102175, 15.25721824057813]"
101, , ,Opočnice,Opočnice,314332208,"[50.176125968601475, 15.256120600051092]"
130, , ,Opočnice,Opočnice,314277208,"[50.17676891560179, 15.260291885452576]"
141, , ,Opočnice,Opočnice,314301208,"[50.177363952889415, 15.260869068907652]"
147, , ,Opočnice,Opočnice,314200208,"[50.17795705382776, 15.261206610344681]"
149, , ,Opočnice,Opočnice,314273208,"[50.17727998666869, 15.26083265379033]"
152, , ,Opočnice,Opočnice,314193208,"[50.177825587781776, 15.260638919714873]"
162, , ,Opočnice,Opočnice,314227208,"[50.17794304372903, 15.260662543765992]"
164, , ,Opočnice,Opočnice,314216208,"[50.17770131716288, 15.260643023497245]"
178, , ,Opočnice,Opočnice,314343208,"[50.17632403995419, 15.257396526614436]"
132, , ,Opočnice,Opočnice,314307208,"[50.17590900878595, 15.261422125822907]"
173, , ,Opočnice,Opočnice,314203208,"[50.171189965596746, 15.257985188930475]"
196, , ,Opočnice,Opočnice,314341208,"[50.170099635357396, 15.25785919525583]"
207, , ,Opočnice,Opočnice,314125208,"[50.170185081449, 15.261819370959802]"
191, , ,Opočnice,Opočnice,314191208,"[50.17946234859026, 15.26179812331831]"
193, , ,Opočnice,Opočnice,314168208,"[50.17091268727572, 15.259588208557416]"
208, , ,Opočnice,Opočnice,314243208,"[50.17862402686345, 15.261609231967906]"
212, , ,Opočnice,Opočnice,314164208,"[50.17592091039997, 15.261940195975088]"
218, , ,Opočnice,Opočnice,314108208,"[50.168243731703775, 15.258964700378456]"
2, , ,Opočnice,Opočnice,314092208,"[50.17173653920622, 15.257377698098928]"
121, , ,Opočnice,Opočnice,314174208,"[50.17566883412284, 15.260995765159416]"
126, , ,Opočnice,Opočnice,314293208,"[50.171421968264774, 15.254923638639308]"
129, , ,Opočnice,Opočnice,314280208,"[50.17113464077307, 15.25471290057255]"
146, , ,Opočnice,Opočnice,314231208,"[50.17604329805634, 15.261702647986734]"
183, , ,Opočnice,Opočnice,314225208,"[50.17384827725789, 15.258470658905335]"
188, , ,Opočnice,Opočnice,314171208,"[50.178417932634424, 15.260862023920122]"
194, , ,Opočnice,Opočnice,314202208,"[50.17810822575109, 15.26132422478717]"
72, , ,Opočnice,Opočnice,314182208,"[50.17141831932679, 15.259795716850547]"
75, , ,Opočnice,Opočnice,314090208,"[50.17383888367647, 15.257984851762354]"
78, , ,Opočnice,Opočnice,314326208,"[50.17471593805143, 15.25749226645963]"
107, , ,Opočnice,Opočnice,314117208,"[50.172272795375086, 15.25606418477569]"
111, , ,Opočnice,Opočnice,314300208,"[50.174075655535106, 15.25799912261675]"
34, , ,Opočnice,Opočnice,314309208,"[50.176208181551004, 15.256498557234949]"
38, , ,Opočnice,Opočnice,314123208,"[50.176161359826075, 15.259037167145541]"
48, , ,Opočnice,Opočnice,314325208,"[50.17507572029438, 15.25870292855141]"
87, , ,Opočnice,Opočnice,314176208,"[50.171161980579875, 15.2575841930561]"
109, , ,Opočnice,Opočnice,314254208,"[50.17229029304835, 15.256327986826774]"
127, , ,Opočnice,Opočnice,314236208,"[50.175653516255785, 15.261498862463672]"
136, , ,Opočnice,Opočnice,314208208,"[50.17562811352399, 15.262191755177705]"
159, , ,Opočnice,Opočnice,314181208,"[50.17553991513346, 15.261690515820407]"
199, , ,Opočnice,Opočnice,314100208,"[50.17826104921525, 15.2614141389384]"
219, , ,Opočnice,Opočnice,314259208,"[50.17169949758755, 15.254281815784662]"
124, , ,Opočnice,Opočnice,314204208,"[50.17566963705847, 15.26137575264296]"
137, , ,Opočnice,Opočnice,314261208,"[50.175612940172975, 15.262374649036992]"
155, , ,Opočnice,Opočnice,314185208,"[50.17666541267629, 15.260706492998587]"
167, , ,Opočnice,Opočnice,314318208,"[50.17608856108406, 15.255233595938495]"
