cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
10, , ,Oprostovice,Oprostovice,154630808,"[49.47098255212346, 17.6208900454741]"
29, , ,Oprostovice,Oprostovice,154620808,"[49.46809172443525, 17.62041371058534]"
30, , ,Oprostovice,Oprostovice,154657808,"[49.46730695248747, 17.619602710585763]"
5, , ,Oprostovice,Oprostovice,154617808,"[49.46990195461276, 17.620819758515477]"
18, , ,Oprostovice,Oprostovice,154623808,"[49.471510285281916, 17.620683289736085]"
4, , ,Oprostovice,Oprostovice,154621808,"[49.469604845744286, 17.620835170732878]"
9, , ,Oprostovice,Oprostovice,154622808,"[49.46936701300277, 17.620786541052386]"
26, , ,Oprostovice,Oprostovice,154605808,"[49.46979900203724, 17.62032190909449]"
24, , ,Oprostovice,Oprostovice,154606808,"[49.47048104526428, 17.620250608493464]"
15, , ,Oprostovice,Oprostovice,154609808,"[49.47125285979704, 17.621635403126074]"
20, , ,Oprostovice,Oprostovice,154626808,"[49.471457538568075, 17.620413751561056]"
25, , ,Oprostovice,Oprostovice,154642808,"[49.47021127451356, 17.620123460894217]"
16, , ,Oprostovice,Oprostovice,154643808,"[49.471318668063226, 17.62123777810472]"
3, , ,Oprostovice,Oprostovice,154645808,"[49.46918204512957, 17.62071637837314]"
17, , ,Oprostovice,Oprostovice,154646808,"[49.471392097082834, 17.620963783362598]"
35, , ,Oprostovice,Oprostovice,154614808,"[49.46886424488, 17.62024972756564]"
23, , ,Oprostovice,Oprostovice,154618808,"[49.47077258992975, 17.620291438716155]"
6, , ,Oprostovice,Oprostovice,154628808,"[49.47028688931486, 17.620763877487622]"
21, , ,Oprostovice,Oprostovice,154616808,"[49.47128999214185, 17.620479655403415]"
32, , ,Oprostovice,Oprostovice,154631808,"[49.470074454093556, 17.62010174677147]"
42, , ,Oprostovice,Oprostovice,14789826010,"[49.470689610599294, 17.6220220714401]"
2, , ,Oprostovice,Oprostovice,154650808,"[49.46844394055822, 17.620439495436973]"
12, , ,Oprostovice,Oprostovice,154664808,"[49.47114711503354, 17.618203703766252]"
14, , ,Oprostovice,Oprostovice,154651808,"[49.47108637360335, 17.621712652075598]"
36, , ,Oprostovice,Oprostovice,154665808,"[49.46859659138751, 17.620061712955465]"
22, , ,Oprostovice,Oprostovice,154619808,"[49.4688056991139, 17.620898376310937]"
1, , ,Oprostovice,Oprostovice,154647808,"[49.46683680170182, 17.619429415564426]"
19, , ,Oprostovice,Oprostovice,154655808,"[49.47221123205529, 17.620033779975138]"
8, , ,Oprostovice,Oprostovice,154611808,"[49.47069238357714, 17.62074700538007]"
34, , ,Oprostovice,Oprostovice,154607808,"[49.46944630769948, 17.620256140615616]"
38, , ,Oprostovice,Oprostovice,154653808,"[49.47104600561786, 17.619598813692384]"
33, , ,Oprostovice,Oprostovice,154644808,"[49.470723824211575, 17.618321584755783]"
28, , ,Oprostovice,Oprostovice,154648808,"[49.46825349417679, 17.620424041762377]"
39, , ,Oprostovice,Oprostovice,154652808,"[49.47097859921275, 17.61825534157088]"
27, , ,Oprostovice,Oprostovice,332467808,"[49.46909421927359, 17.62009327118167]"
11, , ,Oprostovice,Oprostovice,154663808,"[49.47111035157979, 17.620935385828446]"
40, , ,Oprostovice,Oprostovice,14619321010,"[49.47141380949733, 17.617800597887456]"
1, , ,Oprostovice,Oprostovice,0,"[49.47096093604052, 17.61761897478127]"
