cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
28, , ,Osečná,Druzcov,61523756010,"[50.724084857813274, 14.932768953799522]"
9, , ,Osečná,Druzcov,0,"[50.72630220599913, 14.935988097303037]"
21, , ,Osečná,Chrastná,0,"[50.697692848880955, 14.890800258385774]"
75, ,U Křížku,Osečná,Lázně Kundratice,364493505,"[50.69632891529704, 14.913877796324526]"
71, ,U Křížku,Osečná,Lázně Kundratice,364518505,"[50.695634758137864, 14.915620026892157]"
20, ,Liberecká,Osečná,Osečná,373212505,"[50.69598869418618, 14.921934099532074]"
31, , ,Osečná,Chrastná,360521505,"[50.699057956330506, 14.894992987883311]"
45, ,Truhlářská,Osečná,Lázně Kundratice,364592505,"[50.698473934246756, 14.910568216657616]"
13, ,Českolipská,Osečná,Lázně Kundratice,0,"[50.69804299643702, 14.905706951142744]"
43, , ,Osečná,Chrastná,0,"[50.702389499212174, 14.892491196338383]"
198, ,Dolní selská,Osečná,Lázně Kundratice,62178009010,"[50.6997284494278, 14.907793102175093]"
301, ,Podvrší,Osečná,Lázně Kundratice,364593505,"[50.68905471524553, 14.904443802441717]"
2, ,Lázeňská,Osečná,Lázně Kundratice,364472505,"[50.6937185275682, 14.905987354568655]"
136, ,Lázeňská,Osečná,Lázně Kundratice,364483505,"[50.693025135064566, 14.90513493009719]"
212, ,Liberecká,Osečná,Osečná,61306799010,"[50.69728485581371, 14.922402786577658]"
130, ,Truhlářská,Osečná,Lázně Kundratice,364632505,"[50.69820128681592, 14.911282036913015]"
111, ,U Potoka,Osečná,Lázně Kundratice,364568505,"[50.69776141825288, 14.91258971794705]"
175, ,U Potoka,Osečná,Lázně Kundratice,543566505,"[50.698600584960595, 14.91202837481428]"
87, ,Českolipská,Osečná,Lázně Kundratice,364588505,"[50.696924111350995, 14.913400309301863]"
24, ,Dolní selská,Osečná,Lázně Kundratice,364646505,"[50.6991835825831, 14.909560318241901]"
195, ,Českolipská,Osečná,Lázně Kundratice,364607505,"[50.69631703310729, 14.916508896206755]"
63, ,U Křížku,Osečná,Lázně Kundratice,364590505,"[50.696081911342176, 14.91346165330786]"
138, ,Lázeňská,Osečná,Lázně Kundratice,364485505,"[50.69231301155347, 14.9049008367192]"
79, ,Dolní selská,Osečná,Lázně Kundratice,364551505,"[50.696768698601396, 14.917364355143306]"
94, ,Truhlářská,Osečná,Lázně Kundratice,364612505,"[50.69882244447151, 14.911289192319032]"
110, ,Březový háj,Osečná,Lázně Kundratice,364629505,"[50.69634136894142, 14.91237748056588]"
153, ,Lázeňská,Osečná,Lázně Kundratice,364488505,"[50.69371262533694, 14.905076228058324]"
42, ,Truhlářská,Osečná,Lázně Kundratice,364558505,"[50.6987097577009, 14.9084303770609]"
99, ,Truhlářská,Osečná,Lázně Kundratice,364644505,"[50.698798279452255, 14.910029157762613]"
10, , ,Osečná,Chrastná,360477505,"[50.70018563991877, 14.895088071389681]"
147, ,Lázeňská,Osečná,Lázně Kundratice,364487505,"[50.69294490767042, 14.90609506057872]"
