cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
473, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.379644501301165, 16.76410899066955]"
467, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.378283159687136, 16.752682462529904]"
465, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.37848629100948, 16.75313417208859]"
139, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.38004377118011, 16.768309964950785]"
468, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.37803278288998, 16.75272318226669]"
142, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.37955437883838, 16.76855560106424]"
470, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.37856239750611, 16.75449293387766]"
30, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.3828090160638, 16.768036850528063]"
141, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.38009144653119, 16.768606926880707]"
25, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.381816100265986, 16.762952960714085]"
43, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.382394503135316, 16.767651361070563]"
462, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.37877947911232, 16.753058791849526]"
143, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.380194841213815, 16.768271593060536]"
461, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.37836416458207, 16.7620732757562]"
489, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.37851116576854, 16.76145385863454]"
24, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.381871108704466, 16.762833220264138]"
179, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.38069586704132, 16.76479695701206]"
23, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.38193641448592, 16.762601001540876]"
454, , ,67914,Ostrov u Macochy,Ostrov u Macochy,Ostrov u Macochy,716065,"[49.38336960680565, 16.771577280666023]"
