cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
73, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.840209957005904, 15.302362695630405]"
94, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83926097693272, 15.302617148095955]"
112, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84325535629819, 15.301476630065093]"
110, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.837791885521376, 15.304612009745204]"
80, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84081734617563, 15.301361878711704]"
30, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.838595977178386, 15.304581917567697]"
27, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83996464337226, 15.302466411426073]"
125, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83596846732385, 15.304699987996006]"
130, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84241402047906, 15.300491059261622]"
17, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84154045510896, 15.302342378388873]"
113, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83884339772167, 15.30416954292887]"
109, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84029677752021, 15.299417217562306]"
81, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.840416680625964, 15.29821685659488]"
4, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84248172913975, 15.302327628274742]"
77, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.836501957813226, 15.305689240105906]"
114, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83974853965993, 15.300476617070563]"
43, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84023053705603, 15.30094344016715]"
111, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84011927070582, 15.29901733314156]"
7, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84191154918291, 15.301667713282539]"
86, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83700545445604, 15.30419030408998]"
3, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83754226666935, 15.305108869424245]"
104, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.8413954712237, 15.302342525295074]"
28, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83934411620741, 15.304086281568196]"
62, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83578483823551, 15.305674398658502]"
42, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84027177990463, 15.300893387663933]"
102, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84282395418784, 15.303651792819538]"
116, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83927969780635, 15.304743352765515]"
6, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84215812743205, 15.301914068274048]"
71, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.839912550150856, 15.298146707600893]"
10, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84123430937082, 15.30102861919972]"
37, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83974824113075, 15.302368336628541]"
3, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84274824857077, 15.302261825085013]"
1, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.843585971594, 15.302645557096756]"
99, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.835539477168155, 15.305666008987266]"
134, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84275288226883, 15.30008888181682]"
23, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.842704999364074, 15.302844767777222]"
127, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84202118489771, 15.299894785401555]"
74, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83709507568923, 15.305181719973032]"
107, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84013054725275, 15.301831641968684]"
12, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84063340997295, 15.301551761512131]"
85, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83724287744976, 15.303877963579454]"
55, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.83778241251514, 15.303268728467847]"
87, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.836408500600974, 15.304826784435752]"
14, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.840904558244986, 15.301877410740397]"
101, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84227588642446, 15.303474654289642]"
96, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.842230714976566, 15.30213818374618]"
119, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84257913884256, 15.300627124981293]"
98, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84416006373142, 15.302015498425153]"
93, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.8376275717796, 15.303705148660773]"
16, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84168324424739, 15.302426735010757]"
133, , ,28543,Paběnice,Paběnice,Paběnice,720216,"[49.84038166903005, 15.299711234854353]"
