cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
139, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62500441177426, 17.703461220444343]"
28, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62550444159016, 17.70405152528325]"
43, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63496221601582, 17.71515288811441]"
162, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.61935823126888, 17.705468331096718]"
152, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63182414840657, 17.703522843350306]"
151, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63117485566263, 17.708559866371893]"
85, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.631940852236546, 17.710347629396868]"
76, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62889554357258, 17.70297189526752]"
70, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63090700038109, 17.703954196744707]"
37, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.632289904940606, 17.709779390290905]"
132, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.631965399973275, 17.703350545631665]"
17, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62365205373332, 17.70316070014985]"
175, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.618862353435716, 17.705292813633985]"
72, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.632678772762304, 17.70995370569144]"
135, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62730790974696, 17.701484621261343]"
140, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.631639717765125, 17.702578240140383]"
32, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.629853727208676, 17.70523721101013]"
54, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63321866618087, 17.71209661676015]"
65, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62049258163795, 17.705892271078692]"
3, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63041346590728, 17.70633229706411]"
148, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62781993071022, 17.70189011524096]"
111, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.629945650484785, 17.706740923065247]"
98, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.61991502466641, 17.70600455091419]"
22, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62107872250002, 17.704003120102826]"
129, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62621358360474, 17.70391262564241]"
104, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.631471451618296, 17.702164509163545]"
14, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62603524016837, 17.701945886604875]"
160, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62882343606579, 17.70373843665579]"
116, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63286105324755, 17.709877020322775]"
121, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62947918090006, 17.70406752951863]"
157, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.624655825581435, 17.702453215933232]"
48, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.6332032003986, 17.71060155323554]"
89, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.6309183761124, 17.703140753180005]"
1, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63249720551375, 17.707763735670746]"
84, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62437649824462, 17.702787576798052]"
138, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62706561533473, 17.70152325918444]"
50, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63035238198148, 17.703862740132955]"
100, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.630299314302114, 17.706879675162448]"
93, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62741059993579, 17.703088887057586]"
39, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.6324557939683, 17.712274285252708]"
95, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63009793095548, 17.70607934157933]"
80, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63346011372072, 17.713126510879132]"
40, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63311631134307, 17.71350906457274]"
10, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.629493285061386, 17.70215567500419]"
30, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62757621398862, 17.70318836079467]"
88, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62938465557952, 17.703306612998812]"
66, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.629686563369354, 17.704206461178142]"
115, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.626379552203666, 17.703501988343024]"
78, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.627618651101, 17.708780945356168]"
31, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62910718470328, 17.703754874301865]"
38, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.63241995519069, 17.711079013769528]"
58, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.62964868392068, 17.703618402218343]"
68, , ,75301,Partutovice,Partutovice,Partutovice,718122,"[49.627141031407, 17.702318725011704]"
