cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
45, , ,Paseky nad Jizerou,Paseky nad Jizerou,144040631,"[50.73476375021754, 15.401987033877061]"
241, , ,Paseky nad Jizerou,Paseky nad Jizerou,0,"[50.72345437692137, 15.414103458468626]"
298, , ,Paseky nad Jizerou,Paseky nad Jizerou,0,"[50.72233328624814, 15.392060111849007]"
91, , ,Paseky nad Jizerou,Paseky nad Jizerou,262292631,"[50.71881975737941, 15.396306702245802]"
302, , ,Paseky nad Jizerou,Paseky nad Jizerou,143996631,"[50.72576429683356, 15.3783182496788]"
31, , ,Paseky nad Jizerou,Paseky nad Jizerou,144243631,"[50.73324610765341, 15.38810079101619]"
299, , ,Paseky nad Jizerou,Paseky nad Jizerou,200087631,"[50.71950673376937, 15.405416170599235]"
320, , ,Paseky nad Jizerou,Paseky nad Jizerou,234856631,"[50.719428778327476, 15.404813467485129]"
321, , ,Paseky nad Jizerou,Paseky nad Jizerou,61062575010,"[50.72515463358186, 15.37677922181157]"
305, , ,Paseky nad Jizerou,Paseky nad Jizerou,249645631,"[50.71959650690137, 15.404113611048174]"
1, , ,Paseky nad Jizerou,Paseky nad Jizerou,143972631,"[50.73077941488177, 15.393504636981614]"
172, , ,Paseky nad Jizerou,Paseky nad Jizerou,144330631,"[50.72609655236836, 15.401657161106112]"
23, , ,Paseky nad Jizerou,Paseky nad Jizerou,144031631,"[50.724481716098865, 15.395080913843676]"
104, , ,Paseky nad Jizerou,Paseky nad Jizerou,144076631,"[50.73120216729052, 15.413687658968293]"
122, , ,Paseky nad Jizerou,Paseky nad Jizerou,143924631,"[50.72629475397822, 15.378357287498162]"
25, , ,Paseky nad Jizerou,Paseky nad Jizerou,144203631,"[50.72685430645126, 15.397598707035906]"
147, , ,Paseky nad Jizerou,Paseky nad Jizerou,144120631,"[50.72136874286997, 15.407291206855076]"
249, , ,Paseky nad Jizerou,Paseky nad Jizerou,144170631,"[50.73228933978721, 15.417257118126868]"
273, , ,Paseky nad Jizerou,Paseky nad Jizerou,144357631,"[50.721926845232744, 15.412304535443988]"
230, , ,Paseky nad Jizerou,Paseky nad Jizerou,144165631,"[50.72262622082184, 15.398312488571191]"
238, , ,Paseky nad Jizerou,Paseky nad Jizerou,144169631,"[50.72282155512143, 15.41331394069569]"
30, , ,Paseky nad Jizerou,Paseky nad Jizerou,144231631,"[50.727566556388496, 15.389752941005055]"
22, , ,Paseky nad Jizerou,Paseky nad Jizerou,144022631,"[50.726339865951964, 15.393375498037745]"
112, , ,Paseky nad Jizerou,Paseky nad Jizerou,144101631,"[50.73423289758241, 15.410997038509285]"
315, , ,Paseky nad Jizerou,Paseky nad Jizerou,29587288010,"[50.72731338274692, 15.389988085950277]"
312, , ,Paseky nad Jizerou,Paseky nad Jizerou,24969627010,"[50.73335626045082, 15.40952718351101]"
311, , ,Paseky nad Jizerou,Paseky nad Jizerou,15176660010,"[50.73558621738208, 15.389565301891231]"
29, , ,Paseky nad Jizerou,Paseky nad Jizerou,144265631,"[50.72423079735869, 15.395229952415816]"
2, , ,Paseky nad Jizerou,Paseky nad Jizerou,143992631,"[50.72525583779381, 15.399381550685828]"
111, , ,Paseky nad Jizerou,Paseky nad Jizerou,29379410010,"[50.72883700716789, 15.384965604671256]"
310, , ,Paseky nad Jizerou,Paseky nad Jizerou,25064019010,"[50.72367634642409, 15.405655440982917]"
