cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
123, , ,Pazderna,Pazderna,62274852010,"[49.69325547060233, 18.43682755292897]"
16, , ,Pazderna,Pazderna,703619802,"[49.70003620122507, 18.435884727449924]"
76, , ,Pazderna,Pazderna,0,"[49.69765197095295, 18.436873386546463]"
122, , ,Pazderna,Pazderna,62137876010,"[49.694957140675186, 18.44055237766879]"
121, , ,Pazderna,Pazderna,62086790010,"[49.69321263432042, 18.436286623248495]"
117, , ,Pazderna,Pazderna,61153534010,"[49.690005637677665, 18.429279789092273]"
116, , ,Pazderna,Pazderna,60824405010,"[49.70620090584967, 18.43526635998183]"
107, , ,Pazderna,Pazderna,58813667010,"[49.6954375209311, 18.438062713148504]"
106, , ,Pazderna,Pazderna,58050536010,"[49.69503575209816, 18.437808585318077]"
105, , ,Pazderna,Pazderna,57123525010,"[49.69496963199449, 18.439082827441315]"
102, , ,Pazderna,Pazderna,15964644010,"[49.71181279281419, 18.436134611264478]"
80, , ,Pazderna,Pazderna,992591802,"[49.71103857123144, 18.436332009076903]"
100, , ,Pazderna,Pazderna,39670044010,"[49.69396582117048, 18.43522062790899]"
99, , ,Pazderna,Pazderna,44265143010,"[49.693944619259604, 18.436822855774665]"
97, , ,Pazderna,Pazderna,30111486010,"[49.69310950450318, 18.435567664610602]"
92, , ,Pazderna,Pazderna,25822913010,"[49.69140254143175, 18.432714451653414]"
90, , ,Pazderna,Pazderna,22950998010,"[49.69462202371318, 18.43484379097074]"
91, , ,Pazderna,Pazderna,24214439010,"[49.69350184797904, 18.43681048381498]"
38, , ,Pazderna,Pazderna,703669802,"[49.694137241994355, 18.43173522190869]"
56, , ,Pazderna,Pazderna,703635802,"[49.692450437551564, 18.436389911811983]"
57, , ,Pazderna,Pazderna,703637802,"[49.69272222672311, 18.436410449697615]"
28, , ,Pazderna,Pazderna,703590802,"[49.69101696687914, 18.431762902261717]"
62, , ,Pazderna,Pazderna,703632802,"[49.69834507614222, 18.43561476300561]"
22, , ,Pazderna,Pazderna,703593802,"[49.69300456466058, 18.43961462819924]"
33, , ,Pazderna,Pazderna,703625802,"[49.69330835287175, 18.43142507841819]"
32, , ,Pazderna,Pazderna,703626802,"[49.69284165296241, 18.431304580314844]"
83, , ,Pazderna,Pazderna,1067436802,"[49.70024557815298, 18.436551674000672]"
84, , ,Pazderna,Pazderna,1056449802,"[49.70266535763068, 18.436086141453615]"
89, , ,Pazderna,Pazderna,20789924010,"[49.69901661909302, 18.43668256051819]"
88, , ,Pazderna,Pazderna,16324970010,"[49.69375723977922, 18.43188168764197]"
86, , ,Pazderna,Pazderna,1067839802,"[49.699281699289784, 18.436745699528654]"
87, , ,Pazderna,Pazderna,15173838010,"[49.69350503379207, 18.434876793204488]"
2, , ,Pazderna,Pazderna,703648802,"[49.71098525096083, 18.43564934993486]"
63, , ,Pazderna,Pazderna,703644802,"[49.69178256266698, 18.432624741797728]"
36, , ,Pazderna,Pazderna,703628802,"[49.69508568793183, 18.43016250340245]"
44, , ,Pazderna,Pazderna,703636802,"[49.690368789416404, 18.42864454996162]"
4, , ,Pazderna,Pazderna,703598802,"[49.70367977457897, 18.435495487646733]"
12, , ,Pazderna,Pazderna,703597802,"[49.70329117894328, 18.434876134496758]"
