cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
61, , ,Pec,Pec,297387401,"[49.39781412486612, 12.830624826993692]"
130, , ,Pec,Pec,62282797010,"[49.396796177749906, 12.831611815934478]"
131, , ,Pec,Pec,62370949010,"[49.40017630868179, 12.831184533978858]"
33, , ,Pec,Pec,0,"[49.39806767319238, 12.831701656814491]"
8, , ,Pec,Pec,297436401,"[49.39912304144732, 12.834461720795996]"
24, , ,Pec,Pec,297315401,"[49.39725377644297, 12.831807146125646]"
122, , ,Pec,Pec,297471401,"[49.39757530699245, 12.827194982850415]"
100, , ,Pec,Pec,297498401,"[49.39778165228351, 12.828916228111748]"
75, , ,Pec,Pec,297482401,"[49.39955282807567, 12.82852560902231]"
101, , ,Pec,Pec,297391401,"[49.395706612151464, 12.832338234888892]"
32, , ,Pec,Pec,297419401,"[49.402384386263904, 12.822574526809328]"
128, , ,Pec,Pec,23825719010,"[49.39792325408253, 12.827389013304447]"
39, , ,Pec,Pec,297459401,"[49.39841397212238, 12.829305888691916]"
36, , ,Pec,Pec,15173083010,"[49.4006453076678, 12.833253164043644]"
73, , ,Pec,Pec,297403401,"[49.39807156811067, 12.832360812772096]"
69, , ,Pec,Pec,297318401,"[49.40066696913532, 12.833658580987223]"
111, , ,Pec,Pec,297438401,"[49.40604376445133, 12.83782574439641]"
14, , ,Pec,Pec,297456401,"[49.39587557637692, 12.833109534822498]"
44, , ,Pec,Pec,297335401,"[49.40160420542651, 12.824920581195828]"
94, , ,Pec,Pec,297382401,"[49.398684242355046, 12.831138784065848]"
45, , ,Pec,Pec,297445401,"[49.400061747374146, 12.832030136034263]"
25, , ,Pec,Pec,297427401,"[49.40113841077616, 12.829742772823092]"
53, , ,Pec,Pec,297416401,"[49.39939663612325, 12.830909070868184]"
3, , ,Pec,Pec,297454401,"[49.39910089642738, 12.832968327303124]"
35, , ,Pec,Pec,297451401,"[49.401408825310014, 12.825307454582504]"
89, , ,Pec,Pec,297472401,"[49.399081365758974, 12.827286717839318]"
