cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
22, , ,Pečice,Pečičky,61355747010,"[49.61965413897402, 14.086447291061418]"
45, , ,Pečice,Pečičky,15903946010,"[49.61981160041054, 14.098641305433992]"
48, , ,Pečice,Pečičky,60872392010,"[49.62131795102015, 14.088078382811252]"
11, , ,Pečice,Pečičky,293505211,"[49.61644978001469, 14.105676531534426]"
36, , ,Pečice,Pečice,293414211,"[49.592981329468856, 14.097689895272964]"
2, , ,Pečice,Drsník,293439211,"[49.62878382007509, 14.10026494537264]"
28, , ,Pečice,Pečice,293415211,"[49.59902908311376, 14.104570628717171]"
47, , ,Pečice,Pečičky,57007527010,"[49.620191519295766, 14.095432690692522]"
93, , ,Pečice,Pečice,494951211,"[49.60028424064256, 14.106560213100726]"
19, , ,Pečice,Pečice,293327211,"[49.59798146056172, 14.102074724295308]"
38, , ,Pečice,Pečice,293370211,"[49.59801999210187, 14.101409598755067]"
118, , ,Pečice,Pečice,45971228010,"[49.598690917777674, 14.106516800360879]"
31, , ,Pečice,Drsník,34529996010,"[49.626396891016036, 14.102646064040595]"
46, , ,Pečice,Pečičky,569356211,"[49.62003717250836, 14.08579284106742]"
116, , ,Pečice,Pečice,17988041010,"[49.59828712319736, 14.101253447357045]"
114, , ,Pečice,Pečice,572847211,"[49.59848287790334, 14.103572076071165]"
30, , ,Pečice,Drsník,14415748010,"[49.62630763736159, 14.103057025320043]"
17, , ,Pečice,Pečičky,15903939010,"[49.619340324878685, 14.098708102283062]"
18, , ,Pečice,Pečičky,15903940010,"[49.6193502761681, 14.099111311658037]"
19, , ,Pečice,Pečičky,15903941010,"[49.619352587606485, 14.09953016927339]"
21, , ,Pečice,Pečičky,15903945010,"[49.61934330272555, 14.100217156770626]"
20, , ,Pečice,Pečičky,15903942010,"[49.619287579004606, 14.0998099722058]"
115, , ,Pečice,Pečice,563312211,"[49.59843362254624, 14.098510740116346]"
26, , ,Pečice,Drsník,293436211,"[49.62712878026921, 14.101423587426478]"
16, , ,Pečice,Pečice,0,"[49.59556266862928, 14.097810575066962]"
6, , ,Pečice,Pečice,293340211,"[49.60275487067494, 14.106584953513595]"
11, , ,Pečice,Pečice,293367211,"[49.601456962989076, 14.106577793839357]"
23, , ,Pečice,Pečice,293380211,"[49.597886384040805, 14.102660536373143]"
67, , ,Pečice,Pečice,293383211,"[49.59822675133733, 14.099689818506876]"
10, , ,Pečice,Pečice,293333211,"[49.60147905105396, 14.106763150170117]"
18, , ,Pečice,Pečice,293336211,"[49.59830042759446, 14.10578940124109]"
22, , ,Pečice,Pečice,293320211,"[49.597627838742014, 14.102307324681052]"
35, , ,Pečice,Pečice,293328211,"[49.592757598312566, 14.097029315133812]"
39, , ,Pečice,Pečice,293397211,"[49.591291702704524, 14.094158493676103]"
51, , ,Pečice,Pečice,293409211,"[49.601618048159835, 14.105526754393498]"
63, , ,Pečice,Pečice,293379211,"[49.59833849172853, 14.100793425639752]"
69, , ,Pečice,Pečice,293335211,"[49.59832021644334, 14.099116222112551]"
70, , ,Pečice,Pečice,293384211,"[49.59861291509374, 14.099285347072671]"
83, , ,Pečice,Pečice,314060211,"[49.60069596641367, 14.106336187114477]"
86, , ,Pečice,Pečice,293349211,"[49.59176122904212, 14.095018907437705]"
3, , ,Pečice,Pečice,293407211,"[49.60110922464499, 14.107354889565073]"
27, , ,Pečice,Pečice,293430211,"[49.60126061171784, 14.104950978749233]"
32, , ,Pečice,Pečice,293319211,"[49.601258816119966, 14.106745414351684]"
42, , ,Pečice,Pečice,293339211,"[49.60139883705179, 14.107559678283481]"
46, , ,Pečice,Pečice,293311211,"[49.59347082605643, 14.097955296168562]"
48, , ,Pečice,Pečice,293332211,"[49.59310844348095, 14.09815489221893]"
85, , ,Pečice,Pečice,293350211,"[49.59395301043518, 14.09822020389445]"
88, , ,Pečice,Pečice,293362211,"[49.59201051434366, 14.095517408599749]"
92, , ,Pečice,Pečice,293401211,"[49.60028391429598, 14.10630555482642]"
15, , ,Pečice,Pečice,293368211,"[49.60200563815942, 14.104963253573269]"
37, , ,Pečice,Pečice,293300211,"[49.593021482321696, 14.096870511744095]"
55, , ,Pečice,Pečice,293334211,"[49.59751082928367, 14.101879752248399]"
72, , ,Pečice,Pečice,293387211,"[49.6019314051257, 14.104490245999763]"
75, , ,Pečice,Pečice,293422211,"[49.598777923508244, 14.099875703125912]"
79, , ,Pečice,Pečice,293413211,"[49.59857541067354, 14.101392528344636]"
82, , ,Pečice,Pečice,293322211,"[49.60099121649511, 14.105184046860291]"
103, , ,Pečice,Pečice,293431211,"[49.598705996066705, 14.097756085551106]"
9, , ,Pečice,Pečičky,293509211,"[49.61645153237126, 14.105951650396666]"
100, , ,Pečice,Pečice,540429211,"[49.59831858053652, 14.104686496249444]"
104, , ,Pečice,Pečice,293411211,"[49.59984999335193, 14.106764559214483]"
9, , ,Pečice,Pečice,293398211,"[49.59222597951787, 14.096122777653811]"
94, , ,Pečice,Pečice,293326211,"[49.59843343102404, 14.104160362113326]"
2, , ,Pečice,Pečice,293425211,"[49.592638017516684, 14.097709428889553]"
3, , ,Pečice,Pečice,293310211,"[49.592592770170654, 14.097455399086645]"
1, , ,Pečice,Pečičky,293484211,"[49.61647347045031, 14.104560403554252]"
3, , ,Pečice,Pečičky,293495211,"[49.61669702309783, 14.104303863350896]"
4, , ,Pečice,Pečičky,293506211,"[49.616994997970785, 14.10441909219389]"
13, , ,Pečice,Pečičky,293510211,"[49.616097530274864, 14.10612904143203]"
17, , ,Pečice,Pečičky,293493211,"[49.61614107143075, 14.105082389261185]"
26, , ,Pečice,Pečičky,293515211,"[49.62102102224731, 14.084894914204812]"
95, , ,Pečice,Pečice,517527211,"[49.602568185938885, 14.104954586965368]"
97, , ,Pečice,Pečice,293402211,"[49.60237231238705, 14.105403851585352]"
98, , ,Pečice,Pečice,347540211,"[49.60226411714131, 14.105684171519297]"
2, , ,Pečice,Pečičky,549336211,"[49.620172016727864, 14.086686388284342]"
7, , ,Pečice,Pečičky,293524211,"[49.61666718856245, 14.105469562531109]"
8, , ,Pečice,Pečičky,293474211,"[49.616841538744765, 14.105974663636697]"
12, , ,Pečice,Pečičky,293478211,"[49.61637172690712, 14.105531296680256]"
24, , ,Pečice,Pečičky,293523211,"[49.62105706381805, 14.084498532347947]"
28, , ,Pečice,Pečičky,293481211,"[49.62076310261805, 14.085476152766873]"
29, , ,Pečice,Pečičky,293517211,"[49.61626311237167, 14.106226786485434]"
1, , ,Pečice,Pečice,293321211,"[49.600862839693384, 14.10584227151386]"
8, , ,Pečice,Pečice,293388211,"[49.59410317379743, 14.099152413288477]"
12, , ,Pečice,Pečice,293313211,"[49.601546865600014, 14.106353176426847]"
16, , ,Pečice,Pečice,293432211,"[49.601238543082026, 14.105129207271881]"
21, , ,Pečice,Pečice,293344211,"[49.59766066335271, 14.101860862354622]"
24, , ,Pečice,Pečice,293378211,"[49.59809033287986, 14.102608034060827]"
26, , ,Pečice,Pečice,293308211,"[49.59858118353295, 14.103147218491696]"
31, , ,Pečice,Pečice,293369211,"[49.60011712297831, 14.105543826029638]"
33, , ,Pečice,Pečice,293410211,"[49.59264387641792, 14.096071009724474]"
62, , ,Pečice,Pečice,293314211,"[49.593856411753244, 14.09874204300925]"
66, , ,Pečice,Pečice,293381211,"[49.59819938850774, 14.099935566653961]"
68, , ,Pečice,Pečice,293331211,"[49.59410410881449, 14.098469840092863]"
89, , ,Pečice,Pečice,293404211,"[49.60219120445868, 14.108161266190908]"
13, , ,Pečice,Pečice,293304211,"[49.60164492625173, 14.10611657636201]"
17, , ,Pečice,Pečice,293427211,"[49.598385323960024, 14.105010339846274]"
29, , ,Pečice,Pečice,293428211,"[49.5999044881862, 14.10462778808368]"
40, , ,Pečice,Pečice,293361211,"[49.598011443565696, 14.10256014976827]"
41, , ,Pečice,Pečice,293347211,"[49.59850041691123, 14.099806234864827]"
45, , ,Pečice,Pečice,293434211,"[49.60113031988899, 14.10608178566371]"
50, , ,Pečice,Pečice,293309211,"[49.59825596156566, 14.101863591872286]"
52, , ,Pečice,Pečice,293342211,"[49.60156990293538, 14.105800386833504]"
54, , ,Pečice,Pečice,293348211,"[49.60150834885727, 14.104699720478537]"
56, , ,Pečice,Pečice,293374211,"[49.598273170315615, 14.101481174980334]"
59, , ,Pečice,Pečice,293372211,"[49.59806266743542, 14.100538448378826]"
71, , ,Pečice,Pečice,293324211,"[49.60210851319094, 14.104497266916802]"
77, , ,Pečice,Pečice,293418211,"[49.59867806954173, 14.100632064924138]"
78, , ,Pečice,Pečice,293419211,"[49.598630839862636, 14.1009932371323]"
84, , ,Pečice,Pečice,293396211,"[49.601369650813766, 14.105710800869812]"
87, , ,Pečice,Pečice,293364211,"[49.59189890023426, 14.095304010248544]"
90, , ,Pečice,Pečice,293421211,"[49.60031850612168, 14.105634838894668]"
99, , ,Pečice,Pečice,542558211,"[49.59838290639607, 14.104399287244883]"
101, , ,Pečice,Pečice,293435211,"[49.600482812166135, 14.105824074282399]"
27, , ,Pečice,Pečičky,293476211,"[49.615929380177576, 14.105863567511328]"
30, , ,Pečice,Pečičky,293483211,"[49.6204147047974, 14.085383664757662]"
1, , ,Pečice,Pečice,293305211,"[49.597695837397765, 14.098903723658383]"
5, , ,Pečice,Pečičky,293507211,"[49.61711530902259, 14.104902449900736]"
14, , ,Pečice,Pečičky,293511211,"[49.61573663014722, 14.10560808044607]"
16, , ,Pečice,Pečičky,293531211,"[49.615941490728744, 14.10416879071415]"
19, , ,Pečice,Pečičky,293499211,"[49.6214178088956, 14.086238898051203]"
21, , ,Pečice,Pečičky,293482211,"[49.61983271984814, 14.094341650630149]"
6, , ,Pečice,Pečičky,293494211,"[49.620712466924374, 14.084765750936333]"
40, , ,Pečice,Pečičky,293480211,"[49.616071107772385, 14.103070904671343]"
43, , ,Pečice,Pečičky,293520211,"[49.61648012845963, 14.106886387248032]"
36, , ,Pečice,Pečičky,293504211,"[49.61625347502384, 14.104800369487615]"
42, , ,Pečice,Pečičky,293473211,"[49.62159227295198, 14.084599757197035]"
12, , ,Pečice,Pečičky,293522211,"[49.62168718774475, 14.083936191382385]"
33, , ,Pečice,Pečičky,293492211,"[49.61663999467945, 14.105249480404646]"
32, , ,Pečice,Pečičky,293519211,"[49.61626019290088, 14.10387846803623]"
41, , ,Pečice,Pečičky,293496211,"[49.61606944052809, 14.10470246607732]"
8, , ,Pečice,Pečičky,293491211,"[49.6165615608534, 14.105668472673866]"
38, , ,Pečice,Pečičky,293477211,"[49.62006807145574, 14.085971025717274]"
105, , ,Pečice,Pečice,293412211,"[49.59984265548927, 14.106497880183358]"
25, , ,Pečice,Pečičky,293527211,"[49.62362201448585, 14.080677029422445]"
4, , ,Pečice,Drsník,293451211,"[49.62729148791359, 14.100881498209224]"
5, , ,Pečice,Drsník,293463211,"[49.62755368431756, 14.100858868141776]"
12, , ,Pečice,Drsník,293437211,"[49.626269691430856, 14.101653688329872]"
15, , ,Pečice,Drsník,293441211,"[49.62248928297357, 14.103975282508229]"
24, , ,Pečice,Drsník,293447211,"[49.62895832036555, 14.100137323283434]"
7, , ,Pečice,Drsník,293454211,"[49.62865862878987, 14.100445684280139]"
3, , ,Pečice,Drsník,293470211,"[49.62716717632253, 14.101168292795172]"
7, , ,Pečice,Drsník,293453211,"[49.62812979104026, 14.101244391708518]"
17, , ,Pečice,Drsník,293457211,"[49.62650865049609, 14.101573087798077]"
18, , ,Pečice,Drsník,293444211,"[49.628144523873395, 14.100738406389375]"
21, , ,Pečice,Drsník,293459211,"[49.62910901981693, 14.100115989105687]"
8, , ,Pečice,Drsník,293449211,"[49.62782006657997, 14.101369123203554]"
10, , ,Pečice,Drsník,293458211,"[49.6268991659957, 14.101618328634505]"
13, , ,Pečice,Drsník,293445211,"[49.625974899162856, 14.101372088419458]"
16, , ,Pečice,Drsník,293446211,"[49.627037606158446, 14.101820577422574]"
25, , ,Pečice,Drsník,293452211,"[49.62850013835483, 14.100549951736449]"
14, , ,Pečice,Drsník,293443211,"[49.62491487687772, 14.102337418613498]"
27, , ,Pečice,Drsník,293438211,"[49.62237288470084, 14.103621027576363]"
39, , ,Pečice,Pečičky,293518211,"[49.620399891165725, 14.086285223638813]"
53, , ,Pečice,Pečice,293318211,"[49.60079587901647, 14.105356508060742]"
74, , ,Pečice,Pečice,293426211,"[49.5988334651365, 14.099493429719727]"
23, , ,Pečice,Drsník,293440211,"[49.62673991835889, 14.10124363077306]"
20, , ,Pečice,Pečičky,293513211,"[49.621967253781676, 14.105019372763921]"
80, , ,Pečice,Pečice,293417211,"[49.59851756046877, 14.101753782419234]"
22, , ,Pečice,Drsník,293465211,"[49.627075177508054, 14.100826571804411]"
15, , ,Pečice,Pečice,485824211,"[49.5941941072, 14.097334410692637]"
9, , ,Pečice,Pečice,293307211,"[49.601569412475264, 14.10686652968171]"
81, , ,Pečice,Pečice,293423211,"[49.59847192123104, 14.102129275573848]"
37, , ,Pečice,Pečičky,293500211,"[49.621206308035354, 14.085579348356909]"
34, , ,Pečice,Pečičky,293498211,"[49.620561510608304, 14.083686160266776]"
107, , ,Pečice,Pečice,463764211,"[49.59891304658452, 14.099051828425994]"
9, , ,Pečice,Drsník,293462211,"[49.6274666423142, 14.10139421120724]"
96, , ,Pečice,Pečice,293403211,"[49.6024474920655, 14.10517126296088]"
5, , ,Pečice,Pečice,293366211,"[49.6021876555839, 14.107677576031938]"
60, , ,Pečice,Pečice,293405211,"[49.59814094294607, 14.103583864221674]"
11, , ,Pečice,Pečice,293399211,"[49.59236986150674, 14.096272546063615]"
23, , ,Pečice,Pečičky,293514211,"[49.620898496524816, 14.084278388969667]"
20, , ,Pečice,Pečice,293346211,"[49.59776745763007, 14.10181155036095]"
6, , ,Pečice,Drsník,293448211,"[49.62797237955187, 14.10101566716516]"
61, , ,Pečice,Pečice,293363211,"[49.59432204327208, 14.097527910322466]"
18, , ,Pečice,Pečičky,293475211,"[49.61637373039859, 14.105057572587514]"
22, , ,Pečice,Pečičky,293503211,"[49.619550510533756, 14.093760743489131]"
43, , ,Pečice,Pečice,293306211,"[49.598213440646134, 14.105885100735213]"
76, , ,Pečice,Pečice,293424211,"[49.598727068696846, 14.100265475052055]"
64, , ,Pečice,Pečice,293317211,"[49.60242335659968, 14.104410352005445]"
108, , ,Pečice,Pečice,496099211,"[49.598948770453816, 14.098559164299447]"
109, , ,Pečice,Pečice,540471211,"[49.59906917179421, 14.098249908054814]"
110, , ,Pečice,Pečice,550130211,"[49.598231012042355, 14.103368999817269]"
111, , ,Pečice,Pečice,524453211,"[49.598590761272945, 14.102425113592435]"
4, , ,Pečice,Drsník,293442211,"[49.62242755230185, 14.105068964868613]"
28, , ,Pečice,Drsník,591506211,"[49.62613320534088, 14.103430672964732]"
49, , ,Pečice,Pečice,481804211,"[49.592241550592554, 14.094694046776365]"
113, , ,Pečice,Pečice,615673211,"[49.59995906236808, 14.109067247757002]"
29, , ,Pečice,Drsník,585279211,"[49.622569698743185, 14.104660327055731]"
6, , ,Pečice,Pečičky,293508211,"[49.616751670634685, 14.104951682367947]"
2, , ,Pečice,Pečice,293375211,"[49.601187192012326, 14.106322287134693]"
106, , ,Pečice,Pečice,612874211,"[49.599817757251785, 14.106228886620341]"
117, , ,Pečice,Pečice,43173114010,"[49.59248515059635, 14.095758507263811]"
14, , ,Pečice,Pečice,293301211,"[49.60152267936813, 14.105248963400484]"
32, , ,Pečice,Drsník,44673235010,"[49.62760611151882, 14.100592255115599]"
91, , ,Pečice,Pečice,293400211,"[49.60031257235692, 14.105981130703594]"
15, , ,Pečice,Pečičky,293529211,"[49.61577881660591, 14.104797951765118]"
102, , ,Pečice,Pečice,25620844010,"[49.60020513822327, 14.106982700464265]"
47, , ,Pečice,Pečice,293323211,"[49.598981246675066, 14.10375667943223]"
73, , ,Pečice,Pečice,293386211,"[49.593968183826554, 14.097558132849525]"
7, , ,Pečice,Pečice,293343211,"[49.60239355031985, 14.107077875766997]"
119, , ,Pečice,Pečice,59796642010,"[49.59898042663652, 14.105126190172635]"
19, , ,Pečice,Drsník,293468211,"[49.62710147403569, 14.100241174286268]"
65, , ,Pečice,Pečice,293345211,"[49.59840829421794, 14.100360954393283]"
4, , ,Pečice,Pečice,293338211,"[49.60160514201927, 14.107301269105063]"
11, , ,Pečice,Drsník,293466211,"[49.6265582800537, 14.101997044035516]"
25, , ,Pečice,Pečice,293360211,"[49.59819952659267, 14.102957815469837]"
120, , ,Pečice,Pečice,61469669010,"[49.60213596061991, 14.108670225213995]"
44, , ,Pečice,Pečice,293330211,"[49.601838131252165, 14.106951095153015]"
112, , ,Pečice,Pečice,582727211,"[49.598691644802145, 14.105139217498568]"
35, , ,Pečice,Pečičky,293479211,"[49.6206407309151, 14.086096222048822]"
31, , ,Pečice,Pečičky,293490211,"[49.62085435553335, 14.085940993390293]"
44, , ,Pečice,Pečičky,293486211,"[49.61583140360971, 14.109316868125296]"
