cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
234, , ,Pitín,Pitín,299304742,"[49.03672914654612, 17.8530626170914]"
120, , ,Pitín,Pitín,299372742,"[49.037511138225454, 17.846890975961102]"
232, , ,Pitín,Pitín,299540742,"[49.03940422108141, 17.856049411610126]"
298, , ,Pitín,Pitín,299601742,"[49.03933004875388, 17.85619750285209]"
35, , ,Pitín,Pitín,299486742,"[49.03733026552409, 17.854924525189194]"
230, , ,Pitín,Pitín,299346742,"[49.03787104983014, 17.85358491931637]"
86, , ,Pitín,Pitín,299434742,"[49.038120843582895, 17.84965270621436]"
364, , ,Pitín,Pitín,61076630010,"[49.035950931853975, 17.848108410377954]"
75, , ,Pitín,Pitín,299449742,"[49.03982512797713, 17.85480639258589]"
343, , ,Pitín,Pitín,299643742,"[49.038727521736355, 17.856443427773886]"
95, , ,Pitín,Pitín,299711742,"[49.03839894030409, 17.85134863554402]"
17, , ,Pitín,Pitín,299297742,"[49.03848580613242, 17.850371889102302]"
36, , ,Pitín,Pitín,299423742,"[49.03780611797844, 17.853764963351125]"
14, , ,Pitín,Pitín,299482742,"[49.0383834179886, 17.849547180323057]"
312, , ,Pitín,Pitín,299570742,"[49.03808279615911, 17.85653877242054]"
349, , ,Pitín,Pitín,299608742,"[49.03859317776171, 17.85612711242537]"
24, , ,Pitín,Pitín,316394742,"[49.03866291063668, 17.852306060617078]"
335, , ,Pitín,Pitín,299615742,"[49.035652468386296, 17.85750913789487]"
276, , ,Pitín,Pitín,299316742,"[49.04046328058189, 17.854438177111575]"
275, , ,Pitín,Pitín,299386742,"[49.03917838341412, 17.85641145720943]"
149, , ,Pitín,Pitín,299395742,"[49.037468655393056, 17.846644439401256]"
173, , ,Pitín,Pitín,299421742,"[49.03773039315503, 17.868158190754073]"
118, , ,Pitín,Pitín,299323742,"[49.03704314882978, 17.855013931687225]"
302, , ,Pitín,Pitín,299561742,"[49.037669355828655, 17.85603535271238]"
350, , ,Pitín,Pitín,299612742,"[49.03878159057651, 17.85579596343321]"
83, , ,Pitín,Pitín,299500742,"[49.03750234556991, 17.849987188401865]"
292, , ,Pitín,Pitín,299503742,"[49.039215813060295, 17.855050534755385]"
370, , ,Pitín,Pitín,28868407010,"[49.03866049301364, 17.84207893747564]"
374, , ,Pitín,Pitín,26571500010,"[49.03644310383374, 17.846343836315583]"
19, , ,Pitín,Pitín,299484742,"[49.0386621425646, 17.850951972794658]"
371, , ,Pitín,Pitín,24575833010,"[49.038820187478386, 17.851177205203655]"
369, , ,Pitín,Pitín,23004906010,"[49.03601632834272, 17.84780427307744]"
372, , ,Pitín,Pitín,24687612010,"[49.03704754439049, 17.840339686893287]"
97, , ,Pitín,Pitín,299600742,"[48.9913109078338, 17.900064860083855]"
195, , ,Pitín,Pitín,299531742,"[48.99125472957347, 17.89988051534595]"
368, , ,Pitín,Pitín,530701742,"[49.03836918100374, 17.849385710040007]"
366, , ,Pitín,Pitín,391435742,"[49.03714458400357, 17.842249104977803]"
9, , ,Pitín,Pitín,436478742,"[49.02616268264831, 17.880540593221205]"
359, , ,Pitín,Pitín,299638742,"[49.037150028570665, 17.841740137356044]"
38, , ,Pitín,Pitín,299385742,"[49.037950682189525, 17.853234981771067]"
141, , ,Pitín,Pitín,299354742,"[49.03682347296899, 17.856413614387993]"
214, , ,Pitín,Pitín,299592742,"[48.99977418867972, 17.885020329133177]"
106, , ,Pitín,Pitín,299336742,"[49.03728547648548, 17.855236778723086]"
367, , ,Pitín,Pitín,465322742,"[48.99221546308317, 17.900241789467337]"
362, , ,Pitín,Pitín,15041553010,"[49.036207398849385, 17.847228252883436]"
94, , ,Pitín,Pitín,299648742,"[49.03400910925121, 17.859318565421237]"
287, , ,Pitín,Pitín,299678742,"[49.03891014684774, 17.84159880899801]"
186, , ,Pitín,Pitín,299437742,"[49.035529203548336, 17.857713352629585]"
130, , ,Pitín,Pitín,299309742,"[49.036961594353215, 17.856037557967475]"
180, , ,Pitín,Pitín,299358742,"[49.03849172063432, 17.845017875031868]"
7, , ,Pitín,Pitín,299691742,"[49.03813591692997, 17.84812582655264]"
208, , ,Pitín,Pitín,299407742,"[48.99346196482771, 17.88133776683385]"
265, , ,Pitín,Pitín,299403742,"[49.038590091261, 17.843900224219976]"
2, , ,Pitín,Pitín,299292742,"[49.038198980683056, 17.845701915232247]"
39, , ,Pitín,Pitín,299366742,"[49.038034091229406, 17.85298533519024]"
33, , ,Pitín,Pitín,299389742,"[49.03816923943114, 17.852117393233108]"
181, , ,Pitín,Pitín,299526742,"[49.03767613112532, 17.84449257738035]"
266, , ,Pitín,Pitín,299589742,"[49.038567846994, 17.844337373872467]"
221, , ,Pitín,Pitín,299444742,"[49.02348241061138, 17.883202046533054]"
272, , ,Pitín,Pitín,299374742,"[49.03857633269631, 17.84376780682193]"
128, , ,Pitín,Pitín,299410742,"[49.03710003628671, 17.854890776566435]"
308, , ,Pitín,Pitín,299567742,"[49.03900412869604, 17.855412125110636]"
172, , ,Pitín,Pitín,299530742,"[49.03954337282845, 17.85444754526276]"
321, , ,Pitín,Pitín,299388742,"[49.034636323536816, 17.849998888212053]"
9, , ,Pitín,Pitín,299339742,"[49.038277526495364, 17.84873037934445]"
50, , ,Pitín,Pitín,299368742,"[49.03747192698938, 17.850306925273685]"
279, , ,Pitín,Pitín,299340742,"[49.03548958712486, 17.858324973631028]"
147, , ,Pitín,Pitín,299636742,"[49.03812982304894, 17.8525082985108]"
300, , ,Pitín,Pitín,299559742,"[49.035070079508735, 17.858178546641284]"
52, , ,Pitín,Pitín,299490742,"[49.03711690739893, 17.850405403777106]"
245, , ,Pitín,Pitín,299428742,"[49.03709394165385, 17.857134431841533]"
45, , ,Pitín,Pitín,299489742,"[49.038178469812394, 17.85148455046961]"
125, , ,Pitín,Pitín,299405742,"[49.03672130436648, 17.85592361851986]"
4, , ,Pitín,Pitín,299668742,"[49.03788855802453, 17.84666215931489]"
29, , ,Pitín,Pitín,299337742,"[49.03892206806605, 17.853645878759426]"
282, , ,Pitín,Pitín,299334742,"[49.03751389908731, 17.856711743626786]"
281, , ,Pitín,Pitín,299553742,"[49.03696028884232, 17.83887008684245]"
11, , ,Pitín,Pitín,299392742,"[49.03834836516062, 17.849093981488338]"
229, , ,Pitín,Pitín,299436742,"[48.98637494916629, 17.89421924854628]"
26, , ,Pitín,Pitín,299481742,"[49.03866698011148, 17.852580755583833]"
190, , ,Pitín,Pitín,299408742,"[49.03850083997887, 17.844745049421267]"
331, , ,Pitín,Pitín,299479742,"[49.03703282891292, 17.844479643237133]"
34, , ,Pitín,Pitín,299347742,"[49.03754171491063, 17.854569570314766]"
194, , ,Pitín,Pitín,299529742,"[48.98984176920818, 17.900858092431214]"
210, , ,Pitín,Pitín,0,"[48.99363924591856, 17.880305409785706]"
46, , ,Pitín,Pitín,299326742,"[49.0373438085395, 17.856382141630824]"
53, , ,Pitín,Pitín,299491742,"[49.03698007027111, 17.85056098848781]"
41, , ,Pitín,Pitín,299404742,"[49.03811748785547, 17.85234834960058]"
68, , ,Pitín,Pitín,299353742,"[49.03726852179296, 17.84853346061802]"
131, , ,Pitín,Pitín,299511742,"[49.03750043608745, 17.854715003225383]"
6, , ,Pitín,Pitín,299626742,"[49.03803413622539, 17.847725331354745]"
73, , ,Pitín,Pitín,299499742,"[49.03750594521853, 17.8471436063979]"
134, , ,Pitín,Pitín,299588742,"[49.03666124024311, 17.856067541213243]"
351, , ,Pitín,Pitín,505752742,"[49.03828606231379, 17.85576094529564]"
269, , ,Pitín,Pitín,299393742,"[49.035370834615904, 17.858378988014056]"
191, , ,Pitín,Pitín,299391742,"[49.03764761234572, 17.845249804842215]"
297, , ,Pitín,Pitín,299557742,"[49.038892345368865, 17.855589487859422]"
248, , ,Pitín,Pitín,299441742,"[49.038592858430626, 17.843312223758446]"
15, , ,Pitín,Pitín,299483742,"[49.03840655411674, 17.849878968533]"
56, , ,Pitín,Pitín,299430742,"[49.03661871017261, 17.851184202721488]"
169, , ,Pitín,Pitín,299523742,"[49.036159833793945, 17.8517311589574]"
318, , ,Pitín,Pitín,299574742,"[49.03861607095716, 17.843014081051187]"
18, , ,Pitín,Pitín,488145742,"[49.03812613565551, 17.8499536007398]"
30, , ,Pitín,Pitín,299310742,"[49.03913038181253, 17.853827173435125]"
161, , ,Pitín,Pitín,299520742,"[49.03729110011266, 17.853451107144604]"
