cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
1150, ,U Tankového praporu,44101,Podbořany,Podbořany,Podbořany,723231,"[50.22154996565141, 13.396756471977525]"
1040, ,Švermova,44101,Podbořany,Podbořany,Podbořany,723231,"[50.223557826389744, 13.393821851500965]"
444, ,Letovská,44101,Podbořany,Podbořany,Podbořany,723231,"[50.227794707316384, 13.420987282358027]"
62, ,Dukelská,44101,Podbořany,Podbořany,Podbořany,723231,"[50.229743391452736, 13.409970071978366]"
1064, ,Švermova,44101,Podbořany,Podbořany,Podbořany,723231,"[50.22173336761651, 13.395122253248667]"
1158, ,Valovská,44101,Podbořany,Podbořany,Podbořany,723231,"[50.22066992034037, 13.41328401930517]"
121, , ,44101,Podbořany,Hlubany,Hlubany,723282,"[50.21276164865004, 13.391675240523188]"
468, , ,44101,Podbořany,Podbořany,Podbořany,723231,"[50.22202686840679, 13.408948465783466]"
62, ,Cyrila a Metoděje,44101,Podbořany,Podbořany,Podbořany,723231,"[50.2297309874628, 13.41009162241029]"
904, ,Komenského,44101,Podbořany,Podbořany,Podbořany,723231,"[50.22514954832888, 13.410672750344554]"
904, ,Bratří Čapků,44101,Podbořany,Podbořany,Podbořany,723231,"[50.22512270041267, 13.410716826843263]"
829, ,Budovatelů,44101,Podbořany,Podbořany,Podbořany,723231,"[50.22233109608855, 13.416663340346808]"
19, , ,44101,Podbořany,Letov,Letov,723304,"[50.23487649066258, 13.444030066569939]"
242, , ,44101,Podbořany,Buškovice,Buškovice,616320,"[50.227577732042285, 13.371979473913376]"
128, , ,44101,Podbořany,Buškovice,Buškovice,616320,"[50.223173675815914, 13.372807678759177]"
33, , ,44101,Podbořany,Hlubany,Hlubany,723282,"[50.22814946542408, 13.394653925547283]"
421, , ,44101,Podbořany,Podbořany,Podbořany,723231,"[50.22866815873768, 13.415041141988324]"
913, ,Kpt. Nálepky,44101,Podbořany,Podbořany,Podbořany,723231,"[50.22816208583681, 13.410894773751183]"
349, ,Boženy Němcové,44101,Podbořany,Podbořany,Podbořany,723231,"[50.22701043134344, 13.413862121141106]"
185, , ,44101,Podbořany,Hlubany,Hlubany,723282,"[50.229088497275406, 13.401750739648342]"
899, ,Dukelská,44101,Podbořany,Podbořany,Podbořany,723231,"[50.22773201041477, 13.413685325289144]"
1057, ,Na Barborce,44101,Podbořany,Podbořany,Podbořany,723231,"[50.22421001929399, 13.399455460979505]"
127, , ,44101,Podbořany,Buškovice,Buškovice,616320,"[50.22328867312387, 13.372996612822122]"
