cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
240, ,V Ohradě,Podolanka,Podolanka,0,"[50.16469145640401, 14.605677859186054]"
238, ,Za Kovárnou,Podolanka,Podolanka,60990484010,"[50.16623820125406, 14.613882539338645]"
170, ,Hlavní,Podolanka,Podolanka,825070209,"[50.16584611388443, 14.607012840423982]"
236, ,Svatojakubská,Podolanka,Podolanka,60917360010,"[50.155010995519774, 14.597199846521557]"
237, ,Pod Strání,Podolanka,Podolanka,61495681010,"[50.16012706517164, 14.602936881713061]"
202, ,Hlavní,Podolanka,Podolanka,1079903209,"[50.16508286827787, 14.60736769185355]"
187, ,Hlavní,Podolanka,Podolanka,1079900209,"[50.165051556773, 14.607529641160557]"
229,229,Za Kovárnou,Podolanka,Podolanka,51080252010,"[50.165269785347846, 14.610986531207113]"
232, ,Za Kovárnou,Podolanka,Podolanka,48282253010,"[50.1644694640943, 14.608767830378232]"
226, ,Za Kovárnou,Podolanka,Podolanka,44466131010,"[50.16616972211648, 14.613622213446892]"
225, ,Za Kovárnou,Podolanka,Podolanka,44683127010,"[50.165927546822395, 14.612712662082323]"
219, ,Za Kovárnou,Podolanka,Podolanka,36578065010,"[50.16620425041881, 14.612555635724263]"
217, ,Za Kovárnou,Podolanka,Podolanka,36717041010,"[50.164606210954744, 14.60940290332533]"
218, ,Ke Kapličce,Podolanka,Podolanka,36766065010,"[50.157789831762585, 14.596515996004067]"
212, ,V Ohradě,Podolanka,Podolanka,29558333010,"[50.16507133551567, 14.60660741505677]"
191, ,Hlavní,Podolanka,Podolanka,20630880010,"[50.160587021372635, 14.602084833074207]"
6, ,Pražská,Podolanka,Podolanka,26227488010,"[50.15847268474547, 14.605424680120674]"
209, ,Hlavní,Podolanka,Podolanka,25887007010,"[50.16223559310522, 14.605085240253045]"
208, ,Hlavní,Podolanka,Podolanka,1052172209,"[50.15941162967128, 14.602967616192885]"
207, ,Ke Kapličce,Podolanka,Podolanka,25196368010,"[50.15660573913944, 14.596045002496925]"
81, ,1. máje,Podolanka,Podolanka,824894209,"[50.1558319071424, 14.598834506477605]"
115, ,Ke Mlýnu,Podolanka,Podolanka,824952209,"[50.15762288925857, 14.602637765806284]"
25, ,Hlavní,Podolanka,Podolanka,824951209,"[50.159073530442605, 14.602417347296436]"
78, ,1. máje,Podolanka,Podolanka,824977209,"[50.15622273925455, 14.598738143687592]"
125, ,Vítězná,Podolanka,Podolanka,824993209,"[50.158224867615786, 14.599644319913688]"
107, ,Vítězná,Podolanka,Podolanka,825040209,"[50.15830626146497, 14.599641315538458]"
177, ,Krátká,Podolanka,Podolanka,946603209,"[50.15726846236237, 14.596258558983848]"
104, ,Vítězná,Podolanka,Podolanka,824982209,"[50.15871032702099, 14.599174986447757]"
206, ,Pod Strání,Podolanka,Podolanka,24325259010,"[50.15965147633653, 14.603326719678492]"
