cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
929, ,Polní,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98080683197565, 16.50803512009064]"
808, ,Rybářská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.978984179990576, 16.510865185177696]"
11, , ,69123,Pohořelice,Smolín,Smolín,751090,"[49.006665314103415, 16.537635345872545]"
3, ,Močidla,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.17216814483087, 17.540508096099515]"
467, ,Lidická,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98061156690407, 16.522162224413634]"
170, , ,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.172084044414966, 17.55005259063885]"
234, ,Tyršova,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98569419221971, 16.517588723765435]"
177, , ,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.171071524717036, 17.54448447462725]"
67, , ,69123,Pohořelice,Nová Ves,Nová Ves,705667,"[48.923129382164426, 16.56117514502152]"
1100, ,Lázeňská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.981259146498786, 16.529607868110755]"
946, ,Mlýnská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.97609533694423, 16.5297130211019]"
66, , ,69123,Pohořelice,Smolín,Smolín,751090,"[49.007886313248086, 16.540040920485414]"
701, ,Vídeňská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.978011813011946, 16.517283059642626]"
190, ,Komenského,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.980986309055005, 16.519403495064136]"
181, ,Mlýnská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.97833340074169, 16.524823762323226]"
840, ,nám. Svobody,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98212591178928, 16.523232449276687]"
843, ,nám. Svobody,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98197606281477, 16.523150667536626]"
569, ,Dvorní,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98175699803613, 16.519562355928144]"
167, ,K Alejím,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.17697315725136, 17.534551314090468]"
155, , ,69123,Pohořelice,Nová Ves,Nová Ves,705667,"[48.93839690711999, 16.529710114128203]"
34, , ,69123,Pohořelice,Smolín,Smolín,751090,"[49.006971442955006, 16.541030490976087]"
580, ,Lázeňská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98181392223844, 16.530812449793505]"
56, ,Dlouhá,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.978610498815904, 16.52836909814148]"
22, , ,69123,Pohořelice,Smolín,Smolín,751090,"[49.00692209974212, 16.53812286365592]"
23, , ,69123,Pohořelice,Smolín,Smolín,751090,"[49.00715957371897, 16.538228981768018]"
845, ,Vídeňská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.978667000419144, 16.51631542978053]"
9, , ,69123,Pohořelice,Nová Ves,Nová Ves,705667,"[48.939762435084035, 16.528884843993577]"
981, ,Hybešova,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.9793816928515, 16.52355062844036]"
265, ,Lázeňská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98152513154485, 16.5301974784928]"
438, ,Školní,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.980241328376685, 16.522545004760996]"
1098, ,Znojemská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.978724952272266, 16.506839689501437]"
302, ,Růžová,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.176871769681114, 17.53328617351085]"
369, ,Kostelní,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98047021258934, 16.523760425958343]"
1396, ,Polní,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98071162601331, 16.504149040436108]"
85, , ,69123,Pohořelice,Nová Ves,Nová Ves,705667,"[48.93599286366658, 16.52811522150249]"
51, ,Dlouhá,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.97743433191402, 16.530578838811536]"
324, ,Kvítkovská,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.181973950670724, 17.5358246306072]"
267, ,Na Hrázkách,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.977296121086205, 16.525378197422196]"
24, , ,69123,Pohořelice,Nová Ves,Nová Ves,705667,"[48.93859536012089, 16.526012182167793]"
75, ,Močidla,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.17252787100724, 17.54161845286174]"
93, ,Staropoštovní,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.981257137797925, 16.5282013996354]"
307, ,Staropoštovní,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.980964170332356, 16.528229654428152]"
434, ,Školní,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98008187338832, 16.52291024818272]"
634, ,Šumická,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.9785096857478, 16.513159051576075]"
120, ,Brněnská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.9819367128171, 16.524935686320838]"
985, ,Znojemská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.977734606541475, 16.505605328842424]"
448, ,Lidická,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.980715525200296, 16.522720963955464]"
45, ,Náves,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.17701852782385, 17.53678229283985]"
1354, ,Luční,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98190204786293, 16.50723588381481]"
667, ,Velký Dvůr,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.96221012306152, 16.53065740405569]"
1346, ,Zahradní,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98282164538273, 16.50907590321086]"
646, ,Brněnská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98740028367418, 16.534617405514968]"
148, ,Dlouhá,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.97817014936778, 16.52841093822796]"
252, ,Školní,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.178576028423386, 17.53305082918909]"
422, ,Dlouhá,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.97959622064338, 16.52451113942162]"
104, , ,69123,Pohořelice,Nová Ves,Nová Ves,705667,"[48.93857517051963, 16.525530379207385]"
84, , ,69123,Pohořelice,Smolín,Smolín,751090,"[49.00795833389302, 16.541640579764582]"
176, ,Na Hrázkách,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.97735908817624, 16.52534177643096]"
446, ,Mlýnská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.976181749115554, 16.529506849916974]"
1048, ,Polní,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98035724694168, 16.504001836261544]"
506, ,Znojemská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.980422350419786, 16.51351809070588]"
1639, ,Velký Dvůr,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.962290554669494, 16.53367901441013]"
321, ,Nová,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98051485115458, 16.52792513822018]"
604, ,Brněnská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98513259101664, 16.530984661409526]"
995, ,Znojemská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.980467943794444, 16.51709501249333]"
259, ,Komenského,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98101002570135, 16.519797301851064]"
147, , ,69123,Pohořelice,Nová Ves,Nová Ves,705667,"[48.93637957749603, 16.52850742509425]"
129, ,Brněnská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.986726338064, 16.53336629578922]"
1229, ,Zahradní,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98300436313317, 16.5103555136012]"
773, ,Mlýnská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.97636585641861, 16.52994644335493]"
188, ,Poříčí,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98239967726032, 16.52711508145417]"
134, ,Nade Dvorem,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.17578078391915, 17.53997631444116]"
487, ,Pšeničná,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98035580656419, 16.527139557317515]"
29, , ,69123,Pohořelice,Smolín,Smolín,751090,"[49.007647474144, 16.53954367250759]"
657, ,Brněnská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98497663395975, 16.530067914902837]"
328, ,Nade Dvorem,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.17522171256744, 17.540654939379078]"
31, , ,69123,Pohořelice,Nová Ves,Nová Ves,705667,"[48.93938318712397, 16.528211513160482]"
135, , ,69123,Pohořelice,Nová Ves,Nová Ves,705667,"[48.93908717579374, 16.52665556805338]"
650, ,Brněnská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98719158930054, 16.534258337006282]"
95, , ,69123,Pohořelice,Nová Ves,Nová Ves,705667,"[48.94091172122043, 16.52569230424865]"
1145, ,Znojemská,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.97516888218349, 16.50632159353848]"
1251, ,Květinová,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98420779180266, 16.510920485552255]"
28, ,U Cihelny,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98118882588059, 16.501733145776722]"
284, ,Chaloupky,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.17496213917072, 17.53971840076013]"
175, ,Pod Zámkem,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.171427633009614, 17.54053514598467]"
39, , ,69123,Pohořelice,Nová Ves,Nová Ves,705667,"[48.93684176449108, 16.526155944573706]"
235, ,Uličky,76361,Pohořelice,Pohořelice,Pohořelice,724882,"[49.17312079023295, 17.542386727583665]"
41, , ,69123,Pohořelice,Nová Ves,Nová Ves,705667,"[48.93707552895181, 16.52602780226029]"
108, ,Moravské nám.,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.98130751557645, 16.527949504987117]"
167, ,Moravské nám.,69123,Pohořelice,Pohořelice,Pohořelice,724866,"[48.982036266192736, 16.527361463371243]"
