cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
85, , ,Polom,Polom,62341860010,"[50.05956118686528, 16.31017038009181]"
55, , ,Polom,Polom,0,"[50.05790299385917, 16.305061621676305]"
84, , ,Polom,Polom,62236867010,"[50.05956929133548, 16.309595608702423]"
20, , ,Polom,Polom,226941607,"[50.05757200439806, 16.30502709379845]"
31, , ,Polom,Polom,226942607,"[50.05759763773785, 16.304723029516335]"
61, ,Hájek,Polom,Polom,226945607,"[50.04612379844607, 16.313235021415178]"
113, , ,Polom,Polom,61539124010,"[49.57542932202566, 17.852975992836424]"
99, , ,Polom,Polom,105095835,"[49.57775611709222, 17.843999010837848]"
3, , ,Polom,Polom,171747835,"[49.57465595370981, 17.81823470218624]"
74, , ,Polom,Polom,105082835,"[49.57367862079816, 17.842546410363095]"
43, , ,Polom,Polom,226921607,"[50.05995497617508, 16.3059255215156]"
21, , ,Polom,Polom,226920607,"[50.0594090973775, 16.307763172352143]"
53, , ,Polom,Polom,226931607,"[50.0584667401496, 16.30448436058228]"
16, , ,Polom,Polom,226916607,"[50.05948674481001, 16.308086921781126]"
63, ,Hájek,Polom,Polom,226893607,"[50.047514022208375, 16.311421711785897]"
44, , ,Polom,Polom,226943607,"[50.06014151919523, 16.30575249645258]"
38, , ,Polom,Polom,226924607,"[50.05913729127022, 16.30813372150447]"
71, , ,Polom,Polom,105052835,"[49.57424762305721, 17.826206977158673]"
55, , ,Polom,Polom,105154835,"[49.57801065422686, 17.840088991179282]"
67, , ,Polom,Polom,105028835,"[49.57765483524987, 17.845026939482505]"
88, , ,Polom,Polom,105089835,"[49.577617517857696, 17.845309910992427]"
69, , ,Polom,Polom,105107835,"[49.57462892517881, 17.8351645314402]"
29, , ,Polom,Polom,105064835,"[49.57466646231617, 17.83685320607304]"
33, , ,Polom,Polom,105123835,"[49.573952185737646, 17.83774539070488]"
93, , ,Polom,Polom,105093835,"[49.573294723806654, 17.848681906333585]"
18, , ,Polom,Polom,105097835,"[49.57728592827255, 17.848383680184956]"
96, , ,Polom,Polom,105094835,"[49.57510869486038, 17.820822781783598]"
54, , ,Polom,Polom,105074835,"[49.57673314587485, 17.841227215100698]"
59, , ,Polom,Polom,105108835,"[49.573538365066746, 17.822044512347695]"
16, , ,Polom,Polom,105098835,"[49.577277859606575, 17.848551442791315]"
80, , ,Polom,Polom,105088835,"[49.57460723052305, 17.837222570373918]"
75, , ,Polom,Polom,105084835,"[49.57348274345372, 17.843198821684897]"
86, , ,Polom,Polom,105024835,"[49.57414442172587, 17.861294373919993]"
5, , ,Polom,Polom,116800835,"[49.57503198300198, 17.823013628165537]"
76, , ,Polom,Polom,105086835,"[49.57321176381893, 17.845166948251443]"
66, , ,Polom,Polom,105026835,"[49.572996449460916, 17.847918615636612]"
35, , ,Polom,Polom,105055835,"[49.57426546287758, 17.839061922485268]"
6, , ,Polom,Polom,105059835,"[49.57495197260511, 17.826510142490918]"
37, , ,Polom,Polom,105066835,"[49.57716020502485, 17.849456682383884]"
3, , ,Polom,Polom,105047835,"[49.577401047367076, 17.847284393528966]"
19, , ,Polom,Polom,105061835,"[49.57472247843519, 17.82795885045391]"
38, , ,Polom,Polom,174733835,"[49.57289126795109, 17.837367405371914]"
89, , ,Polom,Polom,105159835,"[49.577014229759634, 17.850796351700616]"
79, , ,Polom,Polom,105085835,"[49.573935257578206, 17.838067127853634]"
22, , ,Polom,Polom,105051835,"[49.57450812472901, 17.830266278629786]"
41, , ,Polom,Polom,105067835,"[49.57432056864094, 17.84528842835518]"
72, , ,Polom,Polom,105081835,"[49.573943159354506, 17.819904532144324]"
45, , ,Polom,Polom,105114835,"[49.572591141779164, 17.850058322653474]"
52, , ,Polom,Polom,105156835,"[49.5771945563497, 17.839273720310707]"
82, , ,Polom,Polom,105087835,"[49.57410416419731, 17.837265756992018]"
