cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
60, , ,Polomí,Polomí,541233709,"[49.62959288044531, 16.952765427611098]"
76, , ,Polomí,Polomí,541316709,"[49.629608351859176, 16.951948139754975]"
74, , ,Polomí,Polomí,42339145010,"[49.62923605279975, 16.950464670739663]"
73, , ,Polomí,Polomí,42339143010,"[49.629931189880764, 16.95004770563717]"
32, , ,Polomí,Polomí,541244709,"[49.63168928852148, 16.947693778675344]"
71, , ,Polomí,Polomí,541223709,"[49.6324398661392, 16.95119266367052]"
62, , ,Polomí,Polomí,15732309010,"[49.62945821260019, 16.95296209570739]"
4, , ,Polomí,Polomí,15797053010,"[49.629406441926115, 16.958244727464006]"
5, , ,Polomí,Polomí,15797357010,"[49.63098019736641, 16.9522046542047]"
61, , ,Polomí,Polomí,541251709,"[49.62494556682331, 16.965314181371504]"
17, , ,Polomí,Polomí,541234709,"[49.631423914365776, 16.948614829802807]"
45, , ,Polomí,Polomí,541294709,"[49.63268291653933, 16.945432102988104]"
6, , ,Polomí,Polomí,541282709,"[49.63236711549823, 16.946166383461605]"
1, , ,Polomí,Polomí,541270709,"[49.63069265668453, 16.94905247816549]"
30, , ,Polomí,Polomí,541319709,"[49.63026922709102, 16.951689739374228]"
14, , ,Polomí,Polomí,541256709,"[49.6316019637696, 16.94985222417561]"
43, , ,Polomí,Polomí,541274709,"[49.63259777474502, 16.94538124404471]"
22, , ,Polomí,Polomí,541272709,"[49.63202894690016, 16.94587362973519]"
11, , ,Polomí,Polomí,541271709,"[49.63183557185006, 16.94851384915895]"
41, , ,Polomí,Polomí,541241709,"[49.6320782674391, 16.944962237523807]"
13, , ,Polomí,Polomí,541253709,"[49.6315081247796, 16.949356139535116]"
54, , ,Polomí,Polomí,541303709,"[49.62971540267258, 16.95508307553145]"
2, , ,Polomí,Polomí,541308709,"[49.63093936092234, 16.94840483065227]"
46, , ,Polomí,Polomí,541243709,"[49.63206874431966, 16.945773200119696]"
29, , ,Polomí,Polomí,541236709,"[49.63090935318012, 16.949353753209014]"
34, , ,Polomí,Polomí,541248709,"[49.63075359844949, 16.950304067485735]"
63, , ,Polomí,Polomí,541297709,"[49.63218631379735, 16.94657071328682]"
4, , ,Polomí,Polomí,541228709,"[49.631146953487054, 16.947495644790145]"
50, , ,Polomí,Polomí,541292709,"[49.63178342535321, 16.947262916509747]"
9, , ,Polomí,Polomí,541277709,"[49.63198530975729, 16.947759170608155]"
39, , ,Polomí,Polomí,541302709,"[49.63175237118871, 16.947778219360448]"
47, , ,Polomí,Polomí,541287709,"[49.63167290010364, 16.94794871371683]"
51, , ,Polomí,Polomí,541315709,"[49.632422308699034, 16.94458725482574]"
19, , ,Polomí,Polomí,541263709,"[49.631522525240186, 16.947870119148934]"
42, , ,Polomí,Polomí,541284709,"[49.63028790459552, 16.950100234114796]"
35, , ,Polomí,Polomí,541254709,"[49.63225315245628, 16.945153822667027]"
66, , ,Polomí,Polomí,541312709,"[49.63062045521359, 16.949308232459803]"
55, , ,Polomí,Polomí,541310709,"[49.63135381354444, 16.947212567002637]"
12, , ,Polomí,Polomí,541286709,"[49.63173570343235, 16.948854185268367]"
37, , ,Polomí,Polomí,541293709,"[49.63259704980434, 16.945187764711214]"
10, , ,Polomí,Polomí,541262709,"[49.63194928018231, 16.94825160851964]"
5, , ,Polomí,Polomí,541231709,"[49.63162137309399, 16.94651091478696]"
21, , ,Polomí,Polomí,541247709,"[49.63198338166013, 16.945406031627936]"
44, , ,Polomí,Polomí,541242709,"[49.63246844598995, 16.944697916997686]"
20, , ,Polomí,Polomí,541225709,"[49.63163167793582, 16.947073899537926]"
7, , ,Polomí,Polomí,541246709,"[49.632120866118235, 16.94697919142687]"
40, , ,Polomí,Polomí,541279709,"[49.63274625459315, 16.945015185561843]"
48, , ,Polomí,Polomí,541280709,"[49.63004242886994, 16.952722465842747]"
15, , ,Polomí,Polomí,541252709,"[49.631394691047966, 16.950094301132022]"
64, , ,Polomí,Polomí,541288709,"[49.63147879237258, 16.949940191902083]"
72, , ,Polomí,Polomí,27496380010,"[49.630066334939556, 16.951250848053895]"
3, , ,Polomí,Polomí,541273709,"[49.63103054315141, 16.947979736463584]"
8, , ,Polomí,Polomí,541314709,"[49.63205719938335, 16.947384600766235]"
23, , ,Polomí,Polomí,541250709,"[49.63023815397911, 16.952058478624867]"
24, , ,Polomí,Polomí,541269709,"[49.62991214076342, 16.951512007522137]"
25, , ,Polomí,Polomí,541227709,"[49.63024679931678, 16.95232152172158]"
27, , ,Polomí,Polomí,541239709,"[49.630238795022976, 16.95274030339378]"
31, , ,Polomí,Polomí,541306709,"[49.63037328888122, 16.953665222228068]"
36, , ,Polomí,Polomí,541229709,"[49.63001086887443, 16.952442617536086]"
38, , ,Polomí,Polomí,541299709,"[49.63081901668667, 16.948597981173837]"
49, , ,Polomí,Polomí,541285709,"[49.62954084498495, 16.95230876265196]"
53, , ,Polomí,Polomí,541313709,"[49.63034985714568, 16.953989043627033]"
57, , ,Polomí,Polomí,541267709,"[49.63252646479738, 16.949926281296744]"
58, , ,Polomí,Polomí,541304709,"[49.63470758657046, 16.95063636635566]"
59, , ,Polomí,Polomí,541305709,"[49.62984403815356, 16.953053704903123]"
67, , ,Polomí,Polomí,541258709,"[49.63055862357333, 16.95292592996842]"
68, , ,Polomí,Polomí,541264709,"[49.63051823173246, 16.953266372469685]"
70, , ,Polomí,Polomí,555500709,"[49.62999887253354, 16.953474372080453]"
59, , ,Polomí,Polomí,541260709,"[49.6298881321075, 16.95276834398376]"
69, , ,Polomí,Polomí,541275709,"[49.62998873253654, 16.95574441985058]"
26, , ,Polomí,Polomí,15790481010,"[49.63026308089995, 16.95081590218325]"
