cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
63, , ,39501,Pošná,Pošná,Pošná,726320,"[49.457541857941386, 15.04418848189187]"
1, , ,39501,Pošná,Proseč,Proseč,726338,"[49.443833666663586, 15.045637545797558]"
26, , ,39501,Pošná,Zahrádka,Zahrádka,775606,"[49.461867264071294, 15.068323370701462]"
41, , ,39501,Pošná,Pošná,Pošná,726320,"[49.45748619258982, 15.041609642671954]"
15, , ,39501,Pošná,Pošná,Pošná,726320,"[49.458687762253604, 15.043946691859391]"
25, , ,39501,Pošná,Pošná,Pošná,726320,"[49.457766875073276, 15.03782995979445]"
30, , ,39501,Pošná,Pošná,Pošná,726320,"[49.45848797303956, 15.038908517855255]"
10, , ,39501,Pošná,Nesvačily,Nesvačily,726338,"[49.43411997929285, 15.054742256259106]"
55, , ,39501,Pošná,Pošná,Pošná,726320,"[49.45847904982242, 15.040272993450513]"
4, , ,39501,Pošná,Pošná,Pošná,726320,"[49.459103050976424, 15.040769532300414]"
22, , ,39501,Pošná,Proseč,Proseč,726338,"[49.44346763825869, 15.044305626787574]"
7, , ,39501,Pošná,Zahrádka,Zahrádka,775606,"[49.46096416457513, 15.068324518835205]"
14, , ,39501,Pošná,Zahrádka,Zahrádka,775606,"[49.46374405028532, 15.070334536696777]"
13, , ,39501,Pošná,Proseč,Proseč,726338,"[49.448923735140845, 15.04718818012616]"
29, , ,39501,Pošná,Proseč,Proseč,726338,"[49.44440764555028, 15.046505026930898]"
43, , ,39501,Pošná,Pošná,Pošná,726320,"[49.457628234455214, 15.042059270659578]"
32, , ,39501,Pošná,Pošná,Pošná,726320,"[49.45908985848241, 15.038646204207906]"
3, , ,39501,Pošná,Zahrádka,Zahrádka,775606,"[49.46147743628685, 15.066745313832563]"
22, , ,39501,Pošná,Pošná,Pošná,726320,"[49.45740586789889, 15.042458158461283]"
2, , ,39501,Pošná,Proseč,Proseč,726338,"[49.444101850699724, 15.046669037729595]"
53, , ,39501,Pošná,Pošná,Pošná,726320,"[49.45899794345358, 15.0406131579364]"
80, , ,39501,Pošná,Pošná,Pošná,726320,"[49.45793546546099, 15.040827087933975]"
75, , ,39501,Pošná,Pošná,Pošná,726320,"[49.45831155615717, 15.03948790510542]"
62, , ,39501,Pošná,Pošná,Pošná,726320,"[49.457576905999005, 15.044294618403134]"
