cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
113, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.16953938297498, 15.74705737771085]"
61, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.172687140672366, 15.741246361803919]"
18, , ,50327,Praskačka,Vlčkovice,Vlčkovice,732931,"[50.18580141268621, 15.752762695976566]"
247, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.17744382829188, 15.744114090629358]"
17, , ,50327,Praskačka,Krásnice,Krásnice,746916,"[50.14278872723092, 15.726086682341629]"
2, , ,50327,Praskačka,Žižkovec,Žižkovec,746916,"[50.14830854062136, 15.711831442011162]"
68, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.174179109131025, 15.741642303229696]"
58, , ,50327,Praskačka,Sedlice,Sedlice,746924,"[50.15361774715092, 15.733961215910728]"
209, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.17426876224106, 15.738868243616675]"
58, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.17568269383874, 15.740579492746473]"
14, , ,50327,Praskačka,Krásnice,Krásnice,746916,"[50.141158661104804, 15.724026614760326]"
26, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.17161140695255, 15.743567257694748]"
124, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.176948763411076, 15.744741439451799]"
10, , ,50327,Praskačka,Vlčkovice,Vlčkovice,732931,"[50.18689321079447, 15.754174665784713]"
6, , ,50327,Praskačka,Krásnice,Krásnice,746916,"[50.142326557515375, 15.725854072673162]"
253, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.17342262127272, 15.734575995613376]"
63, , ,50327,Praskačka,Sedlice,Sedlice,746924,"[50.15361894459334, 15.724823767954977]"
69, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.17475799370594, 15.74118910379589]"
230, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.17366335149033, 15.73475201685164]"
75, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.17108467533775, 15.744021675308048]"
82, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.17517952435905, 15.739528015758152]"
4, , ,50327,Praskačka,Vlčkovice,Vlčkovice,732931,"[50.185161157361264, 15.755257386300253]"
220, , ,50333,Praskačka,Praskačka,Praskačka,732915,"[50.17518767193926, 15.737238173467613]"
