cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
38, , ,Pržno,Pržno,349880810,"[49.39994212559762, 17.911175759937546]"
345, , ,Pržno,Pržno,62070966010,"[49.62079882304686, 18.372658510688286]"
188, , ,Pržno,Pržno,332588810,"[49.39713107043231, 17.911469089489067]"
228, , ,Pržno,Pržno,704812802,"[49.613938609797216, 18.365719804697605]"
261, , ,Pržno,Pržno,58824606010,"[49.3987646271197, 17.93319938255258]"
266, , ,Pržno,Pržno,57266608010,"[49.3991570903138, 17.942759674182735]"
92, , ,Pržno,Pržno,332956810,"[49.39471043980479, 17.933041935067752]"
239, , ,Pržno,Pržno,435144810,"[49.38508087307764, 17.941526445629478]"
250, , ,Pržno,Pržno,15882859010,"[49.388798480738004, 17.93552093663108]"
241, , ,Pržno,Pržno,332915810,"[49.385457008835424, 17.941474390826563]"
334, , ,Pržno,Pržno,49665240010,"[49.62056809557618, 18.37321661911147]"
273, , ,Pržno,Pržno,1001843802,"[49.61347290715798, 18.36103112274545]"
48, , ,Pržno,Pržno,47411180010,"[49.40027954932807, 17.90630226253033]"
333, , ,Pržno,Pržno,30109462010,"[49.61468740908695, 18.361455949089088]"
332, , ,Pržno,Pržno,40471043010,"[49.61366084338054, 18.370019354059668]"
330, , ,Pržno,Pržno,44353115010,"[49.61305678366347, 18.370028614112154]"
326, , ,Pržno,Pržno,32384079010,"[49.61278548630543, 18.36132910707647]"
325, , ,Pržno,Pržno,32062927010,"[49.620537635510274, 18.372498360593845]"
328, , ,Pržno,Pržno,35436950010,"[49.620267755777185, 18.373005732569332]"
263, , ,Pržno,Pržno,29593166010,"[49.386125552977255, 17.941022276436737]"
323, , ,Pržno,Pržno,704615802,"[49.617575752354675, 18.363273478097398]"
61, , ,Pržno,Pržno,970284802,"[49.61339063336899, 18.354625978521863]"
57, , ,Pržno,Pržno,704783802,"[49.61352197853803, 18.35455327691694]"
59, , ,Pržno,Pržno,782592802,"[49.61341555669032, 18.35491435574989]"
320, , ,Pržno,Pržno,25583945010,"[49.612936549704216, 18.37178013304449]"
243, , ,Pržno,Pržno,26240351010,"[49.619449795556875, 18.36732067505162]"
236, , ,Pržno,Pržno,809689802,"[49.61674786805282, 18.362659275216593]"
266, , ,Pržno,Pržno,1053231802,"[49.610270692662766, 18.364656574986352]"
262, , ,Pržno,Pržno,25496944010,"[49.385142474050255, 17.942264746186275]"
319, , ,Pržno,Pržno,24626693010,"[49.6219397517449, 18.37321854445731]"
317, , ,Pržno,Pržno,704533802,"[49.616953926700226, 18.363451795545064]"
318, , ,Pržno,Pržno,21066836010,"[49.612362400220135, 18.371841022650877]"
253, , ,Pržno,Pržno,1002172802,"[49.61946583553384, 18.368596347092794]"
10, , ,Pržno,Pržno,332806810,"[49.38007830477123, 17.941209199410466]"
3, , ,Pržno,Pržno,0,"[49.37418465779833, 17.937420276433873]"
120, , ,Pržno,Pržno,704691802,"[49.61552851374083, 18.36263777851062]"
316, , ,Pržno,Pržno,23549909010,"[49.61242318015994, 18.37130541268453]"
54, , ,Pržno,Pržno,332923810,"[49.39442240876246, 17.917934750651014]"
288, , ,Pržno,Pržno,1006638802,"[49.62253650323929, 18.373404726916508]"
315, , ,Pržno,Pržno,15954394010,"[49.61991331399794, 18.373288001592762]"
314, , ,Pržno,Pržno,960769802,"[49.622027689809734, 18.368581921936805]"
312, , ,Pržno,Pržno,21861412010,"[49.61562296293002, 18.362222714887746]"
259, , ,Pržno,Pržno,16490186010,"[49.386081747452636, 17.94058576702937]"
260, , ,Pržno,Pržno,332964810,"[49.39824391235757, 17.925759707202097]"
292, , ,Pržno,Pržno,1015814802,"[49.62190805121381, 18.37280599298416]"
258, , ,Pržno,Pržno,476605810,"[49.38616854774105, 17.941445068191875]"
291, , ,Pržno,Pržno,1003968802,"[49.62227820181098, 18.373466144581407]"
313, , ,Pržno,Pržno,16477860010,"[49.62224160560914, 18.37165139479684]"
33, , ,Pržno,Pržno,332861810,"[49.388815195961016, 17.941466031649977]"
154, , ,Pržno,Pržno,332908810,"[49.398946797403, 17.93383817040788]"
160, , ,Pržno,Pržno,332665810,"[49.40177021459375, 17.905555249114727]"
257, , ,Pržno,Pržno,451457810,"[49.39258794037129, 17.93348823931749]"
37, , ,Pržno,Pržno,704572802,"[49.61336920764813, 18.362752765889656]"
303, , ,Pržno,Pržno,1041895802,"[49.614510895938, 18.36693672164842]"
287, , ,Pržno,Pržno,978602802,"[49.62254746259853, 18.373111620003755]"
304, , ,Pržno,Pržno,1056613802,"[49.61462528246641, 18.365408086205868]"
302, , ,Pržno,Pržno,1054001802,"[49.6144288590463, 18.36790563952489]"
259, , ,Pržno,Pržno,14756799010,"[49.61835417623458, 18.367907912651074]"
247, , ,Pržno,Pržno,14769813010,"[49.6183347999975, 18.366243827322815]"
250, , ,Pržno,Pržno,14964132010,"[49.61894367487245, 18.36746997753335]"
311, , ,Pržno,Pržno,1067219802,"[49.62219018444193, 18.37088028465836]"
25, , ,Pržno,Pržno,704534802,"[49.6171804842296, 18.363797227908666]"
305, , ,Pržno,Pržno,1067520802,"[49.61458653646123, 18.366343592666]"
52, , ,Pržno,Pržno,946329802,"[49.61323089050672, 18.354674613786354]"
54, , ,Pržno,Pržno,734390802,"[49.61368992016839, 18.35448968293931]"
49, , ,Pržno,Pržno,0,"[49.61325876968201, 18.36959957850682]"
300, , ,Pržno,Pržno,1057870802,"[49.61448067050958, 18.36738116765393]"
299, , ,Pržno,Pržno,1053456802,"[49.62212540655666, 18.37282865813056]"
240, , ,Pržno,Pržno,332916810,"[49.38527468575853, 17.941530464513775]"
152, , ,Pržno,Pržno,704728802,"[49.610668018077725, 18.36453075797434]"
40, , ,Pržno,Pržno,704632802,"[49.61213539008433, 18.38537353678181]"
13, , ,Pržno,Pržno,704591802,"[49.61423519218203, 18.354746216995338]"
31, , ,Pržno,Pržno,704744802,"[49.61538062265094, 18.35774165491094]"
217, , ,Pržno,Pržno,704685802,"[49.61097777243574, 18.362853858099907]"
31, , ,Pržno,Pržno,704518802,"[49.619666346418086, 18.365075654891047]"
4, , ,Pržno,Pržno,704570802,"[49.61004434937586, 18.361527817851808]"
90, , ,Pržno,Pržno,704609802,"[49.61527124108794, 18.362047641401773]"
36, , ,Pržno,Pržno,704577802,"[49.61408726373372, 18.355446157499617]"
32, , ,Pržno,Pržno,704575802,"[49.61445674415377, 18.354612433397982]"
58, , ,Pržno,Pržno,704713802,"[49.611895463466915, 18.375370406215943]"
33, , ,Pržno,Pržno,704624802,"[49.615408835168985, 18.357510213128453]"
199, , ,Pržno,Pržno,704673802,"[49.61302619845514, 18.36366016250767]"
23, , ,Pržno,Pržno,704707802,"[49.6164809069893, 18.362979632934294]"
71, , ,Pržno,Pržno,704508802,"[49.60983617346916, 18.362030710913405]"
39, , ,Pržno,Pržno,704633802,"[49.612264986201794, 18.385531802121278]"
4, , ,Pržno,Pržno,332575810,"[49.38687476024428, 17.943628129625804]"
65, , ,Pržno,Pržno,332577810,"[49.398862580200564, 17.918513249029925]"
196, , ,Pržno,Pržno,332792810,"[49.38934701276351, 17.945334609108542]"
8, , ,Pržno,Pržno,332876810,"[49.388561894941994, 17.94233178279136]"
2, , ,Pržno,Pržno,332566810,"[49.40653088020976, 17.941679861505875]"
142, , ,Pržno,Pržno,332903810,"[49.388229849209154, 17.93817214261123]"
159, , ,Pržno,Pržno,332759810,"[49.38867401037789, 17.938336501971627]"
105, , ,Pržno,Pržno,332865810,"[49.38925812250046, 17.940593109371477]"
220, , ,Pržno,Pržno,332832810,"[49.386567375600414, 17.94508219436832]"
98, , ,Pržno,Pržno,332632810,"[49.388479913303065, 17.9413136837497]"
8, , ,Pržno,Pržno,332584810,"[49.38761356622421, 17.942447386789414]"
93, , ,Pržno,Pržno,332564810,"[49.385039331896394, 17.942884222377877]"
232, , ,Pržno,Pržno,332854810,"[49.3843954307489, 17.941070597607656]"
24, , ,Pržno,Pržno,332898810,"[49.39861992689516, 17.933784142133504]"
163, , ,Pržno,Pržno,332547810,"[49.38711903585459, 17.94469331372684]"
215, , ,Pržno,Pržno,332693810,"[49.386235597639654, 17.944702803494792]"
120, , ,Pržno,Pržno,332725810,"[49.39686291218441, 17.920530445670625]"
32, , ,Pržno,Pržno,332914810,"[49.3948310230644, 17.91695462674737]"
245, , ,Pržno,Pržno,332881810,"[49.38851357244985, 17.937239503530133]"
124, , ,Pržno,Pržno,332769810,"[49.38848000641472, 17.9375137204454]"
206, , ,Pržno,Pržno,332947810,"[49.386207344639026, 17.94192224166575]"
5, , ,Pržno,Pržno,332878810,"[49.3958066592128, 17.933025708554002]"
9, , ,Pržno,Pržno,332793810,"[49.393640418394554, 17.91164992322052]"
99, , ,Pržno,Pržno,332782810,"[49.38895704565789, 17.92983213923624]"
111, , ,Pržno,Pržno,332581810,"[49.400400616179915, 17.94924586596246]"
75, , ,Pržno,Pržno,332703810,"[49.39695597966966, 17.914681591332492]"
193, , ,Pržno,Pržno,332866810,"[49.40542935006676, 17.95009518155762]"
197, , ,Pržno,Pržno,332978810,"[49.38852877117945, 17.939653140003138]"
66, , ,Pržno,Pržno,332800810,"[49.38806856647823, 17.944319365379858]"
86, , ,Pržno,Pržno,332545810,"[49.40226018400918, 17.943434181140148]"
1, , ,Pržno,Pržno,332814810,"[49.387056575721054, 17.943110189682685]"
114, , ,Pržno,Pržno,704774802,"[49.61256956399155, 18.36139810204346]"
206, , ,Pržno,Pržno,704818802,"[49.61183796530339, 18.36622999591591]"
224, , ,Pržno,Pržno,831269802,"[49.60845519998713, 18.361285065493753]"
190, , ,Pržno,Pržno,332561810,"[49.39835048611752, 17.917656103419183]"
39, , ,Pržno,Pržno,332672810,"[49.38606879190346, 17.943532044102845]"
57, , ,Pržno,Pržno,332580810,"[49.39178816185732, 17.90982784665435]"
195, , ,Pržno,Pržno,332735810,"[49.38766244059906, 17.943943891688832]"
207, , ,Pržno,Pržno,332540810,"[49.39932738097888, 17.90900287995073]"
38, , ,Pržno,Pržno,704799802,"[49.6159390424226, 18.353766253385725]"
234, , ,Pržno,Pržno,704791802,"[49.60814740528586, 18.36353289153354]"
222, , ,Pržno,Pržno,764930802,"[49.61865413508631, 18.369104060192374]"
163, , ,Pržno,Pržno,704528802,"[49.611508462616705, 18.36349327793711]"
75, , ,Pržno,Pržno,704547802,"[49.618169339089484, 18.364095056577693]"
171, , ,Pržno,Pržno,704708802,"[49.61640867316631, 18.364068702562943]"
33, , ,Pržno,Pržno,704678802,"[49.620959491115755, 18.365708438434858]"
67, , ,Pržno,Pržno,704569802,"[49.61326026420339, 18.36790947856287]"
127, , ,Pržno,Pržno,704581802,"[49.61311701780378, 18.3609377092689]"
151, , ,Pržno,Pržno,704736802,"[49.62135574374364, 18.36902533692833]"
159, , ,Pržno,Pržno,704524802,"[49.62190713450697, 18.36973684173272]"
47, , ,Pržno,Pržno,704672802,"[49.61488974105753, 18.35480475290263]"
115, , ,Pržno,Pržno,704612802,"[49.607455495747395, 18.36331027370284]"
54, , ,Pržno,Pržno,704584802,"[49.6169382823138, 18.362066414776116]"
130, , ,Pržno,Pržno,704733802,"[49.621942058675735, 18.3693628329873]"
62, , ,Pržno,Pržno,704773802,"[49.611845488261714, 18.359284570595523]"
78, , ,Pržno,Pržno,704554802,"[49.618118126854526, 18.364813793616456]"
98, , ,Pržno,Pržno,704646802,"[49.61333951054395, 18.368652798615866]"
24, , ,Pržno,Pržno,704606802,"[49.61460269065813, 18.35391427098068]"
11, , ,Pržno,Pržno,704512802,"[49.61239918648551, 18.361990938077078]"
48, , ,Pržno,Pržno,704711802,"[49.60858236053702, 18.361957073611677]"
7, , ,Pržno,Pržno,704660802,"[49.61266988228328, 18.364026026094454]"
81, , ,Pržno,Pržno,704610802,"[49.62240900197606, 18.368266657557957]"
141, , ,Pržno,Pržno,704755802,"[49.61002478650517, 18.36201471932475]"
157, , ,Pržno,Pržno,704578802,"[49.611271520270954, 18.36348862686512]"
97, , ,Pržno,Pržno,704593802,"[49.608658580087116, 18.361476542989937]"
133, , ,Pržno,Pržno,704527802,"[49.621399543103365, 18.369495196976597]"
51, , ,Pržno,Pržno,704686802,"[49.61501005648867, 18.35463183212757]"
