cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
434, , ,33033,Pňovany,Pňovany,Pňovany,722812,"[49.793589607538856, 13.116672482251674]"
117, , ,33033,Pňovany,Pňovany,Pňovany,722812,"[49.79529396587351, 13.12159259828101]"
191, , ,33033,Pňovany,Rájov,Rájov,722812,"[49.78430448772191, 13.135136660785024]"
152, , ,33033,Pňovany,Pňovany,Pňovany,722804,"[49.77977336681612, 13.124244386208561]"
438, , ,33033,Pňovany,Pňovany,Pňovany,722812,"[49.79363798691087, 13.11638283610475]"
183, , ,33033,Pňovany,Pňovany,Pňovany,722812,"[49.79116799034105, 13.140203939445808]"
488, , ,33033,Pňovany,Pňovany,Pňovany,722812,"[49.791185372397976, 13.135837600854096]"
81, , ,33033,Pňovany,Pňovany,Pňovany,722804,"[49.77902931183521, 13.119173307717913]"
294, , ,33033,Pňovany,Pňovany,Pňovany,722804,"[49.7757775640129, 13.067756150691517]"
152, , ,33033,Pňovany,Pňovany,Pňovany,722804,"[49.78431887607509, 13.070777548216745]"
418, , ,33033,Pňovany,Pňovany,Pňovany,722812,"[49.794922802667195, 13.124395529644481]"
179, , ,33033,Pňovany,Pňovany,Pňovany,722812,"[49.79094426800326, 13.139719393108034]"
569, , ,33033,Pňovany,Pňovany,Pňovany,722812,"[49.79055570869618, 13.136437012383476]"
263, , ,33033,Pňovany,Pňovany,Pňovany,722812,"[49.78709006496359, 13.138921996777627]"
545, , ,33033,Pňovany,Pňovany,Pňovany,722804,"[49.77554453848494, 13.068075101213715]"
35, , ,33033,Pňovany,Pňovany,Pňovany,722804,"[49.77943626241818, 13.117010996090638]"
45, , ,33033,Pňovany,Pňovany,Pňovany,722804,"[49.77825277492398, 13.119210299537402]"
8, , ,33033,Pňovany,Pňovany,Pňovany,722804,"[49.77555528163255, 13.121869404140847]"
468, , ,33033,Pňovany,Pňovany,Pňovany,722812,"[49.78515914823655, 13.142876238218708]"
102, , ,33033,Pňovany,Pňovany,Pňovany,722804,"[49.780496409059566, 13.122684277216273]"
